[00:00.830 --> 00:06.710]  Good morning, I'm Bruce Bugbee and today we're going to talk about air
[00:06.710 --> 00:12.310]  temperature sensors. This is really part one in a series of environmental
[00:12.310 --> 00:18.750]  measurement seminars that we've designed to educate people on the key principles.
[00:18.750 --> 00:26.230]  I am joined in this effort by my colleague Mark Blonquist who is the
[00:26.230 --> 00:30.670]  chief scientist for Apogee Instruments. He isn't going to be doing the talking
[00:30.670 --> 00:36.790]  but he and I have worked together to analyze a wide range of sensors for
[00:36.790 --> 00:40.430]  environmental measurement. So we're going to start with perhaps the most
[00:40.430 --> 00:46.590]  fundamental measurement of all which is air temperature. If you would ask me when
[00:46.590 --> 00:51.030]  I was an undergraduate, do you know how to measure air temperature? I would say,
[00:51.030 --> 00:55.230]  oh yes, of course I know all about it. If you would ask me as a master's student, do
[00:55.230 --> 00:59.030]  I know how to measure air temperature? I would say, yes, kind of, but there's
[00:59.030 --> 01:04.150]  challenges. If you ask me as a experienced scientist, do I know how to
[01:04.150 --> 01:08.070]  measure air temperature? I would probably say something like, that is a really
[01:08.070 --> 01:13.630]  challenging measurement. So we're going to help bring you up to the cutting edge of just
[01:13.630 --> 01:19.310]  the sensors today to do this. In a separate talk we'll talk about shields. So
[01:19.310 --> 01:23.550]  this is the simplest thing. What kind of electronic sensors would you use for air
[01:23.550 --> 01:30.030]  temperature measurement? Historically we've used alcohol thermometers and
[01:30.030 --> 01:35.550]  mercury and glass thermometers but those are not electronic output. You can't
[01:35.550 --> 01:40.110]  record those. You've got to have a sensor that makes an electric output so we can
[01:40.110 --> 01:45.830]  do continuous recording of it. So this is all about sensors that have electronic
[01:45.830 --> 01:52.510]  output. Now let's jump to a picture that we've made that shows sizes and types of
[01:52.550 --> 02:00.790]  sensors. Here's a wide range of sizes and in a minute I'll tell you why size is so
[02:00.790 --> 02:06.550]  critical. Let's just run over the sizes all the way from a human hair and look
[02:06.550 --> 02:14.030]  at the size of this .002 inches, .06 millimeters. This is tiny. Just barely
[02:14.030 --> 02:20.030]  above that we can get fine wire thermistors that are just barely thicker
[02:20.030 --> 02:25.870]  than a human hair. Now these are used in a syringe to inject into an
[02:25.870 --> 02:31.630]  animal to measure internal temperature of an animal but they stay very close to
[02:31.630 --> 02:38.270]  air temperature because they are so tiny. So this would be a nice sensor but this
[02:38.270 --> 02:45.190]  sensor in our long-term studies drifts. It's not a stable sensor and that's a
[02:45.190 --> 02:49.870]  critical feature of these sensors. They have to be rock-solid year after year
[02:49.870 --> 02:55.630]  after year so we're not using this fine wire sensor even though it's wonderfully
[02:55.630 --> 03:03.630]  tiny because it's not solid in long-term studies. Going up the scale, thermocouples
[03:03.630 --> 03:09.510]  are a classic electronic way of measurement. They're widely used. They're
[03:09.510 --> 03:14.750]  inexpensive. Just take a strip of wire, twist it like this, you've got a temperature
[03:14.870 --> 03:21.110]  sensor. But they are not the most accurate reference standard and for long
[03:21.110 --> 03:28.350]  runs of wire they get expensive. The cost of thermocouple wire is about ten times
[03:28.350 --> 03:34.190]  the cost of regular wire. So we mostly use these when we need to do lots of
[03:34.190 --> 03:39.630]  measurements in a small distance, a small distance from the data logger, even
[03:39.630 --> 03:47.990]  though they can be small. So then going down the list we get into the category of
[03:47.990 --> 03:54.270]  thermistors. So let's put a line under thermocouples. We'll call that number one.
[03:54.270 --> 04:03.590]  Thermistors are number two in technologies. These have a big
[04:03.590 --> 04:09.350]  signal size. They're easy to measure. For years these were considered not a
[04:09.390 --> 04:15.990]  reference standard because they drifted in the long term. So to avoid this
[04:15.990 --> 04:23.230]  problem with drift, for years we've gone to platinum resistance thermometers. Now
[04:23.230 --> 04:30.230]  lots of people know these by the acronym PRT, platinum resistance thermometer.
[04:30.230 --> 04:38.710]  Sometimes people say PRTD and that's just a temperature detector. Those are
[04:38.710 --> 04:48.150]  the same things, PRT and PRTD. This one, like the typical PRTs, is enclosed in a
[04:48.150 --> 04:55.710]  stainless steel sheath. It makes this extremely rugged but it's a bigger size
[04:55.710 --> 05:04.870]  than this thermistor, slightly bigger and a lot more expensive. So finally to get
[05:04.870 --> 05:10.870]  this even more rugged, Apogee sells a ceramic sheath thermistor, which is this
[05:10.870 --> 05:16.950]  enclosed in a big housing. You could drive over this with a truck. So for rugged
[05:16.950 --> 05:21.990]  places and direct burial in soils, this ceramic sheath thermistor is a good
[05:21.990 --> 05:30.870]  choice. But what we're down to is thermistors, particularly thermistors that are
[05:30.950 --> 05:39.270]  epoxy coated to nearly eliminate water infiltration into the sensor. That's what
[05:39.270 --> 05:45.310]  kills sensors is when water gets into them. And the only two things that water
[05:45.310 --> 05:51.270]  doesn't get through are metal and glass. Epoxy though is close. The right kinds of
[05:51.270 --> 05:57.590]  epoxy are almost as impermeable as glass. So this one has got a special epoxy
[05:57.590 --> 06:05.310]  coating to make it water impermeable and as a result of that potentially very
[06:05.310 --> 06:13.190]  stable. So we've got thermocouples, thermistors, and PRTs as the categories.
[06:13.190 --> 06:19.030]  PRTs have long been considered the gold standard but they have a couple
[06:19.030 --> 06:26.230]  disadvantages. They're big, they're expensive, and they take up a lot of data
[06:26.230 --> 06:34.110]  logger channels. Let's take a look at the effect of size in this. Small is
[06:34.110 --> 06:38.990]  better but boy these are still pretty small as far as temperature sensors go.
[06:38.990 --> 06:47.710]  So this next slide shows us the effect of size on temperature rise. So we've got
[06:47.710 --> 06:53.230]  these are all thermocouples now. So we take the same measurement technology and
