[00:00.000 --> 00:02.000]  Summarize this and I
[00:02.960 --> 00:05.780]  Remember to get my space blanket out of my car
[00:06.640 --> 00:08.280]  so
[00:08.280 --> 00:10.280]  You can all understand
[00:15.400 --> 00:20.560]  Everyone should carry one of these for emergencies like in their back pocket
[00:21.200 --> 00:25.680]  They might become more important than your cell phone right there, but
[00:26.680 --> 00:30.160]  And I think mostly you can buy these at camping
[00:31.560 --> 00:33.520]  That's where people end up using them
[00:33.520 --> 00:34.680]  but I
[00:34.680 --> 00:36.680]  Think these are so good car
[00:36.840 --> 00:42.020]  Manufacturers should all have a be required to have a little pocket in the door and they're one of these comes with the car in
[00:42.020 --> 00:46.000]  The pocket and if you ever get stranded in a cold place and you
[00:47.320 --> 00:49.320]  Can use it
[00:49.480 --> 00:55.200]  We ended the last lecture talking about radiation for us. So I'm gonna give some examples of that
[00:55.680 --> 01:00.400]  Here's a picture of a radiation frost detector just a flat black disk
[01:00.640 --> 01:08.160]  So you can see how nicely that radiates to space doesn't work at all in the day because it keeps way up above air
[01:08.200 --> 01:10.200]  Temperature but it's designed to only do at night
[01:10.880 --> 01:12.880]  So here's an example graph
[01:13.800 --> 01:15.800]  of what this looks like
[01:16.000 --> 01:17.720]  at night and
[01:17.720 --> 01:21.440]  This was a few years ago air temperature
[01:22.360 --> 01:28.800]  Bud and leaf now bud temperature is a single little sensor about the size of a fruit bud and
[01:29.640 --> 01:34.560]  Here's a classic example of this. The air is everybody's above the
[01:35.760 --> 01:41.840]  Zero Celsius, so we're all happy but right here. The air temperature is plus three and
[01:42.560 --> 01:44.080]  the wind
[01:44.080 --> 01:47.040]  This is here's wind speed the wind died. Oh
[01:48.280 --> 01:50.280]  Can I go back?
[01:52.280 --> 01:54.280]  I
[01:59.840 --> 02:03.280]  Am going backwards here, let's see
[02:04.720 --> 02:06.720]  We got it
[02:06.760 --> 02:08.760]  We got to get back to that page
[02:20.430 --> 02:22.590]  We were close to there
[02:23.190 --> 02:26.470]  And we got to start now around the way back, okay
[02:31.510 --> 02:33.510]  There we go
[02:37.190 --> 02:39.190]  There we go, thank you
[02:39.790 --> 02:41.790]  the wind dies and
[02:42.110 --> 02:47.070]  The temperature separate and we have the beginning of a leaf starting to freeze
[02:47.830 --> 02:49.830]  Because it's below air temperature
[02:50.070 --> 02:53.030]  So now the wind picks up and not enough
[02:53.030 --> 03:00.150]  It's still calm wind and then the wind dies here and these separate and now clear these leaf has been below freezing for several
[03:00.150 --> 03:05.030]  Hours and then the finally the little tiny bud even goes below freezing
[03:05.470 --> 03:11.270]  So the blue line or at least the red line is what a grower ought to be after not just the
[03:11.710 --> 03:15.230]  Black line and historically they've used the black line
[03:15.270 --> 03:20.830]  So now we can go back to our our camera
[03:22.350 --> 03:27.550]  What do growers do to protect against frost this is a huge
[03:28.430 --> 03:32.590]  Industry and it's common to have problems. That's why fruit
[03:33.270 --> 03:39.630]  Orchards are located on this tops of valleys on the edges because the cold air drains to the middle
[03:39.670 --> 03:46.910]  Located on this tops of valleys on the edges because the cold air drains to the middle and they're somewhat protected by elevation
[03:47.630 --> 03:53.350]  We don't have fruit orchards in the middle of the valley. They're up along the benches to for tip for that reason
[03:55.630 --> 04:01.070]  Many years ago, and I remember this as a kid grew up in, Minnesota
[04:02.070 --> 04:09.630]  Reading about the Florida fruit growers oranges in Florida and they would get these frosts late spring frosts
[04:09.630 --> 04:13.550]  There's tender buds are out. So here is a picture of
[04:16.230 --> 04:18.230]  Some fruit trees
[04:21.890 --> 04:23.570]  Somewhere
[04:23.570 --> 04:25.570]  Don't have to be in Florida
[04:26.010 --> 04:29.850]  The most common way to protect your fruit trees
[04:30.370 --> 04:34.290]  Was to light this thing called a smudge pot
[04:37.570 --> 04:44.810]  And it was designed to burn really inefficiently and make a whole bunch of black smoke and they never got all that hot
[04:45.410 --> 04:47.410]  But this black smoke
[04:48.570 --> 04:50.570]  Would go up like this and
[04:50.890 --> 04:51.630]  Guess what?
[04:51.630 --> 04:58.570]  They've just blocked the cold night sky and this was effective for protecting trees against this radiation frost
[04:59.170 --> 05:00.490]  Because that
[05:00.490 --> 05:05.850]  emissivity was blocked and these were used for decades by fruit growers and they'd
[05:06.050 --> 05:10.650]  have them all over their orchards and they'd go out and light the smudge pots and
[05:11.250 --> 05:14.650]  Well, they really make bad air pollution
[05:14.930 --> 05:20.450]  So they were banned and now what are the growers going to do to?
