[00:00.000 --> 00:04.000]  Hello, my name is Ben Crabb. I do technical sales and support here at Apogee Instruments.
[00:04.000 --> 00:08.000]  I'm here to talk about our new MicroCache Bluetooth Logger.
[00:08.000 --> 00:13.000]  This is a little Bluetooth-enabled, battery-powered device that connects with your smartphone
[00:13.000 --> 00:17.000]  and interfaces with any of our unamplified analog sensors,
[00:17.000 --> 00:23.000]  any of our sensors that put out a little millivolt signal this MicroCache can log.
[00:23.000 --> 00:28.000]  And so I'll just briefly go over some of the features and specs of the MicroCache,
[00:28.000 --> 00:36.000]  and then I'll show off with the phone how to connect it and some of its measurement capabilities.
[00:36.000 --> 00:41.000]  So here's a picture of it and an idea of the dimensions.
[00:41.000 --> 00:47.000]  There is a little 4-20 threaded hole in the back for mounting,
[00:47.000 --> 00:51.000]  so you can mount it to any of our mounting brackets.
[00:51.000 --> 00:54.000]  By default, most of our sensors come with this little cable.
[00:54.000 --> 01:02.000]  It's about 12 inches long, 1 foot long, 30 centimeters, and so that makes a nice compact unit.
[01:02.000 --> 01:10.000]  We also have for our PAR sensors, we've got a 2-meter cable length option for measurement underwater or for corals.
[01:10.000 --> 01:12.000]  Let's see.
[01:12.000 --> 01:19.000]  This app, or this MicroCache connects with your phone with a little smartphone app called Apogee Connect.
[01:19.000 --> 01:23.000]  You can find it on the Apple App Store or the Google Play Store.
[01:23.000 --> 01:26.000]  Just search for it.
[01:26.000 --> 01:28.000]  Here is an overview of the specs.
[01:28.000 --> 01:31.000]  I'll point out a couple of the major ones.
[01:31.000 --> 01:33.000]  The IP rating is IP67.
[01:33.000 --> 01:37.000]  This means that it is rugged for outdoor use.
[01:37.000 --> 01:40.000]  I've got a couple on the roof of the Apogee building, and they've been snowed on.
[01:40.000 --> 01:41.000]  It's the end of January now.
[01:41.000 --> 01:45.000]  They've been up there for months, and they're doing fine.
[01:45.000 --> 01:46.000]  Let's see.
[01:46.000 --> 01:53.000]  The weight is only 52 grams, so this would be great for mounting on a drone if you wanted to fly it around and take aerial measurements.
[01:53.000 --> 02:01.000]  The data storage capacity is almost half a million data points, and the battery life ought to be long,
[02:01.000 --> 02:09.000]  one or two years based on this 10-second sampling interval or 60-second sampling interval with an average of five minutes of daily connected time.
