[00:01.080 --> 00:07.360]  I'm Bruce Bugbee, president of Apogee Instruments, and I want to talk today
[00:07.360 --> 00:17.120]  about our research on far-red effects on plant growth and how we measure with
[00:17.120 --> 00:22.800]  instruments those effects on plant growth. So you can see from the title
[00:22.800 --> 00:30.600]  right here, we get two approaches to this. The percent far-red and a more
[00:30.600 --> 00:36.280]  complex measurement called phytochrome photoequilibrium. And I want to compare
[00:36.280 --> 00:44.280]  those two approaches to predicting stem length and leaf area in plants. One's the
[00:44.280 --> 00:49.640]  classic method, more complex instrumentation. One's a new method that
[00:49.640 --> 00:55.680]  has, it's much simpler and has the potential to be more intuitive and more
[00:55.680 --> 01:02.520]  useful. The work I'm going to talk about is largely been done by my graduate
[01:02.520 --> 01:08.240]  student Paul Kasuma. He's been in the trenches working on this. He and I work
[01:08.240 --> 01:15.240]  on this together every day to do the research and interpret the data. So let's
[01:15.240 --> 01:22.720]  start with the definitions of these and then I'll get into the data. The first
[01:22.720 --> 01:31.360]  one, phytochrome photoequilibrium is the number of, a weighted number of far-red
[01:31.360 --> 01:39.440]  photons divided by far-red and red photons. It's a ratio and this ratio
[01:39.440 --> 01:48.720]  ranges from, sun is about 0.8 and as it goes into deep shade it goes to 0.2. So
[01:48.720 --> 01:56.200]  this goes down, this number gets smaller as we get into shade. How you measure
[01:56.200 --> 02:01.360]  these is complicated. It requires a spectroradiometer. I'm going to show you
[02:01.360 --> 02:06.560]  exactly how to do that. Apogee Instruments spectroradiometers are
[02:06.560 --> 02:12.760]  pre-programmed to measure this and read out in this number, but you still need to
[02:12.760 --> 02:19.920]  purchase a spectroradiometer. The new emerging option is just percent far-red.
[02:19.920 --> 02:26.960]  Very simple. The number of far-red photons divided by the number of total
[02:26.960 --> 02:33.600]  photons. And anytime you take a subset divided by the total, the total range of
[02:33.600 --> 02:40.120]  the numbers is 0 to 1. If we had electric lights with absolutely no far-red, it
[02:40.120 --> 02:48.520]  would be a 0. And many LEDs have no far-red. This ratio goes a little bit,
[02:48.520 --> 02:54.840]  little complicated when there's no far-red at all. Conversely, in very deep
[02:54.840 --> 03:01.440]  shade, deep shade under a tree, this ratio could be almost all far-red and it could
[03:01.440 --> 03:26.680]  approach 1. So this is a real simple intuitive ratio. Let's take a look at this. To define this, we need to define the range. So we use 700 to 760 nanometers for the far-red component and 400 to 760 for the total. This is not quite quantum.
[03:26.840 --> 03:56.560]  It's quantum. Photosynthetic photons are 400 to 700. Let me write that on here. 400 to 700 nanometers is photosynthetically active radiation. And so it's this plus 700 to 760. And the sum of those goes to that.
[03:57.040 --> 04:25.440]  This is the percent far-red. A few background slides are important here to say how did we come to use phytochrome photoequilibrium, PPE, and rely on it so much. It started with this guy right here. Harry Smith in the 1960s and 70s and into the 80s.
[04:25.600 --> 04:43.040]  He did pioneering work on the effects of colors of light and especially deep shade on plant growth. Here's the citation to his work. Here's his results. Here's phytochrome photoequilibrium, PPE.
[04:44.040 --> 05:03.040]  By the way, this is also called phytochrome photostationary state, PSS or PPS. There's a couple different acronyms. They all mean the same thing, just different acronyms. Here's his results.
[05:03.040 --> 05:15.040]  He grew plants in sun and shade. And look at how linear this line is. A wonderful predictor of stem extension rate. It's beautiful.
[05:15.040 --> 05:32.040]  Building on this, we've used this now for many years to predict stem elongation and leaf expansion. And it works beautifully as long as the background of light is broad spectrum white light.
