[00:00.190 --> 00:04.190]  This is a production of Cornell University.
[00:04.190 --> 00:14.740]  So my name is Chris Smart and I am a plant pathologist. I study diseases of plants.
[00:14.740 --> 00:21.740]  My lab focuses on diseases of vegetables, but we have also gotten into diseases of hemp.
[00:21.740 --> 00:25.740]  And today I am here with my student, Patrick McMullen.
[00:25.740 --> 00:36.740]  And the other thing I want to point out again is that Patrick made a really nice handout on root rot issues in hemp.
[00:36.740 --> 00:42.740]  And so if you scan the QR code that is on the agenda, you will pull that up.
[00:42.740 --> 00:52.740]  And all of the handouts from today's field day will be up online at the Cornell hemp website and you will be able to find them there.
[00:52.740 --> 00:54.740]  So Patrick.
[00:54.740 --> 00:57.740]  Thank you, Chris. Good morning everyone.
[00:57.740 --> 01:03.740]  So I am a PhD student here working in Chris's lab and I have been working with root rot pathogens of hemp.
[01:03.740 --> 01:11.740]  And I have been working with some root rot pathogens, soil borne pathogens of hemp.
[01:12.740 --> 01:22.740]  Most recently with Pythium. I am sure a lot of you have dealt with Pythium in seedlings and damping off issues in greenhouse and outdoor production.
[01:22.740 --> 01:30.740]  So Pythium is an oomycete pathogen that causes damping off and early seedling death.
[01:31.740 --> 01:41.740]  The swimming oospores really like the water and damp soils and you will experience this disease a lot more in those cool wet climates.
[01:41.740 --> 01:50.740]  So in this experiment I am running now, we have these two flats of seedlings. These are two week old seedlings.
[01:50.740 --> 01:56.740]  The one that Allie over here is holding are just healthy two week old seedlings.
[01:56.740 --> 02:01.740]  Chris's over here, they are dead. There is nothing there.
[02:01.740 --> 02:06.740]  Chris, can you point it over here?
[02:06.740 --> 02:16.740]  So take a look as they bring these flats around and just look at the extreme difference there of what Pythium can do to seeds.
[02:16.740 --> 02:21.740]  My current research interest here is testing control strategies of Pythium.
[02:21.740 --> 02:31.740]  We all know that there are very few labelled products for hemp right now and all of that is currently in the research process to see what is efficacious and what is approved.
[02:31.740 --> 02:37.740]  So here I tested some different seed treatments. I had two copper products and a phosphate product.
[02:37.740 --> 02:42.740]  And as you can see in Chris's flat, none of that seemed to be effective.
[02:42.740 --> 02:49.740]  But of course we are still in the process of testing more seed treatments to help prevent these damping off issues.
[02:49.740 --> 02:52.740]  They are very photogenic.
[02:52.740 --> 02:58.740]  Why don't you explain the experiment, the inoculation, what is it all about?
[02:58.740 --> 03:06.740]  So to do this I planted, these are just styrofoam flats with 128 cell flat, all one seed lot.
[03:06.740 --> 03:10.740]  And they were direct seeded into potting soil.
[03:10.740 --> 03:16.740]  And then these trays were placed in a tub of water and just allowed to float on top.
[03:16.740 --> 03:19.740]  Tobacco is often started in a similar method to this.
[03:19.740 --> 03:26.740]  So then what I did in the inoculated group was I had petri plates of Pythium growing.
[03:26.740 --> 03:32.740]  And we scraped off the spores from those plates and dumped that inoculum into the water.
[03:32.740 --> 03:39.740]  So the spores, the swimming zoospores, could enter the roots and the soil seedlings as they are germinating.
[03:39.740 --> 03:44.740]  And you can see that in this tray here there is practically no root growth coming out of the pot.
[03:44.740 --> 03:49.740]  And then in alleys over here there is all of those healthy white roots.
[03:49.740 --> 03:59.740]  So other signs of Pythium that you will often see if you do have plants that emerge more are kind of a browning of the stem as it does damp off.
[03:59.740 --> 04:03.740]  And brown roots are also quite common.
[04:03.740 --> 04:10.740]  And this is a commonly observed disease in greenhouses and hydroponic production, really anywhere where there is a lot of water.
[04:10.740 --> 04:15.740]  And it can easily be transmitted if there is any kind of splashing of that contaminated material.
[04:15.740 --> 04:23.740]  So right now we don't really have good chemical control strategies, but of course you could employ some good cultural practices,
[04:23.740 --> 04:32.740]  good sanitation methods between your cropping seasons and cycles, and starting with clean planting material.
[04:32.740 --> 04:39.740]  So those are kind of the best information I could give you for Pythium right now.
[04:39.740 --> 04:47.740]  I am also interested in Fusarium, which is another soil-borne pathogen, which causes some similar disease symptoms.
[04:47.740 --> 04:52.740]  You will often see wilting and yellowing on larger plants and eventual plant collapse and death.
[04:52.740 --> 04:56.740]  On young seedlings you can see damping off, similar to what we saw here with Pythium.
