[00:00.640 --> 00:04.640]  This is a production of Cornell University.
[00:04.640 --> 00:24.000]  So to all of our participants, welcome to the inaugural Hemp 411 seminar series.
[00:24.000 --> 00:27.000]  We are so thrilled that you're here.
[00:27.000 --> 00:34.000]  There are so many people that have come together to make this a reality.
[00:35.000 --> 00:44.000]  And I, for one, am absolutely jazzed to see y'all here and your interest in hemp.
[00:44.000 --> 01:01.000]  So my name is Zachary Stancil. I am the USDA hemp germplasm curator. So I want to very briefly tell you a little bit about our work, and why we wanted to host Hemp 411.
[01:01.000 --> 01:17.000]  So, you know, I'm curious, how many of y'all have heard of the idea of a seed library. So a seed library is in many ways kind of like a regular library but instead of books, we hold these collections of different kinds of seeds.
[01:17.000 --> 01:28.000]  So our work here in Geneva, New York, is to establish a collection of many different diverse varieties of hemp.
[01:28.000 --> 01:41.000]  Our work is going to be collecting, growing out, collecting new seeds and distributing these hemp varieties to many different people all over the world.
[01:41.000 --> 01:56.000]  So, kind of like a regular library, those seeds can be checked out, you don't have to return them, by plant scientists, plant breeders, educators and many other groups of people.
[01:56.000 --> 02:15.000]  So we hope that these efforts will not only help protect the genetic diversity of hemp, but allow universities, companies, farmers, and ultimately everyone to benefit from the almost uncountably diverse uses of hemp.
[02:16.000 --> 02:36.000]  So that's kind of, you know, the nuts and bolts scientific element of our work, but, you know, in the course of many conversations, we are realizing that we're very passionate about making hemp science be a much more welcoming, inclusive and diverse space,
[02:37.000 --> 02:55.000]  especially to new scientists. I'm hoping that some of the people in this call have a future in hemp science research or hemp entrepreneurship, and we want to provide you information and resources that can enable you to follow those dreams.
[02:56.000 --> 03:21.000]  So, very quickly, I want to thank our, especially thank our, everyone's welcome here but we really want to thank folks from Alabama A&M, Alcorn, Central State, Dell State, Florida A&M, Fort Valley, Kentucky State, Langston U, Lincoln U, North Carolina A&T State, Prairie View A&M, South Carolina State, I'm from South Carolina, shout out.
[03:22.000 --> 03:35.000]  Southern University, Tennessee State, Tuskegee University of Arkansas, Heinbluff University of Maryland Eastern Shore, Virginia State, and last but not least, Virginia State University.
[03:35.000 --> 03:53.000]  I want to thank Tony Baracco and George Stack for really doing a ton of the logistics work and inviting so many awesome speakers to this series as well as GEMMA Autumn, Autumn candidate Erin Rogers.
[03:53.000 --> 04:03.000]  So let's get down to what we're all here for today. I'm so excited to introduce all y'all to Jeff Kostchuk.
[04:03.000 --> 04:13.000]  So, Jeff is the director at Hemp Genetics International. He's been passionate about hemp since 1998.
[04:13.000 --> 04:25.000]  He is a seed grower. He studied agriculture at the University of Manitoba. In 2012, he got a bachelor's degree at Athabasca University.
[04:26.000 --> 04:39.000]  He was previously the director of the Canadian Hemp Trade Alliance, and he currently holds a position of the chair of the National Variety Trials Committee and Minor Use Regulations.
[04:39.000 --> 04:51.000]  So, once again, welcome. I present you Jeff. Actually I think Tony wants to say a little bit about question and answers and the overall format.
[04:51.000 --> 05:04.000]  As Jeff gets his screen ready. I just wanted to mention that if you guys have any questions throughout the lecture, please put them in the Q&A section tab. Do not put them in the chat tab.
[05:04.000 --> 05:07.000]  So everything in the Q&A section.
[05:07.000 --> 05:09.000]  If we can get through it all.
[05:09.000 --> 05:12.000]  I'll hopefully be read during the Q&A.
[05:12.000 --> 05:15.000]  So yeah, don't leave your questions till the end.
[05:15.000 --> 05:17.000]  All right.
[05:17.000 --> 05:18.000]  Take it away, Jeff.
[05:18.000 --> 05:26.000]  All right, good to go. I'm assuming you'll tell me if you can't see my screen, Tony, or somebody but that sounds like we hear me okay and the screen is good.
[05:26.000 --> 05:46.000]  All good. All right, we'll fire away. So thank you very much, Zach for the introduction. I'll get a little bit into my background and how I got involved with hemp during the presentation also but what I'd like to do I guess is kind of this, it's, you know, really, realistically, I guess it's a bit of a dated presentation already.
[05:47.000 --> 06:11.000]  But as Zachary said I've been involved with the hemp industry, mostly, I would say as an applied research agronomist to start with, it's the province of Manitoba so that's kind of where I got my background in and how I got started in hemp and became known as the hemp guy contact for Manitoba and then in 2015 switched over to industry and got involved with Hemp Genetics International.
[06:12.000 --> 06:19.000]  So, we'll go through a few things I'll try to explain now what we're going to be looking at.
[06:19.000 --> 06:20.000]  There we go.
[06:20.000 --> 06:29.000]  Okay, so basically it really doesn't matter if we're talking about growing hemp for cannabinoid extraction for fiber, or for grain production.
[06:30.000 --> 06:37.000]  So some of these things are applicable to all three of those economic returns for hemp.
[06:37.000 --> 06:53.000]  But some of the things that you need to ask yourself, whether you're a producer or a processor so obviously what is the market demanding, and what you want to do is be able to, you need to be able to identify what that market is demanding, how can you supply,
[06:54.000 --> 07:01.000]  especially as a farmer, and us as agronomists and researchers, how can we assist farmers to supply high quality hemp.
[07:01.000 --> 07:12.000]  And what I suggest is it's a systematic approach required to maximize quality. So it's like any other commodity or crop that we grow so proper planning is a necessity.
[07:13.000 --> 07:24.000]  Obviously, we're all here together on the webinar and that's a part of it. Agronomics, as I said, as a recovering applied research agronomist, that's dear to my heart.
[07:24.000 --> 07:38.000]  And it's a crop that will confuse you sometimes so there's different harvest and storage practices that you have to be aware of, you know, really with regards to all again all three aspects of grain, fiber, and cannabinoid.
[07:39.000 --> 07:52.000]  So when we look at agronomy you know we all know that we need to take a look at field selection, crop rotation, variety selection, seeding, everything seeding, fertility, weed control, harvest.
[07:53.000 --> 08:03.000]  So field selection. So, Zachary and I were discussing a little bit just earlier said you know what was it like, you know, getting involved with hemp in Canada in 1998.
[08:03.000 --> 08:17.000]  I said it's probably not much different than in the US where I think this is going on to a certain degree where we had interested growers, but they would never kind of have their field sort of in their best fields.
[08:17.000 --> 08:23.000]  The field would be kind of in the back quarter, the back 40, you know, kind of maybe not the best soil.
[08:23.000 --> 08:27.000]  So we had a ton of catastrophes because of that.
[08:27.000 --> 08:41.000]  Nobody really wanted to sort of be the coffee shop talk as far as that person's growing hemp you know they're this and that so you know we've come miles and miles from that we're now when we talk to growers it's more about the stuff that we're going to talk
[08:41.000 --> 08:44.000]  about today so crop rotation history.
[08:44.000 --> 08:51.000]  So herbicide history is, is extremely important and that falls in place, of course, with crop rotation.
[08:51.000 --> 09:00.000]  But with herbicide history that hemp is quite susceptible to most herbicides, and is quite
[09:00.000 --> 09:10.000]  a lot of the residual herbicides can cause a problem with establishment and establishment is one of the toughest things to get your head wrapped around with him.
[09:10.000 --> 09:23.000]  Fertility levels. I know first starting out, you know you go to the University of Google and everybody's saying well this crop can grow without any, any nutrients whatsoever you don't have to take care of it you just put it on the ground and it's going
[09:24.000 --> 09:37.000]  to grow and, and, you know, save the world essentially which, which it can, but it's a tall plant it's an aggressive plant which means that it needs its nutrients so it is not a nitrogen fixer as also I've seen occasionally.
[09:37.000 --> 09:41.000]  It's a high user of nitrogen high user of potassium.
[09:41.000 --> 09:49.000]  So we have to make sure that we can feed that crop accordingly, because it is a crop now it's not just something that's grown for the fun of it.
