[00:04.280 --> 00:06.280]  This is a production of Cornell University.
[00:06.280 --> 00:15.280]  Hi there, my name is Zachary Stancel. I am the Hemp Germplasm Curator at the Plant Genetic Resources Unit,
[00:15.280 --> 00:23.280]  which is a part of the National Plant Germplasm System, which is in turn part of the Agricultural Research Service,
[00:23.280 --> 00:25.280]  which is part of the USDA.
[00:25.280 --> 00:35.280]  My background, I'm a recent graduate from Cornell Horticulture, where I primarily focused on Brassica oleracea crops,
[00:35.280 --> 00:43.280]  specifically broccoli. My work was done in support of the Eastern Broccoli Project, which is a 10-year study
[00:43.280 --> 00:57.600]  breeding, developing broccoli hybrids adapted for heat stress on the work that we're doing here.
[00:57.600 --> 01:05.600]  So we are in one of the Plant Genetic Resources Unit greenhouse in beautiful Geneva, New York,
[01:05.600 --> 01:11.600]  where we maintain a wide variety of different vegetable crop collections.
[01:11.600 --> 01:20.600]  So we have about 20,000 accessions that are comprised of about 300 unique species.
[01:21.600 --> 01:29.600]  Just like the other vegetable crop collections held at PGRU, we don't actively participate in plant breeding.
[01:29.600 --> 01:35.600]  Rather, we function to collect, conserve, characterize, and distribute these materials.
[01:35.600 --> 01:43.600]  So that's what we'll do with hemp as well. So we're acquiring materials from many different sources.
[01:43.600 --> 01:57.860]  A lot of our initial donors are going to be university-level or private breeding companies that are working with hemp germplasm.
[01:57.860 --> 02:11.860]  We are going to exclusively focus on the 2020 hemp final rule, which is defined essentially as less than 0.3% THC by dry weight.
[02:12.860 --> 02:18.860]  So those are the materials that we will collect, increase, characterize, and distribute.
[02:21.860 --> 02:28.860]  So much of the work that we do here will follow a very similar pipeline to how we would, for example,
[02:28.860 --> 02:34.860]  deal with the allium crops, brassica crops, tomato collections as well.
[02:34.860 --> 02:38.860]  So we maintain these germplasm collections for a couple reasons.
[02:38.860 --> 02:44.860]  One, to simply just conserve the crop genetic diversity of these many different crops.
[02:44.860 --> 02:55.860]  And then secondly, we're a working germplasm repository, so we make these materials available to many different stakeholders.
[02:55.860 --> 03:02.860]  So NPGS stakeholders are typically plant breeders, people doing basic science research, educators.
[03:03.860 --> 03:15.860]  And they use these materials to map important genetic traits or breed locally or climate change adapted lines.
[03:15.860 --> 03:27.860]  So all of these factors are very much true for hemp, which is really, this is the dawn of domestic hemp research.
[03:27.860 --> 03:41.860]  So having a vast collection of diverse hemp germplasm is going to be really fundamental in laying the foundation for powerful research in the decades to come.
[03:41.860 --> 03:47.860]  So hemp is a crop that has been known since ancient history.
[03:47.860 --> 03:52.860]  Nomadic tribes people in Central Asia used it extensively.
[03:53.860 --> 04:06.180]  There's strong evidence to believe that it was distributed along the Silk Road to East Asia, to Europe, to really many different areas.
[04:06.180 --> 04:09.180]  Valued as a fiber crop, oil seed, as a medicinal crop.
[04:09.180 --> 04:13.180]  The uses are almost hard to enumerate.
[04:15.180 --> 04:25.240]  So hemp has been an incredibly important crop in United States history.
[04:25.240 --> 04:32.240]  In fact, the $10 bill used to depict a scene of farmers harvesting hemp for fiber crops.
[04:32.240 --> 04:39.240]  So the USDA did maintain a hemp germplasm collection that included nearly 300 sessions.
[04:39.240 --> 04:41.240]  That collection was lost.
[04:41.240 --> 04:45.240]  And so this work is picking up on that effort.
[04:46.240 --> 04:55.240]  Unfortunately, we won't be able to recover many of those materials, but there's a lot of genetic diversity that exists in the world.
[04:55.240 --> 05:02.240]  It very much remains to be seen what the role of hemp will be in domestic and global production.
[05:02.240 --> 05:13.240]  But it's also extremely exciting to imagine the scope of possibilities that hemp materials could be able to address.
[05:13.240 --> 05:16.240]  So hemp is a very multi-purpose crop.
[05:16.240 --> 05:20.240]  It's used for fiber, grain, oil.
[05:20.240 --> 05:29.240]  It produces highly diverse secondary plant metabolites that we're only just beginning to understand the scale and scope of.
[05:29.240 --> 05:37.240]  That could be critical for medicinal uses or other phytochemical applications.
[05:37.240 --> 05:41.240]  The techniques that we're using on our basic research side.
[05:41.240 --> 05:47.240]  So NPGS and Plant Genetics Resource Unit is first and foremost a service organization.
[05:47.240 --> 05:54.240]  Like I said, we exist to conserve these materials and then provide them to the public.
[05:54.240 --> 05:59.240]  So in the meantime, we do in fact do some basic research.
[05:59.240 --> 06:06.240]  Although that typically comes secondary to that mission that I spoke of.
[06:06.240 --> 06:11.240]  So in terms of hemp, we're really trying to catch up on lost time.
[06:11.240 --> 06:17.240]  This is a project that should have been in place for 70 years.
[06:17.240 --> 06:30.240]  So I'm trying to very rapidly bring this germplasm collection up to speed with, for example, the tomato collection or the apple collection, which we also keep here.
[06:31.240 --> 06:42.240]  So what that looks like is initially I'm trying to understand the genetic and geographical diversity of the broader pool of hemp germplasm.
[06:42.240 --> 06:45.240]  We have a lot of pieces of information.
[06:45.240 --> 06:56.240]  I've done a lot of work trying to assemble them together, build a database of literature, online resources, interviews with hemp breeders in other countries.
[06:57.240 --> 07:05.240]  Assemble that all together to help me gain a more comprehensive picture of the broader pool of hemp germplasm.
[07:05.240 --> 07:15.240]  Secondly, I formed a number of really vital collaborations to assist in this project.
[07:16.240 --> 07:38.240]  So my role will be primarily to collect, increase, characterize, and distribute these materials, which will be made available on the Grin Global portal online, which is an online database that allows users to query germplasm and make requests.
[07:38.240 --> 07:45.240]  This tool also allows us to collect and aggregate large amounts of phenotypic or trait data.
[07:45.240 --> 08:00.240]  So these collaborations that I formed will leverage capabilities in other areas to collect and screen these materials that we'll be collecting and distributing.
[08:00.240 --> 08:07.240]  So for example, I've been working closely with a lab that characterizes cotton and flax fiber.
[08:07.240 --> 08:13.240]  I can send them materials from our work. They can characterize it for fiber traits.
[08:13.240 --> 08:20.240]  I will take that data and add it to the Grin Global database to make it publicly available.
[08:20.240 --> 08:42.240]  I formed additional collaborations with analytical labs that will be characterizing secondary plant metabolites, as well as working with some groups where we plan to screen these materials for morphological and plant architectural diversity.
[08:42.240 --> 08:55.240]  So the goal is to not only assemble a diverse collection of hemp genetics, but a robust, high-dimensional set of phenotypic data that will accompany those materials.
[08:55.240 --> 09:00.240]  This is a brand new program, so we don't have a lot of historical context.
[09:00.240 --> 09:15.240]  A lot of this work was made possible by provisions in the 2014 and 2018 Farm Bill and some subsequent legislation that really laid the groundwork for this type of project to even exist.
[09:15.240 --> 09:32.240]  For me, I feel like I'm breaking new ground every day. There's so much to learn. There's so many questions to resolve. Navigating a complex legal topography has been challenging.
[09:32.240 --> 09:43.240]  So for me, I feel like I'm on many steep learning curves at once, but that's also exciting and where I love to be.
[09:43.240 --> 09:50.240]  This work has provided me an opportunity to ask many basic fundamental questions about hemp.
[09:50.240 --> 09:56.240]  Scaling expertise from other areas, experts who evaluate fiber quality and flax.
[09:56.240 --> 10:01.240]  Flax is a crop that requires retting similar to hemp.
[10:01.240 --> 10:09.240]  So what does the literature say about this? What are techniques applied to flax that may be applicable to hemp?
[10:09.240 --> 10:11.240]  Those types of questions.
[10:11.240 --> 10:19.240]  Hops is genetically relatively a close relative to cannabis.
[10:19.240 --> 10:33.240]  So is there knowledge from pathology work done by hop breeders or hop pathologists that can be applied to screening cannabis germplasm for disease resistance?
[10:34.240 --> 10:47.240]  Another accomplishment that I'm pretty proud of is I've been working with as many people as I can bring in together to develop a hemp phenotypic descriptor manual.
[10:47.240 --> 10:58.240]  So this will ultimately be a comprehensive and complete resource to allow the hemp community to compare apples to apples.
[10:58.240 --> 11:07.240]  How do you measure plant height? What is the best sampling technique for cannabinoids?
[11:07.240 --> 11:14.240]  What is the best way to assay fiber quality? Those sorts of things.
[11:14.240 --> 11:28.240]  Putting them all together into one combined PDF that will allow breeders and researchers to simply compare phenotypic traits across genetically and geographically diverse germplasm.
[11:28.240 --> 11:31.240]  I think would be a great value to the hemp community.
[11:31.240 --> 11:45.240]  I've been really excited to speak to the real experts, get their thoughts, get their opinions, pull information out of papers, compare them side by side and assemble this hemp descriptors manual.
