[00:00.000 --> 00:01.000]  How you doing?
[00:01.000 --> 00:02.000]  I'm doing great.
[00:02.000 --> 00:03.000]  Just waiting on the new baby.
[00:03.000 --> 00:04.000]  Awesome.
[00:04.000 --> 00:05.000]  Okay, cool.
[00:05.000 --> 00:06.000]  Right on.
[00:06.000 --> 00:10.000]  Yeah, a couple of days maybe I'll have a new son popping up.
[00:10.000 --> 00:11.000]  Nice.
[00:11.000 --> 00:12.000]  That's awesome.
[00:12.000 --> 00:13.000]  Home birth or what?
[00:13.000 --> 00:18.000]  No, we're going to go to the hospital.
[00:18.000 --> 00:19.000]  Okay.
[00:19.000 --> 00:25.640]  We have local consultants and stuff we work with, but the hospital to me is a good spot
[00:25.640 --> 00:27.000]  in case anything happens.
[00:27.000 --> 00:28.880]  No, it is.
[00:28.880 --> 00:33.720]  It's just with all these new fucking rules and stuff, it's a little bit more challenging
[00:33.720 --> 00:37.040]  to like hang out and stuff sometimes from what I've heard.
[00:37.040 --> 00:43.720]  Yeah, what they do at like the clinic locally is they segregate the maternity section so
[00:43.720 --> 00:48.120]  that only maternity enters in and it's cleaner than a hospital.
[00:48.120 --> 00:49.120]  You know what I mean?
[00:49.120 --> 00:50.120]  Like sterile stuff.
[00:50.120 --> 00:51.120]  Right.
[00:51.120 --> 00:54.000]  And then the same thing will happen with when we go with the birth where she and I'll go
[00:54.000 --> 00:59.240]  in, they'll screen me first to make sure I'm not contaminated.
[00:59.240 --> 01:04.440]  And then I basically sequestered at the hospital for the duration of the baby stay there.
[01:04.440 --> 01:06.120]  You can't leave and come back.
[01:06.120 --> 01:07.120]  So I got my own little bag.
[01:07.120 --> 01:09.120]  I got some books packed.
[01:09.120 --> 01:10.640]  Oh, nice.
[01:10.640 --> 01:11.640]  That's good.
[01:11.640 --> 01:12.640]  I didn't know you could do that.
[01:12.640 --> 01:15.880]  I've heard other things where the dad can stay a little bit and then they got to bounce
[01:15.880 --> 01:16.880]  or whatever.
[01:16.880 --> 01:17.880]  That's killer.
[01:17.880 --> 01:18.880]  You get to stay.
[01:18.880 --> 01:19.880]  Yeah.
[01:19.880 --> 01:20.880]  I think they even give me a bed to sleep in.
[01:21.120 --> 01:24.120]  So I brought some gear.
[01:24.120 --> 01:25.120]  Just no smoke.
[01:25.120 --> 01:26.120]  I don't think they're going to let me blink.
[01:26.120 --> 01:33.120]  I'll be like, hey, I brought my essential stuff.
[01:33.120 --> 01:37.120]  Yeah, this shit's deemed essential, man.
[01:37.120 --> 01:38.960]  It's a miracle.
[01:38.960 --> 01:39.960]  Some edibles.
[01:39.960 --> 01:40.960]  Can make some edibles.
[01:40.960 --> 01:41.960]  All right.
[01:41.960 --> 01:42.960]  Well, why don't we kick it off?
[01:42.960 --> 01:49.300]  So for everybody who's watching, let me just quickly cut to that screen.
[01:49.300 --> 01:50.680]  That's what we're talking about.
[01:51.480 --> 01:53.920]  That's who we're talking with.
[01:53.920 --> 01:58.120]  Scott's going to be coming back after he gets his laptop charger.
[01:58.120 --> 02:00.120]  So we could go anywhere.
[02:00.120 --> 02:05.240]  I mean, we can start in a direction, but I'm hoping that people who are watching will start
[02:05.240 --> 02:08.120]  lobbying questions in.
[02:08.120 --> 02:12.640]  You guys all have domain expertise across cultivation.
[02:12.640 --> 02:16.840]  And I mean, I loosely titled it something related to greenhouses.
[02:16.840 --> 02:20.120]  But I mean, Scott thinks about soil all day.
[02:20.560 --> 02:21.560]  Kevin thinks cultivation.
[02:21.560 --> 02:23.640]  And Eric thinks greenhouses as a generality.
[02:23.640 --> 02:27.080]  So why don't we start?
[02:27.080 --> 02:34.720]  I mean, Eric, talk about one of the things we talked about briefly the other day, which
[02:34.720 --> 02:40.880]  going from some of the smaller greenhouses you've been consulting with to kind of you're
[02:40.880 --> 02:46.400]  now doing a project down in Salinas, which is a much larger project.
[02:46.400 --> 02:52.000]  Can you talk about kind of some of the nuanced differences of scaling up?
[02:54.320 --> 02:55.560]  Yeah, sure.
[02:56.040 --> 02:58.240]  Yeah, it's an interesting project for sure.
[02:58.240 --> 03:02.720]  I mean, I've been involved in dealing with a lot of these bigger greenhouses when I was
[03:02.720 --> 03:06.040]  doing procurement and doing the designing and equipment.
[03:06.040 --> 03:12.000]  But now we've come to a whole new level where I'm involved in the production side of
[03:12.000 --> 03:14.440]  things, the actual operations of the greenhouse.
[03:14.440 --> 03:17.280]  And there's just a lot of moving parts.
[03:17.280 --> 03:23.000]  I was really surprised to see or I'm fascinated by how many moving parts there really are
[03:23.000 --> 03:24.480]  with these big greenhouses.
[03:24.480 --> 03:29.240]  And on the corporate side of things, whether it's a single investor or a big corporate
[03:29.240 --> 03:33.640]  group or whatever, this corporate stuff is really, really slow.
[03:34.000 --> 03:37.200]  There's nothing that's fast about corporate cannabis.
[03:37.440 --> 03:40.520]  You know, like on the smaller scale, we want something done.
[03:40.520 --> 03:41.960]  We get it done that day or the week.
[03:45.440 --> 03:50.120]  Well, Kevin, I think we're picking up someone in the background of your is that.
[03:51.760 --> 03:53.560]  Anybody, I don't think so.
[03:53.760 --> 04:02.240]  There's a lot of things that we talk about in order to, you know, get stuff done, basically.
[04:07.110 --> 04:14.670]  Got it. So, I mean, I think and by the way, like you can jump in.
[04:14.670 --> 04:20.270]  I mean, I'm sort of lobbying questions and as like, yeah, an incultivator, but like,
[04:20.470 --> 04:23.990]  we'll kind of go around like, what would you want to pick Eric's brain about, about
[04:23.990 --> 04:26.230]  what he's working on and what he's seeing out there?
[04:26.230 --> 04:28.750]  And then we'll kind of rotate over to you and over to Scott.
[04:28.750 --> 04:36.190]  So. Well, I think that, you know, I mean, Eric's somebody that like when I purchased
[04:36.190 --> 04:41.870]  the greenhouse and it's no disrespect to the company, but I actually purchased the
[04:41.870 --> 04:46.990]  house because I was purchasing Eric as part of the company, because what I wanted was
[04:46.990 --> 04:52.350]  I wanted troubleshooting support and I wanted someone who was conscientious about
[04:52.350 --> 04:58.710]  trying to cut costs and keep profitability high and not make tremendous problems for
[04:58.710 --> 05:04.110]  the operator. And I think that that's the component that's taken place when you make
[05:04.110 --> 05:08.910]  these transitions from small to big is that you're I always used to say the same
