[00:06.840 --> 00:08.840]  We live?
[00:08.840 --> 00:10.840]  Alright!
[00:10.840 --> 00:12.840]  Are we live?
[00:12.840 --> 00:14.840]  I believe we are.
[00:14.840 --> 00:16.840]  So let's get it.
[00:16.840 --> 00:18.840]  Alright.
[00:18.840 --> 00:20.840]  Mojo Rosen.
[00:20.840 --> 00:22.840]  It's ready to go.
[00:22.840 --> 00:24.840]  Oh wait.
[00:24.840 --> 00:26.840]  Sorry, wait. They said not yet. Hold on.
[00:26.840 --> 00:32.840]  Let me check on YouTube.
[00:32.840 --> 00:36.840]  Shows me that we're live.
[00:36.840 --> 00:38.840]  Yes.
[00:38.840 --> 00:40.840]  Oh yeah, we are live.
[00:40.840 --> 00:42.840]  What are you all talking about?
[00:42.840 --> 00:44.840]  Are we live?
[00:44.840 --> 00:46.840]  We are live.
[00:46.840 --> 00:48.840]  Excellent.
[00:48.840 --> 00:50.840]  Alright, welcome everybody to my shack.
[00:50.840 --> 00:56.840]  This is my little spot where the magic happens.
[00:56.840 --> 00:58.840]  I had a little panic attack earlier.
[00:58.840 --> 01:00.840]  I was freaking out a little bit because I ran out of duct tape.
[01:00.840 --> 01:02.840]  I had to fix some shit that I had to get done in here.
[01:02.840 --> 01:04.840]  But we got it done somehow.
[01:04.840 --> 01:06.840]  A couple pieces are missing, but we'll get it done.
[01:06.840 --> 01:10.840]  Anyways, I think today we're going to be washing.
[01:10.840 --> 01:14.840]  It was a tough choice, but we're going to be washing monkey berries.
[01:14.840 --> 01:18.840]  Why? Because it's just a wonderful plant.
[01:18.840 --> 01:22.840]  Full of trikes.
[01:22.840 --> 01:24.840]  And I just can't wait to dip in there and start doing the washing.
[01:24.840 --> 01:32.840]  We're going to be doing all of our washing with the straight bore and 55 gallon drums.
[01:32.840 --> 01:34.840]  And we're going to be doing two washes.
[01:34.840 --> 01:36.840]  The first and second wash by hand.
[01:36.840 --> 01:40.840]  And the third wash we're going to be doing with this funky motor that I put together.
[01:40.840 --> 01:44.840]  Some people that have been following have seen what this little gadget is.
[01:44.840 --> 01:48.840]  And you're going to get to see it working hopefully today.
[01:48.840 --> 01:50.840]  We started a little late, so I'm going to try to get it done as soon as possible.
[01:50.840 --> 01:52.840]  So let's get started.
[01:52.840 --> 01:54.840]  Can you be clear in the face and give me two packs of ice?
[01:54.840 --> 01:56.840]  The big ones, please.
[01:56.840 --> 01:58.840]  All right, so check it out.
[01:58.840 --> 02:02.840]  My assistant here, my wife Leah and Sunda from Smokeash.dope.
[02:02.840 --> 02:06.840]  Smokeash.dope is my assistant today.
[02:06.840 --> 02:08.840]  He's learning from us.
[02:08.840 --> 02:10.840]  He's like your apprentice, right?
[02:10.840 --> 02:12.840]  Can we call him?
[02:12.840 --> 02:14.840]  He's like your apprentice.
[02:14.840 --> 02:16.840]  He's my friend, but my apprentice as well.
[02:16.840 --> 02:18.840]  Excellent.
[02:18.840 --> 02:20.840]  What's his Instagram?
[02:20.840 --> 02:22.840]  Smokeash.not.dope.
[02:22.840 --> 02:24.840]  Just like it sounds.
[02:24.840 --> 02:26.840]  And I wanted to show you this fresh frozen material.
[02:26.840 --> 02:28.840]  Oh, I'm dropping a couple of buds.
[02:28.840 --> 02:30.840]  That's it.
[02:30.840 --> 02:32.840]  That's it.
[02:32.840 --> 02:34.840]  That's it.
[02:34.840 --> 02:36.840]  That's it.
[02:36.840 --> 02:38.840]  That's it.
[02:38.840 --> 02:40.840]  That's it.
[02:40.840 --> 02:42.840]  That's it.
[02:42.840 --> 02:44.840]  That's it.
[02:44.840 --> 02:46.840]  Smokeash.not.dope.
[02:46.840 --> 02:48.840]  Smokeash.not.dope.
[02:48.840 --> 02:50.840]  Smokeash.not.dope.
[02:50.840 --> 02:52.840]  N-O-T-E-O-T.
[02:52.840 --> 02:54.840]  Oh, got it, got it, got it.
[02:54.840 --> 02:56.840]  I thought you said dot.
[02:56.840 --> 02:58.840]  All right, everybody ignore that one.
[02:58.840 --> 03:00.840]  I got caught now, man.
[03:00.840 --> 03:02.840]  Sorry.
[03:02.840 --> 03:04.840]  We've been smoking bows before this whole thing started.
[03:04.840 --> 03:06.840]  How's that?
[03:06.840 --> 03:08.840]  There it is.
[03:08.840 --> 03:10.840]  That's my wife Leah.
[03:10.840 --> 03:12.840]  I'm supposed to be on social media, but there's just a bunch of bricks out there.
[03:12.840 --> 03:14.840]  You know what I mean?
[03:14.840 --> 03:16.840]  So there you go.
[03:16.840 --> 03:18.840]  This is what we're going to be washing.
[03:18.840 --> 03:20.840]  And we're going to be putting this in the drum.
[03:20.840 --> 03:22.840]  I don't know if you can see the drum from over there, but it's going in there.
[03:22.840 --> 03:24.840]  And here you go.
[03:24.840 --> 03:31.190]  I would say it was like four pounds of material.
[03:31.190 --> 03:33.190]  Probably a curious material.
[03:33.190 --> 03:35.190]  But we did it.
[03:35.190 --> 03:37.190]  We fresh-frozen it.
[03:37.190 --> 03:39.190]  It's a lot of work.
[03:39.190 --> 03:41.190]  It's a lot of work.
[03:41.190 --> 03:43.190]  It's a lot of work.
[03:43.190 --> 03:45.190]  We did it.
[03:45.190 --> 03:47.190]  We fresh-frozen that 70-pound batch.
[03:49.190 --> 03:55.190]  I've always been an open-wash kind of type of guy.
[03:55.190 --> 03:57.190]  I know a lot of people like to use their washing machines.
[03:57.190 --> 03:59.190]  Like I said, I'm not a professional.
[03:59.190 --> 04:05.190]  I'm just an amateur dude that's just making hags to self-medicate.
[04:05.190 --> 04:09.190]  So I'm sure there's 200 billion better ways to do it than me.
[04:09.190 --> 04:11.190]  And I'm learning myself.
[04:11.190 --> 04:17.190]  So if there's any suggestions that I can learn from the pros out there, please bless me.
[04:17.190 --> 04:19.190]  I'm on a budget, though.
[04:19.190 --> 04:21.190]  Keep that in mind, right?
[04:21.190 --> 04:23.190]  So here we go.
[04:29.190 --> 04:31.190]  Basically, we just put a little material in there.
[04:31.190 --> 04:33.190]  Let me get some gloves.
[04:33.190 --> 04:35.190]  And so these are 35 gallons, or what are these?
[04:35.190 --> 04:37.190]  These are 55-gallon drums that they were soy sauce.
[04:37.190 --> 04:42.380]  They were soy sauce 55-gallon drums that bought them on Craigslist for $8.
[04:42.380 --> 04:44.380]  I haggled the guy for five because I bought so many.
[04:44.380 --> 04:49.700]  So he let them go for five.
[04:49.700 --> 04:51.700]  I got a whole bunch of them.
[04:51.700 --> 04:53.700]  I cleaned them up real good, sanitized them, the whole nine yards.
[04:53.700 --> 04:55.700]  I bought them at the store.
[04:55.700 --> 04:57.700]  I got them at the store.
[04:57.700 --> 04:59.700]  I got them at the store.
[04:59.700 --> 05:01.700]  I got them at the store.
[05:01.700 --> 05:03.700]  I got them at the store.
[05:03.700 --> 05:05.700]  I got them at the store.
[05:05.700 --> 05:07.700]  I got them at the store.
[05:07.700 --> 05:09.700]  Let me just clean these guys real quick.
[05:09.700 --> 05:11.700]  These are 45 gallons, letting the water out of these guys.
[05:11.700 --> 05:13.700]  We want to see how clean these are.
[05:13.700 --> 05:15.700]  These guys dry out quick.
[05:15.700 --> 05:17.700]  These guys dry out quick.
[05:17.700 --> 05:19.700]  So we want to put a certain amount of water in the oven,
[05:19.700 --> 05:21.700]  some normale ground water,
[05:21.700 --> 05:23.700]  allow the animals to dry out,
[05:23.700 --> 05:25.700]  the tomatoes to dry out,
[05:25.700 --> 05:27.700]  the ours to dry out,
[05:27.700 --> 05:29.700]  the brothers to dry out,
[05:29.700 --> 05:31.700]  a certain amount of funky stuff,
[05:31.700 --> 05:33.700]  so that they can give you a better early snack.
[05:33.700 --> 05:35.700]  So financially, we're not paying them to dry out,
[05:35.700 --> 05:42.700]  We're going to make a cooler out of this. It's 63 degrees in here. I got two air conditioners.
[05:42.700 --> 05:48.700]  And what we did here, we basically punched two holes, four inches, into this freezer.
[05:48.700 --> 05:59.700]  And we went ahead and put two 5 gallon Home Depot buckets in there, frozen and full of water.
[05:59.700 --> 06:10.700]  We have a straight inline fan. We're going to plug it right in.
[06:10.700 --> 06:18.700]  And this is going to chill the sh** out of this room here in about 20 minutes.
[06:18.700 --> 06:22.700]  You guys want to touch this? Ah, yeah.
[06:22.700 --> 06:31.700]  So this is a little ingenuity. I don't know if this was a free freezer. I'm not saying that you go out there and spend $300 and put a hole in your freezer.
[06:31.700 --> 06:38.700]  If you got an extra one somewhere that you can use, and you got the tools to do it safely, just do it. You know what I mean? Trust me, it'll work.
[06:38.700 --> 06:43.700]  The temperature's going to drop down. Here, watch. It's 63 degrees. We'll see if it works or if it doesn't.
[06:43.700 --> 06:47.700]  If it don't, then I got something.
[06:48.700 --> 06:58.700]  So let's get started. In this drum, I have a bunch of water that I've pre-chilled. It's been sitting in water for a while.
[06:58.700 --> 07:07.440]  I tagged it last time. It was like 40 something degrees.
[07:07.440 --> 07:17.490]  So I'm going to add all this water. Not all of it, but most of it.
[07:17.490 --> 07:26.020]  And this is tap water that you ran through your charcoal filter?
[07:26.020 --> 07:32.020]  I'm glad you brought that up, Pete, because I was just going to say that. Yes, I ran it through my charcoal filter.
[07:32.020 --> 07:41.020]  I ran it through. Although I did clean these jugs, these big 55-gallon drums. I let them sit outside to dry for maybe four hours sitting.
[07:41.020 --> 07:50.020]  And just in that moment that they sat outside and collected dust, I brought the drums back inside, and I rinsed them back up.
[07:50.020 --> 07:57.020]  And I ran that water through a number 73 bubble bag. Just circulated the water in each one of these drums.
[07:57.020 --> 08:06.020]  And it's fairly clear. I don't know where it came from.
[08:06.020 --> 08:13.020]  The drum is basically what happened. I don't know if it's from the air. I don't know exactly where it came from.
[08:14.020 --> 08:25.020]  But there was still in this water. I pumped it through the filter, and I put a 73U at the end of the hose.
[08:25.020 --> 08:34.020]  So maybe it could be something that I missed. I wasn't using a good eye or whatever reason, but here we go.
[08:49.540 --> 08:53.540]  So let's run around a little more.
[08:55.540 --> 09:02.540]  And are you making ice at home in quantity, or are you just buying it from the store?
[09:02.540 --> 09:15.760]  No, sir. I am not, because I just want to get nice purified water. You know what I mean?
[09:15.760 --> 09:20.760]  I want to make sure that my ice is as clean as possible, and I know the ice bag is as clean as possible.
[09:20.760 --> 09:26.760]  So I just don't want to have any contamination when it comes to my hash. I want to try to go as clean as possible.
[09:26.760 --> 09:33.760]  So I'd rather just spend the extra $60-70 on ice to get me some good stuff.
[09:36.760 --> 09:43.760]  And again, this is a do-it-yourself episode, man. I don't have all the big washers, not all the good stuff.
[09:43.760 --> 09:46.760]  Just throw it in the open and I'll throw it in the dishwasher.
[09:48.760 --> 09:52.760]  Sorry, Dirty asked what size bags.
[09:55.220 --> 09:58.220]  These are 20-gallon bags, Craig.
[10:00.220 --> 10:11.220]  These are 20-gallon bags from BC Bubble Map.
[10:11.220 --> 10:16.220]  I wouldn't buy any other bags. Actually, I didn't have the need to buy any other bags.
[10:16.220 --> 10:19.220]  Ever since I bought the first set, they've been great.
[10:20.220 --> 10:29.220]  The first set I got were 5 gallons. I upgraded to the 20 gallons about 6 years ago, and it was great.
[10:30.220 --> 10:40.220]  What I did forget to get, in my closet, in my special place, underneath my shoebox, where I have all my birth certificates and the most valuable stuff in me,
[10:40.220 --> 10:45.220]  right there, right underneath those bags that I make, can you please give me two of those bags?
[10:45.220 --> 10:50.220]  Every Mexican keeps the most valuable stuff in the shoebox. Has anybody noticed that?
[10:50.220 --> 11:02.220]  I have my kids' teeth when I was a kid. It's funny. My mom was like, here we go, here's your teeth. I'm like, all right, mom, cool.
[11:02.220 --> 11:09.220]  I got my teeth, I got my hair, I got my umbilical cord, I got everything in the shoebox, man.
[11:12.220 --> 11:13.220]  Your foreskin.
[11:14.220 --> 11:15.220]  Your foreskin.
[11:17.220 --> 11:18.220]  Right?
[11:19.220 --> 11:30.220]  Anyways, this is the tool of choice. An oar. Straight out, clean. I've only used it for a washing hatch. That's duct tape.
[11:31.220 --> 11:33.220]  I'm just going to go ahead and put the timer.
[11:33.220 --> 11:48.620]  We're going to wash this about five minutes. We're just giving it some time right now to kind of balance out. All this stuff was frozen to keep out of the freezer. You good?
[11:48.620 --> 11:49.620]  All right.
[11:52.620 --> 12:01.540]  Look at that camera work. This guy's a pro.
[12:01.540 --> 12:13.220]  Row, row, row your boat.
[12:13.220 --> 12:16.220]  Gently down the stream.
[12:18.220 --> 12:21.220]  Merrily, merrily, merrily.
[12:22.220 --> 12:24.220]  La, la, la, la, la.
[12:25.220 --> 12:32.090]  So that's probably the hardest thing. I'm going to go on this butt for now.
[12:33.090 --> 12:35.090]  I'm going to take it easy on it now.
[12:42.160 --> 12:46.160]  Now, keep in mind that water is cold as hell.
[12:49.160 --> 12:53.160]  Chilling with water for a long time.
[13:04.050 --> 13:06.050]  I'm getting a little violent there.
[13:13.380 --> 13:14.380]  You still there, Peter?
[13:15.380 --> 13:16.380]  I sure am.
[13:18.380 --> 13:19.380]  All right.
[13:25.480 --> 13:27.480]  People want more singing.
[13:29.480 --> 13:30.480]  What was that?
[13:31.480 --> 13:33.480]  I said people want more singing.
[13:34.480 --> 13:36.480]  Life's about to change.
[13:41.010 --> 13:48.010]  You know, Peter, in my 40-whatever years of age, I kind of forgot after 40, how old I was.
[13:49.010 --> 13:53.010]  I learned that life is too short not to have fun, bro.
[13:54.010 --> 13:55.010]  I try to have fun.
[13:58.010 --> 14:02.010]  You'd be amazed at the stuff that I laugh at sometimes.
[14:03.010 --> 14:09.010]  I agree. Just quickly, Fair Dinkum Australian Weed asked, is that butter or trim?
[14:09.010 --> 14:11.010]  You're throwing everything in there, right?
[14:12.010 --> 14:19.010]  Maybe saving a couple nugs for flour, but most of everything goes in the wash, right?
[14:20.010 --> 14:21.010]  Absolutely.
[14:21.010 --> 14:23.010]  I keep, I've got a little OCD.
[14:23.010 --> 14:24.010]  I keep three of everything.
[14:24.010 --> 14:27.010]  So, I keep three of the three tops, the best ones on top of the plant.
[14:28.010 --> 14:29.010]  You want me to say that three times?
[14:29.010 --> 14:30.010]  Because I will.
[14:31.010 --> 14:37.010]  Anyways, I keep the three biggest tops of the plant and the rest of it goes into the wash.
[14:38.010 --> 14:39.010]  Absolutely.
[14:39.010 --> 14:42.010]  We try to trim most of the leaves, the big fat leaves off.
[14:43.010 --> 14:45.010]  We try to get most of that stuff off.
[14:46.010 --> 14:51.010]  And we try to get as much of the bud off the stem as possible.
[14:51.010 --> 14:54.010]  Try to get all the nodes off the stem as possible.
