[00:00.000 --> 00:00.840]  Exactly.
[00:02.260 --> 00:03.100]  All right.
[00:03.100 --> 00:04.200]  And we are live.
[00:04.200 --> 00:06.600]  Happy 420 everyone.
[00:06.600 --> 00:08.520]  Happy 420.
[00:08.520 --> 00:12.160]  I guess it's almost like you have to do something on 420.
[00:12.160 --> 00:14.160]  So here we are today.
[00:14.160 --> 00:19.000]  We're talking with a man who has a passion for haze.
[00:19.000 --> 00:20.660]  Would that be an accurate statement?
[00:20.660 --> 00:21.920]  Yes, it would.
[00:21.920 --> 00:22.760]  Yes, it would.
[00:22.760 --> 00:23.600]  Yes.
[00:23.600 --> 00:24.960]  I love that stuff.
[00:24.960 --> 00:26.560]  And it goes way back with me.
[00:26.560 --> 00:28.920]  I was smoking it before I knew it was haze.
[00:28.920 --> 00:30.720]  It was called old man weed
[00:30.720 --> 00:33.680]  when we were getting it a long time ago.
[00:33.680 --> 00:36.080]  It was later on I found out that it was actually haze
[00:36.080 --> 00:36.920]  and all of this.
[00:36.920 --> 00:38.600]  So yeah.
[00:38.600 --> 00:39.440]  The old man weed.
[00:39.440 --> 00:41.040]  I'm a big fan of the old man weed.
[00:41.040 --> 00:45.680]  There's, you know what, I'm embracing old man-ness
[00:45.680 --> 00:48.240]  and all its forms.
[00:48.240 --> 00:49.080]  So.
[00:49.080 --> 00:49.900]  Yeah.
[00:49.900 --> 00:52.360]  Well, it's stuff that you can accomplish things on.
[00:52.360 --> 00:54.600]  You know, it doesn't ruin your day.
[00:54.600 --> 00:57.880]  It's not that you smoke a joint and that's it, you're done.
[00:58.480 --> 01:02.440]  You can accomplish goals.
[01:02.440 --> 01:04.760]  So I've noticed that a lot of the breeders,
[01:04.760 --> 01:07.360]  they talk about their favorite stuff as sativas too.
[01:07.360 --> 01:10.000]  And I think it's probably for that same reason
[01:10.000 --> 01:12.420]  because you can still think.
[01:14.280 --> 01:15.120]  All right.
[01:15.120 --> 01:16.440]  So.
[01:16.440 --> 01:18.560]  So let's go way back.
[01:18.560 --> 01:21.880]  I mean, you want to kind of introduce yourself
[01:21.880 --> 01:24.800]  and talk about, remember,
[01:24.800 --> 01:27.280]  however much geography you want to.
[01:28.120 --> 01:28.960]  Give away.
[01:29.880 --> 01:32.120]  And then kind of like when you started smoking
[01:32.120 --> 01:34.440]  and, you know, obviously the old man weed
[01:34.440 --> 01:37.320]  is what you were smoking in the early days.
[01:38.480 --> 01:39.320]  Yeah.
[01:39.320 --> 01:40.160]  Okay.
[01:40.160 --> 01:42.120]  Well, it's like most people start smoking in high school,
[01:42.120 --> 01:45.160]  you know, and then you get what you can back then.
[01:45.160 --> 01:47.800]  And you find out that there's good weed around,
[01:47.800 --> 01:49.760]  but you don't have access to it.
[01:49.760 --> 01:52.600]  So it kind of makes you want it even more and all of that.
[01:52.600 --> 01:55.260]  So that's when you want to start growing
[01:55.260 --> 01:58.020]  and finding your own people that know
[01:58.020 --> 02:00.380]  where the good stuff is and can get it occasionally.
[02:00.380 --> 02:05.380]  So, and I don't know, it's that old man weed,
[02:05.940 --> 02:08.300]  that's all it was ever called.
[02:08.300 --> 02:09.460]  This is the old man weed.
[02:09.460 --> 02:12.900]  And it was pretty consistent every time it came around.
[02:12.900 --> 02:14.700]  And it wasn't until later on,
[02:14.700 --> 02:17.820]  it was the name came from my friend.
[02:17.820 --> 02:20.820]  It was, he got it from his dad, his old man.
[02:20.820 --> 02:24.420]  So that's how that name started.
[02:24.420 --> 02:27.740]  But later on, I found out that it was NL Hayes
[02:27.740 --> 02:29.260]  or Hayes NL, which one,
[02:29.260 --> 02:34.260]  I don't know if it was the NL5 Hayes or the NL1 Hayes,
[02:34.820 --> 02:37.220]  but that's what it supposedly was.
[02:37.220 --> 02:39.100]  And, you know, later on you find out,
[02:39.100 --> 02:41.780]  smoke other stuff that has more credentials to it.
[02:41.780 --> 02:44.020]  And yeah, that seems about right.
[02:44.020 --> 02:47.300]  So I started off on that and like Mexican brick weed
[02:47.300 --> 02:49.020]  and Beesters and that bullshit.
[02:49.020 --> 02:52.820]  And so, and like I said, that just gives you a drive
[02:52.860 --> 02:55.300]  that you want the good stuff around all the time.
[02:55.300 --> 02:57.100]  So, and you eventually find out
[02:57.100 --> 02:58.760]  you got to do that on your own.
[03:01.700 --> 03:06.020]  So that's where my love for the Hayes started.
[03:06.020 --> 03:09.340]  And this is all happening, let's just say in the Midwest,
[03:09.340 --> 03:12.180]  the Ohio Valley area of the country.
[03:12.180 --> 03:15.540]  And, you know, it's not really on the weed map,
[03:15.540 --> 03:18.140]  but there's a lot of good stuff around.
[03:18.140 --> 03:19.780]  It's Ohio in particular,
[03:19.780 --> 03:21.780]  because of all the colleges there and everything.
[03:21.780 --> 03:25.480]  There's like some stuff that,
[03:27.220 --> 03:28.840]  it has a name in certain places.
[03:28.840 --> 03:31.960]  Like I've seen dumpster mentioned on here several times
[03:31.960 --> 03:33.460]  and that's an Ohio thing.
[03:33.460 --> 03:35.340]  And there's several of them.
[03:35.340 --> 03:40.340]  And so there's Ohio, Tennessee, Kentucky, Virginia.
[03:42.000 --> 03:43.860]  Yeah, there's a lot of good weed
