[00:00.000 --> 00:08.060]  And let me.
[00:08.060 --> 00:18.060]  All right, we are live on YouTube. Welcome, everybody. We're going to be talking about a new tool law enforcement has in its arsenal.
[00:19.060 --> 00:37.060]  A civil tool to go against cultivators in this case specifically in Humboldt, that is abatements, which carries stiff penalties if you are out of compliance so we're going to talk with Ed Denson Nicole Norris and Robert, I'm going to hand it to you and you can kick us off.
[00:38.060 --> 00:46.060]  Hey, thanks Peter for inviting me on to moderate this program today. We'll be discussing an important topic to the Humboldt County community.
[00:46.060 --> 00:53.060]  The Humboldt County cannabis abatement program and its effects on the community since its inception.
[00:53.060 --> 01:12.060]  We're going to have two special guests today to join the conversation. We're going to be talking to esteemed local attorney Ed Denson and local reporter correspondent Nicole Norris who has extensively covered this subject here in Humboldt in local media.
[01:12.060 --> 01:28.060]  For those of our listeners and our viewers tuning in who may not be aware of the subject. The cannabis abatement program was the county's design strategy to try to eliminate the unregulated farms from the Royal rural land landscape would.
[01:28.060 --> 01:36.060]  So yeah, we're just waiting to hear from Ed, Ed and Nicole will be joining us briefly.
[01:37.060 --> 01:42.060]  Why don't you kind of give us the background of what of what's going on and what you've seen.
[01:42.060 --> 01:59.060]  Sure. So basically you know we rounded the corner on legalization in 2017. And at that time you know they they throw this number around that there was somewhere in the neighborhood of you know maybe 10 to 12,000 farms that existed in rural Humboldt County.
[02:00.060 --> 02:16.060]  And they basically had to design a strategy to eliminate a large number of these farms and prior to legalization law enforcement was using criminal penalties, which sometimes it worked sometimes it didn't.
[02:16.060 --> 02:26.060]  So when we rounded the corner on legalization, they came up with this new strategy where it was going to shift to civil penalties rather than criminal penalties.
[02:26.060 --> 02:49.060]  And in doing that, it hit the growers in their pocketbooks, rather than growers having to be hauled off to jail and serving long sentences, they were going to fine the growers anywhere from 10 to $30,000 a day for offenses such as maybe illegal road grading undersized culverts.
[02:50.060 --> 03:03.060]  And it could have even been associated with what we refer to as legacy issues legacy issues or issues that were on the property and existed before possibly the current property owner even own the property.
[03:04.060 --> 03:13.060]  And so you have this rural landscape in Humboldt County where you know the logging industry basically decimated a large portion of the landscape.
[03:13.060 --> 03:26.060]  And at that time, they weren't being as regulated or monitored. And so a lot of these things slip through that now the current owners, even if they've owned the properties for 30 or 40 years.
[03:26.060 --> 03:36.060]  Once all this stuff with legalization happened, all those issues associated with their properties came up as you know hot button issues.
[03:37.060 --> 03:53.060]  And so the county started this abatement program. They started a carpet bombing certain neighborhoods in the county with these letters threatening that people would be fined, like I said 10 you know to possibly $30,000 a day.
[03:53.060 --> 03:57.060]  And this really, you know, shook the community.
[03:58.060 --> 04:06.060]  And it's had you know unintended consequences. And, yeah.
[04:06.060 --> 04:14.060]  Yeah, so I'm trying to troubleshoot a ad logging in but it what what what.
[04:14.060 --> 04:29.060]  The most fascinating thing is that they're like we're not going to make as much money coming after someone for illegally growing 1000 plants, the stiffer penalty would be for finding that same person.
[04:29.060 --> 04:39.060]  You know, non compliant with, you know, having their greenhouse, you know, five feet too close to the neighbor's property.
[04:40.060 --> 04:56.060]  Correct. And the way they structured this is that these $10,000 a day fines could go on for 90 days. And so then after 90 days, you have a 900,000 bill with the county, and some people ended up walking away from their properties because it was just
[04:56.060 --> 05:04.060]  such steep fines and even if you hire a lawyer to try to resolve this situation. It's not a guarantee that it's going to be resolved.
[05:04.060 --> 05:20.060]  And what you had, and I was not paying attention because I was focused on Ed but what when you and I talked the other day we talked about like if a grape grower or what was your example like someone who does something else like, of course, they're fine.
[05:20.060 --> 05:42.060]  If you have a Napa County grape cultivation for wine without a permit, it's find it 1% of Humboldt County's cultivation fine, which is $100 a day. So it's, it's just ironic that Humboldt County set their, the fine at $10,000 a day, when for any other industry
[05:42.060 --> 05:48.060]  that exists in California, they're being fined it, you know, 1%.
[05:48.060 --> 05:53.060]  And Nicole just joined us. Welcome, Nicole.
[05:53.060 --> 05:57.060]  You're muted.
[05:57.060 --> 06:06.060]  Good morning. Thanks so much for having me sorry I'm running a little late. No worries. So you wrote a trilogy on this topic right on Kim count.
[06:06.060 --> 06:20.060]  Oh my goodness actually it's a four part series right now but there are so many aspects to it. I mean I'm certainly going to be continuing the series until hopefully the program stops.
[06:20.060 --> 06:22.060]  That's the goal.
[06:23.060 --> 06:38.060]  Do you want to kind of give us like the, if you gave us the the condensed cliff notes summary of articles one, two and three what what are kind of some of the key takeaways and findings of.
[06:39.060 --> 06:59.060]  Yeah, I mean it's a, it's a civil tool to punish people because it's more, I don't know if profitable would be the word or more a kick in the groin to farmers that then the criminal penalties and that's kind of the most surprising thing for me.
[07:00.060 --> 07:17.060]  You speak with most people in Humboldt County and they would prefer to have a raid happen on their property than to deal with an abatement. It's this program is is really criminalization, and the drug war in another fashion.
[07:18.060 --> 07:29.060]  People couldn't get through the permit process because it was so complex. The same department that was tasked with making the permit process is also tasked with enforcing people who haven't gone through it.
[07:30.060 --> 07:39.060]  So there's no incentive for them to really bring people into compliance. And you can see that in the numbers. I mean, they've collected.
[07:40.060 --> 07:54.060]  It's changed since I wrote that part three, but they've collected 16 million and property liens they've actually attached to properties 20 million has been approved in property liens in addition to that.
[07:55.060 --> 08:15.060]  And they've collected 4.7 million in, I mean cash from our community, and mostly in one district to district to that southern Humboldt, and that's the heart of the cannabis culture, really, which is what is such a loss about you know this, our whole community is really feeling the impacts.
[08:16.060 --> 08:20.060]  So, as you're showing here yeah this is part three.
[08:20.060 --> 08:23.060]  In this one, I go through all the figures.
[08:24.060 --> 08:49.060]  And the majority of the abatements, it's, it's about 36% went to smaller farms, I would say 6000 square feet or less. So, these people should have been, you know, given the welcome mat by the planning department they should have been given an easy path to compliance instead they got abated, while their neighbors who typically are larger, the majority of the people who were abated were actually the people who were in the abatement.
[08:50.060 --> 09:02.060]  And the majority of farms that are permitted right now are going to people with 10,000 square feet and larger, which by California agricultural standards is actually a medium sized farm.
[09:02.060 --> 09:11.060]  The 10,000 square foot to 20,000 square foot range is medium, and then 20,000 and above is a large farm by California agricultural definitions.
[09:12.060 --> 09:22.060]  So small farms are 10,000 square feet and less. And unfortunately, those are the people that are getting abated, and the people getting through the permit process are larger than that.
[09:24.060 --> 09:26.060]  Is that a good overview.
[09:26.060 --> 09:32.060]  I didn't really touch on the two people that I interviewed, but I'll hand it back to you.
[09:33.060 --> 09:34.060]  Go ahead.
[09:34.060 --> 09:44.060]  Yeah, it is a good overview I always like I told Peter the other day I always like to use my mountain as my perspective for what's going on in Humboldt County.
[09:44.060 --> 09:59.060]  And so the people that we used to refer to as the mega growers here in Humboldt County are most of the people who received permits on my mountain. And so everything that Nicole saying is absolutely spot on because we're dealing with.
[10:00.060 --> 10:10.060]  You know, a culture of the people prior to legalization were kind of frowned upon in the community. Now they're the people who are somewhat running the industry.
[10:11.060 --> 10:20.060]  Absolutely, absolutely. I mean just yesterday, for example, in the planning or the supervisors meeting that they had there, they're talking about making
[10:21.060 --> 10:30.060]  their proposals for a small farmer permit for 2000 square foot and less making it a little easier. At the same meeting they're talking about expanding.
[10:31.060 --> 10:39.060]  I think it's a 13 acre farm by like four acres, almost. I mean that's the landscape right now.
[10:40.060 --> 10:41.060]  And Ed, can you hear us.
[10:42.060 --> 10:44.060]  I can hear you. Can you hear me.
[10:45.060 --> 10:46.060]  We are so excited to be here.
[10:46.060 --> 10:53.060]  As far as I know, maybe like five super large farms like that where they're like seven acres or larger.
[10:54.060 --> 10:59.060]  While the little guys, of course, are struggling to barely get you know the 2000 square foot permit.
[11:00.060 --> 11:01.060]  That's the best we've done so far.
[11:03.060 --> 11:05.060]  And Ed, can you hear us.
[11:06.060 --> 11:08.060]  I can hear you. Can you hear me.
[11:09.060 --> 11:10.060]  We sure can. Welcome.
[11:11.060 --> 11:12.060]  Welcome Ed.
[11:13.060 --> 11:14.060]  Thank you.
[11:14.060 --> 11:26.060]  My computer says my connection is unstable. And there's some other computer attempting to access.
[11:26.060 --> 11:27.060]  No, I'm blocking it.
[11:28.060 --> 11:29.060]  Okay.
[11:29.060 --> 11:32.060]  Got it. Well, you're coming in loud and clear.
[11:33.060 --> 11:43.060]  So, tell us about this new tool that law enforcement is using against, it seems, mostly small cultivators.
[11:45.060 --> 11:47.060]  If by this new tool you mean abatement?
[11:48.060 --> 11:49.060]  Yes.
[11:49.060 --> 11:52.060]  Yes. Okay. That's not law enforcement.
[11:53.060 --> 11:58.060]  It's an end run around law enforcement by the planning department.
[11:59.060 --> 12:14.060]  The Board of Supervisors in the middle of 2017 instituted a program of civil nuisance enforcement.
[12:14.060 --> 12:20.060]  They decided if you had a farm without a permit, that was a nuisance.
[12:21.060 --> 12:26.060]  And if it was in a greenhouse without a permit, that was the second nuisance.
[12:26.060 --> 12:31.060]  And if it was on a graded flat without a permit, that was the third nuisance.
[12:32.060 --> 12:34.060]  Okay. That's virtually everybody.
[12:36.060 --> 12:43.060]  And they put in penalties of $10,000 a day per nuisance.
[12:44.060 --> 12:51.060]  Per day. And each day that the nuisance continues is a new day.
[12:52.060 --> 12:57.060]  So, they've gotten fines up to $900,000.
