[00:00.570 --> 00:02.570]  And we are live.
[00:05.530 --> 00:12.810]  Welcome everyone, welcome to the first Hustle and Educate in Oklahoma. We're super excited to be here today.
[00:13.850 --> 00:18.930]  I mean, I don't even know what to say anymore at this point. Heck, I just keep on talking.
[00:19.050 --> 00:25.430]  So I'm super excited really that we actually have so many people that are interested in education.
[00:25.630 --> 00:31.630]  And so many people actually interested in growing correctly. Get back to the natural basics.
[00:31.910 --> 00:35.190]  So with all of that being said, I've talked a lot already.
[00:36.270 --> 00:38.870]  I'm actually the managing partner of Abco.
[00:38.870 --> 00:43.230]  And this is not our event center, but we made it ours today.
[00:43.230 --> 00:48.510]  So let's enjoy it and everyone please medicate, enjoy. We're going to talk to you
[00:49.270 --> 00:53.390]  around the room and we're going to actually talk to the different vendors that are here.
[00:53.910 --> 00:58.550]  Educate you about their products and I will tell you that every product that is in here
[00:59.070 --> 01:02.630]  may not be in Abco today, but it will be.
[01:04.910 --> 01:11.190]  And actually soil, just so that you know, we actually have soil for sale and I believe we've worked that out and it's ready to go.
[01:11.590 --> 01:15.190]  So anyone wanting soil, you can purchase that down at Abco.
[01:15.190 --> 01:21.590]  And that's already in the system. We're also working on some of the Terry's products that will be in there today as well.
[01:21.590 --> 01:24.670]  So they will be ready to go. Just give us some time to get it in.
[01:25.030 --> 01:30.230]  And I'm going to hand the microphone off to Brian and let's just have a great day.
[01:37.350 --> 01:39.670]  All right, so just quickly living soil nerds.
[01:39.670 --> 01:43.990]  This is something that we really wanted to think about. James is going to come up here in a second.
[01:43.990 --> 01:46.950]  He's one of the main reasons as well as Deidre with Abco Med.
[01:47.270 --> 01:51.470]  The main reason that we have this is because we want to bring education to Oklahoma.
[01:51.750 --> 01:56.910]  There's a lot of us out here that want to see just improvement in the overall community as well.
[01:56.910 --> 02:00.230]  So this is what we put together. And as things continue to progress,
[02:00.230 --> 02:04.550]  I know that we're going to move into other states and that kind of stuff.
[02:04.550 --> 02:07.830]  So I'm not sure if we're going to continue to call it hustle and educate.
[02:07.830 --> 02:13.550]  This was kind of a nod to, you know, the old school way of thinking, some of the street life, some of that stuff.
[02:13.990 --> 02:16.510]  That's obviously hustle and motivate.
[02:16.510 --> 02:21.390]  That's something that I personally listen to usually every morning because it's something that, you know,
[02:21.390 --> 02:23.550]  I have two children and that's really what it's about.
[02:23.550 --> 02:28.990]  So now getting to that next level, I want to be able to hustle with you guys as well as educate you guys.
[02:28.990 --> 02:30.430]  And that's what this has come about.
[02:30.430 --> 02:33.710]  So James, do you want to come up here and kind of talk about you
[02:34.110 --> 02:36.790]  and what you guys are representing in Dunk Lane in Oklahoma?
[02:37.790 --> 02:43.790]  Thanks everybody for coming.
[02:43.790 --> 02:47.790]  I'm James from Red Dirt Rays, we're in Duncan.
[02:47.790 --> 02:50.790]  You guys have got some great speakers here today.
[02:50.790 --> 02:53.390]  I want to thank all of you for coming.
[02:53.390 --> 02:59.390]  Brandon, Terry, Marco, Brian for putting this thing on.
[02:59.390 --> 03:06.390]  I share a passion with all these guys for cannabis and for education.
[03:06.390 --> 03:12.390]  And they've all motivated and influenced what we're doing at our farm.
[03:12.390 --> 03:15.390]  And we just want to share that with you guys.
[03:15.390 --> 03:17.390]  So thank you for coming.
[03:26.500 --> 03:28.500]  We've got Dan Kakers coming up next.
[03:32.900 --> 03:34.900]  Hi everybody, we're Dan Kakers.
[03:34.900 --> 03:36.900]  We're based in Bixby, Oklahoma.
[03:36.900 --> 03:38.900]  Indoor living soil.
[03:38.900 --> 03:41.900]  Future cannabis project educated.
[03:41.900 --> 03:43.900]  Yes, thank you Peter.
[03:43.900 --> 03:49.900]  I want to give a shout out to Peter's daughters too, because they really kept me going.
[03:49.900 --> 03:53.900]  We've got a seven year old at home, so through COVID it was tough.
[03:53.900 --> 03:58.900]  Yeah, all living soil, organic, no-till.
[03:58.900 --> 04:02.900]  Just try to keep up with everybody else basically.
[04:02.900 --> 04:06.900]  I mean, just last week's show, now we're doing a show.
[04:06.900 --> 04:10.900]  I mean, just last week's show, now we're doing Try Not Bottomless Pots.
[04:10.900 --> 04:13.900]  So if you guys have been following, you saw that.
[04:13.900 --> 04:15.900]  Shout out to Cantwell.
[04:15.900 --> 04:24.900]  But yeah, I'm just super glad to be able to give back to the platform that's given so much to us.
[04:24.900 --> 04:27.900]  That's given us a lot of our education.
[04:27.900 --> 04:29.900]  So, happy to be here.
[04:29.900 --> 04:31.900]  Yes, thank you for doing it Peter.
[04:37.900 --> 04:40.900]  Next up is CB DJ.
[04:40.900 --> 04:43.900]  We're excited to have him this evening as well as Mark.
[04:43.900 --> 04:45.900]  He's one of our DJs this evening.
[04:45.900 --> 04:49.900]  He was also helping us when we were in the crowd.
[04:49.900 --> 04:51.900]  I wonder how he's doing.
[04:51.900 --> 04:53.900]  Well, hello again.
