[00:00.000 --> 00:01.440]  One, two, last four!
[00:01.440 --> 00:04.440]  Can't rest for going to sleep!
[00:04.440 --> 00:07.440]  Can't rest for going to sleep!
[00:22.420 --> 00:25.420]  All right, so we should be recording here.
[00:25.420 --> 00:26.420]  And...
[00:26.420 --> 00:27.420]  Ooh!
[00:27.420 --> 00:28.420]  Yep.
[00:28.420 --> 00:33.420]  All right, welcome everybody to a special episode of the Friendly Cannabis Show.
[00:33.420 --> 00:38.920]  This is part of our Icon Series, and today we have an icon amongst icons.
[00:38.920 --> 00:40.420]  We have Mr. Tommy Chong.
[00:40.860 --> 00:43.360]  Thank you for making time to be with me today.
[00:43.360 --> 00:44.360]  Well, thank you.
[00:44.360 --> 00:48.360]  And being an icon is almost as nice as being a Mexican.
[00:48.360 --> 00:49.360]  How so?
[00:51.360 --> 00:53.360]  Well, you gotta be something, you know?
[00:53.360 --> 00:54.360]  There we go.
[00:54.360 --> 00:55.360]  Okay.
[00:55.360 --> 00:56.360]  Good things to be.
[00:56.360 --> 00:57.360]  Good things to be.
[00:57.360 --> 00:58.360]  Well, yeah.
[00:58.360 --> 01:04.360]  Again, definitely, I know we're gonna talk here for a little bit under an hour.
[01:04.360 --> 01:09.360]  There's a few things I definitely want to touch on regarding cannabis and your role
[01:10.300 --> 01:13.300]  with that, but I want to start off with some light questions.
[01:13.300 --> 01:18.300]  Now, I've been smoking cannabis for decades.
[01:18.300 --> 01:20.300]  I still can't really roll a joint.
[01:20.300 --> 01:22.300]  How's your joint?
[01:22.300 --> 01:23.300]  I need a dollar bill.
[01:23.300 --> 01:25.300]  I need a dollar bill to roll my joint.
[01:25.300 --> 01:26.300]  Well, that's okay.
[01:26.300 --> 01:27.300]  You know, assist.
[01:27.300 --> 01:29.300]  People need canes.
[01:29.300 --> 01:31.300]  People need crutches, you know?
[01:31.300 --> 01:34.300]  You can't knock them for it, you know?
[01:34.300 --> 01:38.300]  My joint rolling, you know, I had to go back to it.
[01:39.240 --> 01:44.240]  I got one complaint is that they got these big ass papers now, you know?
[01:44.240 --> 01:45.240]  Oh, yeah.
[01:45.240 --> 01:47.240]  The big papers.
[01:47.240 --> 01:53.240]  Now, I rolled this joint, and you can see it's, you know, it's okay.
[01:53.240 --> 01:55.240]  It's gonna smoke.
[01:55.240 --> 01:57.240]  Yeah, no, it'll work.
[01:57.240 --> 01:59.240]  You know, get it around here.
[01:59.240 --> 02:07.240]  What I do, though, I smoke out of these little miniature joint.
[02:08.180 --> 02:10.180]  And everything's backwards with these cameras.
[02:10.180 --> 02:11.180]  It's awesome.
[02:11.180 --> 02:12.180]  Yeah, yeah.
[02:12.180 --> 02:15.180]  This is like an NFT joint holder.
[02:15.180 --> 02:23.180]  Now, the idea is to put the joint in the top here, see?
[02:23.180 --> 02:29.180]  And then let me see if I can.
[02:29.180 --> 02:31.180]  Yes.
[02:35.250 --> 02:41.250]  Now, the good thing is that if I want to set it down, everything's backwards.
[02:41.250 --> 02:44.250]  I can set it down like on the table.
[02:44.250 --> 02:45.250]  Nice.
[02:45.250 --> 02:46.250]  It doesn't move.
[02:46.250 --> 02:48.250]  It's gonna stay there.
[02:48.250 --> 02:50.250]  And if I forget about it, it doesn't hurt anything.
[02:50.250 --> 02:54.250]  It'll either go out or, you know, it'll burn.
[02:54.250 --> 02:56.250]  You know, it'll probably go out.
[02:56.250 --> 02:59.250]  Because if you notice, weed is like weed.
[02:59.250 --> 03:00.250]  You know what I mean?
[03:01.190 --> 03:05.190]  If you don't keep puffing on it, the sucker gets lazy and just goes out by itself.
[03:05.190 --> 03:06.190]  Yes.
[03:06.190 --> 03:08.190]  I love this plant, man.
[03:08.190 --> 03:10.190]  It's so magical.
[03:10.190 --> 03:12.190]  Yeah, it's a wonderful plant.
[03:12.190 --> 03:14.190]  I'm about to enjoy some myself.
[03:14.190 --> 03:16.190]  What do you have inside your joint right now?
[03:16.190 --> 03:21.190]  It's, I'm not sure, really.
[03:21.190 --> 03:24.190]  Because I mix up a lot.
[03:24.190 --> 03:28.190]  I'll find the bud, you know, I'll find some other, mix them all up.
[03:28.190 --> 03:30.190]  Call it good stuff.
[03:31.130 --> 03:37.130]  You know, I've never been one to categorize things.
[03:37.130 --> 03:41.130]  I guess it's the schooling that gets people like that, you know?
[03:41.130 --> 03:44.130]  You know that, this is the best or that.
[03:44.130 --> 03:49.130]  Well, high time started with, you know, the Cannabis Cup, you know.
[03:49.130 --> 03:52.130]  And if you grow the best and all the judges will pick your thing.
[03:52.130 --> 03:54.130]  You know how you win the Cannabis Cup?
[03:54.130 --> 03:56.130]  You pay them.
[03:56.130 --> 03:57.130]  I've heard that.
[03:57.130 --> 03:59.130]  I've definitely heard that.
[04:00.070 --> 04:02.070]  You pay them, just like any contest.
[04:02.070 --> 04:06.070]  You know, you can corrupt any contest with money.
[04:06.070 --> 04:08.070]  With, yeah.
[04:08.070 --> 04:12.070]  Oh, God, with absolute power comes, yeah, corruption, absolutely.
[04:12.070 --> 04:15.070]  There's a quote somewhere in there.
[04:15.070 --> 04:16.070]  Yeah.
[04:16.070 --> 04:18.070]  Glossing over it now, right?
[04:18.070 --> 04:22.070]  But, yeah, and that's the cool thing about some of the smaller contests.
[04:22.070 --> 04:26.070]  Unfortunately, it doesn't give you, you know, that social media clout.
[04:27.010 --> 04:30.010]  If you have good integrity, you have longevity,
[04:30.010 --> 04:33.010]  that word of mouth is really your best way to the top
[04:33.010 --> 04:36.010]  because it's built on a solid foundation, I believe.
[04:36.010 --> 04:39.010]  Well, here's the thing, you know, Biblically speaking,
[04:39.010 --> 04:45.010]  when they say, know the truth and the truth shall set you free,
[04:45.010 --> 04:48.010]  that's so powerful.
[04:48.010 --> 04:50.010]  That is so powerful.
[04:50.010 --> 04:55.010]  And that's the great thing about the weed, you know.
[04:55.950 --> 04:58.950]  Just tell the truth about it, you know.
[04:58.950 --> 05:01.950]  And that's all you ever have to do.
[05:01.950 --> 05:04.950]  I found out, you know, being a comedian,
[05:04.950 --> 05:08.950]  we take the truth and we use it.
[05:08.950 --> 05:14.950]  We manipulate everything around a truth, you know.
[05:14.950 --> 05:20.950]  And it's like different views of the same truth.
[05:21.890 --> 05:23.890]  And if you...
[05:23.890 --> 05:28.890]  That's a very powerful statement, like know the truth.
[05:28.890 --> 05:32.890]  Because that's everything in the universe,
[05:32.890 --> 05:36.890]  is life or the spiritual world.
[05:36.890 --> 05:40.890]  All those worlds put together if you know the truth.
[05:40.890 --> 05:44.890]  Just think about an architect, you know,
[05:44.890 --> 05:48.890]  and he's building, say, the pyramids.
[05:49.830 --> 05:53.830]  And if he doesn't know the truth about how long they should be
[05:53.830 --> 05:57.830]  and how high it should be and what the angle should be,
[05:57.830 --> 05:59.830]  those are truths.
[05:59.830 --> 06:03.830]  And if he doesn't know the truth and he builds them
[06:03.830 --> 06:06.830]  without, you know, erroneously,
[06:06.830 --> 06:10.830]  then that structure, whatever it is, will fall apart.
[06:10.830 --> 06:13.830]  The nature will take it out.
[06:13.830 --> 06:17.830]  Because really the truth is being in one with nature.
[06:18.770 --> 06:20.770]  That's the truth.
[06:20.770 --> 06:22.770]  Nature has a lot of things figured out.
[06:22.770 --> 06:27.770]  And I like that, you know, truth is a never-ending quest as well.
[06:27.770 --> 06:29.770]  There are many things that we have thought, you know,
[06:29.770 --> 06:32.770]  from the kid's brain that was truth.
[06:32.770 --> 06:34.770]  And then we've learned a new truth later.
[06:34.770 --> 06:38.770]  And I think cannabis kind of helps us maybe sit and ponder those things
[06:38.770 --> 06:40.770]  or maybe it unlocks different doors.
[06:40.770 --> 06:45.770]  But the quest for truth can also be, you know, obtained through cannabis.
[06:45.770 --> 06:47.770]  Yes, yes.
[06:48.710 --> 06:57.710]  Lying is really a form of laziness, you know, a lack of energy.
[06:57.710 --> 07:00.710]  Because, and then what happens?
[07:00.710 --> 07:05.710]  You create so many problems that all that energy you think you saved,
[07:05.710 --> 07:07.710]  you've blown it.
[07:07.710 --> 07:13.710]  Because now you not only tell a lie, but now you have to defend it.
[07:14.650 --> 07:18.650]  Or you have to pretend, or say you never said it.
[07:18.650 --> 07:20.650]  You have to remember.
[07:20.650 --> 07:22.650]  And compound another lie.
[07:22.650 --> 07:24.650]  And put another lie.
[07:24.650 --> 07:28.650]  So you build these straw houses basically, you know.
[07:28.650 --> 07:31.650]  And huff and puff and they get blown away.
[07:31.650 --> 07:39.650]  So the truth, knowing the truth in everything, everything.
[07:40.590 --> 07:47.590]  Be it music, be it poetry, be it literature, be it art.
[07:47.590 --> 07:50.590]  It's all there.
[07:50.590 --> 07:56.590]  And when you find the truth, it resonates so beautifully.
[07:56.590 --> 07:59.590]  That, you know, like a bell.
[07:59.590 --> 08:04.590]  You know, you hit that, it's a perfect sound that comes out.
[08:05.530 --> 08:11.530]  And to me, that's the only time perfection really has meaning.
[08:11.530 --> 08:15.530]  When it's a sound, you know.
[08:15.530 --> 08:19.530]  It's a never ending quest.
[08:19.530 --> 08:22.530]  And sometimes that truth comes with imperfections.
[08:22.530 --> 08:25.530]  You know, there may be a little ding on your cymbal.
[08:25.530 --> 08:27.530]  But you still hear it ring and resonate, you know.
[08:27.530 --> 08:29.530]  It's spreading its sound wave.
[08:29.530 --> 08:31.530]  No, but it tells you.
[08:31.530 --> 08:33.530]  It's a parameters.
[08:34.470 --> 08:36.470]  You know, you get too far out, oh, that's going to happen.
[08:36.470 --> 08:38.470]  You get too far out this way, oh, that's going to happen.
[08:38.470 --> 08:40.470]  So just staying in the middle.
[08:40.470 --> 08:44.470]  Every once in a while, you've got to hit the edges to find out where you are.
[08:44.470 --> 08:48.470]  You know, are you that close to the edge or are you in the center?
[08:48.470 --> 08:50.470]  Yeah.
[08:50.470 --> 08:52.470]  Are you hearing the reverb and the echo off the wall?
[08:52.470 --> 08:54.470]  Or are you really hearing it, you know, open?
[08:54.470 --> 08:56.470]  Yeah.
[08:56.470 --> 09:02.470]  I'm a, you know, one of the things, well, many things I've loved about your interviews is you're multi-talented.
[09:03.410 --> 09:05.410]  I'm an audio engineer by trade.
[09:05.410 --> 09:07.410]  So that is what I did for 20 years.
[09:07.410 --> 09:09.410]  And cannabis is kind of the space that I'm in these days.
[09:09.410 --> 09:23.410]  But hearing a lot of your experience in the music industry and just playing instruments, being a musician, writing music, that is, you know, another way to almost seek truth.
[09:23.410 --> 09:25.410]  Well, yeah, for sure.
[09:25.410 --> 09:27.410]  For sure.
[09:27.410 --> 09:29.410]  I backed up enough singers to learn something.
[09:29.410 --> 09:31.410]  You know.
[09:32.350 --> 09:34.350]  You can't learn a song without learning something.
[09:34.350 --> 09:36.350]  You know.
[09:36.350 --> 09:42.350]  Even if it's not your song, you know, it's nice to learn the changes and everything.
[09:42.350 --> 09:48.350]  And then I learned that there's no limit to what I can do.
[09:48.350 --> 09:50.350]  No.
[09:50.350 --> 09:52.350]  It's just that, like, I never ever thought I could sing.
[09:52.350 --> 09:54.350]  When I was a kid, I loved to sing.
[09:54.350 --> 09:56.350]  But I never sang in front of people or never sang as a singer.
[09:57.290 --> 09:59.290]  You know, I never took it serious.
[09:59.290 --> 10:01.290]  It was just something that, oh, that's fun.
[10:01.290 --> 10:03.290]  We can do that.
[10:03.290 --> 10:05.290]  You know.
[10:05.290 --> 10:07.290]  Because growing up poor, you really don't have that play time some kids have now or any times.
[10:07.290 --> 10:09.290]  When you grow up poor, you've got survival time.
[10:09.290 --> 10:11.290]  Yeah.
[10:11.290 --> 10:13.290]  Yeah.
[10:13.290 --> 10:15.290]  Yeah.
[10:15.290 --> 10:17.290]  You know, you've got to play hard.
[10:17.290 --> 10:19.290]  You've got to play hard.
[10:19.290 --> 10:21.290]  You've got to play hard.
[10:21.290 --> 10:23.290]  You've got to play hard.
