[00:00.510 --> 00:01.510]  Twin Peaks.
[00:01.510 --> 00:02.510]  Oh, wow.
[00:02.510 --> 00:19.280]  All right, everybody, welcome to a very special edition of the Friendly Cannabis Show today.
[00:19.280 --> 00:27.440]  We've got the guy who is responsible for my favorite cannabis book in the world.
[00:27.440 --> 00:28.440]  This is the one.
[00:28.440 --> 00:31.700]  I'm like, if you need one book, get this and you're done.
[00:31.700 --> 00:34.380]  But enough about that.
[00:34.380 --> 00:36.340]  Jorge Cervantes, welcome.
[00:36.340 --> 00:37.900]  Thank you for making time to be here.
[00:37.900 --> 00:39.660]  Hey, thank you.
[00:39.660 --> 00:40.660]  Thank you.
[00:40.660 --> 00:41.660]  It's a pleasure.
[00:41.660 --> 00:45.020]  I'm glad to be here.
[00:45.020 --> 00:47.460]  You know, it's a good deal.
[00:47.460 --> 00:50.780]  I'm finally out, kind of like out of hiding.
[00:50.780 --> 00:57.380]  You know, I've been out doing stuff recently and stuff because I got this new book out,
[00:57.380 --> 00:58.380]  We Grow Cannabis.
[00:59.380 --> 01:00.380]  It's digital.
[01:00.380 --> 01:04.980]  It's my first foray into digital stuff.
[01:04.980 --> 01:11.940]  I had a digital book, you know, I mean, well, Kindle books on Amazon, but this is completely
[01:11.940 --> 01:13.700]  digital and it's free.
[01:13.700 --> 01:16.940]  It's free, like 100 pages, all free and stuff.
[01:16.940 --> 01:20.060]  So that's a good deal.
[01:20.060 --> 01:21.060]  And there's, yeah.
[01:21.060 --> 01:27.020]  Well, I don't know, I could go through it and tell you all about it.
[01:27.020 --> 01:29.900]  Well, if you download it, then you'll know.
[01:29.900 --> 01:30.900]  Exactly.
[01:30.900 --> 01:32.940]  Here's what it looks like, everybody.
[01:32.940 --> 01:38.740]  We've got that and we've got the link to where to download this in the show description notes
[01:38.740 --> 01:39.860]  as well.
[01:39.860 --> 01:44.340]  So that's a little banner, but if you're not writing it down, just go into the show notes.
[01:44.340 --> 01:46.780]  It's down there.
[01:46.780 --> 01:49.700]  But so how did that come about?
[01:49.700 --> 01:53.980]  What was the inspiration or motivation to say, you know what, we need to do a digital
[01:53.980 --> 01:56.260]  book and we need to do it for free?
[01:56.500 --> 02:02.260]  Well, that was kind of weird for me to begin to think to give away free books because I
[02:02.260 --> 02:04.500]  made my whole income on books, right?
[02:04.500 --> 02:08.100]  But, you know, nobody buys books anymore.
[02:08.100 --> 02:11.540]  So what happened was during COVID, I didn't know what else to do.
[02:11.540 --> 02:19.460]  So I started writing to rewrite the Horticulture book because it hasn't been edited for 16
[02:19.460 --> 02:20.460]  years.
[02:20.460 --> 02:24.300]  So I figured I better catch it up to date.
[02:24.340 --> 02:27.780]  And then I did that and then it expanded.
[02:27.780 --> 02:32.580]  I thought, oh, my gosh, how am I going to how's this going to work out for money and
[02:32.580 --> 02:33.580]  stuff?
[02:33.580 --> 02:43.100]  I mean, because the transport went up, goes up and goes down, up, takes longer to do everything.
[02:43.100 --> 02:44.860]  You know, the transport takes longer.
[02:44.860 --> 02:45.860]  You've got to store it.
[02:45.860 --> 02:48.900]  All of those costs went up.
[02:48.900 --> 02:52.820]  And then the market went soft because the Internet is so strong.
[02:52.820 --> 02:58.540]  So I didn't really figure all of this stuff out until later.
[02:58.540 --> 03:06.660]  And then I was I was talking to my buddy Tom over there at the Seedsman from the UK.
[03:06.660 --> 03:08.020]  Comes down to Spain and stuff.
[03:08.020 --> 03:09.020]  We've been talking.
[03:09.020 --> 03:10.020]  Oh, well, we've known each other.
[03:10.020 --> 03:13.060]  I'm like, I know a bunch of people here.
[03:13.060 --> 03:22.060]  Anyway, he said, look, if we release this together, you can use the power of my mailing
[03:22.300 --> 03:31.660]  list and my publicity and I can I can advertise there and we can both get on better.
[03:31.660 --> 03:35.100]  I thought, OK, that sounds like an OK deal.
[03:35.100 --> 03:41.380]  So in order to test that, what we did is we make a hundred page book and just make it
[03:41.380 --> 03:43.540]  into a PDF.
[03:43.540 --> 03:45.740]  And so it's downloadable and everything.
[03:45.740 --> 03:49.780]  And this this edition, it's in English.
[03:49.780 --> 03:55.620]  And then the next edition will make will actually I'm translating it now.
[03:55.620 --> 04:04.060]  It should be done and finished by the first of February and, you know, completed and and
[04:04.060 --> 04:05.380]  yeah, on the mark.
[04:05.380 --> 04:10.340]  Well, on the market, it's on link and it's free.
[04:10.340 --> 04:11.340]  Yeah.
[04:11.340 --> 04:14.660]  So that's how it all started.
[04:14.660 --> 04:17.260]  And ultimately, I'm going to do more stuff.
[04:17.260 --> 04:19.540]  I'm not I don't want to talk about that.
[04:19.740 --> 04:25.340]  Because, well, people ask about things and I haven't really figured it out yet.
[04:25.340 --> 04:30.500]  So I better I better get it straight first before I talk about anything.
