[00:01.340 --> 00:09.940]  Welcome, everybody, to episode 16 of the James Loud Show. Today's special guest is James
[00:09.940 --> 00:14.340]  Rushing from White Coat Services, formerly called what?
[00:14.340 --> 00:17.820]  No, it always been White Coat Services.
[00:17.820 --> 00:21.340]  What was the cool Hawaiian name, though?
[00:21.340 --> 00:24.460]  Oh, well...
[00:24.460 --> 00:25.740]  Pre-disencarnation.
[00:25.740 --> 00:37.420]  By pre-White Coat Services, it was... Akuna Mount... I forgot what the name of it was.
[00:37.420 --> 00:44.380]  That was so many years ago. I've been White Coat now for, what, eight years now?
[00:44.380 --> 00:47.740]  As long as I've known you, you've been White Coat.
[00:47.740 --> 00:54.740]  So before James kicks in, we're going to tee up the topic with a little video. So this
[00:54.740 --> 00:56.740]  was shot earlier today.
[00:56.740 --> 01:04.140]  Okay, come here. Okay, come here. I want to show you something. Come on. Well, come here.
[01:04.140 --> 01:10.540]  Okay, get off your scooter. And look at that. What's that?
[01:10.540 --> 01:11.540]  Is that a bug?
[01:11.540 --> 01:12.540]  Yes.
[01:12.540 --> 01:15.740]  And is that a good guy or a bad guy?
[01:15.740 --> 01:16.740]  Bad guy.
[01:16.740 --> 01:17.740]  Yeah?
[01:17.740 --> 01:18.740]  Yeah.
[01:18.740 --> 01:22.740]  So today... Oh, bye-bye. Say...
[01:23.740 --> 01:25.740]  Punga, punga.
[01:25.740 --> 01:31.740]  That's close. Can you say, IPM? Today we're going to talk about IPM.
[01:31.740 --> 01:38.740]  Oh, yeah. Oh, my gosh, he's still alive. What do you think?
[01:38.740 --> 01:39.740]  I don't want to see him.
[01:39.740 --> 01:45.740]  You don't want to see him. Okay. Say, bye-bye, bug. Say, smell you later.
[01:45.740 --> 01:46.740]  I can't go.
[01:46.740 --> 01:49.740]  Oh, you want to go. Okay. All right, do you want to bring your scooter?
[01:49.740 --> 01:50.740]  Yeah.
[01:51.740 --> 01:53.740]  That was adorable.
[01:53.740 --> 02:05.740]  Anyway, that's what I was doing 45 minutes ago. So anyway, with that, I thought that would queue up our topic nicely. So, Mr. James Loud, over to you.
[02:05.740 --> 02:10.740]  How's it going, everyone? Welcome to week 16 of the James Loud Show. Thanks for tuning in.
[02:10.740 --> 02:21.740]  Today we have one of my friends, James Rushing, who I've known for probably... I think we met at the Cup in 2017 and he gave me some weed, actually.
[02:21.740 --> 02:29.740]  And we've been friends ever since. We have a whole bunch of mutual friends. We should have been friends for 20 years. We both love good music, obviously.
[02:29.740 --> 02:33.740]  Yeah, we were in Amsterdam at the same time and all that stuff. We just never...
[02:34.740 --> 02:44.740]  Yeah. And so, yeah, we've been on panels together. He's the guy, when I have IPM questions, I go to James. When I have IPM referrals, I give them to James.
[02:44.740 --> 02:54.740]  He's a solid guy and really knowledgeable. So you want to give a little bit of introduction, talk to everybody about what you do, where you're from, a little history on yourself.
[02:54.740 --> 03:16.740]  Sure, sure, sure. I grew up in Chicago. I started my cannabis career there as a cultivator. And for many years was into... just fascinated by the plant and the way that it brought cultures and people together.
[03:17.740 --> 03:32.740]  Very quickly after that, I realized that there was a life for me in other places. And I took my projects and everything out to Hawaii in the mid 2000s.
[03:33.740 --> 04:01.740]  At the same time, I was traveling all over the world trying to find wonderful genetics and new techniques and talking with new growers. And I ended up landing in Hawaii there to better my plant education and ended up enrolling in college out there and getting a degree in tropical plants and soil sciences.
[04:02.740 --> 04:17.740]  I ended up going after that and pursuing a master's degree in tropical conservation biology and environmental science. After that, I ended up working with the University of Hawaii as a professor of sustainable agriculture for a little while.
[04:18.740 --> 04:36.740]  At that same time, I was getting into the business development side of cannabis businesses and starting up new licenses and ventures. Ended up becoming a founding partner and putting a team together for one of the licenses in Hawaii, which came out several years ago.
[04:37.740 --> 04:50.740]  The company is Laola. It's known as Big Island Grown on the Big Island of Hawaii. It's probably the largest revenue company in Hawaii and they're doing very well.
[04:51.740 --> 05:14.740]  We had to design and build a spaceship-like cultivation facility out there because Hawaii is one of the hardest places to cultivate cannabis, especially for medical cannabis with the regulations that they have out there with parts per billion on a lot of the contaminants.
[05:15.740 --> 05:27.740]  We ended up putting that together and that kick-started my need to start cannabis businesses all over the world.
[05:27.740 --> 05:41.740]  Since then, I've been working with a company called Origins Investment. Origins from Washington. They have a couple of dispensaries in Washington, Oklahoma, and a couple of cultivation in Oklahoma.
[05:42.740 --> 06:03.740]  I partnered up with them a couple of years, well, I guess last year. Now, we are implementing as many applications in as many emerging markets as possible, which include Missouri, Michigan, Massachusetts, Maine, Illinois.
[06:03.740 --> 06:16.740]  We're still shooting California, Utah, Arizona. I'm working on an application right now for Georgia. When you talk about the hardest markets to get, starting off in Hawaii was probably the hardest one.
[06:17.740 --> 06:20.740]  Then, it just kept it going after that.
[06:20.740 --> 06:49.740]  While I've been doing that, over the last 12 years, I've been helping large-scale grows with integrated pest management solutions, operational management solutions, really just bringing cultivation centers from more of the amateur black market methodologies to large-scale agro-business and agronomy sciences.
[06:51.740 --> 07:05.740]  Really, just trying to steer people to use the right methods for their budget and still attaining eradication when it comes to pests and pathogens.
