[00:00.000 --> 00:02.560]  Oh, we're here we're in here now cool
[00:04.200 --> 00:06.720]  That's why we're talking now saying I just put my
[00:08.120 --> 00:10.880]  Edgar how many kids do you have? I have two children
[00:11.400 --> 00:15.760]  Yeah, no, I just so we just had a third one and my three-year-old
[00:15.760 --> 00:21.720]  I just put down for a nap, but it's like an hour-long process. So I was just watching
[00:22.320 --> 00:24.320]  us open
[00:24.560 --> 00:28.420]  Final and now I'm back to football and annoyingly in LA
[00:29.180 --> 00:31.380]  Patriots games are not broadcast. So
[00:33.140 --> 00:35.140]  Anyway, here we are
[00:35.620 --> 00:37.860]  it looks like that it's like
[00:39.100 --> 00:42.940]  It's like after a concert or something like the cleanup crews in
[00:46.660 --> 00:49.900]  No one and I was a slightly stupid last night absolutely epic show
[00:50.660 --> 00:52.660]  Yeah, I saw that I think was
[00:53.180 --> 00:55.180]  Was Nat Pennington there too?
[00:55.740 --> 00:57.740]  Matt Pennington, I don't who's that
[00:58.620 --> 01:00.620]  humbled seed company
[01:00.820 --> 01:02.820]  oh, yeah, I
[01:02.980 --> 01:07.260]  Feel like he posted something from down there. What was it down in like San Diego?
[01:07.260 --> 01:12.940]  He's dead in San Diego and I wouldn't be yeah, I don't know him personally. I'm friends through Julie's friends with them
[01:12.940 --> 01:16.180]  There's a lot of people it's slightly stupid. They working with them on some strains
[01:17.260 --> 01:21.940]  So well, well, let's talk about what's going on. Let's let's talk about the last
[01:22.460 --> 01:28.780]  First of all Edgar, are you liking a blur right now? No, I'm chilling man. I'm just you know, it's pretty clear
[01:28.780 --> 01:32.340]  We've been smoking today. I'm not like high or like
[01:34.380 --> 01:38.060]  Yesterday was kind of nuts though to be honest yesterday was like friggin crazy
[01:38.340 --> 01:40.140]  So I show up and I'm late
[01:40.140 --> 01:43.740]  I was supposed to be here at 11 and I set up it like to or after actually
[01:43.740 --> 01:49.180]  but uh, I pull up and I could before I could even get to the shop there was a line around the block and it
[01:49.180 --> 01:50.340]  was like
[01:50.340 --> 01:55.220]  Probably 150 people deeper 100 people deep, you know, and this is free seed day
[01:55.220 --> 02:02.980]  This is with tents right and like you had like camped out people were camped out since Wednesday for an event on Saturday
[02:04.980 --> 02:11.620]  Received and I mean there was a bunch of breeders that donated seeds and to be fair the the first person that was there from
[02:11.620 --> 02:13.620]  Wednesday he bought stuff
[02:13.620 --> 02:17.580]  He's bought stuff before and he even came and brought me some action figures
[02:17.580 --> 02:23.620]  So keep people have a concept that they're like, you know scavengers know like these dudes are just huge supporters
[02:24.340 --> 02:25.860]  yeah, you know I
[02:25.860 --> 02:30.540]  Not knowing what to expect right because obviously this is the first one that anybody's done for seeds
[02:30.540 --> 02:32.540]  I mean, it's been done with comics for years
[02:32.940 --> 02:35.700]  But I didn't know what to expect exactly
[02:35.700 --> 02:38.900]  So, you know, I see this line and I was thinking it's gonna go either one direction
[02:38.900 --> 02:43.860]  we're gonna have like the thuggish ruggish element where people just want to get their free seeds and get the fuck out and
[02:44.100 --> 02:48.460]  Then it could go the other way where there's like, you know younger versions of ourselves
[02:48.460 --> 02:51.020]  Which I kind of feel like we saw a lot of those
[02:52.260 --> 02:54.260]  Those are the kind of people I want to give seeds to
[02:54.900 --> 02:59.340]  You know, I can totally relate to thinking cannabis is the best thing in the world
[02:59.340 --> 03:05.740]  I still do but you know when you're young it's such a new thing and it's such an amazing thing and to be able to
[03:05.740 --> 03:06.860]  grow
[03:06.860 --> 03:11.380]  Cannabis is just such a beautiful thing and you do it legally and you give seeds of free, you know
[03:11.380 --> 03:14.460]  I think that that's pretty amazing that you have all these people willing to donate
[03:14.460 --> 03:17.460]  And I feel like next year is probably gonna be even bigger and better
[03:17.580 --> 03:24.140]  Yeah next year probably be like a national thing, you know, people will take it amongst themselves to make an event
[03:24.700 --> 03:28.540]  Like pre seed day in their own town, you know, Colorado, Oregon
[03:29.180 --> 03:31.420]  Norcal's, you know, California is really big
[03:32.140 --> 03:37.020]  Michigan, you know the list goes on right for people getting free seeds
[03:37.020 --> 03:38.380]  Was it I
[03:38.380 --> 03:42.860]  Assume it was a mix of people who kind of knew like I'd love to have something
[03:43.220 --> 03:48.380]  Like this if you have it and other people who are just like I'll just take whatever you want to give me
[03:48.380 --> 03:54.080]  I kind of made the point that if you're here and you're expecting a specific company or a specific
[03:54.340 --> 03:58.780]  Strain a specific breeder. You're at the wrong place. Yeah, you're here to get free seeds
[03:58.780 --> 04:00.140]  But you know
[04:00.140 --> 04:06.100]  Their expectations were actually over exceeded when they open their bag and they find a name-brand seed company in there
[04:06.500 --> 04:09.340]  amongst ten other strains James loud included
[04:09.940 --> 04:13.820]  Good stuff. Yeah, I mean I gave away a bunch of seeds
[04:13.820 --> 04:18.360]  I was super happy and but it's like the people were just so grateful and you know
[04:18.360 --> 04:20.660]  And then when I left the line had gotten shorter
[04:20.660 --> 04:24.980]  And so I went through with like a big bag of weed and handed buds to everybody
[04:25.780 --> 04:27.780]  California we can legally do that
[04:27.860 --> 04:34.500]  It's great. Yeah, it's it's just great seeing these these people that want to support the industry support
[04:35.420 --> 04:37.340]  Cultivation I think
[04:37.340 --> 04:43.980]  Home cultivation. I just it's not gonna go away. Hopefully it just gets better and better and people, you know, people can appreciate it
[04:45.100 --> 04:49.460]  You know because home cultivation is so different like home cannabis homegrown cannabis
[04:49.780 --> 04:55.980]  Has its place and I think it's just as important or more important than the commercial stuff. Obviously, there's no money
[04:55.980 --> 05:01.760]  I think it's more important. I think it's more important. Yeah, we don't want to lose that. It's like as a society
[05:01.760 --> 05:08.080]  We're slowly losing all these arts like butchers for instance like that stuff's going away. It's like same thing with home cultivation
[05:08.080 --> 05:08.920]  We don't want it to go away
[05:08.920 --> 05:09.840]  We need that
[05:09.840 --> 05:16.840]  We need those young minds and people growing and finding new things and people just really excited about growing and cultivating
[05:17.040 --> 05:20.200]  Actually as a random tangent as a chef
[05:20.200 --> 05:27.320]  can you talk about like I feel like the lost art of the butcher where like we now have kind of like
[05:27.360 --> 05:34.160]  The top five cuts of beef whereas you could have other cuts but it's even it goes even deeper than that
[05:34.160 --> 05:36.880]  So like if you look at how butchery was a hundred years ago
[05:36.880 --> 05:43.040]  You would get if you're a butcher you would get a whole cattle and that whole whole piece of meat
