[00:00.000 --> 00:05.760]  Make the connection.
[00:05.760 --> 00:18.660]  And all right.
[00:18.660 --> 00:19.820]  Welcome, everyone.
[00:19.820 --> 00:21.820]  We are live on YouTube.
[00:21.820 --> 00:25.620]  We're talking actually to a few people.
[00:25.620 --> 00:26.900]  We have some new additions.
[00:26.900 --> 00:29.860]  But it was starting with Breeder Steve and Kevin Jodry.
[00:29.860 --> 00:38.300]  So I had my border crossing Canada meets USA.
[00:38.300 --> 00:42.940]  So anyway, and so with us right now is Ryan Douglas.
[00:42.940 --> 00:50.820]  And both of you, Steve and Ryan, have been growing and spending
[00:50.820 --> 00:52.020]  a lot of time in Columbia.
[00:52.020 --> 00:54.660]  So Steve, you were just about to ask Ryan a question.
[00:54.660 --> 00:56.620]  And I said, hold that question for one second.
[00:56.620 --> 00:58.660]  So what was the question?
[00:58.660 --> 01:00.620]  Well, the reason that he'd chosen,
[01:00.620 --> 01:05.660]  I was wondering what made him choose that area.
[01:05.660 --> 01:06.160]  Sure.
[01:06.160 --> 01:10.640]  So my background is actually as a commercial greenhouse
[01:10.640 --> 01:11.200]  cultivator.
[01:11.200 --> 01:15.000]  So even before touching cannabis commercially, for 15 years,
[01:15.000 --> 01:16.920]  I was growing ornamental and edible crops
[01:16.920 --> 01:19.160]  in commercial greenhouses in the US.
[01:19.160 --> 01:21.160]  And every single work crew I ever managed
[01:21.160 --> 01:22.920]  was Spanish speaking.
[01:22.920 --> 01:26.440]  So 10 years ago, I took a year off to teach myself Spanish.
[01:26.440 --> 01:28.920]  And I just by random choice picked Columbia.
[01:28.920 --> 01:32.000]  And even by more random choice picked Manizales.
[01:32.000 --> 01:33.920]  So I had learned Spanish.
[01:33.920 --> 01:35.400]  But 10 years later, when I decided
[01:35.440 --> 01:38.200]  to branch out on my own as an independent cultivation
[01:38.200 --> 01:40.880]  consultant, I went back there.
[01:44.760 --> 01:47.840]  So I spent the last four years living and growing
[01:47.840 --> 01:51.160]  and consulting on cannabis projects in Columbia.
[01:51.160 --> 01:54.560]  And so I've been in some of the cooler regions
[01:54.560 --> 01:56.720]  and some rainy regions and some of the hottest
[01:56.720 --> 01:57.640]  regions in Columbia.
[01:57.640 --> 02:00.520]  So just before we went on air, you
[02:00.520 --> 02:03.480]  asked me how do I like growing in Manizales.
[02:03.520 --> 02:05.880]  So growing inside my apartment, it's
[02:05.880 --> 02:08.520]  great because the temperature is perfect
[02:08.520 --> 02:09.920]  and it gets plenty of sunlight.
[02:09.920 --> 02:14.720]  But Manizales, as you know, in Columbia,
[02:14.720 --> 02:18.440]  growing conditions are dictated oftentimes by elevation.
[02:18.440 --> 02:23.160]  And so where Manizales is, it's about 2,000 meters
[02:23.160 --> 02:26.720]  above sea level, which means it can get cold at night
[02:26.720 --> 02:28.520]  and it can tend to be cloudy and rainy.
[02:28.520 --> 02:31.240]  So we all know that's bad for cannabis.
[02:31.240 --> 02:33.400]  So indoors, it's fine.
[02:33.400 --> 02:36.640]  Outdoors, there's really not much cannabis cultivation
[02:36.640 --> 02:38.360]  just for exactly that reason.
[02:38.360 --> 02:42.080]  So any growing I've done and all the clients I've worked with
[02:42.080 --> 02:47.160]  are in regions below that number.
[02:47.160 --> 02:49.000]  But it's a manageable temperature
[02:49.000 --> 02:52.440]  for indoor operations, I guess.
[02:52.440 --> 02:54.560]  For indoor, you mean completely indoor?
[02:54.560 --> 02:58.960]  Well, or closed, let's say, enclosed operations.
[02:58.960 --> 03:02.320]  If it's really hot, greenhouses are, it's like, oh, no,
[03:02.320 --> 03:04.280]  they're trying to cool this huge place.
[03:04.280 --> 03:07.480]  You'd like to find somewhere a little cooler for it.
[03:07.480 --> 03:07.960]  Yep.
[03:07.960 --> 03:10.680]  Yeah, so in Manizales, the trick is really the night.
[03:10.680 --> 03:13.080]  You'd have to actually heat the greenhouse
[03:13.080 --> 03:14.960]  to have a healthy crop.
[03:14.960 --> 03:17.240]  So it just makes sense just to drive down the mountain
[03:17.240 --> 03:20.120]  a little bit where temperatures are really in the ideal range
[03:20.120 --> 03:21.920]  for growing cannabis.
[03:21.920 --> 03:24.920]  And you have the traditional land range there,
[03:24.920 --> 03:26.040]  Manizales Black.
[03:28.880 --> 03:30.040]  You ever see it?
[03:30.040 --> 03:31.280]  No.
[03:31.280 --> 03:31.920]  OK.
[03:31.920 --> 03:36.120]  That's a famous old Colombian one for sure.
[03:36.120 --> 03:38.000]  Oh, no, I never heard of that, actually.
[03:38.000 --> 03:39.600]  I'd love to look into that.
[03:39.600 --> 03:40.960]  Yeah, Manizales Negro.
[03:40.960 --> 03:43.600]  Yeah.
[03:43.600 --> 03:46.920]  And we got Kevin, have you grown, or Steve,
[03:46.920 --> 03:52.120]  just tell Kevin the cultivar you were just talking about.
[03:52.120 --> 03:54.400]  Manizales Negro, or Manizales Black.
[03:57.200 --> 03:59.360]  What was the name of it again, Steve?
[03:59.400 --> 04:02.400]  Manizales Black.
[04:02.400 --> 04:04.320]  No, not specifically.
[04:04.320 --> 04:07.840]  If you look back, like when you think of Punta Rojo,
[04:07.840 --> 04:11.560]  or Mango Beach, or Limon Verde, and Santa Marta Gold,
[04:11.560 --> 04:16.000]  the other big one was Manizales Black.
[04:16.000 --> 04:19.440]  Really black, black plant.
[04:19.440 --> 04:20.280]  Interesting.
[04:20.280 --> 04:21.400]  The coloration was black.
[04:21.400 --> 04:24.840]  Skinny little, skinny little buds, Manizales Black.
[04:24.840 --> 04:26.880]  What was the highlight?
[04:26.880 --> 04:27.760]  I didn't have it.
[04:27.760 --> 04:30.160]  I've only seen it in pictures.
[04:30.160 --> 04:31.200]  Gotcha.
[04:31.200 --> 04:32.360]  Yeah.
[04:32.360 --> 04:35.880]  But I have to try some for sure, because I've
