[00:00.000 --> 00:02.000]  We're doing an introduction.
[00:03.000 --> 00:05.000]  And we're live!
[00:06.000 --> 00:07.000]  Hey!
[00:07.000 --> 00:08.000]  Brand new.
[00:08.000 --> 00:12.000]  You know, we're creators and look at the opportunity we have.
[00:13.000 --> 00:15.000]  Just a second, I gotta adjust the microphone.
[00:16.000 --> 00:18.000]  I'm extremely excited for what we do.
[00:19.000 --> 00:25.000]  And particularly musicians, because you're a part of such a platform.
[00:27.000 --> 00:28.000]  It was off.
[00:28.000 --> 00:29.000]  What?
[00:29.000 --> 00:31.000]  We're live, goes together.
[00:35.000 --> 00:38.000]  Okay, so we are back on the Future Cannabis Project.
[00:38.000 --> 00:40.000]  Very honoured to be here.
[00:40.000 --> 00:41.000]  Again, my name is Andrew Gordon.
[00:41.000 --> 00:45.000]  I get the great privilege of serving as Vice President of BC Craft Farmers Co-op.
[00:45.000 --> 00:49.000]  We are hosting this wonderful party in conjunction with our amazing partners at Acres,
[00:49.000 --> 00:52.000]  the Association of Canadian Cannabis Retailers.
[00:53.000 --> 00:55.000]  That's a lot of seats.
[00:55.000 --> 00:57.000]  It doesn't fit on one business card.
[00:57.000 --> 00:59.000]  We have a lot of business cards.
[00:59.000 --> 01:01.000]  Shout out to Jacqueline and the whole team there.
[01:01.000 --> 01:02.000]  It's been absolutely incredible.
[01:02.000 --> 01:05.000]  This event has been a culmination of so much hard work.
[01:06.000 --> 01:08.000]  And so timely and poignant.
[01:08.000 --> 01:09.000]  Is this the first?
[01:09.000 --> 01:10.000]  In the inaugural?
[01:10.000 --> 01:11.000]  It is.
[01:11.000 --> 01:12.000]  The Eldorado Hotel, shout out to them.
[01:12.000 --> 01:16.000]  Shout out to Dutchie and Weed Pool, our sponsors at Stepped Up and On Fleet.
[01:16.000 --> 01:18.000]  Really making this all possible.
[01:18.000 --> 01:20.000]  You know, again, these events aren't free.
[01:20.000 --> 01:21.000]  They are an investment.
[01:21.000 --> 01:25.000]  And again, being able to draw so many amazing people here.
[01:25.000 --> 01:26.000]  And you are among them.
[01:26.000 --> 01:29.000]  Let me tell you, we rocked it out in venue one time.
[01:29.000 --> 01:30.000]  Is venue still open?
[01:30.000 --> 01:33.000]  Well, I mean, it's under trying times, but I believe yes.
[01:33.000 --> 01:35.000]  Granville Street is open and thriving again.
[01:35.000 --> 01:36.000]  Good, good, good.
[01:36.000 --> 01:39.000]  I hadn't noticed going by whether it was still open or not.
[01:39.000 --> 01:40.000]  Yeah.
[01:40.000 --> 01:41.000]  Yeah, that was a great show.
[01:41.000 --> 01:42.000]  It was an incredible time.
[01:42.000 --> 01:46.000]  We got to launch a fun cannabis brand and just really bring the whole community together
[01:46.000 --> 01:48.000]  during a time where, you know, Lyft is in town.
[01:48.000 --> 01:52.000]  You have to celebrate, get the best people and brightest people in the room together.
[01:52.000 --> 01:53.000]  And Ian helped us do that.
[01:53.000 --> 01:58.000]  You know, Ian, you've been working on the event and entertainment side of things for a long time.
[01:58.000 --> 02:03.000]  And with Loopool here leading the way, maybe we can just share a little insight on Loopool.
[02:03.000 --> 02:09.000]  Supporting creators and what the mission is there and how that ties into this fantastic individual to your right here.
[02:09.000 --> 02:15.000]  Yeah, I mean, like it's kind of the coming together of, I think, like all of my experiences in the past
[02:15.000 --> 02:17.000]  from doing stuff in music and also being in cannabis.
[02:17.000 --> 02:22.000]  I mean, look, what we really needed to do was we needed to do something that was going to be connecting music and cannabis
[02:22.000 --> 02:24.000]  and do something that was just genuinely meaningful.
[02:24.000 --> 02:29.000]  Like we had to do something that was going beyond like the celebrity, you know, putting Trailer Park Buds,
[02:29.000 --> 02:32.000]  Trailer Park Boys or something like that on there.
[02:32.000 --> 02:36.000]  So, you know, what I really wanted to sort of see was like I had been through the machine of the system,
[02:36.000 --> 02:40.000]  understanding just how challenging it is for artists and just how difficult the system is.
[02:40.000 --> 02:42.000]  And something had to come along and change it.
[02:42.000 --> 02:45.000]  And the way to do it is the artists have to come on board as co-founders.
[02:45.000 --> 02:49.000]  And it was really cool to get to build such an eclectic group that everybody, whether it's, you know,
[02:49.000 --> 02:54.000]  stars on the alternative side or division on the R&B side, everyone's all united on, you know,
[02:54.000 --> 02:57.000]  seeing the potential that cannabis can make a difference for the next gen of artists.
[02:57.000 --> 03:02.000]  Like how often does a new billion dollar industry come along that it has the potential to really make a difference?
[03:02.000 --> 03:05.000]  Yeah, I agree, to inspire and to galvanize and to change.
[03:05.000 --> 03:10.000]  And I look at, you know, the power that music has to really resonate with people and to destigmatize
[03:10.000 --> 03:15.000]  and really harness the potentiality of the aims and aspirations of what legalization represents.
[03:15.000 --> 03:21.000]  And I'm so encouraged that a brand like yours is rising and coming to the table and really creating a unique exchange
[03:21.000 --> 03:27.000]  between artists who are creative, who in many cases use cannabis to get charged up, to get creative,
[03:27.000 --> 03:30.000]  to get imaginative about what they're doing or to relax.
[03:30.000 --> 03:32.000]  That's it. It's also a stressful industry. That's not to deny.
[03:32.000 --> 03:35.000]  Cannabis has saved me on a number of occasions at this event.
[03:35.000 --> 03:39.000]  I think that one of the biggest things though is we want to find a way to be able to put emotion into cannabis.
[03:39.000 --> 03:43.000]  Like it's really been made so difficult like by design, right?
[03:43.000 --> 03:45.000]  But it is such like an emotional product.
[03:45.000 --> 03:49.000]  Like we got to find little ways that you actually can compliantly make those touch points.
[03:49.000 --> 03:54.000]  This is the thing for me. I don't know anything about business at all.
[03:54.000 --> 03:59.000]  That's why I'm a musician because I enjoy getting screwed for a living.
[03:59.000 --> 04:01.000]  And I can't play the triangle.
[04:01.000 --> 04:05.000]  But I do know that like my life has been music and weed.
[04:05.000 --> 04:11.000]  Like those two things are inextricably forever linked in my world.
[04:11.000 --> 04:14.000]  And weed's helped me understand music better.
[04:14.000 --> 04:16.000]  It's helped me be a better musician.
[04:16.000 --> 04:19.000]  And it's helped me meet people all over the world.
[04:19.000 --> 04:25.000]  The number of times like I've stood in an alleyway with a bunch of kids and smoked a joint and talked about life.
[04:25.000 --> 04:35.000]  Like I agree with Ian that there is this ineffable part of marijuana that isn't like drinking or anything else.
[04:35.000 --> 04:36.000]  It is a chalice.
