[00:00.000 --> 00:04.680]  All right, everybody tell me if we are live in the chat
[00:05.320 --> 00:07.320]  Let's wait to see
[00:08.640 --> 00:12.560]  All right, well, well I'm actually he's
[00:14.400 --> 00:20.800]  Six five with the afro six nine is Masonic smoker
[00:24.080 --> 00:26.000]  So
[00:26.000 --> 00:28.000]  Take it away Brian
[00:28.440 --> 00:34.480]  Yeah, what's up guys Brian Waksman 303 organic cannabis here last these last two weeks
[00:34.480 --> 00:39.200]  I put up a few things in my stories and I was trying to ask the community who you know
[00:39.200 --> 00:40.720]  Who do you guys want to hear from?
[00:40.720 --> 00:47.160]  I mean overwhelmingly everything in the and the DMS came back Masonic smoker Masonic smoker Eddie Edgar
[00:47.440 --> 00:50.720]  So we've reached out to him and that's why he's on the show today
[00:50.720 --> 00:53.720]  It's because you guys reached out to me and said that you wanted to hear from him
[00:53.720 --> 01:00.560]  So we're excited to hear all about Masonic and what he's after and let's talk a little bit also about your store
[01:00.560 --> 01:02.560]  I heard that's a opening up here soon as well
[01:03.640 --> 01:10.360]  Yeah, man. Thanks for asking about the store. That's cool. I'm I was trying to open a store on
[01:10.880 --> 01:12.320]  in the hood
[01:12.320 --> 01:18.520]  But I figure there's too much shock factor for people to come to the hood like like they'd have to think of two things
[01:18.520 --> 01:22.120]  You know, like alright, do you want to go to the hood and like?
[01:22.240 --> 01:27.360]  You know, there'd be different things to think about like maybe your car getting broken into or something and I don't want that pressure on me
[01:27.360 --> 01:29.040]  So we're not doing it in the hood
[01:29.040 --> 01:33.840]  We figured why not where all the dudes that go by cool stuff buy stuff
[01:34.080 --> 01:40.040]  We'll set up there Fairfax where supreme that rip and dip all these, you know, hype be shop
[01:40.040 --> 01:45.960]  So I set up shop directly on that Avenue freakin walking distance from Shabinsky shop
[01:45.960 --> 01:49.680]  Which is literally you can count the steps it takes to get there from my place
[01:49.680 --> 01:56.760]  60 days give or take I mean, you know already demoed the place already set in the floor already did all types of things
[01:56.760 --> 02:02.680]  So that place is ready to go and I only got the second part of your question. I
[02:03.320 --> 02:05.320]  Was the first part? Oh
[02:06.000 --> 02:10.080]  I was just letting everybody know that I put out the stories in my
[02:10.920 --> 02:15.080]  Instagram last week and the overwhelming majority of them wanted to hear from you. Oh
[02:15.080 --> 02:22.200]  Yeah, we're trying to give everybody a platform and just people that are influencing the industry people that have influenced the industry
[02:22.200 --> 02:25.360]  And that's why I reached out at least on my side of things
[02:25.920 --> 02:30.680]  To our viewers and we're like, you know, who do you want to talk to man? And they said the boy from Compton
[02:30.680 --> 02:32.680]  So that's why I'm here
[02:32.680 --> 02:37.000]  Shout out those guys. I'm gonna go ahead and get the next question. I'm gonna go ahead and get the next question
[02:37.000 --> 02:40.000]  I'm gonna go ahead and get the next question. I'm gonna go ahead and get the next question
[02:40.000 --> 02:47.720]  Yeah, we've had some interesting guests talking about pollen shocking, you know from a lot from the or two from the West Coast one from the
[02:47.720 --> 02:52.160]  Midwest and dying to hear what it's like in the urban, you know scene. I mean
[02:52.160 --> 02:53.360]  I mean
[02:53.360 --> 02:57.840]  Call it what you want to call it pollen chuck and seed making all this other shit
[02:57.840 --> 03:02.760]  But at the end of the day fucking I call it just putting seeds in people's hands and then running nose
[03:02.760 --> 03:06.480]  I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean
[03:06.480 --> 03:12.360]  Fucking I call it just putting seeds in people's hands and then running numbers on their hash or yield or whatever, you know
[03:12.600 --> 03:15.680]  so fucking I think pollen chucking has a
[03:16.560 --> 03:19.040]  You know like a negative connotation towards it
[03:19.040 --> 03:21.440]  I don't think I would want to be called a pollen checker, you know
[03:21.440 --> 03:25.140]  So so just you know seed maker would be a better one, you know what I mean?
[03:25.440 --> 03:29.360]  So so seed maker on the West Coast just just do it man
[03:29.360 --> 03:35.160]  I tell everybody just do it fucking make seeds make seeds. Fuck it. Fuck. Fuck the unwritten rules
[03:35.480 --> 03:37.480]  It's never set in stone
[03:37.800 --> 03:43.000]  Just it's just another barrier for you to you know, not do whatever so just do whatever you want
[03:43.000 --> 03:48.240]  It's plant who cares they want it. They can have it if they don't you're damned if you do you're damned if you don't
[03:49.480 --> 03:51.480]  Love the toad man. Love the toad
[03:52.800 --> 03:53.760]  Yeah
[03:53.760 --> 03:56.040]  People have you can come out on these last few weeks
[03:56.840 --> 04:01.560]  You know kind of stating how they feel about it as a breeder as a seed maker saying, you know
[04:01.560 --> 04:03.560]  a few of them were even saying hey once I
[04:03.840 --> 04:09.240]  Buy your seeds, you know, they belong to me now and I and I'm gonna do what I want with them and that kind of
[04:09.240 --> 04:12.340]  Stuff and then there's you know, the other camp that feels like
[04:12.860 --> 04:15.280]  There is unwritten rules and you have to kind of play that
[04:15.280 --> 04:18.580]  So if you want to kind of wrap about that for a little bit
[04:18.580 --> 04:21.440]  I know a lot of people would love to hear like your side of things
[04:22.080 --> 04:27.920]  One thing I do get is okay. Say say for instance capulator gave me a shiver me timbers, right?
[04:27.920 --> 04:32.440]  I any and I made a cross with it. This is a highly esteemed guy
[04:32.440 --> 04:38.520]  We did a face-to-face interaction is like a real handshake, you know what I mean? So that's that's
[04:38.840 --> 04:44.120]  Enough written for me. I respect that now. There's guys that sell you a $500 pack
[04:44.200 --> 04:48.520]  They never do this coral jewel thing. Then they see somebody, you know
[04:49.080 --> 04:54.760]  Make a name for themselves per se off of you know, something they got from somebody else's work now. They're upset
[04:55.520 --> 05:01.760]  People got to address things, you know the right way and and and there's a time to be upset about things
[05:01.760 --> 05:03.760]  but then there's like
[05:04.880 --> 05:11.920]  Corn ball maze about it. I don't trip personally on anything if I don't want people to have it. I don't release it
[05:11.920 --> 05:13.920]  It's that simple
[05:13.960 --> 05:19.240]  Yeah, I would say that most people probably echo that that sentiment. I mean once it's out there
[05:20.160 --> 05:26.800]  We were even joking with Bodhi last week with a fish. You're not up putting out like once I release something she belongs to the streets
[05:27.800 --> 05:33.480]  Yeah, that's kind of corny I don't like that that way of talking all right fair enough
[05:35.600 --> 05:41.660]  Nice so, uh, hey, can we dive into your growing technique you in the ground and pots and beds? What are you doing?
[05:42.040 --> 05:47.400]  Everything dude, I've done a little bit of everything right now. I'm growing for seed production. So I do the bare minimum
[05:47.400 --> 05:50.200]  I'll grab a I'll grab a one gallon
[05:50.200 --> 05:53.120]  I'll let that shit tap into the ground and fucking blow up and
[05:53.400 --> 05:58.120]  Call it a day or I'll grab a 30 gallon pot and it won't happen to the ground or it may happen
[05:58.320 --> 06:00.320]  Let it blow up call it a day
[06:00.600 --> 06:05.960]  Freaking right on this last run. I literally used I used a bunch of roots organics. I used
[06:06.480 --> 06:11.600]  Like roots organics. I was just like as the medium I use the redbud soil living soil, but I'm over here
[06:11.600 --> 06:16.720]  I don't even like the chlorinate or you know reverse osmosis. I just like water. I'm like, whatever
[06:16.720 --> 06:20.800]  I just kind of I just did it whatever it in a I top dressed with
[06:21.200 --> 06:24.160]  What's that was that thing called beanstalk agriculture, it's one of my
[06:24.800 --> 06:28.720]  Buddies things either like try this. It's like an extended release feeding program
[06:28.720 --> 06:33.440]  But at the end of the day all that is for seed production. It's not no none of this is gonna get smoked
[06:33.440 --> 06:38.000]  It's just to maximize and as far as the last time I did for
[06:38.640 --> 06:42.480]  Hash, which was recently to show out the seeds that I made recently
[06:42.480 --> 06:48.000]  I did a I ran mills and call it a day and fucking knows some of the best hash probably the best hash I've had
[06:48.560 --> 06:50.560]  today
[06:50.800 --> 06:52.800]  What was the cultivar you were using
[06:53.600 --> 06:58.560]  Everything I used the everybody stuff every clone anything cool on the market
[06:59.120 --> 07:03.120]  Last run I did a all my Wilson hybrids that I crossed to everything
[07:04.240 --> 07:10.800]  Everything like I really have to sit here with like a list like going out the door of what I grew any given time
[07:11.520 --> 07:13.760]  And you threw all that into the hash mix
[07:14.560 --> 07:18.240]  Yes, mix hash phenol hunt run or whatever. It was like 6% average
[07:18.480 --> 07:20.480]  Nice nice
[07:21.040 --> 07:23.600]  So smorgasbord of friggin cultivars
[07:24.640 --> 07:26.640]  Or the ones that are sticking out for you
[07:27.360 --> 07:31.520]  Uh shoot like my the the poontang pie will send stuck out
[07:31.520 --> 07:36.080]  This is from the the recent hash run the Malibu Marsha and sure enough like I
[07:38.080 --> 07:43.020]  Told people well the a guys these are the numbers come back in left and right
[07:43.020 --> 07:46.540]  Oh, you know five five five five, you know five percent close to six
[07:46.540 --> 07:51.500]  You know a lot of a lot of five in any given, you know, 12 pack of seeds people are finding fives
[07:51.500 --> 07:53.500]  Which is pretty dope
[07:54.060 --> 07:56.060]  Yeah
[07:56.060 --> 07:59.820]  And that's whole plant fresh frozen for anybody that's like what is he talking about fives like no
[07:59.820 --> 08:04.460]  This is when they wash it do do do do they got you know the mail and then they squish it
[08:04.460 --> 08:09.820]  They're left with the you know, five percent from whatever whole plant fresh frozen material that they washed
[08:11.820 --> 08:13.820]  And that's really what I
[08:14.060 --> 08:18.300]  Correct me if I'm wrong, but it seems like you were you know, maybe two years ago
[08:18.940 --> 08:24.220]  Really starting to come on to the scene on instagram and then um just continuing to post. I know that you're
[08:24.780 --> 08:26.780]  You know you post constantly and it seems like
[08:27.420 --> 08:33.660]  Now you've really made a name for yourself. I'm coming from you know where you came from. I would love to learn more about that
[08:34.380 --> 08:37.660]  Kind of as a self-made individual. I like that kind of story
[08:38.460 --> 08:42.060]  I mean, I just gave it my best shot. I'm not gonna lie. I'm not gonna lie
[08:42.060 --> 08:47.980]  I mean, I just gave it my best shot. I've been growing i've been smoking since I was you know, 15
[08:48.540 --> 08:50.540]  Never stopped not once
[08:50.620 --> 08:55.420]  uh, just kept smoking kept growing I always grow for funsies and uh
[08:55.980 --> 09:01.980]  Little did I know i'd end up in this position, you know getting interviewed or something crazy like that. I was working at ride-aid
[09:02.540 --> 09:06.460]  Uh two years ago, you know what I mean? So freaking life's crazy like that
[09:07.020 --> 09:13.100]  What just shows man, I mean you're on there all day long you're obviously putting in the work, um, i'm on instagram
[09:13.180 --> 09:16.300]  I know I know the amount of work that it takes to really start to build a following
[09:16.540 --> 09:18.860]  I know you're getting your accounts deleted for your you know
[09:18.860 --> 09:25.020]  Your own personality and having fun with it and that kind of stuff. Um, and now you really build a uh following and it really
[09:25.740 --> 09:29.020]  It doesn't really matter now if they delete your account that following comes right back
[09:29.100 --> 09:34.140]  And I feel like that's the real difference in the cannabis space. A lot of these guys have these fake followers fake accounts
[09:34.620 --> 09:39.500]  Um, and so they're not able to sell when they put out a t-shirt or something like that because they don't actually have a real
[09:39.580 --> 09:43.020]  Following so that's something else that I like to see man is that you're authentic
[09:43.340 --> 09:47.340]  Um that your following comes back no matter what the ig police try to do to you
[09:48.300 --> 09:56.220]  Yeah, man freaking uh, I just kept it true. I kept it true and uh, I tell people just be good good people usually
[09:56.940 --> 09:59.820]  prevail, I mean if you're a shitty person that shit will
[10:00.540 --> 10:02.540]  Show so if I could
[10:02.540 --> 10:09.340]  And I just kept it kept it real. I keep it real. So sounds like we're like this guy keeps it real. He's you know, whatever
[10:10.140 --> 10:13.580]  I just don't keep it real till it goes wrong like dave chapelle, but you know
[10:16.620 --> 10:18.620]  So tell us a little bit about the wilson
[10:19.880 --> 10:22.880]  Wilson wilson is banana og papaya
[10:23.740 --> 10:27.100]  times tropicana f2 so banana og papaya
[10:27.740 --> 10:28.940]  is oni
[10:28.940 --> 10:36.220]  Uh is is is from the oni banner when harry palms used to work with oni. So that's a banana og papaya
[10:36.860 --> 10:39.660]  femme stock that I found freaking
[10:40.300 --> 10:44.140]  Feels like four years ago now. I I I I popped a couple of those
[10:44.940 --> 10:47.980]  And uh, this is when the first some of the first papaya
[10:48.620 --> 10:52.700]  femmes were available to people point blank period and I I just had my kind of
[10:53.900 --> 10:57.260]  Nose on that and I figured here goes nothing. I I grew
[10:58.220 --> 11:03.020]  A banana og papaya purple punch papaya three chem papaya
[11:04.040 --> 11:06.040]  fabuloso papaya
[11:06.060 --> 11:09.020]  And I think there's one more but I can't think of it right now
[11:09.420 --> 11:15.260]  And I grew those out and the banana og papaya really stuck out to me amongst those papaya hybrids
[11:15.740 --> 11:21.260]  And at the time I had a tropicana f2 mel from growing those out because that's when the trop f2s were released as well
[11:21.420 --> 11:25.900]  Which everybody fucking loves and grows to this day and i'm all like that's a special plant
[11:26.540 --> 11:31.180]  Uh, I I I asked harry palms at the time because he was part of the oni banner. I was like, hey
[11:31.980 --> 11:36.940]  Is this a good you know, here goes the unwritten rules like i'm following the rules, you know, i'm asking permission
[11:37.100 --> 11:39.100]  So I asked permission. He says go for it
[11:39.660 --> 11:42.860]  Oni hits me up. He's like hey, what the fuck I was gonna do that
[11:43.100 --> 11:48.940]  And that's how we work together because I was all like hey i'm like if you say no, it's no he's like i'll you know
[11:49.100 --> 11:53.900]  We can work together. So we we work together and that's how I you know, you play your cards, right?
[11:54.620 --> 11:55.900]  You know
[11:55.900 --> 11:58.460]  You'd be in a good spot like I didn't break any of the rules
[11:58.540 --> 12:05.020]  That's what people give me. I broke the rules after I just started popping seeds and just just killing first asking questions later
[12:05.420 --> 12:09.820]  That's when I started breaking rules, but that's like I wasn't that's not a cash grab for me
[12:09.820 --> 12:11.820]  That's just me having fun in my backyard
[12:12.140 --> 12:16.780]  And uh and throwing it on the side apparently but who gives a rat's ass people can do whatever the fuck they want
[12:16.780 --> 12:18.780]  And that's where the unwritten rules get mixed up
[12:19.020 --> 12:23.260]  But like i'm not trying to make a namesake off of a f1 hybrid now
[12:23.660 --> 12:28.300]  The wilson f1 hybrid I did kind of make a namesake, but I asked permission and followed
[12:28.620 --> 12:31.100]  You know the routes and when as far as f2 in it
[12:31.180 --> 12:36.780]  I have an f3 that only me oni and probably two other people have that i'm f4ing but people want to be like
[12:37.260 --> 12:39.260]  I like to people like blood man
[12:39.340 --> 12:41.740]  They don't want to hear all this shit and when they do hear the shit
[12:41.820 --> 12:46.380]  They got to come to avenues like this because instagram they only get you know
