[00:00.000 --> 00:03.040]  with this phytocannabinoid diet.
[00:03.040 --> 00:07.480]  So this, I'm not expecting you to be able to understand
[00:07.480 --> 00:09.960]  a lot of the details that are on this slide,
[00:09.960 --> 00:11.480]  because I know there's a lot of it.
[00:11.480 --> 00:16.480]  In fact, I teach my students and our staff
[00:17.080 --> 00:20.960]  at Precision Light Molecules a lot of these portions
[00:20.960 --> 00:23.280]  of this phytocannabinoid diet.
[00:23.280 --> 00:26.960]  And what you see there is basically everything
[00:26.960 --> 00:29.960]  that's going on in the plant.
[00:29.960 --> 00:32.840]  And in the center, you have the CBGA,
[00:32.840 --> 00:35.760]  which is basically the starting molecule
[00:35.760 --> 00:37.760]  of all the cannabinoids in the plant.
[00:37.760 --> 00:42.640]  And what happens is as the plant grows and ages,
[00:42.640 --> 00:46.120]  there's a lot of environmental factors and conditions
[00:46.120 --> 00:48.600]  that basically influence what's happening
[00:48.600 --> 00:52.080]  with the whole profile of cannabinoids in the plant.
[00:52.080 --> 00:57.080]  So sunlight, temperature, the air, oxidation,
[00:57.800 --> 00:59.960]  there's enzymes all over the place.
[00:59.960 --> 01:03.320]  So this entire phytocannabinoid diet
[01:03.320 --> 01:07.320]  could take years to explain in detail.
[01:07.320 --> 01:10.040]  And it's a fascinating, fascinating science.
[01:10.040 --> 01:14.040]  And we have it hanging all over our company.
[01:14.040 --> 01:16.200]  We have two sites in Denver,
[01:16.200 --> 01:19.040]  and we always have to refer back to it
[01:19.040 --> 01:22.040]  to figure out which cannabinoid are we looking at,
[01:22.040 --> 01:24.280]  and how is the plant making it,
[01:24.320 --> 01:26.520]  because it's really, really complex.
[01:32.700 --> 01:34.940]  Let me not forget to teach you a little German.
[01:34.940 --> 01:39.940]  So the pharmacy, pharmacy factory,
[01:41.340 --> 01:44.980]  the hemp plant and the cannabis plant,
[01:44.980 --> 01:46.580]  marijuana as well as hemp,
[01:46.580 --> 01:50.300]  both of them are basically pharma factories.
[01:50.300 --> 01:54.540]  So they have all of these amazing cannabinoids in there,
[01:54.540 --> 01:58.180]  but that's just a tiny little bit of the compounds
[01:58.180 --> 01:59.780]  that you can find in there.
[01:59.780 --> 02:02.460]  For example, another major constituent
[02:02.460 --> 02:05.020]  in the plant is terpenes.
[02:05.020 --> 02:08.660]  Terpenes are the wonderful smelling molecules
[02:08.660 --> 02:12.860]  that give you a sense of aroma.
[02:12.860 --> 02:17.180]  For example, what's in there is a lot of pine extracts
[02:17.180 --> 02:20.580]  that, you know, if you smell a pine tree,
[02:20.580 --> 02:23.900]  the terpene that's in the pine tree is the same terpene
[02:24.260 --> 02:26.900]  that you can also find in cannabis.
[02:26.900 --> 02:30.820]  Also another terpene that I love is linden mol
[02:30.820 --> 02:35.220]  or citra that you can find in citrus fruit.
[02:35.220 --> 02:38.180]  So terpenes have actually been shown to have
[02:38.180 --> 02:41.420]  very important bioactivity as well,
[02:41.420 --> 02:44.060]  and they can actually work hand in hand
[02:44.060 --> 02:48.500]  in this perfect marriage with the cannabinoids
[02:48.500 --> 02:51.020]  in an effect that's called the Amont-Relig effect,
[02:51.020 --> 02:53.420]  in which the two can work synergistically
[02:53.940 --> 02:57.740]  to actually give a bit of greater bioactivity.
[02:57.740 --> 02:59.660]  And there have been studies published,
[02:59.660 --> 03:01.140]  and more will be coming out,
[03:01.140 --> 03:03.820]  on how terpenes are really beneficial
[03:03.820 --> 03:08.100]  for anti-inflammatory applications and pain.
[03:09.580 --> 03:11.900]  Now, the other things that are in there is
[03:13.140 --> 03:16.740]  we are also dealing with a lot of cannaflavins
[03:16.740 --> 03:19.780]  as well as fats, lipids, amino acids.
[03:19.780 --> 03:21.300]  I mean, the list goes on and on,
[03:21.340 --> 03:25.780]  and we're having thousands of amazing compounds in cannabis.
[03:29.420 --> 03:33.740]  So let's discuss major and minor cannabinoids,
[03:33.740 --> 03:37.500]  because before I came here today,
[03:37.500 --> 03:42.140]  I actually conducted a poll of the participants
[03:42.140 --> 03:45.500]  at this expo, and the majority of the people
[03:45.500 --> 03:46.580]  kind of heard about this,
[03:46.580 --> 03:48.780]  well, what is a minor cannabinoid?
[03:48.820 --> 03:50.220]  But then there are some people
[03:50.220 --> 03:52.460]  who did not know what that means.
[03:52.460 --> 03:54.820]  So let's talk about what is major,
[03:54.820 --> 03:56.700]  what's a minor cannabinoid.
[03:56.700 --> 04:00.820]  So in marijuana, for example, THCA,
[04:00.820 --> 04:04.220]  or after decarboxylation, THC,
[04:04.220 --> 04:07.500]  is basically present in its majority.
[04:07.500 --> 04:12.500]  So the highest concentrated cannabinoid is THCA,
[04:13.300 --> 04:16.900]  or then after decarboxylation, THC.
[04:16.900 --> 04:19.100]  Now, when the farm bill was signed,
[04:19.100 --> 04:22.740]  and things became legal, the THC folks,
[04:22.740 --> 04:24.780]  they were so smart, and they were able to,
[04:24.780 --> 04:28.820]  with breeding and genetics, to bring the THC down
[04:28.820 --> 04:33.260]  and outregulate the gene that produces CBD.
[04:33.260 --> 04:35.220]  So back then, in the marijuana plant,
[04:35.220 --> 04:37.340]  CBD was a minor, and then it evolved
[04:37.340 --> 04:40.820]  into the major cannabinoid now in hemp.
[04:40.820 --> 04:44.620]  And the same thing actually applies to CPG.
[04:44.620 --> 04:48.180]  Two years ago, CPG had a premium price,
[04:48.180 --> 04:51.020]  and it was considered one of the minor cannabinoids,
[04:51.020 --> 04:54.340]  meaning it's present only in very small concentrations
[04:54.340 --> 04:58.620]  in cannabis, and again, it's become really, really smart
[04:58.620 --> 05:02.260]  in breeding and selectively isolating the gene
[05:02.260 --> 05:05.300]  that's responsible to make CPG a majority.
[05:05.300 --> 05:09.260]  So now, you can buy CPG in the amounts,
[05:09.260 --> 05:12.860]  almost similar prices to CBD, a little more expensive.
[05:12.860 --> 05:16.140]  So when we're talking about minor cannabinoids now,
[05:16.140 --> 05:18.500]  that really means that these are the cannabinoids
[05:18.500 --> 05:22.580]  that are present in pretty low concentrations in the plant.
[05:22.580 --> 05:27.060]  But, make no mistake, these minor cannabinoids,
[05:27.060 --> 05:30.260]  next year's might be the next big hit on the market
[05:30.260 --> 05:32.380]  and become the major cannabinoids,
[05:32.380 --> 05:34.860]  because in reality, when you investigate
