[00:00.000 --> 00:02.000]  And how do you pronounce your name?
[00:02.000 --> 00:04.000]  Kwa Te Mok.
[00:04.000 --> 00:06.000]  Okay, can I call you Kwa?
[00:06.000 --> 00:08.000]  Everybody calls me Mr. V.
[00:08.000 --> 00:10.000]  Mr. V, alright.
[00:10.000 --> 00:15.000]  And I believe we are live, so welcome everyone.
[00:15.000 --> 00:19.000]  Let me know if you can see me in the chat.
[00:24.460 --> 00:29.460]  Can you see us in the chat, chat, chat?
[00:30.460 --> 00:32.460]  Yo, Phil.
[00:32.460 --> 00:34.460]  Icons.
[00:34.460 --> 00:37.460]  Yes, okay, I see a thumbs up.
[00:37.460 --> 00:40.460]  I'll assume that that means you can see us in the chat.
[00:40.460 --> 00:47.460]  So, today we're talking to Olfactory Genetics at 3 o'clock Pacific time,
[00:47.460 --> 00:52.460]  but we have the bonus, the warm-up act.
[00:52.460 --> 00:56.460]  We're going to talk Biochar and Living Soil with Mr. V.
[00:56.460 --> 00:57.460]  So, welcome.
[00:57.460 --> 01:04.460]  So, you gave a presentation, and let me just show everybody your Instagram
[01:04.460 --> 01:06.460]  so they can follow along.
[01:06.460 --> 01:07.460]  Give me one second.
[01:07.460 --> 01:13.460]  But you gave a presentation, the Scaling Biochar Forum,
[01:13.460 --> 01:15.460]  which was on October 13th and 14th.
[01:15.460 --> 01:19.460]  So, can you kind of talk about some of the stuff from your –
[01:19.460 --> 01:21.460]  did you give a presentation there?
[01:21.460 --> 01:23.460]  Yeah, I did.
[01:23.460 --> 01:24.460]  I kind of went over –
[01:24.460 --> 01:26.460]  Do you want to give me a clip notes version?
[01:26.460 --> 01:27.460]  I will, I will.
[01:27.460 --> 01:33.460]  So, my work with the biochars is a little bit different than the other presenters.
[01:33.460 --> 01:36.460]  I do a lot of actual application out in the field,
[01:36.460 --> 01:40.460]  so I can push the envelope and the edges a little bit more outside of the boxes
[01:40.460 --> 01:44.460]  and outside the rules because I'm actually out there in the field and can do that.
[01:44.460 --> 01:49.460]  So, my presentation was about biochar and about using biochar raw
[01:49.460 --> 01:52.460]  and using biochar charged.
[01:53.460 --> 01:57.460]  And also, we had rows that were planted with identical plants,
[01:57.460 --> 01:58.460]  but two different styles.
[01:58.460 --> 02:02.460]  On one half of the field, we were able to char that till into the rows
[02:02.460 --> 02:04.460]  and fill the rows completely with biochar.
[02:04.460 --> 02:08.460]  And on the other half of the field, we only could afford to put biochar
[02:08.460 --> 02:10.460]  in at planting in the holes.
[02:10.460 --> 02:16.460]  So, that was very interesting because the plants, as they grew, they looked identical.
[02:16.460 --> 02:21.460]  The sizes were enormous and beautiful, and we couldn't tell what the difference was.
[02:21.460 --> 02:26.460]  So, going into flower, it looked like the results were going to be the same,
[02:26.460 --> 02:29.460]  whether I put the char all the way through the row or if I put it in the hole.
[02:29.460 --> 02:32.460]  But the real results came at the end of the season when we sent it to lab.
[02:32.460 --> 02:35.460]  I was working for a company that they mainly make concentrates.
[02:35.460 --> 02:37.460]  That's all they do is concentrate oil.
[02:37.460 --> 02:42.460]  So, they had a lot of data prior to using regenerative farming and biochar,
[02:42.460 --> 02:43.460]  growing the same strains.
[02:43.460 --> 02:48.460]  And then, now we started to collect the data from the biochar-grown crops.
[02:48.460 --> 02:52.460]  So, that's why I was presenting at that particular conference and sharing the information.
[02:52.460 --> 02:58.460]  And what we did find out was that biochar first season in the rows where the char was
[02:58.460 --> 03:03.460]  put in completely into the row, you saw a double amount of terpenes being developed
[03:03.460 --> 03:05.460]  in the final product of the oil.
[03:05.460 --> 03:08.460]  Sometimes, we even got close to three times the amount of oil.
[03:08.460 --> 03:11.460]  And this was a direct contribution to the carbon ring.
