[00:00.000 --> 00:06.480]  In one week.
[00:17.590 --> 00:17.990]  Okay.
[00:17.990 --> 00:26.270]  So this plant died because the filter got stuck and the plant didn't get enough
[00:26.270 --> 00:26.670]  water.
[00:27.630 --> 00:34.470]  And this fan, which gives the, the plant circulation was pointed in that
[00:34.470 --> 00:35.070]  direction.
[00:35.310 --> 00:40.510]  And so when the humidifier comes on at night, the humidity gets low.
[00:40.790 --> 00:43.350]  So the medium dried out.
[00:46.510 --> 00:50.270]  And so you have it in, uh, these are Hugo's.
[00:50.950 --> 00:54.750]  Those are six by six Hugos and grown and blocks.
[00:54.750 --> 01:08.460]  And then you have your use in a psycho nutrients company out of Australia,
[01:09.420 --> 01:13.060]  residual from the, what's the name of that group?
[01:13.220 --> 01:14.220]  Advanced nutrients.
[01:14.300 --> 01:16.420]  And we're playing classical music.
[01:16.540 --> 01:17.260]  That's correct.
[01:20.500 --> 01:22.100]  Are they enjoying the classical music?
[01:22.220 --> 01:22.700]  They do.
[01:25.180 --> 01:29.620]  And so what, so is each section a different cultivar?
[01:30.860 --> 01:35.180]  And the bar one or over there, those are strawberry bananas.
[01:35.260 --> 01:35.540]  Yeah.
[01:36.940 --> 01:37.980]  These are wedding cake.
[01:38.820 --> 01:40.060]  And those are gas leak.
[01:42.540 --> 01:44.380]  And then how'd you settle on those three?
[01:44.420 --> 01:45.900]  Like, where'd you get them from?
[01:46.900 --> 01:49.860]  I got them from LA genetics was LA genetics.
[01:51.620 --> 01:52.540]  I'd have to look it up.
[01:54.860 --> 01:56.540]  And you're generally, you're happy with it.
[01:56.980 --> 02:02.540]  Well, I've grown the wedding cake before my last operation was closed.
[02:02.980 --> 02:08.180]  And this is a little bit different than the variety that I was growing, but I was
[02:08.180 --> 02:08.820]  always happy.
[02:08.820 --> 02:10.420]  And so it was my customer base.
[02:12.140 --> 02:14.820]  And I've grown the strawberry banana before as well.
[02:16.980 --> 02:21.020]  These are a thousand watt HPS single ended bulbs.
[02:22.020 --> 02:22.660]  Old school.
[02:22.780 --> 02:27.420]  And you, uh, and you have one, two, three, four, five, you have six in total.
[02:27.420 --> 02:29.300]  And for how many square feet basically?
[02:29.660 --> 02:33.860]  Uh, I guess the canopy in here is about 96 square feet.
[02:33.900 --> 02:35.540]  Each table is a four by eight.
[02:36.100 --> 02:39.940]  So that's 32 square feet times three.
[02:43.460 --> 02:49.020]  And then you basically have this on a, uh, basically.
[02:49.340 --> 02:50.300]  Totally automated.
[02:50.740 --> 02:56.620]  It's a 55 gallon drum and I'll use that for three days.
[02:57.660 --> 03:03.300]  The plants are drinking anywhere from 10 to let's say at this later stage, 15
[03:03.300 --> 03:05.140]  gallons a day.
[03:06.180 --> 03:12.540]  And so I'll use this mix for three days and then whatever's left, I dump and
[03:12.540 --> 03:13.100]  refill.
[03:14.100 --> 03:14.300]  Got it.
[03:15.100 --> 03:22.100]  A and B and all the other nutrients, uh, that are needed during the different
[03:22.100 --> 03:22.940]  stages.
[03:23.020 --> 03:26.540]  And so what are some of those that you'd like to add at different stages?
[03:26.540 --> 03:29.980]  Let's talk like when they're, when they're rewounds.
[03:30.820 --> 03:34.980]  Well, in the beginning of the A and B, the grow is pretty simple.
[03:34.980 --> 03:40.100]  So you have an A and B, you have a B vitamin, a Zyme.
[03:43.580 --> 03:47.580]  And a CalMag basically calcium, magnesium.
[03:50.770 --> 03:53.250]  And then as you kind of progress, what's going on?
[03:53.610 --> 03:54.930]  Like what, what are you adding?
[03:55.570 --> 03:59.530]  Well, later in the stage you'll add a silica to provide strength.
[04:00.650 --> 04:08.370]  Uh, and I guess density as far as the base of your plant and then add it to, to
[04:09.290 --> 04:10.530]  promote root growth.
[04:11.370 --> 04:19.890]  And then in the beginning stages of flowering, I'll add a potassium and a
[04:19.890 --> 04:26.130]  nitrogen additive for the first couple of weeks and then phase that out.
[04:26.130 --> 04:26.650]  For what?
[04:27.650 --> 04:35.250]  The, the nitrogen based additive helps keep the plants green because in the
[04:35.250 --> 04:41.250]  changeover from metal halide to HPS, it can be light shock and then that will
[04:41.250 --> 04:42.890]  start yellowing out your leaves.
[04:45.210 --> 04:51.650]  And the nitrogen helps number one with the continued root development as well as
[04:51.650 --> 04:54.770]  the, uh, keeps the leaves nice and green.
[04:56.970 --> 04:59.370]  And then as we're nearing the finish line,
[04:59.570 --> 05:07.520]  When you're nearing the finish line, you want to give some sweeteners and a Bud
[05:07.520 --> 05:16.320]  Hardener, a bat guano provides a little bit of a taste as well for that old school
[05:18.120 --> 05:19.400]  terpene development.
[05:21.520 --> 05:27.320]  And through the stages you'll want to give a little bit of a sweetener.
[05:27.320 --> 05:34.080]  And through the stages you'll ramp up your PPM, which is your parts per million
[05:34.120 --> 05:36.080]  as far as the nutrient level.
[05:36.560 --> 05:39.400]  And then at the end you'll start to phase that off.
[05:40.480 --> 05:44.240]  So what do you peak at from a PPM standpoint?
[05:44.280 --> 05:46.760]  I'd say about 14 to 1500.
[05:48.360 --> 05:52.960]  If it gets to 1600, that's not really a big worry, but not really any higher than
[05:52.960 --> 05:53.120]  that.
[05:53.240 --> 06:02.800]  And then, so talk about what you were like back in, I mean, were you in the city in
[06:02.800 --> 06:03.080]  New York?
[06:03.800 --> 06:10.720]  Yeah, I mean, I grew up in New York and I've had grows in Manhattan, Queens and
[06:10.720 --> 06:11.080]  Brooklyn.
[06:12.800 --> 06:13.320]  What was that like?
[06:15.880 --> 06:17.880]  Like just in an apartment or like in a warehouse?
[06:17.880 --> 06:21.520]  I started out in an apartment that was above mine.
[06:21.680 --> 06:22.920]  That was above mine.
[06:23.080 --> 06:27.520]  I subletted an apartment when one of my neighbors was moving out and they wanted to
[06:27.520 --> 06:28.440]  keep the apartment.
[06:28.480 --> 06:33.160]  So I subletted it for a couple of years and that's where I taught myself how to grow.
[06:35.360 --> 06:42.680]  And then later on, I was able to get a warehouse and expanded from there.
[06:45.880 --> 06:50.000]  And kind of what were, what was this like in the mid 90s?
[06:51.000 --> 06:52.400]  Yeah, mid 90s.
[06:52.600 --> 06:55.200]  So what was hot in New York in the mid 90s?
[06:55.640 --> 07:00.640]  Well, the genetics that I had available to me were, you know, few and far between
[07:00.640 --> 07:07.000]  because it's not like you can broadcast what you're doing and it's hard to find
[07:07.000 --> 07:08.440]  like minded individuals.
[07:08.440 --> 07:10.320]  So everybody keeps to themselves.
[07:12.040 --> 07:13.200]  Actually, let's go out.
[07:13.200 --> 07:15.760]  We'll just do the rest of it as audio.
[07:16.040 --> 07:16.320]  Yep.
[07:16.960 --> 07:19.400]  And so actually you're keeping it pretty cool in there.
[07:19.920 --> 07:20.840]  At nighttime, yeah.
[07:22.160 --> 07:26.360]  Well, no, I'm saying like right now during the day, it feels like it's like in the
[07:26.360 --> 07:26.880]  60s.
[07:27.040 --> 07:28.520]  It's about 68 in there.
[07:28.560 --> 07:28.840]  Yeah.
[07:28.880 --> 07:33.720]  And I can check my greenhouse grower controller to tell you exactly where it's
[07:33.720 --> 07:33.880]  at.
[07:33.880 --> 07:35.960]  But do you feel the need to keep it that cool?
[07:36.240 --> 07:37.600]  In the later stages, yes.
[07:37.640 --> 07:37.960]  Okay.
[07:37.960 --> 07:42.160]  That promotes the purpleness that would come out.
[07:42.600 --> 07:48.720]  So, so in like kind of peak growth, you don't feel like you need to keep it that
[07:49.000 --> 07:49.560]  no.
[07:49.560 --> 07:55.040]  And in peak growth, I go anywhere from 72 to 78 and maybe as high as 80.
[07:55.280 --> 07:57.080]  Yeah, that's kind of where I was getting that.
[07:57.160 --> 07:57.480]  Yeah.
[07:59.680 --> 08:05.240]  And then, okay, so what, so you were growing what in New York in the 90s?
[08:05.720 --> 08:13.560]  In the 90s, I was growing Northern Lights, a Hawaiian and an Afghan.
[08:13.840 --> 08:14.160]  Okay.
[08:14.680 --> 08:18.160]  And where were you sourcing those genetics from, given that you couldn't be like,
