[00:32.700 --> 00:34.700]  Well
[00:35.520 --> 00:39.600]  Good morning to this week's show I want everybody to
[00:40.200 --> 00:48.020]  Get ready because we're gonna have an interesting drill down. We're gonna drill down on some hemp with a gentleman from Italy
[00:48.540 --> 00:54.540]  I can't pronounce his name in Italian, but he said Michael will do so
[00:55.320 --> 01:00.240]  Everybody welcome the Italian hemp King Michael welcome
[01:00.240 --> 01:02.240]  Hello, hello everybody
[01:02.240 --> 01:04.240]  It's a pleasure to be here with you
[01:04.240 --> 01:14.240]  Can you tell us a little bit about where you are and what you're breeding?
[01:14.240 --> 01:16.240]  Yeah
[01:16.240 --> 01:23.240]  I'm in the north side of Italy close to France on the coast in a Mediterranean environment and
[01:23.240 --> 01:27.020]  My purpose was to breed
[01:27.840 --> 01:34.900]  Italian variety of this area and the closest area of the flatland in Piedmont
[01:35.600 --> 01:39.700]  Where there were the majority part of our variety pool
[01:41.240 --> 01:43.760]  The first objective was to
[01:44.920 --> 01:49.520]  Make those varieties suited for a dry and hot
[01:50.440 --> 01:52.440]  climate as I am and
[01:53.600 --> 01:56.600]  Was a long journey starting from the beginning
[01:57.640 --> 02:00.520]  five years ago or a little bit more and
[02:02.480 --> 02:04.480]  Was very nice
[02:04.480 --> 02:07.360]  We still have to make some progress
[02:08.440 --> 02:13.460]  but we definitely are happy of the selection and the
[02:13.920 --> 02:18.080]  methodology that we used in these years to make the
[02:18.440 --> 02:20.440]  the best quality materials
[02:20.960 --> 02:22.720]  material as possible
[02:22.720 --> 02:24.720]  for our purpose
[02:26.600 --> 02:29.360]  Yeah dry dry and hot as in
[02:30.160 --> 02:32.160]  30 degrees C
[02:32.200 --> 02:39.320]  Like maybe 90 degrees Fahrenheit and and then your humidity is what below 40
[02:40.680 --> 02:46.080]  My humidity during the summer. It's close to be around 40
[02:47.080 --> 02:50.840]  Especially now in this moment we are at 40
[02:51.200 --> 02:56.360]  40 of humidity during the day and a little bit more during the night
[02:57.120 --> 03:01.080]  to 70 80 percent because there is a
[03:01.680 --> 03:05.840]  good gap of temperature between the day and the night and
[03:06.760 --> 03:08.760]  humidity rise up
[03:08.880 --> 03:09.960]  but
[03:09.960 --> 03:12.640]  the main issue for me was
[03:13.320 --> 03:18.960]  To acclimatize the variety to a very stressful environment
[03:19.960 --> 03:21.960]  with no rain and
[03:23.400 --> 03:25.400]  During the summer no rain at all
[03:26.400 --> 03:31.000]  And the necessity to have a very good taproot system
[03:31.680 --> 03:35.280]  that could prevent the necessity of
[03:36.480 --> 03:39.240]  using too much water for the grow and
[03:39.920 --> 03:41.000]  And
[03:41.000 --> 03:46.840]  Yeah, we could say that the weather is changing so fast already. This environment was a
[03:48.000 --> 03:50.000]  difficult environment to grow
[03:51.440 --> 03:53.640]  For the lack of water during the summer
[03:55.640 --> 03:57.640]  Especially from rain then
[03:57.800 --> 04:01.600]  Obviously we have water from Springs and from from Wales
[04:02.240 --> 04:04.000]  in order to
[04:04.000 --> 04:06.000]  Take care of our crops
[04:06.640 --> 04:10.280]  Unfortunately, the weather is changing so fast
[04:11.400 --> 04:12.720]  that
[04:12.720 --> 04:18.880]  We have to work much more on the variety pool in order
