[00:00.000 --> 00:15.990]  Dr. Wong, I wanted to say it was a pleasure hearing your talk today.
[00:15.990 --> 00:17.990]  It was very informative.
[00:17.990 --> 00:22.990]  I'm Paul Santos, and I work for a private diagnostic lab called Waypoint Analytical,
[00:22.990 --> 00:25.990]  and we're located in Anaheim, California.
[00:25.990 --> 00:29.990]  It was very interesting to hear you list a lot of the diseases that you were talking about
[00:29.990 --> 00:32.990]  because we've been offering this service for quite some time, too,
[00:32.990 --> 00:35.990]  ever since cannabis became legal in California,
[00:35.990 --> 00:40.990]  and we were seeing many of the diseases that you were speaking about in your presentation.
[00:40.990 --> 00:44.990]  So it was kind of nice to kind of get that confirmation that both of us as pathologists
[00:44.990 --> 00:48.990]  were seeing the same issues that are facing many of the growers of this crop.
[00:48.990 --> 00:54.990]  So some of the issues that we see most often were repeated in your presentation,
[00:54.990 --> 01:02.990]  things like fusarium causing both crown rot, root rot, stem rot, pythium root rot.
[01:02.990 --> 01:08.990]  We're not dealing so much with the hemp production side of the industry.
[01:08.990 --> 01:13.990]  Most of ours is medicinal or recreational, so we don't get to see a lot of the field-grown things
[01:13.990 --> 01:17.990]  that you were mentioning, you know, the seed-related issues.
[01:17.990 --> 01:23.990]  Most of the clients that we service, they're obtaining their plant material from propagation houses,
[01:23.990 --> 01:27.990]  or they're doing their own clonal cuttings and rooting their own material.
[01:27.990 --> 01:31.990]  So we do see a lot of that fusarium that you were talking about that can get transmitted,
[01:31.990 --> 01:33.990]  you know, from infected motherstocks.
[01:33.990 --> 01:36.990]  So I thought that was a very important issue that you brought up.
[01:36.990 --> 01:38.990]  Yeah, that's true.
[01:38.990 --> 01:44.990]  So I work for the State of Nevada Department of Agriculture.
[01:44.990 --> 01:51.990]  So as a plant pathologist, I deal with everything, not just industrial hemp and also my water plants.
[01:51.990 --> 01:59.990]  So for some reason, during the last two years, there's a lot of problems associated with industrial hemp
[01:59.990 --> 02:02.990]  and the cannabis production in Nevada.
[02:02.990 --> 02:06.990]  So we have a chance to look at those issues.
[02:06.990 --> 02:12.990]  We take a lot of samples, we accept samples, so we do analysis, we do the diagnostics,
[02:12.990 --> 02:17.990]  and also we do the DNA barcoding to identify what kind of pathogen is in there
[02:17.990 --> 02:20.990]  so we can figure out what's wrong with all those issues.
[02:20.990 --> 02:28.990]  So we do find a lot of diseases, which is why I'm excited to present in the conference.
[02:28.990 --> 02:36.990]  Yeah, I agree totally with you because I think, you know, one of the benefits of legalization of marijuana
[02:36.990 --> 02:44.990]  or the greater extent of growing hemp as an industrial crop is that now we're being able to open that industry up
[02:44.990 --> 02:52.990]  to the much needed science because there's a big gap in the knowledge that we have with respect to the diseases
[02:52.990 --> 02:56.990]  that impact both marijuana and the hemp crops.
[02:56.990 --> 03:01.990]  So it's kind of exciting. We kind of feel like maybe we're on the cutting edge, right, at the frontier,
[03:01.990 --> 03:07.990]  trying to find new things and discovering new things that impact this crop and the growers that try to cultivate it.
[03:08.990 --> 03:15.990]  I feel the same way because every time we look at the cannabis or either industrial hemp or medical marijuana plants,
[03:15.990 --> 03:18.990]  there's nobody that has done very much work on that.
[03:18.990 --> 03:25.990]  So anything funny from that type of crop, it could be new disease or some kind of new conditions.
[03:25.990 --> 03:32.990]  So the growers need the information to resolve the problem, but unfortunately not very many people really work on that.
[03:32.990 --> 03:40.990]  A lot of people I contact say they have research facility, they have technical advantage, but they just don't want to work on that.
[03:40.990 --> 03:48.990]  For example, I talk about virus. There's something infected by some kind of virus, but we cannot figure out what it is.
[03:48.990 --> 03:53.990]  So they need some kind of research to figure out. So hopefully in the future, people can work on more.
[03:53.990 --> 03:58.990]  Yeah, I know. It makes me wish that maybe I was more of a virologist and not so much of a mycologist.
[03:59.990 --> 04:06.990]  I don't know what your expertise was or what you specialized in when you were in graduate school, but I do see a lot of clients ask questions about viruses.
