[00:00.000 --> 00:02.000]  and
[00:02.040 --> 00:04.040]  We get we get good feedback
[00:04.320 --> 00:06.320]  and I also trade a
[00:06.840 --> 00:09.020]  bunch of green tomatoes for some
[00:09.760 --> 00:11.760]  some tomatillo sauce
[00:12.840 --> 00:19.480]  Nice and some some tamales from some ladies that my dad works with so
[00:20.520 --> 00:22.520]  It's a good trade fair trade
[00:25.300 --> 00:31.220]  Nice I pushed us live because I just I love I kind of really enjoy the back conversation that we have
[00:32.260 --> 00:34.700]  like secretly push the live
[00:40.060 --> 00:41.820]  But it was um
[00:41.820 --> 00:48.740]  Tomatillos are interesting. I actually have a purple variety that I'm really excited to explore and grow this year and see how it does
[00:48.740 --> 00:54.260]  It's it'll be fun tomatillos are kind of interesting
[00:54.260 --> 01:01.060]  They're like the ground cherries to like if you've had a ground cherry before which is kind of the similar plant, but not really
[01:02.700 --> 01:04.540]  They're interesting
[01:04.540 --> 01:09.500]  But I've never been a very they take up way too much room and on a field but tomatillos
[01:09.500 --> 01:14.380]  I fucking loved myself could sell severity and if I can make it like purple, that would be epic
[01:15.140 --> 01:16.420]  Dude
[01:16.420 --> 01:22.740]  if the ladies would go wild if you brought them some purple tomatillos like the Mexican ladies do they would
[01:23.300 --> 01:25.300]  They would eat it up. I
[01:26.060 --> 01:32.180]  Mean I would too if I saw some purple sauce in front of me. I'm good. Oh, yeah. Give me that. What's that? You know?
[01:34.700 --> 01:37.940]  Purple is my favorite color too. So it's just kind of anything purple
[01:38.780 --> 01:39.820]  So
[01:39.820 --> 01:46.900]  We should do the whole startup. Hi everybody as people roll in this is another week of planting seeds
[01:47.260 --> 01:49.180]  with mr. Trees
[01:49.180 --> 01:54.780]  We are excitedly along. I think everybody's what six weeks from seed plant
[01:55.700 --> 01:57.700]  Mm-hmm. Yeah, Ron. I'm
[01:59.700 --> 02:01.700]  Probably more like four and a half
[02:01.940 --> 02:05.220]  Yeah, I'm probably closer to you. I would I started a little bit later
[02:05.940 --> 02:08.460]  So I actually I did bring up
[02:09.980 --> 02:12.860]  This and I was gonna pull down a couple my five
[02:14.420 --> 02:18.340]  As you got some beautiful plants here, mr. Trees
[02:19.140 --> 02:21.140]  That you have sent along these little
[02:21.820 --> 02:27.100]  Little seeds man. They're they're quite gorgeous and very nice on the structure and thick
[02:28.500 --> 02:30.500]  Leaf profiles
[02:31.460 --> 02:33.460]  It's really really really really nice
[02:37.140 --> 02:39.580]  Yeah, I just put some of the ice cream cake
[02:40.220 --> 02:41.820]  Can the hearse in the flower?
[02:41.820 --> 02:48.140]  So I just said the hell with it and I threw through some into flower just kind of hurry them along
