[00:00.000 --> 00:01.280]  good connectivity there, Nick.
[00:02.560 --> 00:03.560]  Hi, everybody.
[00:03.840 --> 00:04.840]  And.
[00:05.560 --> 00:07.600]  I'm down here, so we're live
[00:07.600 --> 00:09.000]  or we're hanging out, Mr.
[00:09.000 --> 00:10.280]  Treason probably during some point,
[00:10.280 --> 00:12.180]  or if not worse, cool enough to hang
[00:12.200 --> 00:13.680]  out. So, yeah, dudes,
[00:14.120 --> 00:15.120]  how's it going?
[00:15.760 --> 00:17.880]  We are visiting Nick's garden
[00:17.880 --> 00:19.480]  right now, and he was just telling us
[00:19.480 --> 00:20.260]  about his plants.
[00:20.280 --> 00:21.200]  And I was just like, well, you know
[00:21.200 --> 00:22.400]  what? Fuck, let's just start the
[00:22.400 --> 00:23.560]  show. We're a few minutes late.
[00:24.800 --> 00:25.920]  What's going on here, Nick?
[00:25.920 --> 00:27.240]  Because they look pretty and they
[00:27.240 --> 00:28.600]  look well, they look dead asleep
[00:28.600 --> 00:30.240]  right now, not dead, but asleep.
[00:30.280 --> 00:31.360]  Like they're taking a nap for the
[00:31.360 --> 00:32.400]  evening. But they look like they've
[00:32.400 --> 00:33.600]  had a full day of sun.
[00:33.880 --> 00:34.840]  What are you growing in?
[00:34.840 --> 00:36.280]  What what's in front of us?
[00:36.280 --> 00:37.320]  And what's special about these
[00:37.320 --> 00:38.320]  plants?
[00:39.360 --> 00:41.640]  So I grow in living soil, everything's
[00:41.640 --> 00:42.960]  totally organic.
[00:43.280 --> 00:45.360]  I like to say beyond organic because.
[00:46.320 --> 00:48.240]  The MRI will prove anything,
[00:49.200 --> 00:51.080]  but anyway, you know, we got
[00:51.080 --> 00:52.760]  our mulch down, it's about two
[00:52.760 --> 00:54.580]  inches thick, really, man,
[00:54.600 --> 00:56.360]  we've been reaching temperatures of
[00:56.360 --> 00:58.000]  about one hundred and four
[00:58.440 --> 01:00.440]  with one hundred and sixteen
[01:00.440 --> 01:01.800]  degree heat index.
[01:01.800 --> 01:02.800]  So I've been just
[01:03.760 --> 01:05.680]  mulching, mulching, man,
[01:05.680 --> 01:06.960]  as much as I can.
[01:07.320 --> 01:09.200]  And all the grass is dead
[01:09.200 --> 01:11.040]  now. So, I mean, good thing I
[01:11.040 --> 01:12.040]  got that down
[01:13.160 --> 01:15.080]  and doing compost teas,
[01:15.720 --> 01:17.620]  trying to break that microbial life
[01:17.640 --> 01:18.640]  up on the leaf.
[01:19.760 --> 01:21.760]  This in particular is a fifty
[01:21.760 --> 01:22.760]  fifty.
[01:22.960 --> 01:24.720]  This is a strawberry glue
[01:24.720 --> 01:26.680]  cookie. So strawberry cough
[01:26.680 --> 01:28.440]  times gorilla glue times
[01:28.440 --> 01:29.520]  Girl Scout cookies.
[01:29.520 --> 01:31.560]  It's a variety that I made myself.
[01:33.120 --> 01:34.960]  These are three clones.
[01:35.800 --> 01:37.120]  They're all different.
[01:37.440 --> 01:39.080]  This one is in particular.
[01:39.080 --> 01:40.640]  This is a feminine seed.
[01:41.000 --> 01:42.840]  It's a plant that I've held around.
[01:42.840 --> 01:44.840]  The yield is really minimal, but
[01:45.120 --> 01:47.400]  it's phenomenal weed.
[01:47.920 --> 01:49.560]  This is the one that started me on
[01:49.560 --> 01:51.520]  the project with the strawberries
[01:51.520 --> 01:53.200]  for people that have MS.
[01:54.320 --> 01:56.080]  You know, they're down.
[01:56.720 --> 01:58.240]  It's a day to day basis.
[01:58.240 --> 02:00.000]  People struggle some
[02:00.000 --> 02:01.640]  days and they're fine the next.
[02:01.640 --> 02:03.480]  And all you can
[02:03.480 --> 02:05.240]  really do for them is alleviate
[02:05.240 --> 02:07.320]  their pain and give
[02:07.320 --> 02:09.360]  them maybe a little bit of creative
[02:09.560 --> 02:10.560]  stimulant
[02:11.800 --> 02:13.600]  to maybe get out a coloring
[02:13.600 --> 02:14.600]  book or
[02:15.800 --> 02:17.600]  be creative, you know, and
[02:18.080 --> 02:19.480]  and just kind of lay around the
[02:19.480 --> 02:21.440]  house, but hopefully
[02:21.440 --> 02:22.720]  feel better about yourself.
[02:22.720 --> 02:24.200]  I mean, I feel better every time I
[02:24.200 --> 02:25.200]  smoke weed.
[02:25.640 --> 02:27.280]  So, you know,
[02:27.840 --> 02:29.320]  I could be having a horrible day.
[02:29.320 --> 02:30.680]  I smoke some weed and I'm having a
[02:30.680 --> 02:31.680]  great day. So
[02:33.240 --> 02:35.520]  these are the three varieties.
[02:35.520 --> 02:36.320]  They're all different.
[02:36.320 --> 02:38.600]  These two are regular seeds.
[02:38.600 --> 02:40.480]  So I'm doing a little
[02:40.480 --> 02:42.280]  reversal back cross with the first
[02:42.280 --> 02:44.120]  one. And then these two, I
[02:44.120 --> 02:45.960]  have a few males that I've
[02:45.960 --> 02:47.400]  chucked pollen to.
[02:49.760 --> 02:50.920]  So, Corey,
[02:51.640 --> 02:52.640]  you remember.
[02:53.640 --> 02:55.600]  I can't think of his name off the
[02:55.600 --> 02:57.280]  top of my head, but first Republic
[02:57.280 --> 02:58.280]  seeds.
[02:59.760 --> 03:01.600]  We talked about the farmhouse and
[03:01.600 --> 03:02.600]  stuff.
[03:02.920 --> 03:04.400]  Well, this is Mr.
[03:04.400 --> 03:05.160]  Fusion.
[03:05.160 --> 03:07.160]  This is this feminized seed
[03:07.640 --> 03:09.040]  of Mr. Fusion.
[03:09.360 --> 03:11.640]  This one is phenomenal.
[03:13.120 --> 03:14.120]  Look at that.
[03:14.320 --> 03:15.480]  These are from seed.
[03:15.920 --> 03:17.120]  They're not clones.
[03:19.280 --> 03:20.680]  That's some pretty weed, London.
[03:23.160 --> 03:24.160]  Thank you, buddy.
[03:24.160 --> 03:25.160]  Thank you.
[03:25.600 --> 03:26.880]  I think your weed's prettier.
[03:28.120 --> 03:29.040]  This one died.
[03:29.040 --> 03:29.960]  I don't know what happened.
[03:29.960 --> 03:31.760]  I sprayed a compost tea and the next
[03:31.760 --> 03:33.680]  day, like wilted over and it
[03:33.680 --> 03:34.680]  was gone.
[03:34.800 --> 03:35.800]  Gone.
[03:38.000 --> 03:39.000]  This is
[03:40.320 --> 03:42.320]  GMO times Casey
[03:42.320 --> 03:43.320]  Jones.
[03:43.520 --> 03:45.560]  Casey Jones had two more things.
[03:45.800 --> 03:47.200]  Well, five more things that he
[03:47.200 --> 03:48.840]  wanted to ride before he died.
[03:48.880 --> 03:50.840]  He had a tricycle, bicycle,
[03:50.840 --> 03:52.760]  automobile and a bowlegged woman
[03:53.160 --> 03:54.160]  on a Ferris wheel.
[03:56.760 --> 03:57.840]  She ugly, man.
[03:58.560 --> 04:00.120]  A lot of a lot of those a lot of
[04:00.120 --> 04:02.040]  those one one leave things.
[04:02.040 --> 04:03.640]  I've got I've got a I got a one
[04:03.640 --> 04:05.440]  that's a revenge right now from
[04:05.440 --> 04:07.280]  that I put out in fucking like June
[04:07.920 --> 04:09.560]  or something like ridiculous, like
[04:09.560 --> 04:11.320]  not June, like January,
[04:11.320 --> 04:12.720]  February, like mid-February.
[04:12.720 --> 04:14.680]  I put her out and just like to see
[04:14.680 --> 04:15.520]  if she would survive.
[04:15.520 --> 04:16.520]  And she totally did.
[04:16.800 --> 04:18.320]  No rot. No problem.
[04:18.320 --> 04:19.320]  She survived.
[04:19.360 --> 04:20.640]  And now she's morphing back.
[04:20.640 --> 04:21.640]  I'm like, OK, cool.
[04:22.000 --> 04:23.200]  Hey, Peter, how's it going?
[04:25.120 --> 04:27.120]  We see you lurking.
[04:28.120 --> 04:30.040]  So these are my twelve plants.
[04:30.080 --> 04:31.800]  I always run 13 one.
[04:31.960 --> 04:33.680]  Some always happens to one.
[04:33.680 --> 04:35.040]  So, you know,
[04:35.520 --> 04:37.000]  it goes right here in the fourth
[04:37.000 --> 04:38.840]  hole. And if one makes
[04:38.840 --> 04:40.240]  it, I'll just pull the weakest link.
[04:40.240 --> 04:41.240]  But these are pre-98
[04:42.240 --> 04:43.160]  Bubba Kush.
[04:43.160 --> 04:44.160]  This is a
[04:45.040 --> 04:46.040]  a I like
[04:46.920 --> 04:48.560]  to say veteran cut.
[04:50.920 --> 04:52.680]  Of pre-98 Bubba,
[04:52.680 --> 04:53.800]  this came from a.
[04:55.040 --> 04:56.760]  A guy that knows Kevin Jodrey
[04:56.760 --> 04:58.760]  actually did
