[00:00.000 --> 00:02.000]  era
[00:02.560 --> 00:06.660]  All right, and we are live so yeah now we're just talking a
[00:08.040 --> 00:10.040]  Rebel grown Dan
[00:10.720 --> 00:12.720]  Pomerantz and
[00:13.320 --> 00:17.600]  His crew and you you know one of the guys, right?
[00:18.400 --> 00:26.080]  Yeah, not super. Well, but we met at the conference and he's a stand-up dude and he seems really community-based
[00:27.080 --> 00:28.480]  his
[00:28.480 --> 00:33.280]  Insta is good people gardens and he's gonna be donating some seeds to Daga
[00:34.560 --> 00:39.000]  awesome, and that to give people context that is for the
[00:40.120 --> 00:42.120]  basically veterans
[00:42.600 --> 00:45.280]  people with medical conditions or if you're just
[00:47.040 --> 00:49.040]  Don't have a lot of money
[00:50.120 --> 00:53.480]  If you if you fit one of those three criteria
[00:53.480 --> 00:58.360]  We have a very small but hopefully growing program where you just pay the shipping and we'll
[00:59.000 --> 01:01.640]  we'll get you a an eclectic mix of
[01:02.800 --> 01:09.160]  Yeah, I mean usually when I pack stuff up, it's like some auto flower so that you can get something quick
[01:09.800 --> 01:14.080]  It's like some high CBG some high CBD
[01:15.960 --> 01:17.960]  And then
[01:17.960 --> 01:20.320]  You know some breeder packs like
[01:20.440 --> 01:25.560]  Crocketts sending a bunch of stuff down obviously Tony Boneyard is the
[01:26.600 --> 01:28.600]  the primary
[01:29.320 --> 01:31.320]  champion of the cause
[01:32.480 --> 01:34.480]  And I
[01:35.920 --> 01:43.640]  Just I just talked to Jackson about I'm doing an open pollination of his
[01:45.880 --> 01:47.880]  It's lime one
[01:48.000 --> 01:52.000]  It's lime one crossed with
[01:55.120 --> 01:57.840]  Grape soda skunk cross with so that
[01:58.800 --> 02:00.800]  crosswoods Sherry West and
[02:01.560 --> 02:05.120]  Oh my god. Look who is has tuned in
[02:06.640 --> 02:08.640]  My hair
[02:08.840 --> 02:12.400]  How is the fresh poo Oh false alarm
[02:13.800 --> 02:17.120]  But still got everyone out of bed and you know
[02:18.880 --> 02:23.040]  You usually so we're talking little kids and
[02:23.640 --> 02:29.680]  and poop which is a favorite topic in my household and usually my kids will like
[02:30.400 --> 02:35.320]  Not have to do anything like that until it's like time to go to bed or time to take a nap
[02:35.320 --> 02:41.000]  and then suddenly it's like I have to poop and it's like you didn't have to poop for the
[02:41.600 --> 02:44.480]  12 hours before it was bedtime or I
[02:45.480 --> 02:50.440]  I might have actually fallen asleep had she not had to go poop though. So, you know
[02:51.560 --> 02:56.000]  Cuz lat last we checked in you were you had lots of energy and you were
[02:58.480 --> 03:00.560]  I have no energy right now, but uh
[03:02.440 --> 03:09.160]  Yeah, you lay down with the kids for story time and the melatonin just kicks in you're done for it's like I have the hardest
[03:09.160 --> 03:11.160]  time staying awake a
[03:11.920 --> 03:13.920]  Hundred percent of the time when I
[03:14.960 --> 03:17.480]  Put my kids to sleep. I'm just like
[03:18.440 --> 03:20.160]  I'm ready to
[03:20.160 --> 03:26.560]  You have three kids too, right? Yeah. Yeah. Yeah, the youngest took her first I
[03:28.080 --> 03:30.080]  Would say her first
[03:30.480 --> 03:32.880]  Like three to four steps today
[03:33.600 --> 03:35.880]  Okay, so it was a big day in
[03:36.640 --> 03:38.640]  in the survey household
[03:39.120 --> 03:40.800]  and
[03:40.920 --> 03:42.920]  She turns one in
[03:45.080 --> 03:50.840]  Well on September 3rd, so what's is today the last day of August or are there 31 in August
[03:52.080 --> 03:54.080]  I'm born on a leap year. I don't pay attention
[03:55.920 --> 04:00.960]  All right, well either in three days or four days it's her birthday but uh
[04:01.880 --> 04:07.240]  So well 31 31 31. Okay 31 days in August
[04:08.320 --> 04:09.640]  but uh
[04:09.640 --> 04:10.920]  so
[04:10.920 --> 04:15.600]  Daniel Morford heart rock mountain farm and the pride of the lion seeds
[04:16.720 --> 04:21.600]  You are based up in Mendocino. So yeah, you want to
[04:22.520 --> 04:24.520]  give us some background on
[04:25.280 --> 04:31.080]  Kind of I know I I mean it's funny because I think a lot of people watching are like that's the dude from those videos
[04:33.320 --> 04:37.200]  With his dad like the Travis right there
[04:40.040 --> 04:46.520]  He was talking about how chill your dad was in that one bit we need more like more cowbell, what's your dad's name?
[04:51.140 --> 04:55.340]  Can you hear me cliff Oh cliff yeah, we need more cliff. Oh
[04:59.760 --> 05:05.680]  Dude my mic go away. Yeah. Oh now you're back. Yeah, I couldn't tell it was me or
[05:08.780 --> 05:10.780]  Yeah, well he's uh
[05:11.420 --> 05:14.380]  Moving back up to the farm. So we're gonna see more of them. Oh
[05:15.380 --> 05:17.380]  Oh cool, so how far
[05:18.060 --> 05:23.740]  Away, does he live and and how big is the farm because he it was his farm originally, right?
[05:24.460 --> 05:26.940]  So you can hear me now. Yeah, and
[05:29.220 --> 05:31.220]  There's a like a big delay
[05:36.500 --> 05:40.610]  Little spotty
[05:41.010 --> 05:43.090]  So could be the internet art
[05:44.890 --> 05:48.690]  Okay, the delay seems last yeah now we can hear you okay, yeah
[05:50.330 --> 05:54.010]  So, yeah, it was his farm originally we moved off the mountain though when I was like in high school
[05:55.330 --> 05:57.330]  down to the valley floor and
[05:58.530 --> 06:00.530]  actually in
[06:00.650 --> 06:04.770]  2003 the house I grew up in up on the farm burned down and
[06:07.330 --> 06:09.930]  So my dad which lived in other places
[06:12.530 --> 06:14.530]  And
[06:15.690 --> 06:17.690]  So, I'm I'm about
[06:18.690 --> 06:23.650]  80 acres from the farm right now. There's two parcels in between where I'm living right now
[06:24.690 --> 06:26.690]  and the farm
