[00:00.000 --> 00:03.600]  C-Tuesdays and T-Thursdays.
[00:03.600 --> 00:05.720]  And it's a real joke.
[00:05.720 --> 00:07.880]  Come out and take people's tractors,
[00:07.880 --> 00:10.120]  all the civil asset stuff.
[00:10.120 --> 00:11.920]  The civil asset forfeiture?
[00:11.920 --> 00:13.720]  Yeah.
[00:13.720 --> 00:16.000]  I think you're taking somebody's livelihood,
[00:16.000 --> 00:18.640]  and then you go and take their tractors or their generators.
[00:18.640 --> 00:21.080]  And that's just chicken shit.
[00:21.080 --> 00:21.580]  Right.
[00:21.580 --> 00:22.080]  All right.
[00:22.080 --> 00:23.480]  That's what we're dealing with.
[00:23.480 --> 00:23.980]  Right.
[00:23.980 --> 00:25.400]  So all right, give me one second.
[00:25.400 --> 00:28.080]  Let me cue up the conversation.
[00:28.080 --> 00:34.600]  So we are now live on YouTube, and we're talking raids.
[00:34.600 --> 00:40.200]  And we have legacy growers from, let's see,
[00:40.200 --> 00:45.000]  we got Mendocino, Humboldt. What's Anza?
[00:45.000 --> 00:47.280]  That's San Bernardino County?
[00:47.280 --> 00:48.920]  No, Riverside County.
[00:48.920 --> 00:49.720]  Oh, Riverside.
[00:49.720 --> 00:50.560]  Right, right, right.
[00:50.560 --> 00:55.640]  And then Bam will be on in a minute, who's in Santa Cruz.
[00:55.640 --> 00:56.920]  That's me, Peter.
[00:56.920 --> 00:59.280]  And let's get started.
[00:59.280 --> 01:04.720]  So yeah, I mean, the kind of inspiration for this
[01:04.720 --> 01:09.320]  was Bam's monologue, because that, oh, here he comes.
[01:09.320 --> 01:09.920]  Outstanding.
[01:09.920 --> 01:12.240]  He is joining the conversation.
[01:12.240 --> 01:17.280]  So everybody give us one second so our full lineup can be here.
[01:17.280 --> 01:19.080]  Can you hear me?
[01:19.080 --> 01:19.600]  Big up.
[01:19.600 --> 01:20.280]  I can hear you.
[01:20.280 --> 01:21.280]  Can you hear me?
[01:21.280 --> 01:23.400]  I can hear you.
[01:23.400 --> 01:24.600]  Sorry for the wait.
[01:24.680 --> 01:26.720]  I just got home.
[01:26.720 --> 01:27.920]  No worries.
[01:27.920 --> 01:31.920]  I got to put Gemma to sleep in a couple minutes.
[01:31.920 --> 01:35.200]  So why don't I, let me pass it off to you to set the table
[01:35.200 --> 01:37.960]  and just kind of talk about what happened in Santa Cruz.
[01:37.960 --> 01:42.320]  And then we can open it up and go around the horn.
[01:42.320 --> 01:46.880]  And we got a full Boston lineup tonight.
[01:46.880 --> 01:48.120]  Big up, big up.
[01:48.120 --> 01:50.160]  Three of us.
[01:50.160 --> 01:53.680]  So Bam, take it away.
[01:53.920 --> 01:56.200]  So what happened a couple of days ago?
[01:56.200 --> 01:57.880]  And is that something new, or is that
[01:57.880 --> 02:00.560]  something that's kind of frequently been happening?
[02:00.560 --> 02:01.360]  Sure, yeah.
[02:01.360 --> 02:03.520]  So this has kind of been a pattern that's
[02:03.520 --> 02:07.640]  been going on in Santa Cruz County for a little while.
[02:07.640 --> 02:10.880]  A couple of days ago, the raids started up again.
[02:10.880 --> 02:16.400]  It's a continuation of what took place last year.
[02:16.400 --> 02:20.400]  I really feel that the Santa Cruz County Planning
[02:20.400 --> 02:22.200]  Department and Board of Supervisors
[02:22.200 --> 02:24.120]  have been really disingenuous.
[02:24.120 --> 02:27.920]  They have given a lot of people false hope
[02:27.920 --> 02:31.480]  about the prospect of licensing and spent
[02:31.480 --> 02:35.240]  an insane amount of time gathering community feedback
[02:35.240 --> 02:38.080]  through different mechanisms, such as the C4, which
[02:38.080 --> 02:39.960]  was like a community group that tried
[02:39.960 --> 02:43.880]  to take into account a lot of what people's concerns are,
[02:43.880 --> 02:48.120]  which I commend them for actually taking that step
[02:48.120 --> 02:51.640]  because I do think that community concerns are
[02:51.640 --> 02:52.280]  important.
[02:52.280 --> 02:56.680]  I'm not anti-regulation as a whole.
[02:56.680 --> 02:59.120]  I think regulation plays an important part.
[02:59.120 --> 03:01.760]  The problem becomes when regulation
[03:01.760 --> 03:10.480]  is used as a tool of power and monopolization
[03:10.480 --> 03:14.600]  of economic opportunity for a handful of people
[03:14.600 --> 03:17.360]  at the expense of many.
[03:18.360 --> 03:21.120]  So over the years, Santa Cruz County
[03:21.120 --> 03:25.160]  is, well, we used to be one of the more progressive counties
[03:25.160 --> 03:26.360]  when it came to cannabis.
[03:26.360 --> 03:28.400]  So that's why many people had actually
[03:28.400 --> 03:32.120]  chosen this as a place to homestead because under Prop
[03:32.120 --> 03:35.640]  215, they were more lenient.
[03:35.640 --> 03:38.720]  Don't forget that this is also one of the birthplaces
[03:38.720 --> 03:39.960]  of Prop 215.
[03:39.960 --> 03:44.840]  The WAM cases and the tone that was set by that
[03:44.920 --> 03:50.120]  was actually what I would argue was
[03:50.120 --> 03:57.360]  half the battle of legalization or normalization or regulation
[03:57.360 --> 04:01.120]  in California as we know it.
[04:01.120 --> 04:02.720]  Over the years, Santa Cruz County
[04:02.720 --> 04:07.840]  has done things like they had this program where they said,
[04:07.840 --> 04:11.720]  all right, everybody who is planning
[04:11.720 --> 04:15.160]  to get licensed at some point needs to register,
[04:15.160 --> 04:18.480]  pay a $500 fee, and then start paying
[04:18.480 --> 04:24.520]  a cap on our medical gross.
[04:24.520 --> 04:28.920]  The deal was that if you did register, when they finally
[04:28.920 --> 04:31.840]  got their act together and passed legislation, which
[04:31.840 --> 04:33.760]  kept getting planted down the line,
[04:33.760 --> 04:37.320]  that you would be eligible for a license.
[04:37.320 --> 04:41.160]  And whoever had it registered at that point
[04:41.160 --> 04:43.040]  wasn't going to be eligible.
[04:43.040 --> 04:47.560]  So they collected a lot of money and a lot of data
[04:47.560 --> 04:52.560]  during that time frame and kept telling us
[04:52.560 --> 04:54.720]  that legislation was coming, legislation was coming,
[04:54.720 --> 04:56.400]  legislation was coming.
[04:56.400 --> 04:59.760]  Legislation never arrived that was
[04:59.760 --> 05:02.720]  going to enable the vast majority of growers
[05:02.720 --> 05:06.360]  in the county to homestead.
[05:06.600 --> 05:13.200]  What took place was they made real estate barons
[05:13.200 --> 05:17.960]  in areas that were not traditionally the cultivation
[05:17.960 --> 05:19.880]  centers of the county.
[05:19.880 --> 05:23.040]  And I would argue not even the most ideal places
[05:23.040 --> 05:25.320]  for cannabis to be cultivated.
[05:25.320 --> 05:30.560]  In Watsonville and in the commercial ag sector.
[05:30.560 --> 05:32.120]  So that's fine and dandy when you're
[05:32.120 --> 05:34.040]  dealing with artichokes and berries
[05:34.040 --> 05:40.160]  and the other ag industry that exists down in California.
[05:40.160 --> 05:43.800]  But it doesn't take into account the communities
[05:43.800 --> 05:46.800]  that have resided in the mountains for a really long
[05:46.800 --> 05:55.120]  time and have been a part of the California's cannabis history.
[05:55.120 --> 05:58.800]  So after dragging their feet and making us pay the fine,
[05:58.800 --> 06:01.920]  fines, the fees, the $500 fee, the registration,
[06:02.720 --> 06:07.760]  and then many of us paid our taxes while operating
[06:07.760 --> 06:10.560]  under the collective model, which was,
[06:10.560 --> 06:12.800]  which I found to be a sort of a scam because here we are,
[06:12.800 --> 06:16.480]  here they are collecting money from us,
[06:16.480 --> 06:19.360]  but not issuing a permit or license.
[06:19.360 --> 06:23.280]  So that seemed really disingenuous.
[06:23.280 --> 06:25.880]  Then afterwards, they passed a lot of legislation
[06:25.880 --> 06:29.720]  that kind of ignored the C4 committee recommendations
[06:29.720 --> 06:33.560]  and made it really impossible to get a license.
[06:33.560 --> 06:34.880]  Ridiculous.
[06:34.880 --> 06:40.080]  And I want to be clear that like some of these hurdles
[06:40.080 --> 06:45.480]  aren't necessarily from any one particular agency.
[06:45.480 --> 06:47.920]  The hurdles become an amalgamation
[06:47.920 --> 06:50.840]  of many different overlapping agencies.
[06:50.840 --> 06:55.240]  It seems like there's too many hands in the pot.
[06:55.240 --> 06:59.520]  And it seems to be something that is especially focused
[06:59.520 --> 07:01.840]  on targeting the cannabis industry,
[07:01.840 --> 07:06.040]  because I got tired of running in circles,
[07:06.040 --> 07:08.120]  trying to figure out how I'm going to get licensed.
[07:08.120 --> 07:12.600]  And when I started doing the map on what it was going to cost,
[07:12.600 --> 07:15.200]  you know, it started to add up.
[07:15.200 --> 07:17.160]  I don't know anybody in this county who's got a license
[07:17.160 --> 07:19.960]  in hand that hasn't spent more than $80,000
[07:19.960 --> 07:23.320]  or even more than that, 80,000 is on the low end.
[07:23.320 --> 07:29.480]  And I'm personally not trying to be some 10-acre grow
[07:29.480 --> 07:33.760]  that has hundreds of employees
[07:33.760 --> 07:37.640]  that can afford those kind of figures.
[07:37.640 --> 07:40.040]  I think that there are many farmers in the hills
[07:40.040 --> 07:43.080]  who just want to stick to being homesteaders.
[07:43.080 --> 07:45.920]  I have a small farm.
[07:45.920 --> 07:47.280]  I want to be able to run it.
[07:47.280 --> 07:48.560]  I want to be able to pay taxes.
[07:48.560 --> 07:51.800]  I want to continue to set standards for health and safety.
[07:51.800 --> 07:53.640]  I want to continue to be organic
[07:53.640 --> 07:57.040]  and pass all the required testing.
[07:57.040 --> 07:59.600]  But after being shut out of the market
[07:59.600 --> 08:03.760]  because of all the changes, first it was MRSA,
[08:03.760 --> 08:07.400]  then it was Prop 64.
[08:07.400 --> 08:10.120]  And then even after Prop 64 passed,
[08:10.120 --> 08:12.240]  Santa Cruz County didn't get their act together
[08:12.240 --> 08:15.120]  for licensing for almost a year and a half later.
[08:15.120 --> 08:19.640]  So for many of us who were working in this space,
[08:19.640 --> 08:23.560]  that was basically drying up our source of funding.
[08:23.560 --> 08:26.080]  So let's take us out of the game,
[08:26.080 --> 08:30.200]  not have an income for a year and a half to two years,
[08:30.200 --> 08:34.720]  and then suddenly have to come up with insane sums of money.
[08:34.720 --> 08:38.120]  They're counting chickens before they're hatched
[08:38.120 --> 08:42.120]  based on projections, overly inflated projections
[08:42.120 --> 08:44.800]  that are often cited by law enforcement.
[08:44.800 --> 08:47.200]  You know, you hear some law enforcement,
[08:47.200 --> 08:48.360]  they find 100 pounds.
[08:48.360 --> 08:51.600]  Suddenly it's a million dollars worth of product.
[08:51.600 --> 08:53.520]  And I think that that's how they are.
[08:54.520 --> 08:57.400]  Those are the same figures that they are using
[08:57.400 --> 09:02.320]  to calculate what their fair share would be.
[09:02.320 --> 09:04.680]  That's not necessarily the ground reality.
[09:04.680 --> 09:08.720]  And I think that it's really important
[09:08.720 --> 09:10.880]  that that is one of the messages
[09:10.880 --> 09:14.480]  that I want non-candidates people to understand
[09:15.040 --> 09:20.040]  and understand how unfair the odds have been stacked
[09:20.720 --> 09:22.920]  against this particular industry.
[09:22.920 --> 09:27.360]  Could you imagine if being a nurse or being a doctor,
[09:27.360 --> 09:30.080]  while it requires an extensive amount of studying,
[09:31.720 --> 09:34.360]  could you imagine if the permits,
[09:34.360 --> 09:37.160]  the permitting process or the licensure process
[09:37.160 --> 09:41.760]  for other professions was as onerous and tedious,
[09:41.760 --> 09:43.200]  nothing would get done.
[09:44.160 --> 09:47.280]  And it's not an efficient outcome.
[09:47.280 --> 09:52.280]  So then the county passed this legislation
[09:53.840 --> 09:55.880]  which they said was kind of aimed,
[09:57.080 --> 10:01.600]  or was portrayed as being friendly.
[10:01.600 --> 10:04.040]  You know, it was supposed to be a mechanism
[10:04.040 --> 10:09.040]  where if they suspected that you were out of compliance,
[10:09.080 --> 10:11.560]  you would get a notice in the mail
[10:11.600 --> 10:16.600]  and you had seven days to respond to that complaint,
[10:19.400 --> 10:21.920]  and which you could defend yourself and say,
[10:21.920 --> 10:25.880]  you know, you're a medical collective or whatever.
[10:25.880 --> 10:30.680]  But there was a process where they could eventually abate,
[10:30.680 --> 10:34.760]  but you were given a chance to explain, react.
[10:34.760 --> 10:39.440]  And it was framed as bad actors would be fined
[10:39.440 --> 10:41.960]  for failure to comply and failure
[10:41.960 --> 10:45.280]  to respond to such notices.
[10:46.440 --> 10:47.840]  So it sounded pretty fair.
[10:47.840 --> 10:51.160]  It was like, okay, if we do our best
[10:51.160 --> 10:54.840]  and we try to be good actors
[10:54.840 --> 10:56.920]  while we go through this licensing thing,
[10:56.920 --> 10:58.440]  I have emails from the county that says
[10:58.440 --> 11:02.360]  that 500 square foot medical gardens are still tolerated.
[11:05.280 --> 11:07.400]  That's not, the enforcement arm is not,
[11:07.400 --> 11:09.480]  they didn't practice what they preached.
[11:10.560 --> 11:12.600]  In one hand, they told us that we need to be registered,
[11:12.600 --> 11:15.080]  we need to be in the process, we need to be applying.
[11:15.080 --> 11:18.600]  Then while we were in the process of applying
[11:18.600 --> 11:22.080]  and registering, suddenly they weren't accepting applications
[11:22.080 --> 11:23.840]  they weren't processing things.
[11:23.840 --> 11:27.040]  I have documented emails that go back and forth
[11:27.040 --> 11:28.400]  where on one hand I'm being told
[11:28.400 --> 11:30.080]  to bring them my application,
[11:30.080 --> 11:32.680]  and I have to beg, borrow money to come up with
[11:32.680 --> 11:35.760]  so that I could actually get the fees together.
[11:35.800 --> 11:37.560]  And then when I go down to the office,
[11:37.560 --> 11:39.640]  they're like, oh, we're not processing applications.
[11:39.640 --> 11:43.920]  So this isn't an example of a bunch of outlaws
[11:43.920 --> 11:47.360]  in the mountains trying to dodge regulations.
[11:47.360 --> 11:50.000]  A bunch of individuals who are really trying
[11:50.000 --> 11:52.120]  and have been trying for a number of years
[11:53.360 --> 11:58.360]  to work with their system and be in compliance.
[11:58.840 --> 12:03.320]  And after following all the recommendations
[12:03.320 --> 12:06.960]  and being told that they were gonna tolerate five scripts,
[12:06.960 --> 12:09.200]  100 square foot per script and patient,
[12:10.080 --> 12:13.280]  the same legislation also had a fine mechanism.
[12:13.280 --> 12:17.320]  And the fine mechanism, they basically said $2,500
[12:17.320 --> 12:20.480]  on the first offense for each of the three various charges
[12:20.480 --> 12:21.560]  that they could give you.
[12:21.560 --> 12:24.920]  One was for cultivation, one was for manufacturing
[12:24.920 --> 12:26.760]  and one was for distribution.
[12:27.640 --> 12:30.840]  So, and that's just from the cannabis licensing office.
[12:30.840 --> 12:34.360]  That's not all the code enforcement and red tag money
[12:34.360 --> 12:36.680]  that they had been trying to seek.
[12:36.680 --> 12:40.480]  So what they did was they basically showed up
[12:40.480 --> 12:41.440]  at a bunch of properties.
[12:41.440 --> 12:43.200]  A lot of the warrants are being challenged
[12:43.200 --> 12:44.480]  because they were nonsense.
[12:44.480 --> 12:48.880]  They were using outdated Google imagery from Prop 215.
[12:48.880 --> 12:53.360]  And in one of the warrants that were served
[12:53.360 --> 12:55.600]  on my property last year,
[12:55.600 --> 12:57.280]  they showed a picture of my greenhouse
[12:57.280 --> 12:58.760]  and all you saw was empty pots.
[12:58.760 --> 13:00.480]  And they found an old newspaper article
[13:01.120 --> 13:03.200]  for when I was working on the highest grade
[13:03.200 --> 13:06.280]  where I talk about licensing my extraction technology.
[13:06.280 --> 13:08.000]  For some reason that met the litmus test
[13:08.000 --> 13:10.440]  for saying that I'm commercially cultivating,
[13:10.440 --> 13:14.000]  even though at the end of Prop 64,
[13:14.000 --> 13:16.720]  we had shut down our lab and we had shut down our operations
[13:16.720 --> 13:20.040]  which at the time was operating in compliance.
[13:20.040 --> 13:22.000]  So then they came out to everybody's properties
[13:22.000 --> 13:23.520]  and nobody got a letter.
[13:23.520 --> 13:26.200]  I don't know a single person that got one of these letters
[13:26.200 --> 13:28.960]  that was supposed to be the seven day notice letters
[13:28.960 --> 13:30.480]  where you had a chance to respond.
[13:30.480 --> 13:32.400]  They show up with warrants in some cases
[13:32.400 --> 13:34.360]  and other cases no warrants
[13:34.360 --> 13:38.360]  and just start chopping and citing.
[13:38.360 --> 13:39.840]  And everybody that I know got hit
[13:39.840 --> 13:42.280]  with like a $7,500 fine
[13:42.280 --> 13:45.680]  because they were charging you with all of the above.
[13:45.680 --> 13:50.680]  And the police were acting like judge, jury and executioner.
[13:50.680 --> 13:55.680]  And so there's this pattern of abuse and willful neglect
[13:57.680 --> 13:59.520]  of like the same protocols and procedures
[13:59.520 --> 14:03.600]  that they are saying is the law,
[14:03.600 --> 14:06.080]  but only picking and choosing the selective parts
[14:06.080 --> 14:10.680]  of the law that work for them in terms of raising capital.
[14:10.680 --> 14:14.680]  And that happened last year
[14:14.680 --> 14:16.480]  and a bunch of us started to fight it.
[14:16.480 --> 14:17.720]  And we were like, okay,
[14:18.200 --> 14:19.280]  that happened last year
[14:19.280 --> 14:21.160]  and a bunch of us started to fight it.
[14:21.160 --> 14:22.880]  Some people foolishly settled
[14:22.880 --> 14:26.320]  and I'll say foolishly settled because they were scared
[14:26.320 --> 14:27.160]  and I don't blend them.
[14:27.160 --> 14:28.120]  I understand the fear.
[14:28.120 --> 14:30.400]  I've lived through the experience
[14:30.400 --> 14:32.920]  of having these jackasses come on your property
[14:32.920 --> 14:34.600]  and they treat you like dogs
[14:34.600 --> 14:37.120]  and they ransack and rummage through everything
[14:37.120 --> 14:39.960]  that you have and they destroy all your hard work.
[14:39.960 --> 14:43.520]  I have like over 10 to 15 years worth of seeds
[14:43.520 --> 14:46.320]  that I've been collecting and working on that they stole.
[14:48.320 --> 14:52.560]  And so there was a bunch of ways that we could fight back.
[14:52.560 --> 14:54.920]  First, there was, and they're operating
[14:54.920 --> 14:58.200]  in this weird nexus of administrative law,
[14:58.200 --> 15:00.600]  civil law and criminal law.
[15:00.600 --> 15:04.880]  And they all have their own set of rules
[15:04.880 --> 15:08.000]  and you have your own set of rights.
[15:08.000 --> 15:10.480]  And in my opinion, administrative law
[15:10.480 --> 15:12.680]  is where we have the least amount of rights
[15:13.080 --> 15:17.680]  because it's almost like a kangaroo court.
[15:17.680 --> 15:22.680]  The same people that are trying to come after you
[15:23.120 --> 15:26.000]  and find you wind up being the people
[15:26.000 --> 15:28.960]  who are holding these tribunals.
[15:28.960 --> 15:33.280]  It's not an independent tribunal.
[15:33.280 --> 15:34.400]  So a lot of us have challenged it
[15:34.400 --> 15:35.840]  and there are ways that you can force it
[15:35.840 --> 15:38.480]  out of administrative into civil.
[15:38.480 --> 15:41.440]  And some of us have done that.
[15:41.440 --> 15:44.920]  And my case is still pending.
[15:44.920 --> 15:47.440]  And a couple other people that I know
[15:47.440 --> 15:49.160]  still have pending cases.
[15:49.160 --> 15:54.080]  But this year, what they did was they upped the ante
[15:54.080 --> 15:56.800]  on all of the fines and fees.
[15:56.800 --> 16:01.800]  And so aside from the $2,500 per charge
[16:02.280 --> 16:05.680]  administrative citation fee,
