[00:00.000 --> 00:15.100]  Cheers, everybody.
[00:15.100 --> 00:18.220]  Episode 14 of the Seed Collectors.
[00:18.220 --> 00:19.220]  Hair is looking fabulous.
[00:19.220 --> 00:21.460]  That's why we're a few minutes late.
[00:21.460 --> 00:25.980]  Things you got to do, but hey, it was worth the wait.
[00:25.980 --> 00:27.300]  I don't know where to go after that.
[00:27.300 --> 00:28.300]  All right, guys.
[00:28.300 --> 00:29.300]  Thanks, everybody, for coming.
[00:29.300 --> 00:30.300]  Peace out.
[00:30.300 --> 00:31.300]  Seed Collectors, volume 14.
[00:31.300 --> 00:32.300]  Oh, my goodness.
[00:32.300 --> 00:35.780]  We've got some cool people with us tonight.
[00:35.780 --> 00:40.820]  A couple people you recognize, and we might have a couple people still popping in.
[00:40.820 --> 00:45.220]  We were trying to get through some technical stuff, but really, I was combing my hair,
[00:45.220 --> 00:46.220]  too.
[00:46.220 --> 00:48.580]  But let's go around the horn real quick and introduce ourselves.
[00:48.580 --> 00:50.900]  We'll start with kind of the familiar faces.
[00:50.900 --> 00:53.820]  Guys, I'm stoked to be talking with again.
[00:53.820 --> 00:55.220]  We'll start with you, Chef Alex.
[00:55.220 --> 00:56.220]  How you doing?
[00:56.220 --> 00:57.220]  Good.
[00:57.220 --> 00:59.100]  How are you guys doing tonight?
[00:59.100 --> 01:00.660]  Thanks for having me back on.
[01:00.660 --> 01:06.020]  Thanks for inviting these two gentlemen and the other guests along.
[01:06.020 --> 01:10.620]  I'm a passionate organic cultivator that's been on FCP, thankfully, a couple of times
[01:10.620 --> 01:16.260]  now to talk about our passion in organic practices.
[01:16.260 --> 01:21.460]  Now we are back to talk about our seed collections and plan for the growing season and the different
[01:21.460 --> 01:23.860]  genetics that we're going to dig into.
[01:23.860 --> 01:25.540]  So excited to be here.
[01:25.540 --> 01:26.540]  Yeah.
[01:26.540 --> 01:29.380]  Going to have some good times.
[01:29.460 --> 01:32.980]  And John, another repeat guest here.
[01:32.980 --> 01:34.500]  Thank you for joining us tonight.
[01:34.500 --> 01:35.620]  How you been?
[01:35.620 --> 01:41.260]  I've been fabulous, and I'm really over the moon for you guys having us back again.
[01:41.260 --> 01:46.820]  And really, kudos to you and Peter and everybody that works behind the scenes for this program,
[01:46.820 --> 01:53.860]  for this platform to really promote our favorite master plant, our passion for this favorite
[01:53.860 --> 01:56.780]  master plant.
[01:56.780 --> 02:00.540]  And I'm so happy to be able to...
[02:00.540 --> 02:06.700]  Shep and I have been kind of on this going everywhere, doing things, and meeting all
[02:06.700 --> 02:08.780]  these wonderful people.
[02:08.780 --> 02:13.900]  And I'm so stoked to be able to introduce other people that we've met on our journey
[02:13.900 --> 02:18.700]  who really feel that are putting in the work, are living it.
[02:18.700 --> 02:19.940]  They're living it.
[02:19.940 --> 02:25.720]  And this is what Shep and I will be manifesting, but wanted to touch on people that are actually
[02:25.720 --> 02:28.600]  doing it in the space and killing it too.
[02:28.600 --> 02:32.200]  And I appreciate you bringing more people to the conversation.
[02:32.200 --> 02:34.000]  I've thoroughly enjoyed it.
[02:34.000 --> 02:35.000]  And I think...
[02:35.000 --> 02:40.520]  Well, I want to say message and style, they can almost be interchanged here because your
[02:40.520 --> 02:42.640]  style is your message.
[02:42.640 --> 02:47.240]  And that resonates with a lot of the people here at Future Cannabis Project.
[02:47.240 --> 02:49.840]  So always a pleasure, man.
[02:49.840 --> 02:51.360]  And we've got a new face.
[02:51.360 --> 02:52.580]  New face to me.
[02:52.580 --> 02:53.580]  Very stoked.
[02:53.820 --> 02:58.060]  Well, we talked for a little bit a minute ago, but Sticky Richie, how are you doing
[02:58.060 --> 02:59.060]  today?
[02:59.060 --> 03:00.060]  Please introduce yourself.
[03:00.060 --> 03:03.660]  Hey, thanks for having me, Chad.
[03:03.660 --> 03:05.860]  Super, super excited to be here.
[03:05.860 --> 03:06.860]  My name is Rich.
[03:06.860 --> 03:11.340]  I go by Sticky Richie on Instagram.
[03:11.340 --> 03:13.260]  Lifetime home grower.
[03:13.260 --> 03:17.700]  I've been growing for, yeah, 30 years plus.
[03:17.700 --> 03:22.620]  I really absolutely love everything about the cannabis plant.
[03:22.660 --> 03:29.740]  And now currently living out the homestead life with the family and all the animals and
[03:29.740 --> 03:35.020]  trying to live the regenerative kind of lifestyle.
[03:35.020 --> 03:42.220]  I am a founding member of the Farm Bug Co-op, a craft cannabis cooperative in Massachusetts
[03:42.220 --> 03:45.260]  trying to get its licensing.
[03:45.260 --> 03:52.060]  But that's a whole other episode we could talk about for a long time about small businesses
[03:52.060 --> 03:55.660]  trying to get licensed in Massachusetts.
[03:55.660 --> 04:04.460]  But yeah, I'm super excited to be here tonight and talk about genetics and seeds and all
[04:04.460 --> 04:05.900]  those types of things.
[04:05.900 --> 04:06.900]  Nice.
[04:06.900 --> 04:07.900]  Well, thanks for joining us.
[04:07.900 --> 04:11.260]  And it looks like Mr. Cannabis Fine hops in.
[04:11.260 --> 04:12.620]  Thank you, man, for making it.
[04:12.620 --> 04:13.620]  And thanks for the extra effort.
[04:13.620 --> 04:17.380]  It looks like you've got the awesome car lighting right now.
[04:17.380 --> 04:19.380]  It's very movie cinematic.
[04:19.700 --> 04:23.700]  Yeah, actually, you sound pretty good.
[04:23.700 --> 04:27.700]  Hopefully, are we all right for you?
[04:27.700 --> 04:31.700]  Yeah, I can see three of you guys now.
[04:31.700 --> 04:35.700]  Thanks for the help, Coach.
[04:35.700 --> 04:43.460]  And yeah, in true permaculture fashion, I had to drive to service to make this happen.
[04:43.460 --> 04:47.060]  And I live on the mountain.
[04:47.140 --> 04:49.140]  There's no Wi-Fi.
[04:49.140 --> 04:51.140]  There's no service.
[04:51.140 --> 04:53.140]  So I'm here.
[04:53.140 --> 04:59.860]  And there's a hot springs down the road from my farm about 15 minutes away.
[04:59.860 --> 05:04.340]  And I am sitting outside while my cousin goes in and soaks.
[05:04.340 --> 05:06.980]  And I'm so behind on technology.
[05:06.980 --> 05:08.980]  He had to help me log in.
[05:08.980 --> 05:11.380]  Dude, that's cool.
[05:11.380 --> 05:12.380]  You know what?
[05:12.380 --> 05:13.380]  Classic farmer, though.
[05:13.380 --> 05:15.380]  You found a way to make it happen, right?
[05:15.700 --> 05:19.700]  Glad you were able to make it happen, man.
[05:19.700 --> 05:21.700]  He helped so much.
[05:21.700 --> 05:25.700]  So yeah, really thankful for Chef Alex, man.
[05:25.700 --> 05:31.700]  He's been walking me through my technology stumbles this whole time.
[05:31.700 --> 05:33.700]  He's definitely the MVP.
[05:33.700 --> 05:37.700]  Well, yeah, so I realize your time is probably a little bit limited there.
[05:37.700 --> 05:41.700]  You don't want your guy to turn into a prune.
[05:42.020 --> 05:48.020]  So definitely feel free to jump in on any point of the conversations here.
[05:48.020 --> 05:50.020]  We usually see collections.
[05:50.020 --> 05:52.020]  We just kind of go around.
[05:52.020 --> 05:54.020]  We pull out some new packs.
[05:54.020 --> 05:56.020]  We kind of tell some stories about them.
[05:56.020 --> 06:00.020]  But we always start every episode with a new T-shirt.
[06:00.020 --> 06:04.020]  Because our co-host Dave is not here tonight again.
[06:04.020 --> 06:08.020]  Unfortunately, Dave has been tied up the last few episodes.
[06:08.020 --> 06:10.020]  But his heart is here.
[06:10.340 --> 06:12.340]  He's going to be here for a couple minutes this evening.
[06:12.340 --> 06:16.340]  But he's like the master collector here.
[06:16.340 --> 06:18.340]  He's always got the packs.
[06:18.340 --> 06:20.340]  So I usually have to come with something different.
[06:20.340 --> 06:22.340]  I always come with T-shirts.
[06:22.340 --> 06:24.340]  And it's been 14 episodes.
