[00:00.000 --> 00:02.000]  We just started
[01:30.580 --> 01:33.080]  See the heat, heat, heat, heat from your body
[01:33.580 --> 01:35.080]  She's a thorn in my side
[01:35.580 --> 01:37.080]  Oh my! Oh my! Oh my!
[01:37.580 --> 01:39.080]  My love is just a newbie
[01:39.580 --> 01:41.080]  Oh my! Oh my! Oh my!
[01:41.580 --> 01:43.080]  My love is just a newbie
[01:43.580 --> 01:45.080]  Oh my! Oh my! Oh my!
[01:45.580 --> 01:47.080]  My love is just a newbie
[01:48.580 --> 01:50.080]  Just a newbie
[01:50.080 --> 01:52.080]  My friend, how are you?
[01:52.080 --> 01:54.080]  God, God, God
[01:54.080 --> 01:56.080]  My friend, how are you?
[01:56.080 --> 01:58.080]  God, God, God
[01:58.080 --> 02:00.080]  My boyfriend, how are you?
[02:28.000 --> 02:32.000]  Oh, everybody, I gotta take off me there. Yay!
[02:32.000 --> 02:34.000]  Oh, you're good. You're good.
[02:34.000 --> 02:36.000]  I was fuckin' with it.
[02:36.000 --> 02:38.000]  Getting down, getting jiggy with it.
[02:38.000 --> 02:40.000]  Oh yeah, I did. Hell yeah.
[02:40.000 --> 02:46.000]  That's what happens when an audio engineer gets baked and mishears lyrics.
[02:46.000 --> 02:50.000]  I swear it was saying, daga, daga, daga, Peter, you're a Casanova.
[02:50.000 --> 02:52.000]  And I rolled with it.
[02:52.000 --> 03:00.000]  Hell yeah, dude. It's like Bad Moon, you know, with Cregan's Clearwater Revival.
[03:00.000 --> 03:04.000]  Sounds like Japan. There's a bathroom on the right.
[03:04.000 --> 03:08.000]  Totally, totally nailed it.
[03:08.000 --> 03:12.000]  There's a whole lot of awesome misheard lyrics out there.
[03:12.000 --> 03:16.000]  I'm sure, I thought I misheard Dick Soup earlier, but that's apparently a real artist.
[03:16.000 --> 03:20.000]  Oh dude, that's a real one, man. Dick Soup, Ball City.
[03:20.000 --> 03:26.000]  Dick Trickle, professional NASCAR driver, is probably his brother.
[03:26.000 --> 03:30.000]  Maybe a cousin. I don't know. With names like that, you probably have to be cousins, don't you think?
[03:30.000 --> 03:36.000]  Maybe. The band, there was Banjo and Sullivan was the band for that one.
[03:36.000 --> 03:40.000]  They wrote it back in like the 70s too, so it was cool.
[03:40.000 --> 03:46.000]  Oh man. Well, speaking of music, I totally pulled the move.
[03:46.000 --> 03:50.000]  I pulled the move. All right, check me out, guys.
[03:50.000 --> 03:54.000]  I fucking wore the t-shirt of the band I was going to see.
[03:54.000 --> 03:58.000]  I actually did this. Yes.
[03:58.000 --> 04:02.000]  Dude, that's awesome, dude. That's awesome.
[04:02.000 --> 04:04.000]  I did the same thing.
[04:04.000 --> 04:06.000]  You did? What do you got there?
[04:06.000 --> 04:08.000]  Oh, well, it's...
[04:08.000 --> 04:10.000]  Oh, there we go. Okay. You don't have to stand up.
[04:10.000 --> 04:14.000]  I mean, I could if you want, but I'm not wearing any pants.
[04:14.000 --> 04:18.000]  I don't know how your crowd is, you know what I mean?
[04:18.000 --> 04:20.000]  Maybe they want some dick soup.
[04:20.000 --> 04:26.000]  You know what? That's not child appropriate.
[04:26.000 --> 04:28.000]  Oh, yeah. That's true, man.
[04:28.000 --> 04:33.000]  You got that little super chat shit where they give you money or whatever.
[04:33.000 --> 04:36.000]  You just kick everybody under 18 out.
[04:36.000 --> 04:39.000]  You know what I mean? You just got to put that music back on.
[04:39.000 --> 04:41.000]  That's the only deal.
[04:42.000 --> 04:45.000]  We can start an OnlyFans for you.
[04:45.000 --> 04:48.000]  Yeah, well, that's already going down.
[04:48.000 --> 04:53.000]  We're going to play like horno music and pollinate plants and shit.
[04:53.000 --> 04:55.000]  Slow motion. It's got to be slow motion.
[04:55.000 --> 04:57.000]  Oh, yeah. Yeah, for sure.
[04:57.000 --> 04:59.000]  And we'll be like, oh, fuck yeah.
[04:59.000 --> 05:02.000]  Fucking pollinate like crazy.
[05:02.000 --> 05:06.000]  Got to be like that guy, dropping fucking loads.
[05:06.000 --> 05:08.000]  Yeah, man. Fucking...
[05:09.000 --> 05:11.000]  I guess this would be the crowd for it too.
[05:11.000 --> 05:14.000]  A bunch of like CEDO files and shit, you know?
[05:14.000 --> 05:18.000]  Yes. Yeah, we get comments like this all the time.
[05:18.000 --> 05:21.000]  I need seeds. Can you help me, please?
[05:21.000 --> 05:23.000]  Hell yeah. Hell yeah.
[05:23.000 --> 05:26.000]  I know Dave, he's got his out.
[05:26.000 --> 05:28.000]  I broke out the old...
[05:28.000 --> 05:30.000]  Damn.
[05:30.000 --> 05:33.000]  The old satchel there.
[05:33.000 --> 05:35.000]  He's hiding them in a happy birthday balloon.
[05:35.000 --> 05:37.000]  Yeah. Yeah, they'll never know.
[05:37.000 --> 05:41.000]  Just fill it with fucking helium and string it up.
[05:41.000 --> 05:43.000]  They're probably light enough.
[05:43.000 --> 05:46.000]  I'm sure they would float.
[05:46.000 --> 05:48.000]  Yeah, that, don't worry about it.
[05:48.000 --> 05:50.000]  That's just a weather balloon.
[05:50.000 --> 05:52.000]  What's going on here?
[05:52.000 --> 05:54.000]  Not doing anything wrong.
[05:54.000 --> 05:56.000]  Nothing to see here.
[05:56.000 --> 05:58.000]  Please move on.
[05:58.000 --> 06:02.000]  Just a birthday party with a bunch of grown ass men.
[06:02.000 --> 06:03.000]  We like balloons.
[06:03.000 --> 06:06.000]  I've got nothing for you, officer, except for some dick soup.
[06:06.000 --> 06:08.000]  What's up?
[06:08.000 --> 06:10.000]  Fuck out of here.
[06:10.000 --> 06:12.000]  Oh shit, man.
[06:12.000 --> 06:13.000]  I love it.
[06:13.000 --> 06:15.000]  No helicopter action, please.
[06:15.000 --> 06:16.000]  Okay. Yes, David.
[06:16.000 --> 06:17.000]  No helicopter action.
[06:17.000 --> 06:19.000]  And I know the helicopter you're talking about.
[06:19.000 --> 06:21.000]  So we'll stay away from that tonight.
[06:21.000 --> 06:23.000]  But I did have to...
[06:23.000 --> 06:24.000]  Yeah.
[06:24.000 --> 06:27.000]  I did have to stand up and represent though.
[06:27.000 --> 06:30.000]  On the front of your shirt is what's on the back of my...
[06:30.000 --> 06:32.000]  Nice.
[06:32.000 --> 06:33.000]  Yeah, man.
[06:33.000 --> 06:36.000]  Nice, because every time I saw you, I would always be like,
[06:36.000 --> 06:38.000]  so when's the merch coming out?
