[00:28.410 --> 00:31.650]  How's it going, everybody?
[00:31.650 --> 00:36.010]  I didn't realize I was muted as I did my little intro.
[00:36.010 --> 00:37.970]  Anyway, we are live.
[00:37.970 --> 00:38.970]  Carry on.
[00:38.970 --> 00:39.970]  Yeah.
[00:39.970 --> 00:40.970]  Welcome, everybody.
[00:40.970 --> 00:43.650]  Week 19, we got Arjen Roskam.
[00:43.650 --> 00:45.970]  There's an old school picture of Arjen.
[00:45.970 --> 00:46.970]  And we got Dest.
[00:46.970 --> 00:47.970]  I got more modern.
[00:47.970 --> 00:48.970]  Hello.
[00:48.970 --> 00:49.970]  How's it going, guys?
[00:49.970 --> 00:50.970]  Hanging in there.
[00:50.970 --> 00:51.970]  Excellent.
[00:51.970 --> 00:52.970]  So, we're live.
[00:52.970 --> 01:00.490]  So, you remember this, guys?
[01:00.490 --> 01:04.170]  This is, Arjen gave this to me, I think, in 2013.
[01:04.170 --> 01:08.810]  This is the Arjen King of Cannabis bobblehead.
[01:08.810 --> 01:09.810]  This is great.
[01:09.810 --> 01:11.730]  You know, I mean, it's a one of a kind thing.
[01:11.730 --> 01:15.210]  I mean, greenhouse, Arjen, one of a kind sort of guy.
[01:15.210 --> 01:17.650]  Thank you guys for coming on the show today.
[01:17.650 --> 01:18.650]  You're most welcome.
[01:18.650 --> 01:19.650]  And thank you for having us.
[01:19.650 --> 01:20.650]  Yep.
[01:20.650 --> 01:21.650]  Thank you for inviting.
[01:21.650 --> 01:22.650]  Excellent.
[01:23.330 --> 01:24.330]  So, you guys are in Barcelona.
[01:24.330 --> 01:25.330]  Dest is in Barcelona.
[01:25.330 --> 01:26.330]  Arjen is in Amsterdam.
[01:26.330 --> 01:29.330]  How are things going with COVID?
[01:29.330 --> 01:34.650]  Well, probably a little bit the same like in America.
[01:34.650 --> 01:37.650]  We got more problems with the mayor than with COVID.
[01:37.650 --> 01:43.650]  Yeah, they're giving the injections to people.
[01:43.650 --> 01:50.650]  So, I hope after June, we should be a little bit back to normal.
[01:50.650 --> 01:58.050]  That will take a while and depends a lot on the speed of the injections and stuff like
[01:58.050 --> 01:59.050]  that.
[01:59.050 --> 02:00.050]  How's Barcelona?
[02:00.050 --> 02:06.650]  Yeah, Barcelona is very strange to see it empty.
[02:06.650 --> 02:09.970]  You know, I've been there for like seven years and it's always so crowded.
[02:09.970 --> 02:12.330]  You know, you see the Rambla, it's always full.
[02:12.330 --> 02:15.990]  I think it's one of the most visited streets in the world.
[02:15.990 --> 02:17.530]  And now it's literally empty, you know.
[02:17.530 --> 02:19.610]  So, it's a little bit strange for sure.
[02:19.610 --> 02:21.170]  Yeah, it's like worldwide.
[02:21.170 --> 02:24.530]  People are suffering a little bit for the job and everything.
[02:24.530 --> 02:26.290]  But we know it's temporary.
[02:26.290 --> 02:31.290]  We just have to be patient and just wait for better times.
[02:33.290 --> 02:35.290]  So, we stay positive.
[02:35.290 --> 02:37.290]  Yeah, we got to stay positive.
[02:37.290 --> 02:38.290]  That's for sure.
[02:38.290 --> 02:44.290]  Are the coffee shops open in Amsterdam and the Strain Hunters Club open for sales in Spain?
[02:45.290 --> 02:47.290]  Yeah, Barcelona, the clubs are open.
[02:47.970 --> 02:49.970]  We are limited capacity, you know.
[02:49.970 --> 02:54.970]  In the weekend, just takeaways and there's no drinks, no bar, no food.
[02:54.970 --> 02:57.970]  But at least we can still run a minimum.
[02:59.970 --> 03:00.970]  Amsterdam, the same.
[03:00.970 --> 03:02.970]  We run a minimum, only takeaway.
[03:03.970 --> 03:06.970]  And yeah, the streets are dead basically in the centre.
[03:06.970 --> 03:09.970]  It's a very sad situation.
[03:09.970 --> 03:15.080]  So, let's hope we get out of there soon.
[03:16.080 --> 03:17.080]  Yeah.
[03:17.080 --> 03:19.080]  Yeah, it's really sad over here.
[03:19.760 --> 03:23.760]  In California, in the Bay Area, we just opened up for outside dining again.
[03:23.760 --> 03:25.760]  We've been closed for two months.
[03:25.760 --> 03:29.760]  Then post-inauguration, they opened it back up for outdoor dining.
[03:29.760 --> 03:31.760]  So, restaurants are suffering.
[03:31.760 --> 03:33.760]  Everybody's been kind of suffering.
[03:33.760 --> 03:36.760]  I think the cannabis industry overall is doing well.
[03:36.760 --> 03:41.760]  On an international scale and even statewide and regional here,
[03:41.760 --> 03:45.760]  cannabis has been considered essential in the United States.
[03:46.440 --> 03:48.440]  So, it's been good for cannabis employees.
[03:48.440 --> 03:51.440]  Cannabis sales have gone through the roof in a lot of places.
[03:51.440 --> 03:55.440]  And we have Arizona just went online on Monday for recreational sales.
[03:55.440 --> 04:00.440]  So, the buzz is going and the amount of users is growing.
[04:01.440 --> 04:03.440]  So, I think that's a good thing for us.
[04:05.440 --> 04:07.440]  I really wanted to talk to you guys today.
[04:07.440 --> 04:09.440]  There's a couple of things, Franco's legacy.
[04:09.440 --> 04:11.440]  But I wanted to go all the way back with you, Ariane,
[04:11.440 --> 04:14.440]  and kind of talk about how you got started in the cannabis industry.
[04:15.120 --> 04:17.120]  I think that was in the 80s, right?
