[00:00.000 --> 00:00.840]  How you doing?
[00:00.840 --> 00:01.780]  Three.
[00:01.780 --> 00:02.620]  Good, brother.
[00:02.620 --> 00:04.420]  All right, we are now live.
[00:04.420 --> 00:05.900]  Welcome, everybody.
[00:07.180 --> 00:09.780]  That is what we're talking about.
[00:09.780 --> 00:12.340]  And James, let me pass it off to you.
[00:14.340 --> 00:18.180]  James, who is our show host, is jumping back on.
[00:18.180 --> 00:21.940]  So everyone, give him a second while I help Jill also log in.
[00:23.580 --> 00:25.420]  Should we be wearing masks?
[00:25.420 --> 00:26.260]  Yeah.
[00:26.260 --> 00:27.080]  Yeah.
[00:27.080 --> 00:27.920]  Yeah.
[00:27.920 --> 00:28.740]  Yeah.
[00:28.740 --> 00:30.920]  I have some Mexican wrestling masks.
[00:30.920 --> 00:31.760]  Yeah.
[00:36.120 --> 00:38.160]  Yeah, let me, hold on.
[00:40.580 --> 00:41.420]  Sorry.
[00:41.420 --> 00:42.980]  All right, let me just quickly,
[00:42.980 --> 00:46.420]  everybody give us one second.
[00:46.420 --> 00:48.660]  I'm gonna rename someone.
[00:50.740 --> 00:51.740]  I'm back.
[00:51.740 --> 00:52.940]  Okay, there we go.
[00:52.940 --> 00:55.420]  I was just passing it off to you.
[00:55.420 --> 00:57.220]  So why don't you take over again?
[00:58.140 --> 00:59.780]  Hey, how's it going, everybody?
[00:59.780 --> 01:03.780]  Welcome to week two of the James Loud Show.
[01:03.780 --> 01:06.700]  This week we have the Green Avengers, TGA Genetics.
[01:06.700 --> 01:10.420]  We have some of the founding members and the original guys.
[01:10.420 --> 01:13.940]  I'd like to introduce Jinx.
[01:13.940 --> 01:16.900]  We've got Pat or Dirt Diggler.
[01:16.900 --> 01:20.720]  And we got Shane and Ray here on the line.
[01:20.720 --> 01:22.100]  We're waiting for Jill to connect
[01:22.100 --> 01:24.020]  and she should be on in a few minutes.
[01:24.860 --> 01:29.860]  You guys have been definitely a force in the US
[01:30.180 --> 01:33.860]  as far as seed go, as far as doing fruit forward genetics,
[01:33.860 --> 01:35.420]  kind of before everybody else.
[01:36.380 --> 01:39.380]  You guys wanna start by telling me
[01:39.380 --> 01:42.020]  how the Green Avengers got their name
[01:42.020 --> 01:44.100]  and how you guys got started?
[01:44.100 --> 01:44.940]  Sure.
[01:45.900 --> 01:48.460]  I met Sub via a friend who introduced me
[01:48.460 --> 01:53.220]  to a group of people who were on chat rooms back in the day
[01:53.260 --> 01:55.780]  that were all weed related and marijuana related.
[01:55.780 --> 01:57.740]  And this guy named Joe introduced me
[01:57.740 --> 01:59.820]  to this guy named Sub or Monty.
[01:59.820 --> 02:03.300]  And Monty was still on the East Coast at that time.
[02:03.300 --> 02:06.860]  And he had a lot of different little grows going on
[02:06.860 --> 02:09.540]  and he always had his hands on a whole bunch of stuff.
[02:10.500 --> 02:14.140]  And his vision was to ultimately start a seed company.
[02:14.140 --> 02:17.300]  And it's funny, his motto was,
[02:17.300 --> 02:20.820]  he wanted to follow drop seeds, not bombs.
