[00:00.000 --> 00:00.840]  Damn it.
[00:14.230 --> 00:17.110]  Oh, big ups everybody.
[00:17.110 --> 00:22.110]  We're back with another episode of the Friendly Cannabis Show
[00:22.150 --> 00:24.050]  and we've been chatting for a couple of minutes
[00:24.050 --> 00:25.270]  behind the scenes and I already know
[00:25.270 --> 00:27.350]  that this is going to be a really fun one.
[00:28.310 --> 00:30.350]  One love, how are you doing this evening?
[00:30.350 --> 00:32.750]  I'm doing very well, thank you Chad.
[00:32.750 --> 00:33.590]  How are you doing?
[00:33.590 --> 00:35.510]  Good, I'm doing great.
[00:35.510 --> 00:38.390]  And this is actually for, you know, the people tuning in
[00:38.390 --> 00:40.790]  and all the people that watch this on replay
[00:40.790 --> 00:43.210]  get a lot of replays, that's very awesome.
[00:44.070 --> 00:45.750]  This is the first time we've met,
[00:45.750 --> 00:48.990]  but this was something that Peter has been asking
[00:48.990 --> 00:50.110]  for a long time, he's like,
[00:50.110 --> 00:51.910]  dude, you need to talk to this guy.
[00:51.910 --> 00:53.270]  You should really set this up.
[00:53.270 --> 00:56.950]  I think you guys will, you know, have a good conversation.
[00:56.950 --> 00:58.110]  Fricking absolutely dude.
[00:58.110 --> 01:01.830]  So many commonalities that we have.
[01:01.830 --> 01:05.690]  Like I'm pretty stoked to do this.
[01:06.530 --> 01:09.530]  Welcome everybody joining in chat again.
[01:09.530 --> 01:13.530]  So, I mean, there's a lot of places we could go.
[01:13.530 --> 01:15.970]  We've kind of talked in the emails behind the scenes
[01:15.970 --> 01:17.890]  and we do actually have a lot in common,
[01:17.890 --> 01:20.210]  which I'm not surprised why Peter set this up.
[01:20.210 --> 01:21.810]  Thank you, Peter.
[01:21.810 --> 01:22.970]  I'm stoked.
[01:22.970 --> 01:25.090]  Thanks Peter, for sure.
[01:25.090 --> 01:27.010]  And I'll say, I don't know if you remember Peter,
[01:27.010 --> 01:31.890]  we met back in the day in Oregon at one of the cups
[01:31.890 --> 01:34.650]  when I was working for a girl out there in Oregon.
[01:34.650 --> 01:36.810]  So hello again and thank you.
[01:38.210 --> 01:40.670]  Yeah, and he's, you know, big, big thank you to him.
[01:40.670 --> 01:42.610]  He's introduced me to some cool people
[01:42.610 --> 01:44.890]  along the way, along this journey.
[01:44.890 --> 01:46.730]  And I'm stoked to meet another person.
[01:46.730 --> 01:50.170]  Cause again, we're a big community and you know,
[01:50.170 --> 01:52.490]  some people are a little bit more, you know,
[01:52.490 --> 01:53.530]  shy than others.
[01:53.530 --> 01:56.650]  Some people you can't, whoa, can't get enough of.
[01:56.650 --> 01:58.490]  Other people you're just like, man,
[01:58.490 --> 02:00.290]  wish that person would come out.
