[00:00.250 --> 00:03.890]  All right, take two.
[00:03.890 --> 00:09.010]  We are back, ladies and gentlemen, and we got a really freaking special show for you
[00:09.010 --> 00:10.010]  today.
[00:10.010 --> 00:14.090]  So without any further ado, I'm going to take my technically challenged ass and get out
[00:14.090 --> 00:17.650]  of this room and turn it over to the hosts, Brian and Marco.
[00:17.650 --> 00:19.330]  Take it away, guys.
[00:19.330 --> 00:20.330]  Yeah.
[00:20.330 --> 00:21.330]  Happy Wednesday to you guys.
[00:21.330 --> 00:23.810]  You know, Living Soil nerds, we apologize.
[00:23.810 --> 00:28.570]  We were over, I guess, in another atmosphere just talking to each other for a while.
[00:28.570 --> 00:32.090]  So like you said, take two on this.
[00:32.090 --> 00:35.690]  A few things have happened, obviously, for this show to happen today.
[00:35.690 --> 00:39.170]  One of those organic Alexa, just wanted to give a shout out to her.
[00:39.170 --> 00:42.450]  She was our guest today and unfortunately she fell ill.
[00:42.450 --> 00:46.050]  So we just wanted to, you know, reach out to her that hopefully we can have her back
[00:46.050 --> 00:50.450]  on the show because I feel like, again, we're just trying to get a lot of diverse individuals
[00:50.450 --> 00:56.650]  to come on the show, learn from those, you know, experiments, mistakes and that kind
[00:56.650 --> 00:59.090]  of stuff and move forward.
[00:59.090 --> 01:03.570]  One of the people that I've learned from, I feel like for a long time is our special
[01:03.570 --> 01:04.770]  guest today.
[01:04.770 --> 01:09.330]  Somebody that I obviously admire and I have no shame in doing so, Duke Diamond.
[01:09.330 --> 01:13.370]  I did want to start off the show real quick with just this fundraiser that we were able
[01:13.370 --> 01:15.690]  to have because of Peter, because of the platform.
[01:15.690 --> 01:22.610]  Duke, unfortunately, when you were away, obviously COVID hit, man, and the channel blew up for
[01:22.610 --> 01:23.610]  Peter.
[01:23.610 --> 01:25.850]  And I feel like he put in a ton of work to be able to get to this point.
[01:26.050 --> 01:29.770]  And now obviously things are growing where we have Chad, just a lot of more shows coming
[01:29.770 --> 01:30.770]  on.
[01:30.770 --> 01:34.690]  I remember at the beginning, I think it was in 2020, Peter was talking about how he wanted
[01:34.690 --> 01:38.850]  this to kind of be like the ESPN of cannabis.
[01:38.850 --> 01:40.810]  And I think he's really starting to achieve that goal.
[01:40.810 --> 01:45.370]  So this is going to be a real treat, I feel like, for the more and more people that are
[01:45.370 --> 01:49.830]  starting to understand cannabis that might not necessarily have kind of seen the way
[01:49.830 --> 01:53.930]  things have shaped in a long time, especially the last few years.
[01:54.010 --> 01:56.850]  A lot of things have changed pretty dramatically.
[01:56.850 --> 02:00.690]  So I did want to get, you know, obviously shout out to Peter and the platform, putting
[02:00.690 --> 02:01.930]  things together.
[02:01.930 --> 02:07.290]  Propane Jane, Miss Montana behind the scenes, just kind of being the glue sometimes to make
[02:07.290 --> 02:10.010]  sure that things were correct.
[02:10.010 --> 02:14.130]  And then I want to give a super special shout out to Robbie with Nerd Genetics.
[02:14.130 --> 02:16.330]  I feel like that dude always holds it down.
[02:16.330 --> 02:19.690]  He's definitely one of those that's a real one.
[02:19.690 --> 02:22.690]  That's something that I feel like Duke, a lot of people use when they describe you,
[02:22.690 --> 02:23.690]  sir.
[02:24.450 --> 02:26.650]  You're a real one and that's all they really have to say about you, because I feel like
[02:26.650 --> 02:35.450]  then your reputation and the way you carry yourself really handles and goes a long way.
[02:35.450 --> 02:40.610]  Like I was saying before the take two with this, I kind of really got into that because
[02:40.610 --> 02:44.570]  the way you carry yourself, man, the way that things are, that's how people would respect
[02:44.570 --> 02:45.710]  one another.
[02:45.710 --> 02:47.910]  And that is lost, especially in these last few years.
[02:47.910 --> 02:52.490]  So I feel like, again, we want to have a platform where we can talk to people that are true
[02:52.530 --> 02:53.530]  to their word.
[02:53.530 --> 02:57.370]  And the last person I really want to thank throughout, especially these last few months
[02:57.370 --> 02:58.370]  is Sticky Lungs.
[02:58.370 --> 03:03.610]  That's another dude that just is always tried and true, always coming through on it for
[03:03.610 --> 03:05.050]  a variety of individuals.
[03:05.050 --> 03:09.690]  So just wanted to start that out, man, because there's a lot of bullshit going on, kind of
[03:09.690 --> 03:10.690]  hate.
[03:10.690 --> 03:13.650]  There was even some bullshit that I saw with Emerald Cup.
[03:13.650 --> 03:15.010]  I kind of wanted to take it there.
[03:15.010 --> 03:21.890]  But then at the same time, I kind of wanted to explain why I feel like, Duke, you're going
[03:22.290 --> 03:27.930]  places on a high, on another level, because you were able to explain things to the community
[03:27.930 --> 03:30.450]  for a long time before you went away.
[03:30.450 --> 03:33.170]  And that is not forgotten among the community.
[03:33.170 --> 03:36.970]  You've been on a variety of other podcasts, and I feel like there's a lot of things to
[03:36.970 --> 03:38.370]  learn from that.
[03:38.370 --> 03:40.890]  And I hope that we're going to be able to dive deeper into that.
[03:40.890 --> 03:44.770]  I'm also excited to officially introduce you to my co-host, Marco.
[03:44.770 --> 03:50.170]  I feel like Marco is another one of those that carries himself as kind of like the old
