[00:00.700 --> 00:08.700]  All right, good morning. Welcome to the East Bay Sea Collective show.
[00:08.700 --> 00:21.700]  Um, it's a, ah, I think this might be my guest. Hello. Hey, how's it going?
[00:21.700 --> 00:28.360]  Um, so did you get the link that I sent you?
[00:28.360 --> 00:35.160]  Um, I thought I had emailed it to you.
[00:35.160 --> 00:47.710]  Um, it was the Pride of Lions at Gmail.
[00:47.710 --> 01:06.160]  In, yeah, in Chrome over Safari.
[01:06.160 --> 01:16.020]  I'm in a, in like Richmond area so like the area.
[01:16.020 --> 01:25.050]  Nice.
[01:25.050 --> 01:51.520]  I'm also on live right now if I'm talking as well. We have our guest he's he's setting up so we should be, we should be getting set up shortly everybody.
[01:51.520 --> 01:59.520]  So yes, everybody today we have a pride of lions seeds coming on to talk with us about all the flowers.
[01:59.520 --> 02:05.520]  He's just getting his, his connection set up.
[02:05.520 --> 02:14.520]  But yeah, I think it's going to be a really killer show. I understand everybody's just kind of waking up and getting settled.
[02:14.520 --> 02:19.520]  Yeah, I think this will be a really interesting conversation.
[02:19.520 --> 02:32.520]  All the people that were on was that two weeks ago with our conversation with Jeremy from Davis farms, I thought that was a extremely interesting conversation I'd really like to get him to come back on again.
[02:32.520 --> 02:44.520]  But to keep talking hemp I think it's a really interesting topic and also a really good way for us to learn how to breed, you know, many different ways.
[02:44.520 --> 03:01.520]  And so like hands with reading many different ways. We have Daniel from Pride of Lions coming on today to talk auto flowers. And, yeah, there is some myths that I'd like to have busted today.
[03:01.520 --> 03:17.880]  I've definitely been a auto flower skeptic. And, you know, it's time to, to kind of move past that and have some outdoor green weed to smoke in the summertime.
[03:18.880 --> 03:40.880]  So yeah, that's I mean, really, that's my, that's my big impetus for today's show is, you know, there are a lot of people on here who are outdoor people like myself. And for me the biggest issue with outdoor grower. Ah, all right.
[03:40.880 --> 03:42.880]  You got me.
[03:42.880 --> 03:44.880]  I do. Hello, Daniel. How's it going?
[03:44.880 --> 03:46.880]  Hey, Jamal. Nice to meet you.
[03:47.880 --> 03:49.880]  I sincerely appreciate it.
[03:49.880 --> 04:01.880]  Yeah, it was like 10 months old was up late teething last night. It was a little bit of a rough night, but I'm here.
[04:01.880 --> 04:09.880]  Thank you for coming on. I have a two year old, so I can definitely empathize with you.
[04:10.880 --> 04:17.880]  I guess just out of the, you know, quick question, how is the weather treating you up on the hill?
[04:17.880 --> 04:33.880]  Well, yeah, it's, it's, it's been sunny for a couple days now. It looks like there's going to be sunshine for 10 days, you know, even with all the rain we've been getting in California, you know, it could be sunny for the rest of winter and, you know, we might still be in reservoirs would be full, but we'd still be in the drought.
[04:34.880 --> 04:41.880]  For sure. For sure. But you guys don't have any like land, like landslides or anything like any issues like that?
[04:42.880 --> 05:06.880]  Oh, there was a, yeah, there was a couple minor little landslides, but our biggest issue was, you know, clogged culverts and trees coming down because we've had a lot of dead doug fir and pine trees from the drought and the pine beetle so they just been coming down like I think in three weeks I cut 25 trees off the road.
[05:06.880 --> 05:09.880]  Jeez. And where are you located?
[05:10.880 --> 05:14.880]  I'm in the eastern mountains of Mendocino County and Potter Valley.
[05:15.880 --> 05:17.880]  Nice. That's an excellent area.
[05:17.880 --> 05:19.880]  Yeah.
[05:48.880 --> 05:50.880]  That's epic. That's super epic.
[05:51.880 --> 05:59.880]  So, okay, so I want to, you know, the reason I had you on is one of my friends gifted me some pride of lion seeds.
[06:00.880 --> 06:10.880]  And honestly, being selfish, I was like, I want to grow these and I might as well try to interview this breeder. It would be a great way to learn about these genetics.
[06:11.880 --> 06:24.880]  I'm an outdoor guy and I love to go to music festivals, but probably as you know, by that time in the summer your weed, it's not that good. It's all brown and whatnot.
[06:25.880 --> 06:31.880]  And so obviously time to grow some auto flower so I can have some fresh stuff to smoke in the summertime.
[06:33.880 --> 06:45.880]  You know, probably the later part of the summer. So that's really the impetus of this show is to help people learn how to grow autos in the summer so they can have something awesome to smoke.
[06:46.880 --> 06:52.880]  I also was really inspired that I saw that you're growing a lot outdoors.
[06:53.880 --> 06:54.880]  Yeah.
[06:54.880 --> 06:59.880]  Come on in, honey. What's going on? You can come in.
[07:00.880 --> 07:03.880]  I'm sorry. My daughter likes to come say hello on every show.
[07:04.880 --> 07:06.880]  That'll probably happen to me too.
[07:09.880 --> 07:10.880]  Come in, honey.
[07:11.880 --> 07:12.880]  Say hello.
[07:13.880 --> 07:14.880]  Hi.
[07:19.050 --> 07:20.050]  This is Aili.
[07:21.050 --> 07:22.050]  Hi, Aili.
[07:23.050 --> 07:24.050]  Yeah, this is Daniel.
[07:24.050 --> 07:25.050]  Okay.
[07:25.050 --> 07:28.050]  I've got two girls too. And one boy. I have three kids.
[07:29.050 --> 07:30.050]  Oh, geez.
[07:31.050 --> 07:32.050]  Yeah, for sure.
[07:34.050 --> 07:37.050]  So, okay. So my question. Okay, so.
[07:38.050 --> 07:39.050]  Yeah, outdoors.
[07:39.050 --> 07:44.050]  Autoflowers outside. What got you into growing autoflowers?
[07:45.050 --> 08:01.050]  You know, a friend of mine who was staying on the farm with me built a handmade gym bag for this guy on the coast here in Minnesota County.
[08:02.050 --> 08:05.050]  And the guy gave him like three packs of seeds.
[08:06.050 --> 08:11.050]  And, you know, one of them was labeled, you know, early.
[08:12.050 --> 08:28.390]  And, you know, before I realized it, I'm like a Mexican early girl and bred it into an OG and just kept selecting for the earliest finishing.
[08:29.390 --> 08:33.390]  So I think it had a recessive ruderalis in it.
[08:34.390 --> 08:37.390]  And I don't even, you know, I've definitely tracked down some more information.
[08:37.390 --> 08:40.390]  The guy doesn't grow anymore, but he was like a little hobby breeder.
[08:40.390 --> 08:42.390]  And I think he accidentally made an autoflower.
[08:43.390 --> 08:44.390]  So then I started with that one.
[08:45.390 --> 08:53.390]  And that's a Lionsgate OG with Mexican early girl, which had the Siberian ruderalis in it.
[08:54.390 --> 08:59.390]  And I was interested in autoflowers before that, just because we're, you know, outdoor growers.
[09:00.390 --> 09:03.390]  So then, you know, I got some more autos and seed trades.
[09:04.390 --> 09:10.390]  And, you know, I've never been into doing light depth or indoor.
[09:11.390 --> 09:13.390]  I like the outdoor. Do a season and you're done.
[09:14.390 --> 09:25.390]  I don't like all the, you know, a lot of plastic with the light depths and the green, you know, it's, and I don't think it's like, you know, a hillside full of autos or, you know, backyard with a couple of them.
[09:26.390 --> 09:27.390]  It's fun.
[09:27.390 --> 09:34.390]  And, you know, we got lucky because the auto that we started with is fantastic.
