[00:00.000 --> 00:02.000]  Let's see
[00:05.020 --> 00:08.580]  Brian you ready cuz it's gonna go live in about four up. It's live
[00:12.860 --> 00:16.220]  You guys you guys are gonna be intimate in this conversation
[00:17.980 --> 00:19.980]  When Brian squeezes in there, so
[00:25.580 --> 00:29.900]  Yeah, well we're live so welcome everyone and
[00:29.900 --> 00:34.380]  One and I Brian you want me to flip it to you and you can just introduce these guys and
[00:35.020 --> 00:38.860]  Yeah, so we're just here live in Denver. Just kind of hanging out tonight
[00:38.860 --> 00:42.940]  I reached out to these guys because I feel like there's certain people that need a voice
[00:42.940 --> 00:46.300]  And one of those guys I feel like is Greg here with genome alchemy
[00:47.180 --> 00:50.700]  I'm excited for your audience to hear what he has to say
[00:50.700 --> 00:56.460]  And then I feel like everybody kind of knows who this gentleman is. They can see so I feel like we'll have a
[00:57.580 --> 00:59.020]  very
[00:59.420 --> 01:01.180]  Very complex
[01:01.180 --> 01:04.860]  Conversation tonight about what it really takes to start from living soil seed
[01:05.340 --> 01:11.780]  Cultivate that into a living soil flower material and then pass that canvas if you will onto a guy like a tea
[01:11.820 --> 01:15.060]  Where he takes it on as his own artwork
[01:15.620 --> 01:17.620]  So that's what we're going to discuss today. I
[01:18.660 --> 01:20.660]  Like it. Oh, yeah. Oh, yeah
[01:21.980 --> 01:28.380]  Right on y'all. Well, I'm gonna introduce my boy genome alchemy over here first. I'm just gonna cut right into it
[01:28.460 --> 01:35.100]  Y'all don't mind but this dude I've known him for almost 20 years now. I mean 20 years. Yeah much here
[01:35.820 --> 01:40.660]  We've lived together and we still love each other which is kind of crazy. I think
[01:43.540 --> 01:45.220]  This dude crushes
[01:45.220 --> 01:50.540]  I've known him for a long time and he's always been my grower my breeder, you know
[01:50.540 --> 01:53.660]  When I kind of trod throughout the world, you know, I'm awesome
[01:54.180 --> 01:56.720]  Honestly, I'm constantly talking about my breeder day
[01:57.440 --> 02:02.360]  So they got genome alchemy right here this man's been doing it for a long time
[02:02.360 --> 02:05.080]  So why don't you tell them what you've been doing with breeding? Yeah, right
[02:05.080 --> 02:09.360]  I mean much love brother. We definitely definitely been in the game a long time
[02:09.360 --> 02:14.200]  You know, it's good to see you know, we're still still doing the thing, you know, I
[02:15.200 --> 02:17.880]  You know started breeding in 2012
[02:18.820 --> 02:21.260]  Really just no, I love her cannabis is
[02:21.960 --> 02:23.800]  beyond
[02:23.800 --> 02:30.320]  You know anything else so it's what I've decided to do in my life for you know going on 20 years so for
[02:31.120 --> 02:38.640]  The last eight or nine years. I've been playing around with you know, recombining genes and you know doing the genome alchemy thing
[02:39.360 --> 02:41.360]  really playing around
[02:41.800 --> 02:42.940]  with
[02:42.940 --> 02:47.960]  Like I was saying earlier non-hype type stuff, but you know really just novel
[02:48.760 --> 02:56.500]  New and interesting strains, you know, I like to mess around land races like to bring in you know, kind of
[02:57.480 --> 03:02.280]  Lots of different genetic diversity from all different areas, you know of the world and you know
[03:02.800 --> 03:10.060]  And the cannabis industry locally too. So all about bio regionality and you know, I'm a living soil grower. So
[03:10.760 --> 03:14.160]  Kind of beyond organic mentality. I try to breed for
[03:14.720 --> 03:21.800]  Specific locales, you know, not just you know, the next thing that's gonna hit the shelf in you know, Cali or wherever
[03:21.800 --> 03:23.800]  you know, it's
[03:24.440 --> 03:26.440]  Just kind of I
[03:26.760 --> 03:28.760]  Don't know a local
[03:29.240 --> 03:31.120]  hyperlocal focus
[03:31.120 --> 03:34.840]  You know, we're here in Colorado from Colorado. This is my home
[03:35.000 --> 03:37.920]  so I want to breed genetics that do good here and
[03:38.560 --> 03:42.160]  You know will also, you know do well in other places
[03:42.160 --> 03:44.160]  You know kind of focus on
[03:45.520 --> 03:50.640]  You know the regions that are known for cannabis, you know, Northern California, Colorado
