[00:38.590 --> 00:43.830]  The event's been good. I think this is my favorite Secret Cup that we've done out
[00:43.830 --> 00:47.910]  of all of them. Secret Cup, it's one of those special events you know it's a
[00:47.910 --> 00:52.830]  secret you really can't can't tell people too much about it you know. Can't say none.
[00:52.830 --> 00:57.150]  This has been a dream of mine to be able to do these events. It's super
[00:57.150 --> 01:01.150]  super great to be able to dream up something like this and then sit back
[01:01.150 --> 01:07.630]  and see it come to fruition like it has.
[01:08.230 --> 01:10.230]  Alright smile, I'm taking videos here.
[01:12.830 --> 01:19.070]  It was taking some scary ass risks. It really was, but the reward was great
[01:19.070 --> 01:22.390]  because it felt like we carved out a little piece of the world and made it
[01:22.390 --> 01:27.390]  exactly how we wanted to for a little while.
[01:43.120 --> 01:54.120]  My occupation's the toke, even though it's also making me broke. Come on, Morocco, I'm a god of lensome change with a stroke of a pen. Quit persecuting all of those you're supposed to defend.
[01:54.120 --> 02:05.120]  How to be taking tokes of the Saudi, hourly, calling like a falcon on the balcony. I'm tripping when I'm out of weed. I need a Buddha sack, that pre-98 bubba headband, a super jack.
[02:05.120 --> 02:18.120]  Rolling never get far, opening a fresh jar. Little Skywalker choking on the Death Star. Spoiled bragger, E-Nell coil rapper, Royal Shadow rapper, spitting hotter than my oil is batter.
[02:25.600 --> 02:35.600]  The Secret Cup is a cannabis judging contest that puts the voting power in the hands of the people who know cannabis best, the growers and concentrate makers themselves.
[02:36.600 --> 02:49.600]  Most people already know that cannabis grows from a seed, but the part of the plant we use for medicine comes primarily from the oil in the trichomes, which are formed on the outside of the flowers and leaves.
[02:49.600 --> 03:02.600]  Hashish is simply oil extracted from the flowers and leaves. Trichomes can be separated many ways. The oldest is to use a sifting technique to separate the resin heads and make what is commonly called keith.
[03:03.600 --> 03:13.600]  One of the most popular extraction techniques is to use low heat and pressure to simply squish the oil out of the buds, keith, or water hash and make rosin.
[03:16.930 --> 03:26.930]  Water hash is made using a system of bags filled with ice, water, and cannabis. The contents are carefully stirred to separate out the plant material from the trichomes.
[03:27.930 --> 03:32.930]  Once properly dried and cured, water hash results in a quality product.
[03:33.930 --> 03:44.930]  Hash oils have become one of the most desired cannabis extracts to true connoisseurs, usually made with common solvents and involves a closed-loop extraction process.
[03:44.930 --> 03:53.930]  Often called oil, shatter, wax, or butter, these products have proven both the safety and effectivity of cannabis as a universal medicine.
[03:54.930 --> 03:57.930]  While the recipe is simple, the results are amazing.
[03:58.930 --> 04:14.930]  The Secret Cup is the only competition where the extract makers are the judges, coming together as a community and sharing techniques with their peers to advance their craft before ultimately deciding whose entry is the international champion.
[04:15.930 --> 04:24.930]  I guess for me, the Secret Cup is many things. It has become a way that I get to celebrate with my friends, and so we have a family.
[04:25.930 --> 04:26.930]  Nice job, Pewds.
[04:27.930 --> 04:35.930]  Yeah, so I started making hash. I'm actually a grower, been in the industry since solidly 1998.
[04:42.590 --> 04:51.040]  I get like a lime taste. It's good, but it's just kind of low in taste.
[04:52.040 --> 05:01.040]  I got this inspiration by coming to the cup, to the Secret Cup in 2012, and I took last place, man, and it burned inside of me like no other.
[05:02.040 --> 05:07.040]  I was around a bunch of guys that were from my area that were probably like the best hash makers on the planet, you know?
[05:08.040 --> 05:12.040]  And it just was super inspiring being around them, and I haven't really looked back.
[05:13.040 --> 05:26.040]  I have been making hash since I was a kid. We would grow outdoor, and because of the climate and where we were at, we weren't getting very dense nugs, and so what we would end up doing is hashing it, because that was the only way we could make any money off of what we grew.
[05:27.040 --> 05:30.040]  So that's how it kind of started, and then it just progressed from there.
[05:31.040 --> 05:42.040]  I ended up preferring hash to flowers just because it really lets me know where the terpene profile stands and where the grower was at when he made his product.
[05:43.040 --> 05:48.040]  It lets me know everything about the grower just from the taste, flavor, and so that's why I prefer hash.
[05:49.040 --> 05:57.040]  And it's a health thing. Less is more when it comes to hash, and you don't end up smoking flowers all day long, every day, stinking and wasting your time.
[05:57.040 --> 05:58.040]  You take a dab and it's done.
[05:59.040 --> 06:15.040]  My favorite thing about the Seeker Cup is the friends and the people that have, and they're all from different areas in the country, but we can all keep in touch on the internet or whatever, and we all share an unhealthy obsession with dabbing, the culture that surrounds it.
