[00:30.520 --> 00:35.000]  The new sift I got to get a little like background sound there
[00:35.000 --> 00:41.520]  But we are here with Ron and me and the dab cam and it's not jinx. I'm sorry
[00:44.160 --> 00:52.020]  We just find how you doing Ron doing good doing good it's a little those technology glitches that we got to get ironed out
[00:53.400 --> 00:56.460]  Which is fine. So unfortunately won't have jinx with you today
[00:56.460 --> 01:00.660]  But we we take the opportunity to stop in I'm gonna have a dab
[01:01.220 --> 01:03.820]  Ron's gonna tell it we're gonna try out the new dab cam
[01:04.100 --> 01:11.900]  Ron's gonna tell you a little bit about what he's got coming up for the show what the general idea is of the sift and
[01:13.380 --> 01:16.480]  We'll be back in a couple weeks with jinx next week. We got Doc Ray
[01:17.260 --> 01:19.460]  But yeah, there's a ton of fun stuff going on there
[01:19.460 --> 01:23.060]  So Ron, why don't you tell them a little bit about what the what the idea is?
[01:23.060 --> 01:25.820]  What the goal is and what exactly is going to be the sift?
[01:26.460 --> 01:33.340]  Yeah, what we'll do is we'll get into some some details. We can give some tricks on how how we do our reversals
[01:33.740 --> 01:35.420]  we can
[01:35.420 --> 01:40.100]  Talk to people find out what they say think is hot and new coming up for
[01:40.740 --> 01:46.100]  2023 and maybe maybe beyond where they think genetics is going to be to talk about
[01:46.500 --> 01:51.020]  Stability and ways ways that we do our sift and our breeding and selecting
[01:52.240 --> 01:54.240]  to find that those those
[01:55.000 --> 01:59.200]  Exotic strains boy that that looks pretty good. Nice cold dab going there, huh?
[02:00.120 --> 02:03.680]  yeah, I got a little bit of peanut butter breath from I
[02:04.320 --> 02:09.080]  Think it's all brands cannabis and it's all nations brand cannabis
[02:10.120 --> 02:15.180]  their peanut butter breath is pretty nice and I'm gonna do a little bit of that with a cold start and a little bit of
[02:15.180 --> 02:16.880]  my
[02:16.880 --> 02:20.600]  Leave this is the Ken Harm roof red rosin
[02:21.600 --> 02:26.880]  Across ice cream cake, it's pretty nice. Very good flavor profile. Very very fun and that camera looks great
[02:26.880 --> 02:31.480]  Hey, that looks thick. Oh, I want to see it get it bubbling
[02:31.480 --> 02:37.600]  I want to see some some heat to that and and see that's spreading out. So there's a little warmth left in there
[02:45.380 --> 02:47.380]  That looks pretty good
[02:49.100 --> 02:53.620]  No salad makes see if I get the angle so we're gonna be doing an interview style show essentially
[02:53.620 --> 02:59.500]  We're gonna try and cover all of these facts while interviewing amazing human beings in the cannabis spacecraft
