[00:10.360 --> 00:19.360]  We're going to invite Kevin DeLeon up to join us and support his campaign.
[00:19.360 --> 00:22.360]  Alright, give it up for Kevin DeLeon you guys.
[00:22.360 --> 00:27.360]  Kevin's going to tell us that he's smoked a lot of weed for his entire life.
[00:27.360 --> 00:30.360]  And he wants your vote.
[00:30.360 --> 00:34.360]  Well, very quickly, let me introduce myself to each and every one of you.
[00:34.360 --> 00:39.360]  For those who don't know me, I thank you very much for allowing me to share a few words with all of you here today.
[00:39.360 --> 00:42.360]  An incredible night here in Venice, California.
[00:42.360 --> 00:50.360]  My name is Kevin DeLeon, and I'm running to become your next U.S. Senator for the great state of California.
[00:50.360 --> 00:55.360]  And I believe strongly that these are very dangerous, consequential times in our nation's history.
[00:55.360 --> 01:03.360]  That we're in fact engaged in a battle for the soul, for this nation, against a president without one.
[01:03.360 --> 01:11.360]  Now, the issue of cannabis and why this is so important, and why we should have a voice in Washington, D.C.
[01:11.360 --> 01:19.360]  is because the current incumbent that I'm running against doesn't even support the use of cannabis for medicinal uses.
[01:19.360 --> 01:21.360]  Now, think about this.
[01:21.360 --> 01:26.360]  Wherever your perspective may be on the issue of cannabis, and I know where all of your perspectives are on cannabis,
[01:26.360 --> 01:29.360]  but society as a whole.
[01:29.360 --> 01:38.360]  Now, if you don't support at minimum the use of cannabis for medicinal purposes,
[01:38.360 --> 01:43.360]  when we have scientific empirical evidence with regards to people who have AIDS,
[01:43.360 --> 01:50.360]  people who have Alzheimer's, Parkinson's, some form of cancer, breast cancer, ovarian cancer, whatever type of cancer,
[01:50.360 --> 01:55.360]  whatever variation, to help alleviate pain, suffering.
[01:55.360 --> 02:05.360]  If you don't support that with scientific evidence, then I don't believe you should be a voice of a state like California
[02:05.360 --> 02:09.360]  that is diverse like no other state in the entire world.
[02:09.360 --> 02:19.720]  So I am a supporter of the medicinal use of cannabis, as well as the recreational use of cannabis.
[02:19.720 --> 02:28.720]  And we have an incredible opportunity to make sure that cannabis industry becomes a strong green pillar of our economy.
[02:28.720 --> 02:31.720]  Today we're the fifth largest economy in the world.
[02:31.720 --> 02:34.720]  And to put this in context, there are only four economies larger than that of ours.
[02:34.720 --> 02:42.720]  United States of America as a whole, China, Japan, Germany, then your great state, our great state, the state of California.
[02:42.720 --> 02:48.720]  And if you're remotely interested in rounding up the top ten, that number six is the United Kingdom, seven it is France,
[02:48.720 --> 02:54.720]  then we have Italy, India, and that number ten, it is Vladimir Putin's Russia.
[02:54.720 --> 03:00.720]  So to put this in context, California's GDP is larger than that of Vladimir Putin's Russia.
[03:00.720 --> 03:03.720]  And I am a strong proponent of clean energy.
[03:03.720 --> 03:09.720]  I am the author of the most far-reaching climate change policy in the United States of America, 100% clean energy.
[03:09.720 --> 03:17.720]  California is the largest economy in the world to legally mandate 100% clean energy by the year 2045.
[03:17.720 --> 03:26.720]  I'm a strong supporter of clean energy because we have an incredible opportunity to convert these environmental challenges into real economic opportunities,
[03:26.720 --> 03:34.720]  especially giving those at the lowest economic strata, those men and women of color, real opportunities to succeed in a clean energy space,
[03:34.720 --> 03:41.720]  energy efficiency, renewable energy, wind, solar, and other clean energy technologies that will be invented in the future,
[03:41.720 --> 03:44.720]  transportation, electrification, ZEVs, zero emissions vehicles.
[03:44.720 --> 03:51.720]  So a green economy is our future, but a green economy with cannabis is our future too.
[03:51.720 --> 03:57.720]  And these are two twin pillars that can really drive California's economy well into the future.
[03:57.720 --> 04:05.720]  That's why having a voice in Washington, D.C., and being a leader nationwide for cannabis is absolutely important.
[04:05.720 --> 04:12.720]  Now, when we passed medicinal use of cannabis, we thought that that would open up the doors,
[04:12.720 --> 04:20.720]  but it really didn't because of all the litigation, because of local governments, because of cultural prejudices with regards to cannabis.
[04:20.720 --> 04:29.720]  But that's why we have a Department of Justice that's hostile to the legal establishment of cannabis, not just in California, but throughout the country.
[04:29.720 --> 04:36.720]  And that's why we need a voice in Washington, D.C. that's going to deschedule, deschedule cannabis.
[04:37.720 --> 04:49.720]  Because to put cannabis on the same level of heroin and cocaine is ludicrous.
[04:49.720 --> 05:00.720]  And we have seen the consequences of so many men and women, but particularly men and men of color, that have been incarcerated because of this scheduling.
[05:00.720 --> 05:08.720]  And we've seen the devastation. We've seen our taxpayer dollars blow up budgets to incarcerate so many individuals.
[05:08.720 --> 05:17.720]  And that's why we need a strong voice in Washington, D.C. that will fight the Department of Justice, that will fight the prejudices that exist in the Congress today.
[05:17.720 --> 05:23.720]  We export 75 percent of cannabis to other parts of the country.
[05:23.720 --> 05:30.720]  So California will be and can be and should be and will be that economy for the entire nation.
[05:30.720 --> 05:36.720]  That's why I just want to thank you very much for giving me an opportunity to share a few words with all of you here today.
[05:36.720 --> 05:44.720]  I want to say that we have a real opportunity to grow this industry, but you need champions who are going to be there with you.
[05:44.720 --> 05:47.720]  So, Kevin, can I start a conversation here with you about this?
[05:47.720 --> 05:48.720]  Yes, absolutely.
[05:49.720 --> 05:52.720]  Thank you for being a champion for our cause.
[05:52.720 --> 05:56.720]  And you definitely have our votes. I voted for you.
[05:56.720 --> 05:59.720]  So excited that you're here right now.
[05:59.720 --> 06:06.720]  And we're in the midst of a tsunami of regulations that just changed on us at the moment.
[06:06.720 --> 06:12.720]  And we've been witnessing extinction events with our licensed operators since January 1st.
[06:12.720 --> 06:19.720]  We've been watching extinction events with legacy operators that were not able to get permits, still haven't been able to get permits.
[06:19.720 --> 06:29.720]  And now with the regulations continuing to cause whiplash, we're in an awkward state right now where we're not sure which way we're going.
[06:29.720 --> 06:33.720]  And even the smartest people in the industry can't figure it.
[06:33.720 --> 06:36.720]  We can't come to a consensus on what just changed.
[06:36.720 --> 06:40.720]  Therefore, we can't come to a consensus on what solutions we need to implement.
[06:40.720 --> 06:41.720]  What to do.
[06:41.720 --> 06:42.720]  Yeah, right.
[06:42.720 --> 06:55.720]  And so really where we're at is we're having a tremendously challenging time regulating an unregulated market and competing with an unregulated market.
[06:55.720 --> 07:04.720]  And what it seems like California did was they took models from other states and tried to copy-paste this section over here.
[07:04.720 --> 07:07.720]  And we'll do it like Colorado did it over there.
[07:07.720 --> 07:17.720]  But they did not take into account that we had a thriving black market that produced 12.5 million pounds of cannabis prior to legalization going into effect.
[07:17.720 --> 07:26.720]  And so, I mean, really like the number one issue that we're discovering right now that is blowing all of my smartest friends away is that we have an inversion problem.
[07:26.720 --> 07:29.720]  Everyone was so worried about a diversion problem.
[07:29.720 --> 07:36.720]  We have a significant inversion problem because there's so many legacy operators that can't get permits.
[07:36.720 --> 07:42.720]  And then, you know, we wanted to be able to talk to you about, you know, these challenges that we're facing at the moment.
[07:42.720 --> 07:51.720]  We have 11 days right now left of a 15-day public comment period where we can't get consensus with the smartest people on, you know.
