[00:28.730 --> 01:01.780]  Hey Dr. Anubis, how are you?
[01:01.780 --> 01:03.780]  I'm good, can you hear me?
[01:03.780 --> 01:08.780]  Do me a favor and oh yes I can loud and clear.
[01:08.780 --> 01:10.780]  Okay good.
[01:10.780 --> 01:21.620]  Alright if you guys have got any questions get them rolling.
[01:21.620 --> 01:23.620]  We should be ready to go.
[01:23.620 --> 01:26.620]  I'm just going to turn it up on the far side and we're up on YouTube.
[01:26.620 --> 01:28.620]  Move that over a little bit.
[01:28.620 --> 01:31.620]  Maybe I was being a bit extra.
[01:31.620 --> 01:33.620]  Hey that dude Rich Canniballis.
[01:33.620 --> 01:35.620]  Hello everybody, welcome to another show.
[01:35.620 --> 01:37.620]  There's Cheddar Bob.
[01:37.620 --> 01:41.620]  You can lay there and help today.
[01:41.620 --> 01:44.620]  So we'll make that work out for you.
[01:44.620 --> 01:52.020]  Yeah I think that's going to be our only option.
[01:52.020 --> 01:55.020]  Well we will have a fun show.
[01:55.020 --> 02:00.020]  So anybody in chat that wants to come over, come say hi.
[02:00.020 --> 02:02.020]  The link is in the description.
[02:02.020 --> 02:07.020]  If you want to come ask a question in person, if you want to ask it by just throwing it in the comments here,
[02:07.020 --> 02:09.020]  go ahead and do so.
[02:09.020 --> 02:16.020]  We will try and get to every question that we can as quickly as we can with as much respect to our moderator's time and speaking.
[02:16.020 --> 02:23.020]  But also trying to move through because I know there's lots of questions everybody has and this is a great opportunity to do so.
[02:23.020 --> 02:26.020]  So we've got a small stage right now.
[02:26.020 --> 02:31.020]  But we will obviously have more people join us a little bit later.
[02:31.020 --> 02:33.020]  I'm looking forward to it.
[02:33.020 --> 02:36.020]  So I do see that people are rolling into chat and starting to ask questions.
[02:36.020 --> 02:38.020]  So we do have a member on stage already.
[02:38.020 --> 02:43.020]  So we're going to give them the opportunity to ask the first question.
[02:43.020 --> 02:47.020]  That dude we will get to you in a moment.
[02:47.020 --> 02:54.020]  And as everybody rolls in, just before we get started, I'm going to let everybody introduce themselves.
[02:55.020 --> 02:57.020]  So we'll get to you in a moment.
[02:57.020 --> 03:01.020]  And as everybody rolls in, just before we get started, I'm going to let everybody introduce themselves.
[03:01.020 --> 03:08.020]  That way everybody will have time to roll in and join in case there's other people that are joining.
[03:08.020 --> 03:11.020]  And what's exciting in your new year.
[03:11.020 --> 03:15.020]  And then Cheddar Bob and then Evian and then Matt, which we'll invite up.
[03:15.020 --> 03:19.020]  Come on up and say hi if you're available to come join us for a conversation.
[03:19.020 --> 03:21.020]  If you have some good tips, you can throw them out there.
[03:21.020 --> 03:23.020]  And then we'll get to Gabe right after that.
[03:23.020 --> 03:27.020]  And again, if you want, go ahead and raise your hand now and join the conversation.
[03:27.020 --> 03:30.020]  And we look forward to digging into it.
[03:30.020 --> 03:33.020]  So Dr. Anubis, what are you looking forward to?
[03:33.020 --> 03:35.020]  Hi, everybody.
[03:35.020 --> 03:37.020]  I'm Dr. Anna Schwab.
[03:37.020 --> 03:42.020]  And I am, I guess I'm a scientist, researcher.
[03:42.020 --> 03:47.020]  I have a background in cellular molecular biology and population genetics.
[03:47.020 --> 03:55.020]  And my PhD work was focused on looking at variation in cannabis with kind of a backdrop using genetics.
[03:55.020 --> 03:57.020]  And let's see.
[03:57.020 --> 04:05.020]  And I'm in New Jersey right now working at a company called Shore Organics using aquaponic methods to grow hemp.
[04:05.020 --> 04:07.020]  And let's see.
[04:07.020 --> 04:09.020]  What am I looking forward to in the new year?
[04:09.020 --> 04:11.020]  Oh, hmm.
[04:11.020 --> 04:13.020]  I haven't really thought about it.
[04:13.020 --> 04:15.020]  Hmm.
[04:15.020 --> 04:17.020]  I don't know how to answer that question.
[04:17.020 --> 04:23.190]  So I'm going to pass it on to Cheddar Bob.
[04:23.190 --> 04:25.190]  That's me.
[04:25.190 --> 04:26.190]  I'm Cheddar Bob.
[04:26.190 --> 04:30.190]  I am a 20-year home grower.
[04:30.190 --> 04:35.190]  My background is basically making lots of mistakes and learning from them.
[04:35.190 --> 04:42.190]  And yeah, that's about as deep as I go.
[04:42.190 --> 04:45.190]  So that's something I'm looking forward to in the next year.
[04:45.190 --> 04:50.190]  Oh, it's probably still being here after all this mess clears out that we're going through.
[04:50.190 --> 04:59.390]  So, yeah.
[04:59.390 --> 05:01.390]  Yes, that's me.
[05:01.390 --> 05:02.390]  Hi, guys.
[05:02.390 --> 05:03.390]  It's Evian.
[05:03.390 --> 05:06.390]  I, hmm.
[05:06.390 --> 05:07.390]  That's a fun question.
[05:07.390 --> 05:11.390]  I am a longtime plant person.
[05:12.390 --> 05:18.390]  I've been touching plants and teaching permaculture and other things for almost 18 years now.
[05:18.390 --> 05:25.390]  And I have extensive experience in the regulated cannabis market in Oregon.
[05:25.390 --> 05:27.390]  I've been doing that for the past six years.
[05:27.390 --> 05:38.390]  And I also have a lot of experience with large-scale nursery production and breeding in both the hemp space and the regulated space.
[05:38.390 --> 05:42.390]  And I am a teacher at Oakster Dam University.
[05:42.390 --> 05:45.390]  And I've taught at Hemp University and other places as well.
[05:45.390 --> 05:47.390]  And I kind of consult in the field.
[05:47.390 --> 05:51.390]  And I just love all things cannabis and plants in general.
[05:51.390 --> 05:56.390]  So happy to share information and happy to be here with these other kind people.
[05:56.390 --> 06:00.390]  And looking forward to 2022.
[06:00.390 --> 06:05.390]  You know, just there's a lot of cutting-edge science coming out around cannabis.
[06:06.390 --> 06:09.390]  And I feel like it's one of those things you could learn something new every day.
[06:09.390 --> 06:11.390]  So I'm kind of like a lifelong learner.
[06:11.390 --> 06:15.390]  And I feel like there's already been a lot of fun stuff happening this year within the space.
[06:15.390 --> 06:22.390]  So I'm kind of excited for maybe some shifts in the marketplace also.
[06:22.390 --> 06:24.390]  So that's Evian incomplete.
[06:24.390 --> 06:27.390]  And I'll pass it to Matt.
[06:27.390 --> 06:32.390]  Hello, Matt, also known as gnarlyroots on Instagram.
[06:33.390 --> 06:39.390]  I'm a huge plant advocate and kind of citizen scientist.
[06:39.390 --> 06:47.390]  I have education in greenhouse management and soil and crop science.
[06:47.390 --> 06:56.390]  But I much, much, much like Evian just love plants and the science and what they can all do across the board.
[06:56.390 --> 06:59.390]  Especially cannabis.
[06:59.390 --> 07:02.390]  Like Shafa said, this year has already been exciting for science.
[07:02.390 --> 07:09.390]  And I think it's going to be an even more kind of exciting year as it goes on.
[07:09.390 --> 07:12.390]  So yeah, pass it over to Gabe.
[07:12.390 --> 07:17.390]  Gabe, you want to go ahead and ask the first question of the day, brother?
[07:17.390 --> 07:20.390]  Or sister, I'm not too sure.
[07:20.390 --> 07:23.390]  Yes, I would love to ask a question.
[07:23.390 --> 07:26.390]  So, I'm going to ask a question.
[07:26.390 --> 07:40.390]  So, general question is, how do I eliminate aphids?
[07:40.390 --> 07:46.390]  So, what I've attempted so far is Bolivarian Bassiana.
[07:46.390 --> 07:50.390]  And I'm told that either that would work or no.
[07:51.390 --> 07:56.390]  The second treatment that we're using is Velophore Bassiana.
[07:56.390 --> 08:06.390]  So, my question is, so the directions call for it to be mixed and mixed for 30 minutes prior to use.
[08:06.390 --> 08:10.390]  But I'm wondering if I can store it mixed.
[08:10.390 --> 08:15.390]  It's been mixed for about a week and it smells different than when I mixed it.
[08:15.390 --> 08:21.390]  So, I was wondering if, first of all, anyone has any super crafty ideas besides,
[08:21.390 --> 08:24.390]  I'm getting ready to kill my entire crop, I believe.
[08:24.390 --> 08:30.390]  Now, I'm told if I put something in flour, the roots will taste different to rice root aphids and they will leave.
[08:30.390 --> 08:32.390]  So, they'll go to my veg plants.
[08:32.390 --> 08:42.390]  I'm just dealing with this, but I guess the real question is, can I store Velophore Bassiana already mixed?
[08:43.390 --> 08:45.390]  That's all I got.
[08:45.390 --> 08:47.390]  Hey, Gabe.
[08:47.390 --> 08:55.390]  I'm pretty familiar with Bolivarian Bassiana and those kind of the brand name products that it's sold under.
[08:55.390 --> 09:06.390]  And those, I believe, you're going to be losing efficacy really steep, like it's going to be a steep drop off.
[09:06.390 --> 09:08.390]  You know, they're alive at that.
[09:08.390 --> 09:15.390]  Actually, I'm not sure if they're alive or if it's just the sport, but you don't want to leave that mixed for extended amounts of time.
