[00:01.720 --> 00:16.000]  Hello, everyone.
[00:16.000 --> 00:21.360]  Thank you so much for coming to hear our little discussion.
[00:21.360 --> 00:27.520]  And I'll let Dr. Andrea start with telling you a little bit about her story, then we'll
[00:27.520 --> 00:31.840]  kind of hear a little bit about mine, and then you'll be able to notice the difference
[00:31.840 --> 00:36.480]  of where we're coming from, but also talking about one particular topic.
[00:36.480 --> 00:37.480]  So, yeah.
[00:37.480 --> 00:47.390]  So, one of the things that we're talking is that despite the fact that on paper our backgrounds
[00:47.390 --> 00:51.590]  look incredibly different, we agree on a lot of fundamental issues that are germane to
[00:51.590 --> 00:58.230]  the topic today, which is understanding sort of the cannabis strain fingerprint.
[00:58.230 --> 01:03.770]  So even though I sort of am in the more biomedical background, I believe that truly understanding
[01:03.770 --> 01:06.410]  cannabis as medicine starts with the plant.
[01:06.410 --> 01:12.250]  And so in my role at GB Sciences, we have been dedicated to creating standardized raw
[01:12.250 --> 01:15.310]  materials that we provide to customers.
[01:15.310 --> 01:22.210]  We have operations in both Nevada and in Louisiana, where we hold licenses to cultivate, produce
[01:22.210 --> 01:25.690]  oils and make finished products for sale in those markets.
[01:25.690 --> 01:30.610]  And so when I'm talking to you today, I'm wearing two hats.
[01:30.610 --> 01:33.050]  I'm wearing the hat of we're part of the industry.
[01:33.050 --> 01:38.450]  We're part of the supply chain of cannabis materials that go to the patients in medical
[01:38.450 --> 01:42.170]  markets, as well as to the folks in adult use markets like Nevada.
[01:42.170 --> 01:46.690]  But at the same time at GB Sciences, we've also taken the position that it's not enough
[01:46.690 --> 01:53.290]  to just create standardized products, that we also wanted to verify safety and potential
[01:53.290 --> 01:55.370]  effectiveness through research.
[01:55.370 --> 01:59.050]  And so to that end, we have sponsored research with nine different universities where we're
[01:59.050 --> 02:02.570]  trying to get at...
[02:02.570 --> 02:05.730]  The cannabis plant is full of lots of different compounds.
[02:05.730 --> 02:09.930]  And anyone who tells you cannabis is one thing is missing the point.
[02:09.930 --> 02:16.450]  So we're trying to get at this great mystery of how do you align strains with particular
[02:16.450 --> 02:19.890]  diseases or particular symptoms that we need to treat?
[02:19.890 --> 02:25.370]  And the only way to do that is in controlled trials, but those take many formats in different
[02:25.370 --> 02:26.370]  just jurisdictions.
[02:26.370 --> 02:28.130]  So that's kind of a complicated thing.
[02:28.210 --> 02:33.130]  But today what we're here to talk about is strains and the chemical components of strains,
[02:33.130 --> 02:35.570]  which we're calling a fingerprint.
[02:35.570 --> 02:38.090]  But do know that we're coming at this both from a place of...
[02:38.090 --> 02:43.250]  I'm coming at this from both a place of we grow, as well as we do research.
[02:43.250 --> 02:45.250]  So it has a little bit of a different...
[02:45.250 --> 02:49.050]  I have a different perspective on it than Pepper, but I think we agree on a lot of the
[02:49.050 --> 02:50.050]  essential things.
[02:50.050 --> 02:51.050]  So Pepper?
[02:51.050 --> 02:52.050]  Thank you.
[02:52.050 --> 02:53.050]  Very well said.
[02:53.050 --> 02:59.610]  So I'm coming from the angle of I am a naturopathic holistic practitioner in Humboldt County.
[02:59.610 --> 03:05.050]  So most of the patients I have or clients that I have or students that I have in the
[03:05.050 --> 03:10.690]  cannabis program for the Cannabis Holistic Institute are coming in with multiple different
[03:10.690 --> 03:15.690]  disease, disailment, discomfort, and we are trying to put them in the last eight years
[03:15.690 --> 03:20.490]  in combination to a particular strain or cultivar that's going to be helpful for that particular
[03:20.490 --> 03:21.490]  ailment.
[03:21.490 --> 03:24.810]  And I've been lucky enough to be doing that for the last eight years.
[03:24.810 --> 03:29.490]  The thing that kind of guided me in that direction was because I had my own discomfort within
[03:29.490 --> 03:30.490]  my body.
[03:30.490 --> 03:34.490]  And just to name a few in the last seven years that I've been working with physically, just
[03:34.490 --> 03:43.130]  my own personal stories include PTSD, anxiety, cancer, tumor, endometriosis, reproductive
[03:43.130 --> 03:44.130]  issues.
[03:44.130 --> 03:46.370]  I mean, it's a slew of them.
[03:46.370 --> 03:51.530]  God chose the right person because then I was in Humboldt County running around on farms
[03:51.530 --> 03:59.290]  asking for particular strains or cultivars from friends of mine that I knew grew organic.
[03:59.290 --> 04:03.490]  And I mostly focused on doing non-psychoactive CBD.
[04:03.490 --> 04:08.410]  So that's what kind of got me into what I'm doing now and educating people around the
[04:08.410 --> 04:12.050]  world and working with patients and clients and students around the world.
[04:12.050 --> 04:19.090]  So I'm coming from more of Humboldt County organic farmer boutique strains, growing
[04:19.090 --> 04:23.410]  that industry and cannabis culture in that way.
[04:23.410 --> 04:27.730]  Because most of those people I've been working with for so very long and giving them a platform
[04:27.730 --> 04:33.050]  to speak on their particular expertise that may have gotten lost in the shuffle without
[04:33.050 --> 04:38.690]  some kind of program to really have speakers allowed to talk on their, you know, what they're
[04:38.690 --> 04:39.690]  best at.
[04:39.850 --> 04:41.410]  So anyways, that's what we're going to do.
[04:41.410 --> 04:47.370]  And now we're going to talk about what's in a strain, the cannabis fingerprint.
[04:47.370 --> 04:54.050]  In Humboldt County, and I'm sure many of you have understood that it is about, it's not
[04:54.050 --> 04:59.170]  just particularly about the strain or the cultivar, it's about the whole cannabinoid
[04:59.170 --> 05:04.010]  system and which particular ones do what with what particular body systems.
[05:04.010 --> 05:07.810]  So that's kind of how I started working with different cannabinoids.
[05:07.930 --> 05:12.170]  I was working with CBD, THCA, raw form, plant form, so on and so on.
[05:12.170 --> 05:15.930]  And then it's about connecting those two with your body structures.
[05:15.930 --> 05:20.450]  So today we're going to be talking about the cannabis active ingredients.
[05:20.450 --> 05:21.930]  And do you want to take it for a second?
[05:21.930 --> 05:24.170]  Yeah, I do want to add anything that you want.
