[00:11.130 --> 00:18.930]  Yeah. Welcome back.
[00:18.930 --> 00:22.490]  Cannabis community is time for episode number one 46 of the grow from your heart
[00:22.490 --> 00:26.730]  podcast. Your source for cannabis news, education, and conversation.
[00:27.330 --> 00:29.410]  That's right. If you're a new grower, if you're a professional grower,
[00:29.410 --> 00:33.170]  if you're a new smoker or a dedicated dabber, if you're a cannabis activist,
[00:33.490 --> 00:36.050]  or even someone who's just curious about the current state of cannabis,
[00:36.090 --> 00:40.570]  this my friends is the podcast for you. I'm your host, my friends,
[00:40.570 --> 00:44.150]  call me Rasta Jeff. I want to thank you guys once again for joining me as always,
[00:44.190 --> 00:45.190]  I want to send a huge thank you.
[00:45.190 --> 00:48.070]  Shout out to my friends in the mystic roots band for letting me use their music
[00:48.070 --> 00:53.110]  on my podcast. Big shout out to Kat and the entire mystic roots crew.
[00:54.430 --> 00:57.110]  I am really proud of myself for getting through that entire intro without
[00:57.110 --> 00:58.630]  coughing. And I'm also proud of Lindsay.
[00:58.910 --> 01:01.830]  She's sitting across the table from me and she just mouth the entire intro word
[01:01.850 --> 01:05.230]  for word nailed it girl. Good job. Mental fist bump.
[01:06.030 --> 01:07.630]  Thanks for joining me on the show. Lindsay, welcome back.
[01:07.950 --> 01:09.630]  Thank you for having me ladies and gentlemen,
[01:09.630 --> 01:10.910]  the traveling stoner is back on the show.
[01:10.910 --> 01:14.030]  Make sure you follow my friend Lindsay on Instagram, Snapchat,
[01:14.590 --> 01:17.550]  every single social media available. She is traveling stoner,
[01:17.550 --> 01:20.830]  the traveling stoner travel stoner. That is her check her out.
[01:21.670 --> 01:25.670]  Are you one of those Boston nation chicks? Um, I'd be one of those. Yeah.
[01:25.710 --> 01:28.550]  You'd be one of those. Shout out to the Boston nation ladies. Also,
[01:28.550 --> 01:31.750]  you guys to my left here, one of our favorites, a crowd favorite,
[01:31.750 --> 01:34.630]  Mr. White Mike is back. What's up everybody. Thanks for joining me, bro.
[01:35.270 --> 01:39.030]  Make sure you guys follow Mike on Twitter. Nemo punk 15. Yep. Also,
[01:39.190 --> 01:41.950]  shout out your Facebook page for us so people can check that out while they're
[01:41.950 --> 01:44.510]  stalking you. They can listen and stalk you.
