[00:01.920 --> 00:03.800]  What's up, Podcast World?
[00:03.800 --> 00:08.400]  It's Rasta Jeff, and it's time for episode number 208 of the Grow From Your Heart Podcast.
[00:08.400 --> 00:11.160]  It's Thursday, so I'm posting a throwback Thursday episode.
[00:11.160 --> 00:17.340]  I am posting episodes 39, 40, and 41 of what used to be the iGrowCulture Podcast, now known
[00:17.340 --> 00:19.340]  as the Grow From Your Heart Podcast.
[00:19.340 --> 00:23.440]  Before we get to these old episodes, let me make a couple of updates and disclaimers.
[00:23.440 --> 00:25.080]  All of the social media has changed.
[00:25.080 --> 00:28.460]  The new email address is growfromyourheartathotmail.com.
[00:28.460 --> 00:33.420]  The Twitter is at GFYH Podcast, and on Facebook, you can just search for the Grow From Your
[00:33.420 --> 00:34.420]  Heart Podcast.
[00:34.420 --> 00:37.420]  I would love it if you stalk me on all of the social media.
[00:37.420 --> 00:41.980]  Also, there may be some advertisements and promotions for old products and old sponsors.
[00:41.980 --> 00:43.540]  All of those have expired.
[00:43.540 --> 00:45.180]  I currently do not have any sponsors.
[00:45.180 --> 00:49.540]  I do not have any advertising, so any ads or anything that may be said in this episode,
[00:49.540 --> 00:50.980]  those expired a long time ago.
[00:50.980 --> 00:52.700]  I do apologize.
[00:52.700 --> 00:56.140]  But there will be a lot of great content in these episodes, so without any more rambles,
[00:56.140 --> 01:01.980]  ladies and gentlemen, let's get to episodes 39, 40, and 41 of what used to be the iGrowCulture
[01:01.980 --> 01:04.780]  Podcast, currently known as the Grow From Your Heart Podcast.
[01:04.780 --> 01:07.140]  All right, what's up, ladies and gentlemen?
[01:07.140 --> 01:10.980]  You have no idea what just happened at this table right now, but I wish I would have hit
[01:10.980 --> 01:13.500]  record about five minutes ago, because some of that shit was priceless.
[01:13.500 --> 01:16.140]  Guys, welcome to episode number 39 of the iGrowCulture Podcast.
[01:16.140 --> 01:17.140]  I'm your host, Rasta Jeff.
[01:17.140 --> 01:18.140]  Guess who I got back at the table, guys?
[01:18.140 --> 01:19.140]  Jesse's here.
[01:19.140 --> 01:20.140]  How you doing, brother?
[01:20.140 --> 01:21.140]  Hey, what's up, podcast land?
[01:21.140 --> 01:22.140]  Dude, you sound great on that microphone.
[01:22.140 --> 01:23.140]  We made a couple of tech adjustments.
[01:24.140 --> 01:25.140]  Sounds like I poured some Super Thrive into the mixing gear here.
[01:25.140 --> 01:26.140]  We got it going on.
[01:26.140 --> 01:27.140]  Adjusted the timing a little.
[01:27.140 --> 01:28.140]  Yes, we got a new muffler bearing in there.
[01:28.140 --> 01:29.140]  It's running quite smooth.
[01:29.140 --> 01:30.140]  So, a couple episodes, we talked about building a grow room, and I got Jesse to come back
[01:30.140 --> 01:31.140]  and kind of wrap that up a little more for us, which, ironically, he might have been
[01:31.140 --> 01:32.140]  working in a grow space.
[01:32.140 --> 01:33.140]  Yeah.
[01:33.140 --> 01:34.140]  Did you learn anything?
[01:34.140 --> 01:35.140]  150-year-old houses are 150-year-old houses.
[01:35.140 --> 01:36.140]  I'm not sure what that means.
[01:36.140 --> 01:37.140]  I'm not sure what that means.
[01:37.140 --> 01:38.140]  I'm not sure what that means.
[01:38.140 --> 01:39.140]  I'm not sure what that means.
[01:39.140 --> 01:40.140]  I'm not sure what that means.
[01:40.140 --> 01:41.140]  I'm not sure what that means.
[01:41.140 --> 01:42.140]  I'm not sure what that means.
[01:42.140 --> 01:43.140]  I'm not sure what that means.
[01:44.140 --> 01:45.140]  year older houses.
[01:45.140 --> 01:48.020]  Is it brick or is it like drywall and shit?
[01:48.020 --> 01:49.020]  It's brick.
[01:49.020 --> 01:50.020]  Oh, that's no fun.
[01:50.020 --> 01:51.020]  Yeah.
[01:51.020 --> 01:52.020]  Everything's brick.
[01:52.020 --> 01:52.860]  Guys, that's going to definitely come in handy in the talk later, because I wrote some shit.
[01:52.860 --> 01:57.940]  And it's all about building a room inside of a room, and we're going to need to do that
[01:57.940 --> 01:58.760]  in Jesse's space it sounds like.
[01:58.760 --> 02:02.640]  But before we get to that part, let's pay some bills.
[02:02.640 --> 02:05.480]  I wrote some shit and it's all about building a room
[02:05.480 --> 02:07.440]  inside of a room and we're gonna need to do that
[02:07.440 --> 02:09.640]  in Jesse space it sounds like.
[02:09.640 --> 02:12.200]  But before we get to that part, let's pay some bills.
[02:12.200 --> 02:14.120]  This podcast is brought to you by our good friends
[02:14.120 --> 02:15.960]  at Cannabis Grand Crew.
[02:15.960 --> 02:17.960]  Cannabis Grand Crew Aspen will take place
[02:17.960 --> 02:20.840]  at the Sky Hotel in downtown Aspen, Colorado,
[02:20.840 --> 02:25.680]  Friday, November 14th through Sunday, November 16th, 2014.
[02:25.680 --> 02:27.080]  What is Cannabis Grand Crew?
[02:27.080 --> 02:28.840]  I'm glad you asked.
[02:28.840 --> 02:31.640]  That sounds so cheesy every time I say it, but it's perfect.
[02:31.640 --> 02:33.720]  Cannabis Grand Crew represents cannabis culture,
[02:33.720 --> 02:35.760]  lifestyle, business, and community
[02:35.760 --> 02:37.440]  in a premier event setting.
[02:37.440 --> 02:39.640]  The event includes lectures, seminars,
[02:39.640 --> 02:41.560]  experiential learning, and entertainment
[02:41.560 --> 02:43.560]  centered around the cannabis business in the US
[02:43.560 --> 02:45.040]  and around the world.
[02:45.040 --> 02:47.080]  Industry professionals and consumers alike
[02:47.080 --> 02:49.400]  are invited to network and enjoy this year's
[02:49.400 --> 02:51.840]  beautiful event in Aspen, Colorado.
[02:52.760 --> 02:54.920]  While you're there, check out the Grand Crew Village,
[02:54.920 --> 02:56.600]  an area exclusive to ticket holders
[02:56.600 --> 02:58.880]  that will host Colorado's best dispensaries,
[02:58.880 --> 03:01.120]  including Wellspring Collective from Denver
[03:01.120 --> 03:03.520]  and Silver Peak Apothecary in Aspen.
[03:04.800 --> 03:07.600]  Located at the Sky Hotel at their legendary pool deck,
[03:07.600 --> 03:09.480]  the village will showcase the latest products
[03:09.480 --> 03:11.480]  from the top manufacturers and companies
[03:11.480 --> 03:13.480]  in this very intimate setting.
[03:13.480 --> 03:14.800]  There is a disclaimer.
[03:14.800 --> 03:16.240]  This is a members-only event.
[03:16.240 --> 03:18.520]  Due to the current nature of laws in the state of Colorado,
[03:18.520 --> 03:21.760]  attendance at cannabis events must be by invitation only.
[03:21.760 --> 03:23.640]  In order to protect the event and our guests,
[03:23.640 --> 03:25.320]  please complete the information request
[03:25.320 --> 03:28.360]  at the bottom of the website for your free membership.
[03:28.360 --> 03:30.440]  Members will be sent information directly
[03:30.480 --> 03:31.960]  on how to purchase tickets.
[03:31.960 --> 03:34.720]  Guys, hurry up because the hotels may be sold out
[03:34.720 --> 03:35.920]  by the time this episode goes up,
[03:35.920 --> 03:38.480]  but there are still tickets available for the event.
[03:38.480 --> 03:41.680]  Located at the Majestic Aspen, no, not the Majestic,
[03:41.680 --> 03:44.640]  in Majestic Aspen and nestled in the Rocky Mountains,
[03:44.640 --> 03:46.600]  the event will take advantage of the amazing community
[03:46.600 --> 03:48.720]  and provide networking and fun for folks
[03:48.720 --> 03:50.520]  in the illegal cannabis industry.
[03:51.640 --> 03:53.760]  New speakers are being announced every day.
[03:53.760 --> 03:56.640]  Confirmed speakers include Mason Tvert,
[03:56.640 --> 03:59.400]  my good buddy John Hunt, and Meg Collins.
[03:59.440 --> 04:02.960]  Check out CannabisGrandCrew.com for full details.
