[00:00.000 --> 00:01.000]  Let's do it.
[00:01.000 --> 00:02.000]  Yeah.
[00:02.000 --> 00:03.000]  Yo, check it out.
[00:03.000 --> 00:04.000]  7-10, a big disaster in July.
[00:04.000 --> 00:05.000]  Look out!
[00:05.000 --> 00:06.000]  Bombs are going off.
[00:06.000 --> 00:07.000]  We whip the batter till it's dry.
[00:07.000 --> 00:08.000]  Uh-huh.
[00:08.000 --> 00:09.000]  I love my butter on another matter.
[00:09.000 --> 00:10.000]  Why?
[00:10.000 --> 00:11.000]  Because the tip, the dabber tends to chip the shatter in my eye.
[00:11.000 --> 00:12.000]  Ow!
[00:12.000 --> 00:13.000]  Mic's on set to scorch.
[00:13.000 --> 00:14.000]  Forget the dome as well.
[00:14.000 --> 00:15.000]  Because I'm a vector torch and the microphone's a nail.
[00:15.000 --> 00:16.000]  Yeah.
[00:16.000 --> 00:17.000]  I'm the truth.
[00:17.000 --> 00:18.000]  All you liars go to hell.
[00:18.000 --> 00:19.000]  Every time I grab the mic, it's like a giant show and tell.
[00:19.000 --> 00:20.000]  Well, today I brought it.
[00:20.000 --> 00:21.000]  We've been doing this since way back.
[00:21.000 --> 00:22.000]  Way back.
[00:22.000 --> 00:23.000]  I used to get it, but now I'm a mess.
[00:23.000 --> 00:24.000]  I'm a mess.
[00:25.000 --> 00:26.000]  I hate it that route, so I backed out and I doubt I'll ever make it back.
[00:26.000 --> 00:27.000]  I see the way you act.
[00:27.000 --> 00:28.000]  Uh-huh.
[00:28.000 --> 00:29.000]  Cut the jealous crap.
[00:29.000 --> 00:30.000]  Something's fishy here.
[00:30.000 --> 00:31.000]  I think I smell a rat.
[00:31.000 --> 00:32.000]  This is our house, but we ain't gotta tell them that.
[00:32.000 --> 00:33.000]  Let's leave them at the front door yelling at the welcome mat.
[00:33.000 --> 00:34.000]  Come on, everybody, get another dab pat.
[00:34.000 --> 00:35.000]  Same routine, slightly different from the last track.
[00:35.000 --> 00:36.000]  A million dollars, a million dollars.
[00:36.000 --> 00:37.000]  I'm a mess.
[00:37.000 --> 00:38.000]  I'm a mess.
[00:38.000 --> 00:39.000]  I'm a mess.
[00:39.000 --> 00:40.000]  I'm a mess.
[00:40.000 --> 00:41.000]  I'm a mess.
[00:41.000 --> 00:42.000]  I'm a mess.
[00:42.000 --> 00:43.000]  I'm a mess.
[00:43.000 --> 00:44.000]  I'm a mess.
[00:44.000 --> 00:45.000]  I'm a mess.
[00:45.000 --> 00:46.000]  I'm a mess.
[00:46.000 --> 00:47.000]  I'm a mess.
[00:47.000 --> 00:48.000]  I'm a mess.
[00:48.000 --> 00:49.000]  I'm a mess.
[00:49.000 --> 00:50.000]  I'm a mess.
[00:54.100 --> 01:14.740]  I'm a mess.
[01:14.740 --> 01:15.740]  I'm a mess.
[01:15.740 --> 01:16.740]  I'm a mess.
[01:16.740 --> 01:17.740]  I'm a mess.
[01:17.740 --> 01:18.740]  I'm a mess.
[01:18.740 --> 01:19.740]  I'm a mess.
[01:19.740 --> 01:20.740]  I'm a mess.
[01:20.740 --> 01:21.740]  I'm a mess.
[01:21.740 --> 01:25.200]  I'm a little distracted. I'm sitting here trying to open this edible that I bought
[01:26.100 --> 01:28.440]  I'm trying to eat a mountain medicine
[01:29.080 --> 01:35.380]  350 milligram active cannabis delightful chocolate peanut butter bar mountain medicine get your goat on
[01:36.140 --> 01:41.500]  Medical marijuana edible the new rules say that these packages have to be childproof and god
[01:44.000 --> 01:46.780]  On the microphone with me is my buddy Adam Gaskins he's hanging out
[01:46.780 --> 01:48.700]  We're we're gonna do just kind of a fun episode today
[01:48.700 --> 01:52.560]  I got a couple things to talk about nothing super super planned out say what's up, bro. What's up?
[01:53.220 --> 01:57.980]  Thanks for coming man. Thanks for coming. Hey, no problem, so I'm sitting here watching him struggle with this packaging and
[01:58.580 --> 02:03.260]  He's he's bit at it. He's starting to grab instruments and trying to like cut it open
[02:03.260 --> 02:05.500]  He's got a pair of scissors probably 20
[02:06.260 --> 02:11.400]  Right over there behind you yeah, yeah, well that thanks, dude that reminds me part of our talk
[02:11.400 --> 02:15.180]  We may talk if I even get into it. I'm gonna eat this edibles is 350 milligrams
[02:15.420 --> 02:20.420]  Welcome to episode number 22 of the agriculture podcast of course I'm Ross to Jeff you're joining us on another episode
[02:20.900 --> 02:25.680]  We'll do sponsors in just a second big shout out to Adam for coming big shout out to my friend that helped me trim
[02:25.680 --> 02:30.800]  Tonight if you're listening to the podcast short person with dreadlocks you helped out a lot save me a lot of time
[02:31.060 --> 02:33.280]  So I just dropped a bunch of weed into this edible
[02:33.280 --> 02:36.660]  I just picked up scissors that we were using to trim to open this package
[02:37.620 --> 02:43.400]  Their package compliant dude this company. There's an expiration date on here. There's a barcode on here
[02:43.400 --> 02:45.400]  There's a made-on-date
[02:45.400 --> 02:50.880]  And then inside yeah inside of here. This is like bulletproof Kevlar fireproof
[02:51.600 --> 02:53.600]  bomb-proof plastic
[02:53.680 --> 02:55.400]  it took
[02:55.400 --> 02:58.460]  Fisker scissors to get through this shit, and they struggled a little bit
[03:00.280 --> 03:05.800]  Fiskers are your lawn scissors just to let you know now Fiskers are the fucking diamond tip trim scissors, bro, so
[03:06.480 --> 03:10.360]  I'm gonna do read an ad for a sponsor while I struggle to get this open right quick
[03:10.720 --> 03:17.360]  This podcast is brought to you by nature's green remedies calm visit our friends nature's green remedies calm for gauge green genetics
[03:17.360 --> 03:19.280]  La Plata labs in city
[03:19.280 --> 03:26.000]  Rare dankness mile high can of injure i.r. E genetics and many many more trusted brands those guys were at the Cannabis Cup this weekend
[03:26.000 --> 03:28.480]  I hope they had fun. I saw a whole bunch of rain. I hope you're safe
[03:29.140 --> 03:31.960]  Drop that music down just a little bit. That's some task rock in the background
[03:33.120 --> 03:38.360]  Yeah, make sure you check out nature's green remedies calm if you buy they change their special often right now
[03:38.360 --> 03:41.040]  They have a special running if you buy a certain amount of I read genetics
[03:41.040 --> 03:45.280]  You will get a certain amount for free. I don't remember exactly what the special is it changes so frequently
[03:45.280 --> 03:47.720]  I'm not gonna quote it on the show the code word
[03:47.720 --> 03:50.560]  We gave out does expire the 31st of this month
[03:50.560 --> 03:54.520]  It will put out a new one at the next podcast the start of August so pay attention for that
[03:54.720 --> 03:59.040]  We've got a really special deal coming up for the podcast listeners on episode number 25
[03:59.240 --> 04:02.520]  So you actually may have to listen to episodes?
[04:03.040 --> 04:06.840]  22 23 24 and 25 to put stuff together to have an answer
[04:07.160 --> 04:11.920]  To kind of a puzzle and if you have that answer to the puzzle there will be prizes and special offers for those
[04:12.040 --> 04:16.120]  So keep listening to the podcast when episode 25 comes up. We'll let you know what's going on and
[04:17.000 --> 04:19.000]  It may work out for you
[04:19.320 --> 04:24.760]  I'm struggling with this fucking package. I got it mostly open and now I'm struggling with not shoving it into my face in the middle
[04:24.760 --> 04:26.820]  Of a commercial I want to get these done, and then we'll go for it
[04:27.140 --> 04:33.740]  This podcast is also brought to you by high grow indoor growing supplies high grow indoor growing supplies has two locations to serve, Colorado
[04:34.380 --> 04:41.380]  Visit the Denver store at 82 71 Beach Street unit F or stop by the new Pueblo location on 618 East 4th Street in Pueblo
[04:41.380 --> 04:46.260]  Colorado check out high grow for competitive pricing and a great selection on indoor growing supplies
[04:46.780 --> 04:48.780]  Make sure you check out
[04:49.780 --> 04:51.780]  www.highgrodenver.com
[04:52.220 --> 04:57.020]  For current store hours and special sales also, they're running a special. I don't have the paper in front of me
[04:57.020 --> 05:03.420]  It is five hundred and fifty dollars for one tote of soil. I talked about this last week a tote of soil
[05:03.420 --> 05:08.660]  That's if you pick it up at the store. It's five hundred and fifty dollars. It comes in one bag. It's roots organic soil
[05:08.660 --> 05:10.660]  It's good shit
[05:11.140 --> 05:15.100]  How much is a tote that is approximately in my measurements
[05:15.100 --> 05:20.580]  I think that is about 28 or up is about 48 to 50 seven gallon pots
[05:20.780 --> 05:26.580]  So you can run an eight light setup pretty decently with this one package of soil if you need it delivered
[05:26.580 --> 05:29.540]  It is six hundred dollars. It comes on a FedEx truck to your house
[05:29.740 --> 05:33.340]  So it's not like the Hydro shop is showing up with a truck or anything. It's actually FedEx
[05:33.340 --> 05:35.340]  It looks like you got a package. That's fucking huge
[05:35.940 --> 05:37.300]  That's gonna be a lot of weight
[05:37.300 --> 05:42.080]  So hopefully they can haul it right into your garden area or something. You're not gonna have to deal with moving that
[05:42.740 --> 05:44.740]  So check out our good friends at high grow
[05:45.220 --> 05:52.380]  I want to give a huge shout out to Jesse and Bernadette. They got married this weekend burn actually works at high grow
[05:52.420 --> 05:55.220]  So that's what made me think about it. They got married. They threw an awesome party
[05:55.220 --> 05:57.840]  Just want to give them a quick shout out of congratulations at the start of the show
[05:57.840 --> 06:02.020]  We're gonna talk a little more about that in a few minutes here. You look like you got something to say, bro
[06:02.020 --> 06:05.220]  I was gonna say congratulations. You do their wedding was awesome. So
[06:06.380 --> 06:11.740]  Oil slick is next shout out to oil slick oil slicks a loyal sponsor. They've been a longtime sponsor
[06:12.020 --> 06:18.100]  I use an oil slick product every day every day. There's almost one in every room of my house
[06:18.100 --> 06:21.580]  I think one of the most used products in this house carb caps
[06:23.220 --> 06:28.380]  Dabbers oil slick pads and a rig and a torch. I need a torch sponsor
[06:29.060 --> 06:31.060]  Vector vector torches come hit me up
[06:31.260 --> 06:34.460]  Or if somebody's got another email for me because this one's starting to lose its luster
[06:35.140 --> 06:37.140]  Email company wants to sponsor us. Let me know
[06:38.140 --> 06:43.180]  Let's review your product and shit and we'll shout you out on the show all the time enough pandering oil slick
[06:43.180 --> 06:48.380]  Shout out to our friends at oil slick oil slick tools to help you concentrate. Check out oil slick pad calm for more information
[06:48.900 --> 06:52.380]  Dude, go find our friends oil slick on Twitter. Seriously. I say that every time but go find them
[06:52.680 --> 06:54.340]  They're at oil slick pad
[06:54.340 --> 06:57.340]  Send them a tweet and let them know that you're listening to the I grow culture podcast
[06:57.340 --> 07:00.420]  Let them know you heard this ad and that my advertising is effective
[07:00.420 --> 07:02.620]  Let them know that you're paying attention and that it's working for him
[07:02.620 --> 07:06.420]  I know right now you're probably in the garden. You could be driving in the car. Maybe you're on a treadmill
[07:07.100 --> 07:09.100]  What do you do when you're listening to the podcast?
[07:09.860 --> 07:12.500]  Usually game. I mean what you're playing video games slow
[07:12.500 --> 07:17.140]  Okay, so you don't have your hands available to go and tweet me something right? No, I'm trying to remember it later guys
[07:17.140 --> 07:21.380]  Just just tweet us. I know I ask for a lot, but that's all I want is a simple tweet
[07:21.380 --> 07:25.460]  Come on, man. Just pay attention. I'm kidding. Well oil slick just I mean dude there
[07:25.460 --> 07:30.060]  They're constantly coming up with good glitter pictures just alone. I mean, yeah, and if you're dabbing
[07:30.660 --> 07:34.940]  Yeah, the reason I have them as a sponsor is because I use their stuff because it's necessity
[07:34.940 --> 07:37.500]  It's useful if you're dabbing you need some oils like products
[07:38.020 --> 07:42.180]  You need something to keep your hash in if you're smoking the live resin that we've got now
[07:42.180 --> 07:44.020]  You don't want to carry it around in parchment paper
[07:44.020 --> 07:49.980]  You want your live resin to be kept in like a nice smooth looking oil slick container my red gold and green Rasta colored oil
[07:49.980 --> 07:53.740]  Slick container on the table with my oil slick pads. It just looks class
[07:53.740 --> 07:57.300]  I got they got these things here with like the magnetic sides to where you can just put your slab
[07:57.300 --> 07:58.900]  I'm gonna have to fucking Google X
[07:58.900 --> 08:01.380]  I'm not sure if that's actually their product or if somebody's making that
[08:01.660 --> 08:05.740]  Modified version because I can't find it on their website, but hey oil slick if you're listening no no
[08:05.740 --> 08:09.260]  We're gonna have to find out because that's a good idea you guys if you have a miniature size slab
[08:09.260 --> 08:11.540]  You can take two of these oil slick
[08:12.060 --> 08:13.580]  mini pads
[08:13.580 --> 08:14.540]  slick pad minis
[08:14.540 --> 08:18.820]  And you can rubber band them together with your slab in the middle or you can find other ways to stick them together and just
[08:18.820 --> 08:20.820]  Have your slab right in the middle make it easily accessible
