[00:15.870 --> 00:18.430]  Welcome back, Cannabis community.
[00:18.430 --> 00:20.430]  It's time for episode number 252
[00:20.430 --> 00:22.290]  of the Grow From Your Heart podcast.
[00:22.290 --> 00:25.790]  Your source for cannabis news, education, and conversation.
[00:25.790 --> 00:26.870]  That's right, if you're a new grower,
[00:26.870 --> 00:28.110]  if you're a professional grower,
[00:28.110 --> 00:30.550]  if you're a new smoker or a dedicated dabber,
[00:30.550 --> 00:32.510]  if you're a cannabis activist or even someone
[00:32.510 --> 00:35.190]  who is just curious about the current state of cannabis,
[00:35.190 --> 00:38.070]  this, my friends, is the podcast for you.
[00:38.070 --> 00:39.910]  I'm your host, my friends call me Rasta Jeff.
[00:39.910 --> 00:41.790]  I wanna thank you guys again for joining me.
[00:41.790 --> 00:43.910]  As always, I need to send a huge thank you shout out
[00:43.910 --> 00:45.510]  to my friends in the Mystic Roots band
[00:45.510 --> 00:47.950]  for letting me use their music on my podcast.
[00:47.950 --> 00:49.790]  Big shout out to Kat, Coop,
[00:49.790 --> 00:52.210]  and the entire Mystic Roots crew.
[00:54.330 --> 00:55.910]  Ladies and gentlemen, before we get too far,
[00:55.910 --> 00:59.070]  this podcast is brought to you by thedankteam.com.
[00:59.070 --> 01:00.150]  That's right, if you're looking for new,
[01:00.150 --> 01:02.230]  regular or feminized cannabis seeds,
[01:02.230 --> 01:04.470]  look no further than thedankteam.com.
[01:04.470 --> 01:07.250]  That's right, thedankteam.com carries many trusted brands
[01:07.250 --> 01:10.110]  like Alphachronic, Mile High, Sin City, CannaVenture,
[01:10.110 --> 01:12.490]  iRegenetics, Rare Dankness, DNA,
[01:12.490 --> 01:14.470]  and a lot of other brands that you know and trust.
[01:14.510 --> 01:15.870]  Ladies and gentlemen, if you're looking to add
[01:15.870 --> 01:17.350]  new genetics to your garden,
[01:17.350 --> 01:18.950]  if you want something new and fresh,
[01:18.950 --> 01:23.950]  regular or feminized, I highly recommend thedankteam.com.
[01:24.550 --> 01:26.310]  All right, now that the ads are out of the way,
[01:26.310 --> 01:28.430]  let's talk a little bit about what I'm dabbing on.
[01:28.430 --> 01:30.990]  Just a minute ago, I took a giant dab of some,
[01:30.990 --> 01:32.550]  it's called True Kush.
[01:32.550 --> 01:35.550]  It was a super kush flavor, it was delicious.
[01:35.550 --> 01:38.030]  But now I am dabbing on some Bordello.
[01:38.030 --> 01:40.470]  The Bordello has a really, I don't know,
[01:40.470 --> 01:43.270]  kind of a cheesy, fruity sort of a thing to it.
[01:43.270 --> 01:44.510]  It doesn't get me super head high,
[01:44.510 --> 01:46.630]  but it really makes my body feel nice.
