[00:15.480 --> 00:18.240]  Welcome back, Cannabis Community.
[00:18.240 --> 00:21.440]  It's time for episode number 270 of the Grow From Your Heart podcast.
[00:21.780 --> 00:24.860]  Your source for cannabis news, education and conversation.
[00:25.520 --> 00:27.740]  That's right. If you're a new grower, if you're a professional grower,
[00:27.860 --> 00:31.400]  if you're a new smoker or a dedicated dabber, if you're a cannabis activist
[00:31.480 --> 00:34.420]  or even someone who is just curious about the current state of cannabis,
[00:34.740 --> 00:36.920]  this, my friends, is the podcast for you.
[00:37.700 --> 00:39.620]  I'm your host. My friends call me Rasta Jeff.
[00:39.620 --> 00:41.460]  I want to thank you guys again for joining me.
[00:41.460 --> 00:44.220]  As always, I need to send a huge thank you shout out to my friends
[00:44.240 --> 00:47.260]  in the Mystic Roots band for letting me use their music on my podcast.
[00:47.660 --> 00:51.960]  Big thanks to Kat, Ku and the entire Mystic Roots crew.
[00:54.760 --> 00:55.880]  Thanks again for joining me, everybody.
[00:55.880 --> 00:58.560]  I hope you're having a great evening, daytime, nighttime, whatever time it is,
[00:58.560 --> 00:59.560]  wherever you are.
[00:59.560 --> 01:00.300]  Hope you're having a great one.
[01:00.300 --> 01:02.520]  I hope you're smoking on something delicious.
[01:02.520 --> 01:03.760]  Maybe you got a fat joint rolled up.
[01:03.760 --> 01:05.320]  Maybe you're taking a fat dab.
[01:05.320 --> 01:08.320]  I just took a giant dab of some Tahoe OG batter
[01:08.560 --> 01:10.980]  mixed with Pura Vida OG batter.
[01:10.980 --> 01:12.780]  The Tahoe OG tastes amazing, you guys,
[01:12.800 --> 01:15.480]  but it just doesn't give me the high that I want.
[01:15.480 --> 01:16.240]  It's kind of mellow.
[01:16.240 --> 01:19.380]  It kind of chills me out, which is cool, but I want a little more from it,
[01:19.380 --> 01:20.480]  but the taste is amazing.
[01:20.480 --> 01:24.560]  So I've been mixing the Tahoe OG with the Pura Vida and taking good sized dabs
[01:24.560 --> 01:26.640]  of that. The Pura Vida makes me forget where I am.
[01:26.960 --> 01:28.360]  It makes me forget what I'm doing.
[01:28.360 --> 01:31.960]  So mixing the Pura Vida and the Tahoe, it's a super turpy combo,
[01:31.980 --> 01:35.160]  super great head high, super nice body high. I'm nice and chilled out.
[01:35.160 --> 01:37.120]  I'm ready to do a great podcast. Anyway,
[01:37.120 --> 01:39.840]  I hope you're smoking on something delicious. All right,
[01:39.960 --> 01:42.080]  let's start off this podcast by jumping right into it. You guys,
[01:42.220 --> 01:45.100]  I've got a brand new iTunes comment. It's a,
[01:45.300 --> 01:47.340]  it's a rating and a review is what it is here on iTunes.
[01:47.340 --> 01:49.660]  I would love it if you guys would leave me some ratings and reviews.
[01:49.680 --> 01:52.740]  The way you can do so is go to iTunes, go to the iTunes store,
[01:53.240 --> 01:56.060]  search for the Grow From Your Heart podcast, scroll down about halfway.
[01:56.120 --> 01:59.180]  You'll see a picture. It's a red, yellow, and green flag with my face on it.
[01:59.420 --> 02:01.820]  It's the Grow From Your Heart podcast logo. Click right on there.
[02:02.140 --> 02:03.820]  That will take you to the podcast page.
[02:03.860 --> 02:06.980]  In the middle of that page is a spot where it says ratings and reviews.
[02:07.580 --> 02:10.620]  That is where you are able to leave me a rating and a review. So far,
[02:10.620 --> 02:12.640]  everybody has left a five star review.
[02:12.920 --> 02:15.520]  And also let me scroll up to the top and make sure I'm not lying to you because
[02:15.520 --> 02:19.280]  there was one, you know what they took down. Nope. There is one four star review.
[02:19.800 --> 02:23.680]  I have got 77 ratings. 76 of them are five stars.
[02:23.700 --> 02:25.600]  One is a four star rating. Anyway,
[02:26.200 --> 02:29.040]  leave me the amount of stars that you feel I deserve and type in a little
[02:29.040 --> 02:32.760]  customer review and I will read your customer review on a future episode.
[02:33.300 --> 02:36.640]  Let's get into reading the most recent. This one came in on November 29th.
[02:36.640 --> 02:39.960]  It's from a person who calls themselves Farmer Dan 831.
[02:40.180 --> 02:45.140]  The headline of the customer review goes like this best info you can find.
[02:45.580 --> 02:49.180]  And then this is what Farmer Dan 831 had to say. Love your show.
[02:49.200 --> 02:52.060]  Rasta Jeff got the whole crew hooked on your show.
[02:52.080 --> 02:55.140]  We're listening to you as we harvest one of our rooms for live resin.
[02:55.460 --> 02:59.220]  Keep it real, man. Good vibes your way. Hey Farmer Dan, thanks for listening.
[02:59.500 --> 03:02.760]  Thanks for getting the whole crew addicted to the podcast. And also, man,
[03:02.760 --> 03:04.380]  thanks for putting some live resin out there.
[03:04.620 --> 03:07.140]  I kind of want to know where you work. Who do you work for? Uh,
[03:07.160 --> 03:09.960]  what company are you making live resin for? And can I try it?
[03:10.240 --> 03:14.160]  I'd like to go pick up a gram somewhere and see what you are making. All right.
[03:14.160 --> 03:16.720]  That's the only iTunes comment I have got for now. Uh,
[03:16.740 --> 03:19.200]  feel free to leave me more iTunes ratings and reviews.
[03:19.200 --> 03:20.880]  I would truly appreciate that.
[03:21.480 --> 03:24.640]  And also I want to give a huge thanks to all of the people who have left iTunes
[03:24.660 --> 03:28.800]  ratings and customer reviews in the past. Thanks everybody. I appreciate that.
[03:29.560 --> 03:31.880]  All right, let's work our way into another topic. You guys,
[03:32.120 --> 03:36.640]  this is a little bit, uh, not cannabis related, but it is internet related.
[03:36.820 --> 03:39.580]  And since my podcast is an internet based show,
[03:39.780 --> 03:43.660]  I feel that this topic may or may not affect you and or I in the future.
[03:43.940 --> 03:48.860]  And I kind of wanted to bring it up on the podcast. So today the FCC officially,
[03:49.020 --> 03:52.380]  uh, they repealed net neutrality rules.
[03:52.620 --> 03:55.060]  Now let me explain a little bit about what net neutrality is.
[03:55.080 --> 03:58.420]  And I'm just going to read basically from Wikipedia and tell you what Wikipedia
[03:58.440 --> 04:02.060]  says about net neutrality. And then we'll talk a little bit about it. It says,
[04:02.080 --> 04:05.560]  net neutrality is the principle that internet service providers must treat all
[04:05.580 --> 04:09.660]  data on the internet the same and not discriminate or charge differently by user
[04:09.680 --> 04:12.260]  content, website, platform, application,
[04:12.260 --> 04:15.540]  type of attached equipment or method of communication. For instance,
[04:15.620 --> 04:19.580]  instance under these principles, internet service providers are unable to
[04:19.580 --> 04:21.540]  intentionally block, slow down,
[04:21.560 --> 04:24.820]  or charge money for specific websites and online content.
[04:25.260 --> 04:28.000]  Going to skip a little bit. And then here's another part that's important for us.
[04:28.000 --> 04:32.560]  It says a widely cited example of a violation of net neutrality principles was
[04:32.560 --> 04:36.700]  the internet service provider Comcast secret slowing of uploads from peer to
[04:36.700 --> 04:40.420]  peer file sharing applications by using forged packets.
[04:41.580 --> 04:46.020]  Comcast did not stop blocking these protocols like BitTorrent until the federal
[04:46.040 --> 04:49.620]  communications commission ordered them to stop. And another minor example,
[04:49.740 --> 04:54.500]  the Madison river communications company was fined $15,000 by the FCC in
[04:54.500 --> 04:57.940]  2004 for restricting their customers access to Vonage,
[04:57.940 --> 05:00.940]  which was rivaling their own services. So basically you guys,
[05:01.120 --> 05:02.280]  what net neutrality did,
[05:02.760 --> 05:07.720]  what net neutrality did was made it illegal for folks like Comcast,
[05:07.740 --> 05:09.320]  AT&T, Verizon,
[05:09.340 --> 05:13.680]  or whoever else you can think of to alter their internet service based on your
[05:13.680 --> 05:16.240]  usage or their preferences. Right now,
[05:16.540 --> 05:19.920]  if you live in the United States of America and you are not in an institution
[05:19.920 --> 05:22.800]  and you have public internet, your internet is wide open.
[05:22.820 --> 05:26.200]  You are able to look at whatever you would like. You can look at AOL,
[05:26.200 --> 05:29.120]  you can look at Disney, you can look at animal planet,
[05:29.140 --> 05:32.660]  but also you can go to hightimes.com and look at cannabis.
[05:32.900 --> 05:36.620]  You can go to your favorite adult website and look at whatever you're into there.
[05:36.860 --> 05:39.300]  You can do whatever you want on the internet right now.
[05:39.540 --> 05:41.260]  When net neutrality becomes a thing,
[05:41.540 --> 05:46.020]  your internet service provider will get to decide what you may or may not look
[05:46.020 --> 05:49.020]  at. They may decide that if you want the adult package, if you,
[05:49.060 --> 05:52.280]  if your content is considered adult, if you're looking at cannabis,
[05:52.280 --> 05:54.060]  if you're looking at adult themed things,
[05:54.380 --> 05:57.100]  if you're looking at anything they feel may be adult,
[05:57.280 --> 06:00.320]  they can put a surcharge on that for you and charge you money. Right now,
[06:00.340 --> 06:04.480]  it's currently illegal, but now that the restrictions have been lifted,
[06:04.540 --> 06:07.920]  they are going to be allowed to do this once all of these rules and laws are
[06:07.920 --> 06:09.160]  worked out. Now,
[06:09.160 --> 06:12.440]  what concerns me is I like giving you guys a free podcast.
[06:12.440 --> 06:14.080]  I like getting my show out.
[06:15.240 --> 06:17.960]  Is it going to cost me more money to upload my show?
[06:18.000 --> 06:21.840]  Because they have mentioned people that use large uploads are going to possibly
[06:21.860 --> 06:23.880]  have to pay for more, more for their internet.
[06:24.100 --> 06:27.500]  They say that people that download large files may have to pay more for their
[06:27.520 --> 06:31.940]  internet. Is your internet service provider going to give you podcasts for free?
[06:32.140 --> 06:35.620]  Is my internet service provider going to allow me to upload these podcasts with
[06:35.620 --> 06:36.540]  no extra charge?
[06:37.100 --> 06:40.140]  Those are all things we're going to have to face here in the future and figure
[06:40.140 --> 06:43.860]  out what the changing of net neutrality. Now,
[06:43.860 --> 06:46.260]  I'm sure a lot of companies will rally and try to sue,
[06:46.340 --> 06:50.340]  and hopefully somebody has a really good lawyer and they can start a lawsuit to
[06:50.360 --> 06:52.420]  stop net neutrality from being lifted.
[06:52.720 --> 06:56.440]  But in other countries like Canada and Chile and Brazil,
[06:56.720 --> 07:01.120]  it's a thing and we all know that North Korea and China are already limiting
[07:01.120 --> 07:03.400]  their internet. You can only see a few websites there.
[07:03.560 --> 07:06.960]  You can't access all the popular stuff there. And if you're caught accessing it,
[07:06.960 --> 07:09.320]  you are committing a crime and you will be punished.
[07:09.400 --> 07:14.000]  So learn what you can from the internet right now. You guys get what you can,
[07:14.020 --> 07:17.480]  because things are changing. I don't know what's coming.
[07:17.500 --> 07:20.400]  People can't predict what's coming because this is a brand new thing,
[07:20.940 --> 07:23.980]  but things are going to change. You know,
[07:24.000 --> 07:26.940]  most of the articles I read said that it was going to be a couple of weeks
[07:26.960 --> 07:31.700]  before the changes roll out. So I hope we don't see too drastic of a change.
[07:31.720 --> 07:34.380]  I hope we don't end up paying for simple internet,
[07:34.400 --> 07:37.260]  paying more for basic internet. We're already paying for internet service.
[07:37.620 --> 07:41.020]  I don't want to have to pay. Imagine if they made it like a cable package. Okay,
[07:41.020 --> 07:43.380]  you can get basic internet. You can check out Facebook,
[07:43.740 --> 07:46.020]  you can check out animal planet, you can check out all that.
[07:46.300 --> 07:48.380]  But if you want to go on the premium package,
[07:48.400 --> 07:50.080]  it's going to be an extra nine 95 a month.
[07:51.200 --> 07:54.480]  Imagine if they start doing that shit to you and then you're not going to know
[07:54.860 --> 07:57.680]  what you're not getting until you're not able to get it.
[07:57.680 --> 07:59.360]  And then you're going to have to add that to your package.
[08:00.160 --> 08:03.560]  How weird would it be to not have access to the whole internet and not even know
[08:03.560 --> 08:07.240]  it because you don't know that that's there because you can't even go to it.
[08:07.520 --> 08:10.640]  Now imagine if you had Comcast, is it okay? Let's even go better.
[08:10.640 --> 08:12.680]  Imagine if you had AT&T as a service provider.
[08:13.280 --> 08:16.880]  So AT&T is who you pay your bill to AT&T is who your service is through.
[08:17.100 --> 08:19.460]  They are the ones that get to decide what you get to see.
[08:19.820 --> 08:23.540]  Now perhaps there's something really cool going on that is sponsored by Verizon.
[08:23.580 --> 08:27.380]  Your favorite band is doing a cool ass show. They're doing it live feed,
[08:27.680 --> 08:31.140]  but it's sponsored by Verizon. Guess what? Fuck you AT&T listeners.
[08:31.300 --> 08:33.740]  You don't get to watch it because you're on a different internet and we're not
[08:33.740 --> 08:37.260]  even going to allow you to see the Verizon shit. So fuck you.
[08:37.520 --> 08:39.980]  That's how it's going to be. People are going to be left out of stuff.
[08:39.980 --> 08:41.500]  You're not going to be able to get to see things.
