[00:16.120 --> 00:18.340]  Welcome back cannabis community.
[00:18.340 --> 00:21.900]  It's time for episode number 276 of the grow from your heart podcast.
[00:22.300 --> 00:26.180]  You're a source for cannabis news, education, and conversation. That's right.
[00:26.180 --> 00:28.100]  If you're a new grower, if you're a professional grower,
[00:28.120 --> 00:30.220]  if you're a new smoker or a dedicated dabber,
[00:30.540 --> 00:33.580]  if you're a cannabis activist or even someone who is just curious about the
[00:33.580 --> 00:37.260]  current state of cannabis, this my friends is the podcast for you.
[00:38.060 --> 00:39.900]  I'm your host. My friends call me Rasta Jeff.
[00:39.940 --> 00:42.540]  I want to thank you guys again for joining me as always.
[00:42.580 --> 00:45.660]  I need to send a huge thank you shout out to my friends in the mystic roots band
[00:45.660 --> 00:48.980]  for letting me use their music on my podcast. Big shout out to Kat,
[00:49.820 --> 00:52.220]  and the entire mystic roots crew.
[00:54.420 --> 00:57.980]  Thanks again for joining me. Everybody is a frosty cold night here in Pueblo,
[00:57.980 --> 01:02.620]  Colorado. I hope you are nice and warm or maybe nice and chill wherever you are.
[01:02.620 --> 01:04.620]  What time of year it is, wherever you are, wherever you're listening.
[01:04.940 --> 01:08.220]  Hope you're having a great time. I also hope you got a big fat dab lined up.
[01:08.220 --> 01:11.140]  I hope you got a big fat joint rolled up. Hope you got the bong loaded.
[01:11.140 --> 01:12.100]  Hope you got a blunt rolled up.
[01:12.100 --> 01:14.980]  You got something going on so you can get medicated with me on the podcast.
[01:16.460 --> 01:19.340]  I like to start the show off by telling everybody what I've been smoking on.
[01:19.380 --> 01:21.460]  Let me reach over here and turn down this music just a little bit more.
[01:21.460 --> 01:22.660]  What am I smoking on today?
[01:22.660 --> 01:26.980]  I have been smoking on some Clementine live resin batter and I've been taking
[01:26.980 --> 01:28.260]  the dads of Clementine.
[01:28.260 --> 01:32.140]  I get it on the dabber and I've got this Gotham high cannabinoid full spectrum
[01:32.140 --> 01:36.180]  extract. It's the crystals, the diamonds. It's hard to stick that to the dabber.
[01:36.500 --> 01:41.500]  So I just push a little to the side and then I stick the Clementine dab dab on
[01:42.620 --> 01:43.060]  the dabber.
[01:43.060 --> 01:46.260]  And then I dip that like a paintbrush into the crystals and just pick up enough
[01:46.620 --> 01:49.300]  kind of like just to season a little, a little bit there.
[01:49.740 --> 01:53.740]  And then the Gotham crystals of course tested at 96 or 98% THC.
[01:53.740 --> 01:57.620]  I'm pretty sure it's 96% THC. So the Clementine gives you a great flavor.
[01:57.620 --> 02:01.260]  It's a nice head buzz. It doesn't do a lot for me to get me high,
[02:01.260 --> 02:03.420]  but the flavor is great. But those Gotham crystals,
[02:03.980 --> 02:07.500]  they really put you in another place. So the Clementine makes it taste amazing.
[02:07.500 --> 02:10.380]  The Gotham gets me super high, really great combo.
[02:10.660 --> 02:12.740]  Obviously it's got me in a good mood. It's got me chatty.
[02:12.940 --> 02:17.300]  So hopefully it's good podcast dabs. Thanks for joining me, everybody.
[02:17.300 --> 02:20.620]  I hope you're as lit up as I am. Something I want to talk about.
[02:21.180 --> 02:25.540]  I've been trying to be a cheap ass. I've been trying to buy cheap hash.
[02:26.020 --> 02:28.660]  Usually the hash that I smoke and I'm not trying to brag or anything.
[02:28.660 --> 02:30.700]  I'm just telling you something that I realized lately,
[02:30.980 --> 02:33.460]  the hash that I smoke from most of the time,
[02:33.460 --> 02:36.180]  the live resins and the batters, depending on where you go,
[02:36.260 --> 02:38.660]  some places have sales, some places have specials.
[02:39.020 --> 02:42.900]  It's going to run you somewhere between usually 35 and 50,
[02:42.900 --> 02:46.420]  maybe $60 a gram for top shelf, super quality hash,
[02:46.900 --> 02:51.180]  the high cannabinoid full spectrum extracts. If you go to some places,
[02:51.180 --> 02:54.820]  it'll be a $40 a gram, maybe $35 a gram.
[02:54.820 --> 02:57.100]  Sometimes you can find it on sale for a little bit cheaper,
[02:57.100 --> 03:00.420]  but not much cheaper. If you're on the recreational side,
[03:00.420 --> 03:03.620]  it's going to be harder to find. And it's probably going to be 50 or $60,
[03:03.620 --> 03:07.060]  maybe 70 or $80 a gram. I don't shop on the recreational side.
[03:07.060 --> 03:08.540]  I've got a medical marijuana card,
[03:09.180 --> 03:11.340]  but I know it's way more expensive on that side of the store.
[03:12.460 --> 03:15.820]  What I'm getting at is, um, I was trying to be a cheap ass.
[03:16.220 --> 03:19.060]  I've been smoking too much of this expensive hash. I thought,
[03:19.340 --> 03:22.380]  what if I go to a dispensary and I buy some of this cheap hash,
[03:22.380 --> 03:23.140]  they're advertising.
[03:23.140 --> 03:27.980]  There was a shop advertising 10 and $15 grams of shatter and $15 grams of live
[03:27.980 --> 03:30.100]  resin. And so I was like, I should go check this out.
[03:30.300 --> 03:32.740]  And I'm not going to say any strain names. I'm not going to say any brand names.
[03:32.740 --> 03:34.140]  I'm not going to say any dispensary names,
[03:34.140 --> 03:36.820]  but I did a little bit of shopping just to see if there was anything out there
[03:36.820 --> 03:38.020]  that was affordable, uh,
[03:38.300 --> 03:41.020]  so that I didn't have to keep buying these 40 and 50 hour grams and dabbing them
[03:41.020 --> 03:42.540]  all day. I was like, I'm just going to go get some cheap shit.
