[00:15.680 --> 00:18.200]  Welcome back cannabis community.
[00:18.200 --> 00:21.720]  It's time for episode number 287 of the Grow From Your Heart podcast.
[00:21.920 --> 00:25.920]  You're a source for cannabis news, education, and conversation. That's right.
[00:25.920 --> 00:27.920]  If you're a new grower, if you're a professional grower,
[00:27.960 --> 00:30.040]  if you're a new smoker or a dedicated dabber,
[00:30.480 --> 00:33.560]  if you're a cannabis activist or even someone who's just curious about the
[00:33.560 --> 00:37.200]  current state of cannabis, this my friends is the podcast for you.
[00:38.000 --> 00:39.960]  I'm your host. My friends call me Rasta Jeff.
[00:40.000 --> 00:42.760]  I want to thank you guys again for joining me as always.
[00:42.760 --> 00:46.040]  I need to send a huge thank you shout out to my friends in the Mystic Roots band
[00:46.040 --> 00:49.520]  for letting me use their music on my podcast. Big shout out to Kat,
[00:50.400 --> 00:52.680]  and the entire Mystic Roots crew.
[00:54.680 --> 00:58.800]  Ladies and gentlemen, I am coming to you on a frosty cold Colorado evening.
[00:59.200 --> 01:03.680]  It's been snowing for about 18 hours now and there is no end in sight.
[01:04.440 --> 01:06.760]  It's cold out there. You guys, the snow is deep.
[01:06.800 --> 01:08.920]  The streets are slick and it sucks.
[01:10.040 --> 01:12.520]  I had to brave the cold to go grab some hash today.
[01:12.560 --> 01:15.040]  I was running low on concentrates and with the storm coming down,
[01:15.040 --> 01:17.440]  I was not going to get trapped at home without enough hash,
[01:17.680 --> 01:20.320]  without enough concentrates to smoke on throughout the weekend here.
[01:20.600 --> 01:24.320]  So I made it over to Dr's Orders and I grabbed myself some of this sour diesel
[01:24.480 --> 01:26.880]  sugar and some sour diesel live batter.
[01:27.440 --> 01:31.200]  I was extracted by our friends at the Garden of Wheaton and they always do great
[01:31.200 --> 01:33.320]  work. So shout out to Dr's Orders at STEM beach.
[01:33.720 --> 01:36.600]  And also a big shout out to our friends at the Garden of Wheaton.
[01:36.720 --> 01:39.760]  I'm lit up on this sour diesel. You guys, this is a very unique high.
[01:40.120 --> 01:41.760]  It does something that not a lot of strains do.
[01:41.760 --> 01:44.840]  It's got that high thing. I think when you smoke flowers,
[01:45.120 --> 01:47.800]  your eyes get droopy and you get stoned. But when I smoke concentrates,
[01:47.800 --> 01:49.000]  I don't get the droopy eyes.
[01:49.280 --> 01:52.520]  This sour diesel does that shit to my eyes and I really enjoy it.
[01:52.520 --> 01:53.520]  So shout out to all my friends.
[01:54.000 --> 01:56.600]  Thanks to my friends for the great service out there at Dr's Orders. Yes,
