[00:00.320 --> 00:05.120]  Welcome back, cannabis community.
[00:05.120 --> 00:07.880]  It's time for a Thursday episode of the Grow From Your Heart podcast.
[00:07.880 --> 00:12.180]  I like to call these Thursday episodes the Thursday Quickie.
[00:12.180 --> 00:15.360]  These quickies are brought to you by our friends at the Hella Dank Seed Bank.
[00:15.360 --> 00:17.560]  Make sure you check them out at dankseed.store.
[00:17.560 --> 00:22.280]  Ladies and gentlemen, it won't be a quickie unless we get started right away, so let's
[00:22.280 --> 00:27.120]  get on with the Grow From Your Heart podcast.
[00:27.120 --> 00:28.440]  Welcome back, podcast world.
[00:28.440 --> 00:32.760]  It's time for episode 303 of the Grow From Your Heart podcast, of course, a Thursday
[00:32.760 --> 00:33.760]  quickie.
[00:33.760 --> 00:34.760]  Thanks again for joining me.
[00:34.760 --> 00:38.000]  I like to start these episodes off by letting you know what I'm smoking on.
[00:38.000 --> 00:43.200]  Today, I've been getting down on the Clementine high cannabinoid full spectrum extract.
[00:43.200 --> 00:47.440]  Of course, if you listen to the podcast frequently, you know I get down on the Clementine a lot.
[00:47.440 --> 00:52.120]  Oftentimes, I've complained that the Clementine lacks in high, but has a great flavor.
[00:52.120 --> 00:57.040]  I've been smoking the high cannabinoid full spectrum extracts, and this shit is not lacking
[00:57.040 --> 00:58.240]  in anything.
[00:58.240 --> 01:03.040]  It's got the high, it's got the flavor, it's got a head buzz that you could not forget,
[01:03.040 --> 01:04.360]  but you could forget your keys.
[01:04.360 --> 01:05.800]  You could forget where you are.
[01:05.800 --> 01:08.000]  This is a great concentrate for during the day.
[01:08.000 --> 01:09.000]  It gets me moving.
[01:09.000 --> 01:10.080]  It doesn't make me lazy.
[01:10.080 --> 01:12.400]  I've been enjoying that all day today.
[01:12.400 --> 01:15.920]  The car smells like lemons just from having this in the car with me.
[01:15.920 --> 01:19.700]  The cooler smells like oranges and pineapples just from keeping it in the cooler.
[01:19.700 --> 01:21.520]  This is a tremendous concentrate.
[01:21.520 --> 01:25.160]  Then I got home, and I wanted to switch things up a little bit, kick off the shoes, and chill
[01:25.160 --> 01:26.320]  out and do a podcast.
[01:26.400 --> 01:31.080]  That's when I started smoking on the Tahoe OG Live Batter.
[01:31.080 --> 01:35.080]  This one's got me just kind of mellow, just kind of chilled out, able to sit down in a
[01:35.080 --> 01:36.720]  chair and relax a little bit.
[01:36.720 --> 01:39.080]  I got the Clementine keeping my head going.
[01:39.080 --> 01:41.200]  I got the Tahoe OG chilling my body out.
[01:41.200 --> 01:42.840]  It's got me in a great mood.
[01:42.840 --> 01:43.840]  I feel good.
[01:43.840 --> 01:45.320]  Let's do a podcast, you guys.
[01:45.320 --> 01:46.320]  I want to keep it quick.
[01:46.320 --> 01:47.880]  I call it a quickie.
[01:47.880 --> 01:49.320]  Let's try to stick to it.
[01:49.320 --> 01:51.080]  I'm going to start by reading some emails.
[01:51.080 --> 01:55.120]  If you'd like to send me an email, my email address is growfromyourheartathotmail.com.
[01:55.120 --> 01:56.760]  You know I would love to hear from you.
[01:56.760 --> 01:58.640]  The first email goes like this.
[01:58.640 --> 02:02.600]  I have a quick question about dab tools, and it is spurred on by your recent mention of
[02:02.600 --> 02:05.160]  the dangers of using a pen to take dabs.
[02:05.160 --> 02:07.640]  Now, let me preface that a little bit.
[02:07.640 --> 02:11.440]  I use a glass pencil as a dabber.
[02:11.440 --> 02:13.500]  This was given to me as a gift by the dabbing granny.
[02:13.500 --> 02:16.080]  This was made by a glass artist known as Tater Glass.
[02:16.080 --> 02:19.320]  He makes pencils and other glass apparatuses.
[02:19.320 --> 02:24.000]  I have this glass pencil dabber sitting on my table next to the computer, next to my
[02:24.000 --> 02:27.320]  pen, next to my pen stick, next to my notebook, next to my other pen, next to my beverage,
[02:27.320 --> 02:28.760]  next to a folder, next to my torch.
[02:28.760 --> 02:31.000]  There's a bunch of shit on this table is what I'm getting at.
[02:31.000 --> 02:35.160]  It's a clusterfuck of dab things and recording stuff and podcast notes and hash containers
[02:35.160 --> 02:36.960]  and beverages.
[02:36.960 --> 02:37.960]  It's just a clusterfuck.
[02:37.960 --> 02:39.720]  So I've got this glass pencil here.
[02:39.720 --> 02:44.560]  I have picked up this glass pencil that is meant to be used as a dabber, and I have tried
[02:44.560 --> 02:46.880]  to write a note with it before.
[02:46.880 --> 02:49.280]  It didn't work because it's not a pencil, it's a dabber.
[02:49.280 --> 02:50.280]  That was funny.
[02:50.280 --> 02:52.920]  Then, on a recent episode, I think Kevin and Mike were here.
[02:52.920 --> 02:54.520]  It might've been episode 300.
[02:54.520 --> 03:02.560]  I picked up my pen, my Bic pen, my Paper Mate ballpoint pen, thinking that this was my glass
[03:02.560 --> 03:03.560]  dabber.
[03:03.560 --> 03:04.560]  I almost put a dab on this thing.
[03:04.560 --> 03:08.920]  I reached toward the concentrate and said, oh shit, that is a pen.
[03:08.920 --> 03:11.120]  That's what this talks, that's what this is referring to.
[03:11.120 --> 03:13.680]  That's what this spurred on from.
[03:13.680 --> 03:16.560]  So he says, I have a quick question about dab tools and it's spurred on by your recent
[03:16.560 --> 03:18.840]  mention of the dangers of using a pen to take dabs.
[03:18.840 --> 03:21.360]  It would've been dangerous if I had taken a dab with that pen, you guys, and I'm going
[03:21.360 --> 03:23.000]  to talk about that in a minute.
[03:23.000 --> 03:25.680]  The question is, is it okay to use stainless steel dabbers?
[03:25.680 --> 03:30.320]  I know a lot of people use titanium or glass rods, but I don't know about stainless steel.
[03:30.320 --> 03:35.120]  I'm still kind of a rookie with my gear and I repurposed a piece of 316 stainless steel
[03:35.120 --> 03:37.800]  TIG welding rod to get my dabs in the banger.
[03:37.800 --> 03:41.680]  I assume many tools are made out of stainless and I certainly know better than to use my
[03:41.680 --> 03:43.120]  mild steel, for example.
[03:43.120 --> 03:45.240]  Do you have any insight on this?
[03:45.240 --> 03:46.640]  Thanks and take it easy.
[03:46.640 --> 03:47.640]  Signed, No Name.
[03:47.640 --> 03:48.640]  All right.
[03:48.640 --> 03:53.640]  I want to write a couple of notes because I'm off on a rant here and I want to not forget
[03:53.640 --> 03:54.640]  anything.
[03:54.640 --> 03:59.040]  So, um, it sounds like, you know, about metals, you are a welder.
[03:59.040 --> 04:01.680]  Um, I'm going to sound, I'm going to be honest here.
[04:01.680 --> 04:05.240]  I don't know what 316 stainless steel honestly is.
[04:05.240 --> 04:09.240]  I wouldn't know the difference between 420, 215 and 316 stainless steel if you smacked
[04:09.240 --> 04:10.680]  me in the face with them.
[04:10.680 --> 04:12.080]  Couldn't identify that.
