[00:00.960 --> 00:03.200]  Welcome back cannabis community.
[00:03.200 --> 00:06.360]  It's time for episode 323 of the Grow From Your Heart podcast.
[00:06.680 --> 00:10.720]  You're a source for cannabis news, education, and conversation. That's right.
[00:10.720 --> 00:12.720]  If you're a new grower, if you're a professional grower,
[00:12.880 --> 00:16.480]  if you're a new smoker or a dedicated dabber, if you're a cannabis activist,
[00:16.520 --> 00:19.240]  or even someone who's just curious about the current state of cannabis,
[00:19.640 --> 00:23.120]  this my friends is the podcast for you. I'm your host.
[00:23.200 --> 00:25.920]  My friends call me Ross DeGeff. I want to thank you guys again for joining me.
[00:26.600 --> 00:29.640]  This episode of the podcast is brought to you by my friends at the Hella Dank
[00:29.880 --> 00:32.040]  Seed Company. If you need new seeds for your garden,
[00:32.280 --> 00:34.480]  look no further than the Hella Dank Seed Company.
[00:34.480 --> 00:37.400]  You can find them at dankseed.store.
[00:38.080 --> 00:41.360]  This episode of the podcast is also brought to you by my friends at PL Grow
[00:41.360 --> 00:42.200]  Systems.
[00:42.520 --> 00:45.600]  A responsible gardener knows what's happening in his grow room at all times,
[00:45.640 --> 00:49.280]  and you can monitor your temperature and your humidity from anywhere with the
[00:49.300 --> 00:52.040]  new Minder unit from our friends at PL Grow Systems.
[00:52.080 --> 00:56.400]  You can find them at PLGrow.Systems. Ladies and gentlemen,
[00:57.040 --> 00:59.880]  this is a very special Thursday episode of the podcast.
[00:59.920 --> 01:04.160]  I've got my friends Peter and Lee from P&L Grow Systems joining me on Skype,
[01:04.360 --> 01:06.720]  and we're going to talk about the PL Grow Systems units.
[01:07.240 --> 01:08.800]  And then we're going to get a little bit chatty.
[01:09.200 --> 01:12.240]  There were a couple of moments I had to edit because Skype was getting choppy,
[01:12.520 --> 01:14.960]  but for the most part, I think the show sounds pretty good.
[01:15.120 --> 01:18.200]  So ladies and gentlemen, let's get right to it. Live on Skype.
[01:18.280 --> 01:21.720]  Here are my friends, Peter and Lee from P&L Grow Systems.
[01:23.920 --> 01:25.920]  Well, gentlemen, welcome. I have pressed record.
[01:25.920 --> 01:28.720]  I've got you guys on the show. So welcome to the show.
[01:28.800 --> 01:31.840]  Peter and Lee from P&L Grow Systems. Thanks for joining me guys.
[01:35.000 --> 01:38.400]  So can you tell us exactly where you guys are from? Because when I first met you,
[01:38.440 --> 01:41.280]  I advertised that you were from Australia and I've been corrected.
[01:44.870 --> 01:48.470]  Yeah. Especially seeing as I'm originally from South Africa,
[01:48.510 --> 01:51.550]  being linked with Australia. Fair enough.
[01:52.190 --> 01:55.750]  Sort of right hemisphere, wrong country, but I'm originally from South Africa.
[01:56.470 --> 01:57.550]  Living in England,
[01:58.830 --> 02:02.510]  been here for 20 plus years for my sins.
[02:03.470 --> 02:05.710]  And I'm originally from the home of Durban Poison.
[02:11.050 --> 02:13.770]  And I'm in London. I've been here for a good 10 years now.
[02:15.570 --> 02:16.410]  Love the city.
[02:17.530 --> 02:19.690]  I've heard a lot of great things, but I have never been.
[02:21.210 --> 02:22.890]  Worth a visit. Definitely worth a visit.
[02:23.410 --> 02:25.690]  Well now I've got somewhere to stay. So I'll come see you guys.
[02:27.570 --> 02:28.410]  Absolutely.
[02:28.850 --> 02:30.250]  All right. So of course you guys are.
[02:30.250 --> 02:31.490]  I'll be here to stay when we head that way.
[02:31.810 --> 02:34.050]  Absolutely. You have got space. Well,
[02:34.050 --> 02:37.290]  obviously Peter and Lee are P&L from P&L Grow Systems.
[02:37.690 --> 02:42.170]  Would you guys like to take a minute and tell me about how you got into this
[02:42.170 --> 02:45.250]  idea of creating the P&L Grow Systems products?
[02:46.890 --> 02:49.970]  Did I lose you? Something may have gone wrong.
[02:51.850 --> 02:53.290]  Okay. So I think where I was,
[02:54.130 --> 02:57.650]  I was just going to give you guys an opportunity to tell me about the company,
[02:57.650 --> 03:00.250]  since you guys are obviously Peter and Lee of P&L Grow Systems.
[03:00.610 --> 03:03.610]  Would you like to tell me a little bit about how P&L came about and what
[03:03.770 --> 03:05.690]  inspired you to create this company?
[03:07.650 --> 03:08.490]  Yeah, sure.
[03:09.250 --> 03:13.290]  Well, it started off with us both having the same problem that if you wanted to
[03:13.290 --> 03:14.850]  take a two week holiday,
[03:15.330 --> 03:19.450]  you'd come back to a bunch of dead plants either in your greenhouse or your
[03:19.450 --> 03:20.290]  grow space.
[03:21.970 --> 03:26.970]  And really we went and had a look in the market to go and see what was out there
[03:27.010 --> 03:30.210]  that would allow us to keep an eye on it and remotely control it.
[03:30.610 --> 03:34.450]  And there was nothing within our price bracket, that's for sure.
[03:36.250 --> 03:39.450]  You know, there's some really expensive bits of kit out there that can do it for
[03:39.450 --> 03:40.290]  you.
[03:40.290 --> 03:45.290]  And whether you can even remote into them is optional and usually would require
[03:46.090 --> 03:50.530]  quite a bit of reconfiguring your home or your routers and firewalls to let
[03:50.530 --> 03:51.370]  traffic in.
[03:51.570 --> 03:55.090]  So being technologists,
[03:56.370 --> 03:59.370]  we just decided like there's got to be a cheaper way and easier way of doing this
[03:59.370 --> 04:01.130]  and started building systems for ourselves.
[04:02.210 --> 04:07.090]  We started off with some early prototypes that when we started posting pictures
[04:07.090 --> 04:07.930]  of them,
[04:08.050 --> 04:13.050]  people took interest and it was after slowly building it up and showing what it
[04:13.250 --> 04:15.450]  could do and controlling our own setup,
[04:16.970 --> 04:19.330]  that interest grew and grew and grew. And we suddenly realized, hang on, you know,
[04:19.330 --> 04:21.690]  we've solved the problem for ourselves,
[04:22.090 --> 04:27.090]  this ability to make it really easy to get up and running and be able to access
[04:27.330 --> 04:31.490]  it from anywhere in the world. And other people are interested in it.
