[00:11.450 --> 00:13.450]  Welcome back, Podcast World.
[00:13.450 --> 00:16.450]  It's time for Episode 325 of the Grow From Your Heart Podcast,
[00:16.450 --> 00:20.450]  your source for cannabis news, education, and conversation.
[00:20.450 --> 00:24.450]  This episode of the podcast is brought to you by my friends at the Hella Dank Seed Company.
[00:24.450 --> 00:27.450]  If you need new regular or feminized seeds for your garden,
[00:27.450 --> 00:29.450]  I highly recommend the Hella Dank Seed Company.
[00:29.450 --> 00:33.450]  You can find them at dankseed.store.
[00:33.450 --> 00:38.450]  Ladies and gentlemen, this episode is a compilation of my Instagram Live feeds.
[00:38.450 --> 00:43.450]  I like to go on Instagram Live, hang out with my friends, take a few dabs, and talk about cannabis.
[00:43.450 --> 00:47.450]  If you want to check out my Instagram Live feed, all you have to do is follow me on Instagram.
[00:47.450 --> 00:53.450]  It's irie underscore genetics, I-R-I-E underscore G-E-N-E-T-I-C-S,
[00:53.450 --> 00:55.450]  irie underscore genetics on Instagram.
[00:55.450 --> 00:59.450]  Follow me, turn on your notifications, and when I go live, it'll pop up at the top of your screen.
[00:59.450 --> 01:02.450]  You click the notification, it'll take you right to the video.
[01:02.450 --> 01:05.450]  You'll get to watch me hang out, take live questions, take some dabs.
[01:05.450 --> 01:09.450]  If you ask a question, I most likely will answer it in the live feed.
[01:09.450 --> 01:12.450]  Check it out on Instagram, join me, be a part of the live feed.
[01:12.450 --> 01:15.450]  Maybe I'll put your clip in the next Instagram Live episode.
[01:15.450 --> 01:20.450]  Ladies and gentlemen, before this intro gets too long, let's get right into it.
[01:20.450 --> 01:23.450]  Here's episode 325 of the Grow From Your Heart podcast.
[01:35.790 --> 01:39.790]  If you're trying to get all that reclaim out of your rig so that you can use it,
[01:39.790 --> 01:41.790]  it's a good idea to make edibles out of it.
[01:41.790 --> 01:43.790]  If you want to dry it out and smoke it, you could do that,
[01:43.790 --> 01:46.790]  but edibles is probably the way to go if you're going to recycle your reclaim.
[01:46.790 --> 01:49.790]  The easiest way to get it out of the rig without destroying it
[01:49.790 --> 01:52.790]  is to run the tap water, get the tap water super hot,
[01:52.790 --> 01:56.790]  and then just fill the rig with hot water and pour it out into a container.
[01:56.790 --> 01:59.790]  If the rig and the water are really hot, it'll come out really easily.
[01:59.790 --> 02:02.790]  If it's cold, that shit's just going to stick and make a mess.
[02:02.790 --> 02:05.790]  If you put a solvent in there to loosen it up, you're going to ruin the reclaim.
[02:05.790 --> 02:09.790]  So the best way to get it out is probably just hot water and pour it into something and collect it.
[02:09.790 --> 02:11.790]  Maybe pour it onto some parchment.
[02:11.790 --> 02:14.790]  Might be your best bet. Not sure how to collect it that way.
[02:14.790 --> 02:16.790]  I honestly don't fuck with reclaim. I'm a little bit stuck up.
[02:16.790 --> 02:18.790]  I throw the reclaim away.
[02:18.790 --> 02:21.790]  Another good way to catch a reclaim, you guys, and make it more usable
[02:21.790 --> 02:24.790]  and to keep it from the water is a drop down.
[02:24.790 --> 02:25.790]  Simply put a drop down on your rig.
[02:25.790 --> 02:29.790]  A drop down is a piece that goes from the joint of your rig.
[02:29.790 --> 02:31.790]  It drops down at an angle, and then it goes back up,
[02:31.790 --> 02:33.790]  and you put your nail on the up part,
