[00:01.790 --> 00:04.130]  Welcome back podcast world.
[00:04.130 --> 00:05.970]  It's time for episode 337
[00:05.970 --> 00:07.610]  of the Grow From Your Heart podcast.
[00:07.610 --> 00:11.210]  Your source for cannabis news, education, and conversation.
[00:11.210 --> 00:13.410]  If you're a new grower, if you're a professional grower,
[00:13.410 --> 00:15.730]  if you're a new smoker or a dedicated dabber,
[00:15.730 --> 00:16.970]  if you're a cannabis activist
[00:16.970 --> 00:18.330]  or even someone who's just curious
[00:18.330 --> 00:20.070]  about the current state of cannabis,
[00:20.070 --> 00:22.550]  this my friends is the podcast for you.
[00:22.550 --> 00:24.970]  Ladies and gentlemen, put some fresh water in the bong
[00:24.970 --> 00:27.910]  because it's time for the Grow From Your Heart podcast.
[00:27.910 --> 00:29.130]  Welcome to the show, everybody.
[00:29.130 --> 00:31.010]  It's time for episode 337.
[00:31.010 --> 00:32.450]  Thanks again for joining me.
[00:32.450 --> 00:34.810]  As always, this episode of the podcast is brought to you
[00:34.810 --> 00:36.810]  by my friends at the Hella Dank Seed Company.
[00:36.810 --> 00:38.530]  If you need new genetics for your garden,
[00:38.530 --> 00:40.930]  I highly recommend the Hella Dank Seed Company
[00:40.930 --> 00:45.010]  and you can find them at dankseed.store.
[00:45.010 --> 00:46.970]  All right, that's all the advertising for this episode.
[00:46.970 --> 00:48.390]  You guys know I like to start the show off
[00:48.390 --> 00:50.450]  by telling you what I've been smoking on.
[00:50.450 --> 00:53.970]  Today, I've been taking dabs of Guava Papaya Nectar
[00:53.970 --> 00:55.410]  from Green Dot Labs.
[00:55.410 --> 00:58.450]  This is Chem-4 and papaya mixed together.
[00:58.450 --> 01:02.610]  It is labeled as sour fuel and soft fruit flavors.
[01:02.610 --> 01:06.210]  It's got sort of a sour fuel and then there's a weird,
[01:06.210 --> 01:08.810]  like a green gummy bear or a green gummy worm
[01:08.810 --> 01:10.090]  sort of a flavor to it.
[01:10.090 --> 01:10.930]  I was enjoying it.
[01:10.930 --> 01:12.930]  It's got a nice ripping head high to it.
[01:12.930 --> 01:14.530]  It's got me kind of slowed down, it feels like.
[01:14.530 --> 01:15.830]  It feels like I'm just kind of chilling.
[01:15.830 --> 01:16.850]  Like I could be more hyper.
[01:16.850 --> 01:18.290]  Like I could use some caffeine or something.
[01:18.290 --> 01:21.490]  But the Guava Papaya Nectar from Green Dot Labs
[01:21.490 --> 01:22.450]  tastes great.
[01:22.450 --> 01:24.170]  It's got me nice and stoned.
[01:24.170 --> 01:25.950]  That's what I'm dabbing on today.
[01:26.910 --> 01:28.510]  And today I've been dabbing in style
[01:28.510 --> 01:30.750]  because our friends Adam Ill and Hempur Co
[01:30.750 --> 01:34.870]  sent me the Highest Host Collab Gift Box.
[01:34.870 --> 01:37.350]  It's a very cute, collectible pink box.
[01:37.350 --> 01:38.990]  It's got Adam Ill's face on it and it says,
[01:38.990 --> 01:42.750]  what all over the box because Adam Ill likes to say what.
[01:42.750 --> 01:44.470]  It's got some cool branding all over the box.
[01:44.470 --> 01:45.870]  Then when you open the box up,
[01:45.870 --> 01:48.910]  you are styled out and ready to dab.
[01:48.910 --> 01:51.310]  There is everything you need to dab inside this box
[01:51.310 --> 01:52.950]  except some dabs and a torch.
[01:52.950 --> 01:54.970]  Other than that, you're pretty much ready to go.
[01:54.970 --> 01:56.390]  I busted the box open.
[01:56.390 --> 01:58.850]  There is a rig inside the box.
