[00:00.000 --> 00:03.080]  What's up, podcast world?
[00:03.080 --> 00:06.480]  It's time for episode 343 of the Grow From Your Heart podcast,
[00:06.480 --> 00:09.760]  your source for cannabis news, education, and conversation.
[00:10.120 --> 00:12.480]  That's right. If you're a new grower, if you're a professional grower,
[00:12.520 --> 00:14.600]  if you're a new smoker or a dedicated dabber,
[00:14.880 --> 00:17.920]  if you're a cannabis activist or even someone who is just curious about the
[00:17.920 --> 00:21.720]  current state of cannabis, this my friends is the podcast for you.
[00:22.520 --> 00:24.600]  I'm your host. My friends call me Rasta Jeff.
[00:24.600 --> 00:26.160]  I want to thank you guys again for joining me.
[00:26.880 --> 00:29.960]  This episode of the podcast is brought to you by our friends at the Hella Dank
[00:30.080 --> 00:34.000]  Seed Company. If you need new regular or feminized seeds for your garden,
[00:34.120 --> 00:37.920]  I highly recommend the Hella Dank Seed Company and you can find them at
[00:37.920 --> 00:42.120]  dankseed.store. Ladies and gentlemen, roll up a fat split,
[00:42.360 --> 00:46.240]  pack up the bong or start heating up that dab nail because it's time for a fresh
[00:46.240 --> 00:48.760]  episode of the Grow From Your Heart podcast.
[00:51.520 --> 00:53.040]  Welcome to the show, ladies and gentlemen,
[00:53.040 --> 00:56.000]  it's time for episode 343 of the Grow From Your Heart podcast.
[00:56.000 --> 00:57.240]  Thanks again for joining me.
[00:57.400 --> 01:00.440]  This episode of the show is brought to you by our friends at the Hella Dank Seed
[01:00.440 --> 01:02.560]  Company. If you need new seeds for your garden,
[01:02.560 --> 01:05.440]  I highly recommend the Hella Dank Seed Company. Once again,
[01:05.440 --> 01:07.720]  you can find them at dankseed.store.
[01:07.920 --> 01:11.600]  I recommend you check them out because they have got a fresh drop of iri
[01:11.840 --> 01:13.120]  genetics. All right,
[01:13.120 --> 01:15.520]  you guys know I like to start the episode off by letting you know what I'm
[01:15.520 --> 01:18.760]  smoking on. I've got a fresh new pickup of some concentrates.
[01:19.120 --> 01:21.400]  I grabbed some lemon Versace nectar,
[01:21.560 --> 01:24.760]  which is a mix of lemon OG and Skittles.
[01:25.200 --> 01:26.840]  When I brought this home and took a dab of it,
[01:26.840 --> 01:29.400]  I hadn't read the package yet to see what the flavor description was.
[01:29.400 --> 01:32.080]  I was just excited. I was like, lemon Versace. I want a dab of that.
[01:32.720 --> 01:35.160]  So I got home and took a fat dab of the lemon Versace.
[01:35.320 --> 01:40.000]  It tasted like I described it as a burnt marshmallow with lemon juice on top of
[01:40.000 --> 01:43.680]  it. It was pleasant and I enjoyed it, but it was very unique.
[01:43.840 --> 01:46.240]  So then I grabbed the package and I looked at what it's described as.
[01:46.240 --> 01:51.040]  And it says unique lemon profile, sweet, sour, candied, and burnt.
[01:51.040 --> 01:55.240]  So I definitely picked up on the unique lemon profile and I got the burnt,
[01:55.280 --> 01:58.040]  the sweet, sour, and candied. I didn't really notice much of,
[01:58.360 --> 02:00.960]  but that burnt marshmallow flavor was kind of pleasant.
[02:00.960 --> 02:04.080]  I've never had that in a dab before. So that was nice.
[02:04.320 --> 02:08.760]  The thing about the lemon Versace, it didn't do much for me. Uh, high wise,
[02:08.760 --> 02:12.480]  it didn't get me high. It did not medicate me. It didn't really do a whole lot.
[02:12.760 --> 02:14.680]  I, it tastes amazing. It tastes really good,
[02:15.040 --> 02:18.240]  but it doesn't do much for what I'm trying to do. I'm trying to get high.
[02:18.240 --> 02:22.360]  I'm not just trying to taste it. I also picked up some infinity OG nectar,
[02:22.400 --> 02:26.160]  which is a combination of underdog OG and I 95.
[02:26.600 --> 02:30.080]  This is described as a gas and earth. I popped this open.
[02:30.080 --> 02:34.960]  It took a fat dab of this and it was tremendous earthy gas all over my tongue,
[02:35.000 --> 02:37.080]  all in my face. The high was incredible.
[02:37.440 --> 02:42.080]  The infinity OG nectar was really nice. So what I decided to do,
[02:42.520 --> 02:46.120]  you know me, I took a good size dab of the infinity OG nectar.
[02:46.120 --> 02:49.680]  And then I dunked that right inside of the lemon Versace nectar.
[02:49.880 --> 02:54.560]  And I took a dab of that combo and that is like a lemon gas
[02:54.600 --> 02:57.920]  punch to the face. And it gave me a super nice flavor.
