[00:14.010 --> 00:16.410]  Welcome back, cannabis community.
[00:16.410 --> 00:19.910]  It's time for episode 344 of the Grow From Your Heart podcast,
[00:19.910 --> 00:23.610]  your source for cannabis news, education, and conversation.
[00:23.610 --> 00:24.810]  That's right, if you're a new grower,
[00:24.810 --> 00:26.010]  if you're a professional grower,
[00:26.010 --> 00:28.510]  if you're a new smoker or a dedicated dadder,
[00:28.510 --> 00:29.810]  if you're a cannabis activist
[00:29.810 --> 00:31.110]  or even someone who's just curious
[00:31.110 --> 00:32.910]  about the current state of cannabis,
[00:32.910 --> 00:35.510]  this, my friends, is the podcast for you.
[00:35.510 --> 00:37.510]  I'm your host. My friends call me Rasta Jeff.
[00:37.510 --> 00:39.910]  I want to thank you guys again for joining me.
[00:39.910 --> 00:41.810]  This episode of the podcast is brought to you
[00:41.810 --> 00:44.110]  by our friends at the Hella Dank Seed Company.
[00:44.110 --> 00:46.810]  If you need new regular or feminized seeds for your garden,
[00:46.810 --> 00:49.110]  I highly recommend the Hella Dank Seed Company,
[00:49.110 --> 00:52.810]  and you can find them at dankseed.store.
[00:52.810 --> 00:55.710]  Ladies and gentlemen, boys and girls, smokers and growers,
[00:55.710 --> 00:58.610]  roll up a fat spliff, put some fresh water in the ball,
[00:58.610 --> 01:00.410]  or start heating up that dab nail
[01:00.410 --> 01:02.210]  because it's time for a fresh episode
[01:02.210 --> 01:06.310]  of the Grow From Your Heart podcast.
[01:06.310 --> 01:07.410]  What's up, podcast world?
[01:07.410 --> 01:10.010]  Welcome to episode 344 of the Grow From Your Heart podcast.
[01:10.010 --> 01:11.410]  Thanks again for joining me.
[01:11.410 --> 01:12.610]  You know I like to start the show off
[01:12.610 --> 01:14.910]  by letting you know what I am smoking on today.
[01:14.910 --> 01:18.910]  I'm taking dabs of the Fatso Nectar from Green Dot Labs.
[01:18.910 --> 01:21.410]  We've talked about the Fatso Nectar on the podcast before.
[01:21.410 --> 01:24.710]  It is a combination of GMO and Legend OG.
[01:24.710 --> 01:28.710]  It's described as dark roast coffee, garlic, and fuel.
[01:28.710 --> 01:31.610]  I think it's got maybe a dark beer sort of a flavor.
[01:31.610 --> 01:34.810]  On the inhale, it's definitely got the dark roast coffee.
[01:34.810 --> 01:37.110]  Then it's got the fuel on the exhale.
[01:37.110 --> 01:39.610]  It leaves a little bit of a creamy flavor,
[01:39.610 --> 01:41.310]  kind of a dark beer sort of a thing,
[01:41.310 --> 01:43.410]  and then that garlic breath kicks in.
