[00:00.000 --> 00:01.960]  What's up, cannabis community?
[00:01.960 --> 00:06.640]  My name is Ross DeGeff, and it's time for episode number 35 of the Agro Culture Podcast.
[00:06.640 --> 00:12.840]  In the last episode, I talked about a proposed regulation coming down in Pueblo, Colorado.
[00:12.840 --> 00:16.820]  We talked about going to a city council meeting to prevent these regulations, and city council
[00:16.820 --> 00:20.040]  has changed the date of their next meeting.
[00:20.040 --> 00:23.240]  The city's agenda did say the meeting was on Monday, but recently they've changed the
[00:23.240 --> 00:24.240]  date.
[00:24.240 --> 00:28.000]  The date is now on Tuesday, October 14th at 7 p.m.
[00:28.000 --> 00:35.440]  So come down to One City Hall Place in Pueblo, Colorado, Tuesday, October 14th at 7 p.m.
[00:35.440 --> 00:38.200]  Public comment will be allowed during the public forum for those who sign up before
[00:38.200 --> 00:39.200]  the meeting.
[00:39.200 --> 00:43.520]  So if you plan to speak, show up around 6.30 and sign up.
[00:43.520 --> 00:46.040]  Please come and help fight these regulations.
[00:46.040 --> 00:49.680]  What they're trying to do is not allow us to grow in our homes or in our backyards.
[00:49.680 --> 00:54.680]  They're trying to require us to make an outbuilding to grow in, which I don't find fair.
[00:54.680 --> 00:58.960]  So please join us at a city council meeting Tuesday at 7 p.m.
[00:58.960 --> 01:01.200]  If you want to speak, please show up around 6.30.
[01:01.200 --> 01:02.200]  I'll be there.
[01:02.200 --> 01:03.200]  Mike will be there.
[01:03.200 --> 01:04.200]  Jesse will be there.
[01:04.200 --> 01:05.400]  There should be quite a few of us there.
[01:05.400 --> 01:06.560]  We hope to see you there.
[01:06.560 --> 01:09.200]  All right, let's get on with the podcast.
[01:09.200 --> 01:10.200]  Jesse came over.
[01:10.200 --> 01:13.280]  Actually, I'm waiting for Jesse while I record this, to be honest with you.
[01:13.280 --> 01:17.840]  Jesse will be here any minute now, and we are finally going to do the episode about
[01:17.840 --> 01:20.600]  drying and curing your cannabis.
[01:20.600 --> 01:24.500]  So hang on just a second while I do some ads, and hopefully Jesse will show up by the time
[01:24.500 --> 01:27.180]  I get done with this.
[01:27.180 --> 01:28.380]  Where do we want to start?
[01:28.380 --> 01:32.100]  This episode is brought to you by our good friends at Highly Educated Titanium.
[01:32.100 --> 01:36.300]  If you're dabbing high-quality concentrates, you deserve a high-quality titanium nail.
[01:36.300 --> 01:39.500]  Don't trust a Chinese nail or an American knockoff made of cheap metals.
[01:39.500 --> 01:41.060]  Trust the industry leader.
[01:41.060 --> 01:42.900]  Trust Highly Educated Titanium.
