[00:01.660 --> 00:03.660]  Anyway!
[00:03.660 --> 00:07.660]  Free! Free! Free! Free!
[00:07.660 --> 00:08.660]  I smoke.
[00:08.660 --> 00:11.660]  Free! Free! Free! Free!
[00:11.660 --> 00:12.660]  I smoke.
[00:12.660 --> 00:14.660]  When you see me now they dance me
[00:14.660 --> 00:16.660]  And MJ up in here in my pocket
[00:16.660 --> 00:18.660]  I'm a rockin' a hundred dollar bag
[00:18.660 --> 00:19.660]  When you see me now they party me
[00:19.660 --> 00:21.660]  And Shady got us started in the max
[00:21.660 --> 00:22.660]  We'll be broad
[00:22.660 --> 00:23.660]  Hundred dollar bag
[00:23.660 --> 00:25.660]  If you see the house where we live
[00:25.660 --> 00:26.660]  Car that we drive
[00:26.660 --> 00:27.660]  Axe of Mel we get it
[00:27.660 --> 00:28.660]  Hundred dollar bag
[00:28.660 --> 00:29.660]  And if a night that we...
[00:29.660 --> 00:31.660]  Yeah, what's up ladies and gentlemen?
[00:31.660 --> 00:34.660]  Welcome to episode number 37 of the iGrow Culture Podcast.
[00:34.660 --> 00:35.660]  It's me again, Rasta Jeff.
[00:35.660 --> 00:36.660]  Thanks for joining me.
[00:36.660 --> 00:39.660]  Joining me on the microphone today is Jesse from iGrow.
[00:39.660 --> 00:40.660]  How you doing, bro?
[00:40.660 --> 00:41.660]  How's it going, guys?
[00:41.660 --> 00:42.660]  Doing pretty good.
[00:42.660 --> 00:43.660]  Dude, thanks for coming.
[00:43.660 --> 00:44.660]  Right on.
[00:44.660 --> 00:47.660]  In this episode, Jesse and I are going to talk a little bit about building your grow space.
[00:47.660 --> 00:51.660]  Honestly, this may end up being a multi-episode discussion
[00:51.660 --> 00:52.660]  because I know we're going to leave stuff out.
[00:52.660 --> 00:53.660]  We're going to forget things.
[00:53.660 --> 00:55.660]  We took quite a few notes.
[00:55.660 --> 00:57.660]  We wrote quite a bit of stuff down.
[00:57.660 --> 00:59.660]  And the more I wrote, the more I feel like we were missing.
[00:59.660 --> 01:02.660]  So we're going to try to keep notes on what we're missing while we go.
[01:02.660 --> 01:04.660]  And we'll keep this conversation going.
[01:04.660 --> 01:08.660]  But before we get to that part, we got to pay some bills.
[01:08.660 --> 01:11.660]  This podcast is brought to you by Cannabis Grand Crew.
[01:11.660 --> 01:16.660]  Cannabis Grand Crew Aspen will take place at the Sky Hotel in downtown Aspen, Colorado
[01:16.660 --> 01:20.660]  Friday, November 14th through Sunday, November 16th, 2014.
[01:20.660 --> 01:22.660]  What is Grand Crew?
[01:22.660 --> 01:23.660]  I'm glad you asked.
[01:24.660 --> 01:29.660]  Grand Crew represents cannabis culture, lifestyle, business, and community in a premier event setting.
[01:29.660 --> 01:34.660]  The event includes lectures, seminars, experiential learning, and entertainment
[01:34.660 --> 01:38.660]  centered around the cannabis business in the U.S. and around the world.
[01:38.660 --> 01:45.660]  Industry professionals and consumers alike are invited to network and enjoy this year's event in beautiful Aspen, Colorado.
[01:45.660 --> 01:49.660]  Make sure you visit the Grand Crew Village, an area exclusive to ticket holders
[01:49.660 --> 01:56.660]  that will host Colorado's best dispensaries, including Wellspring Collective from Denver and Silver Peak Apothecary in Aspen.
[01:56.660 --> 02:02.660]  Located at the Sky Hotel at their legendary pool deck, the village will showcase the latest products
[02:02.660 --> 02:06.660]  from top manufacturers and companies in this very intimate setting.
[02:06.660 --> 02:08.660]  This is a members-only event.
[02:08.660 --> 02:14.660]  Due to the current nature of laws in the state of Colorado, attendance at cannabis events must be by invitation.
[02:14.660 --> 02:21.660]  In order to protect the event and our guests, please complete the information request at the bottom of their website for your free membership.
[02:21.660 --> 02:25.660]  Members will be sent information directly on how to purchase tickets.
[02:25.660 --> 02:28.660]  Located in majestic Aspen and nestled in the Rocky Mountains,
[02:28.660 --> 02:35.660]  the event will take advantage of the amazing community and provide networking and fun for folks in the legal cannabis industry.
[02:35.660 --> 02:37.660]  New speakers are being announced every day.
[02:37.660 --> 02:41.660]  Confirmed speakers include Mason T. Vert, John Hunt, and Meg Collins.
[02:41.660 --> 02:44.660]  Check out CannabisGrandCrew.com for details.
[02:44.660 --> 02:47.660]  I want to give a big huge shout out to the Grimy Gatsby.
[02:47.660 --> 02:51.660]  Make sure you say hi to the Grimy Gatsby while you're at Cannabis Grand Crew.
[02:51.660 --> 02:55.660]  I'm not sure if I'm going to that. I might be there. I might not.
