[00:00.000 --> 00:05.000]  Welcome to the show everybody! It's time for episode 373 of the Grow From Your Heart podcast.
[00:05.000 --> 00:08.000]  This episode is brought to you by the Hella Dank Seed Company.
[00:08.000 --> 00:13.000]  If you need new seeds for your garden, I highly recommend the Hella Dank Seed Company
[00:13.000 --> 00:19.000]  and you can find them at www.dankseed.store.
[00:19.000 --> 00:23.000]  I like to start the podcast off by letting you know what I am smoking.
[00:23.000 --> 00:28.000]  I'm kind of spoiling myself today. I've got a jar of pre-98 Bubba Kush batter
[00:28.000 --> 00:33.000]  that just smells amazing. The aromas coming out of this jar are earthy.
[00:33.000 --> 00:38.000]  There is a hint of feet and a hint of fuel.
[00:38.000 --> 00:43.000]  And it definitely just smells exactly what you would expect pre-98 Bubba Kush to smell like.
[00:43.000 --> 00:48.000]  This is a beautiful run of pre-98 Bubba Kush. So I've got the batter of pre-98 Bubba Kush.
[00:48.000 --> 00:54.000]  Then I took some of the internally flawless diamonds and I put a couple of chunks of the IFS diamonds
[00:54.000 --> 00:59.000]  right into the batter. So I've got a pretty chunky size dab of the batter with a couple of nice chunks
[00:59.000 --> 01:04.000]  of the IFS diamonds in there. Then I took that and I rubbed it around in some of these
[01:04.000 --> 01:09.000]  Stardog Fambrosia turps. When you buy a Fambrosia jar, it's a 4 gram jar of the Ambrosia.
[01:09.000 --> 01:14.000]  They give you a really nice portion of the crystals,
[01:14.000 --> 01:19.000]  the HCFSE, the high cannabinoid full spectrum extract crystals.
[01:19.000 --> 01:24.000]  You also get a bunch of the HT, the high terpene full spectrum extract sauce at the bottom of it.
[01:24.000 --> 01:29.000]  I feel like I quite often have a lot of that terp sauce left over.
[01:29.000 --> 01:34.000]  So I took the battery dab that has the crystals in it and I just used it as a mop to kind of sweep up
[01:34.000 --> 01:39.000]  some of those leftover Stardog turps. So that gives me this pre-98 Bubba Kush
[01:39.000 --> 01:44.000]  battery base with a big internally flawless diamond sprinkled on top of that.
[01:44.000 --> 01:49.000]  The internally flawless series diamonds, by the way, are, let's see what the label says here.
[01:49.000 --> 01:54.000]  This says 82.5% THC and a total of 94% total cannabinoids.
[01:54.000 --> 01:59.000]  These look like little, kind of look like ice cubes or diamonds in the container.
[01:59.000 --> 02:04.000]  They are internally flawless diamonds and they are beautiful. They don't have much flavor,
