[00:00.320 --> 00:05.320]  Welcome to the show podcast world. It's time for episode 382 of the Grow From Your Heart podcast.
[00:05.320 --> 00:10.320]  Once again, Mike is back. Happy New Year, bro. Happy New Year, buddy. Thanks for coming and hanging out with me.
[00:10.320 --> 00:15.320]  Yeah, man. Back due to popular demand. The people have spoken. They want more white Mike on the show.
[00:15.320 --> 00:19.320]  They have spoken. We will have more of thou white Mike.
[00:19.320 --> 00:24.320]  As always, this podcast is brought to you by our good friends at the Hella Dank Seed Company. That's right.
[00:24.320 --> 00:29.320]  It's the new year. It's time to add some fresh genetics to your garden. Get rid of that old stale shit.
[00:29.320 --> 00:35.320]  Grow some new shit. You can get that at the Hella Dank Seed Company at www.dankseed.store.
[00:35.320 --> 00:40.320]  We know it's tradition that we start the show by talking about what we're dabbing on. Mike is still coughing from it.
[00:40.320 --> 00:46.320]  I have to keep hesitating between sentences. Extra terpene, I think that's just plain guaranteed tar scraper.
[00:46.320 --> 00:50.320]  Yeah, I've got a little a little tickle in the lung there from that last dab we took.
[00:50.320 --> 00:57.320]  Not to brag, not to talk about how good our dabs are, but we took a little a apothecary farms internally flawless series diamond,
[00:57.320 --> 01:05.320]  broke a few little pieces off of that there, heated up the banger, dropped a diamond into there and then dropped a fat glob of lemon.
[01:05.320 --> 01:10.320]  Jeffrey full terpene, high terpene, full spectrum extract.
[01:10.320 --> 01:16.320]  Damn, I forgot the words now. Basically, lemon Jeffrey turps right on top of that dab, then capped it up.
[01:16.320 --> 01:19.320]  Mike took a little tiny micro dab. It took a pretty big fat dab of it.
[01:19.320 --> 01:24.320]  We both sat here and coughed and changed colors, played a fun game with Mike right as he blew out the dab.
[01:24.320 --> 01:29.320]  I said real quick, name this new cross I made and he tried to spit out straight names and it was funny to watch him scramble.
[01:29.320 --> 01:33.320]  Making words was hard enough than trying to put them together to make a straight name was pretty funny to watch.
[01:33.320 --> 01:37.320]  So words were hard. Good words were not possible.
[01:37.320 --> 01:43.320]  So we're smoking on. I was the internally flawless diamonds with the lemon Jeffrey turps on top of that.
[01:43.320 --> 01:48.320]  Before that, we may have had a few other random dabs. We may have hit the star dog.
[01:48.320 --> 01:53.320]  We probably hit the gorilla glue. Oh, wait, wait. The G4, you can't say gorilla glue anymore.
