[00:03.900 --> 00:31.360]  Welcome back, Podcast World.
[00:31.360 --> 00:35.280]  It's time for episode 402 of the Grow From Your Heart Podcast.
[00:35.280 --> 00:38.840]  This episode of the show is brought to you by the Hella Dank Seed Company.
[00:38.840 --> 00:43.160]  If you need new seeds for your garden, I highly recommend the Hella Dank Seed Company, and
[00:43.160 --> 00:49.080]  you can find them at www.dankseed.store.
[00:49.080 --> 00:53.360]  It has become a tradition that we start the podcast off by talking about what I'm smoking.
[00:53.360 --> 00:58.100]  Today I've been taking dabs of vanilla cookies batter from our friends at Apothecary Farms.
[00:58.100 --> 01:05.440]  The label says this concentrate has 79% THC and 94.4% total cannabinoids.
[01:05.440 --> 01:10.340]  This concentrate tastes delicious, and to tell you the truth, I am nicely medicated
[01:10.340 --> 01:11.340]  from this concentrate.
[01:11.340 --> 01:13.600]  It has got a nice, really heavy buzz.
[01:13.600 --> 01:14.820]  It's got me nice and mellow.
[01:14.820 --> 01:16.180]  I am just chilling out.
[01:16.180 --> 01:18.820]  I really like this concentrate.
[01:18.820 --> 01:22.000]  This episode is going to be another compilation of grow lessons.
[01:22.000 --> 01:31.120]  This is going to be a repost of episodes 359, 360, 362, 363, 64, and 365.
[01:31.120 --> 01:35.160]  Ladies and gentlemen, with no further ado, let's jump right back in to a long group of
[01:35.160 --> 01:36.160]  grow lessons.
[01:36.160 --> 01:39.970]  Ocean.
[01:39.970 --> 01:43.210]  Welcome to the show, Podcast World.
[01:43.210 --> 01:47.170]  It's time for episode 359 of the Grow From Your Heart Podcast.
[01:47.170 --> 01:50.650]  This episode of the show is brought to you by the Hella Dank Seed Company.
[01:50.650 --> 01:55.130]  If you need new seeds for your garden, I highly recommend the Hella Dank Seed Company,
[01:55.130 --> 01:59.730]  and you can find them at dankseed.store.
[01:59.730 --> 02:02.650]  I like to start the podcast off by letting you know what I'm smoking.
[02:02.650 --> 02:07.890]  Today, I'm taking dabs of Bubble Jack Full Spectrum Extract from Fuego Extracts.
[02:07.890 --> 02:11.690]  I really love the flavor and aroma of this concentrate.
[02:11.690 --> 02:16.570]  It smells like Jack Harrer and bubble gum, and when you dab it, it leaves a sweet, soft
[02:16.570 --> 02:21.170]  bubble gum flavor on your mouth that just lingers for a long time, and the high goes
[02:21.170 --> 02:22.370]  straight to the head.
[02:22.370 --> 02:24.590]  I really like this concentrate.
[02:24.590 --> 02:26.730]  One thing I am going to complain about is the packaging.
[02:26.730 --> 02:28.810]  These little plastic jars get stuck.
[02:28.810 --> 02:31.530]  The Fuego jars get stuck every time I buy them.
[02:31.530 --> 02:33.330]  It is a pain in the ass.
[02:33.330 --> 02:38.450]  Then they're putting the jar inside of a black bag with a drawstring, kind of like a little
[02:38.450 --> 02:40.370]  tiny Crown Royal bag.
[02:40.370 --> 02:44.330]  The jar has stickers on it to indicate the brand and the strain.
[02:44.330 --> 02:48.810]  The little black bag has a bunch of fibers that come off of it, so now I've got a jar
[02:48.810 --> 02:52.370]  that looks like it's got long black hairs hanging off of it.
[02:52.370 --> 02:53.810]  I don't like that at all.
[02:53.810 --> 02:54.810]  It's unappealing.
[02:54.810 --> 02:55.850]  There's no need for that bag.
[02:55.850 --> 02:57.670]  It's a waste of material.
[02:57.670 --> 03:01.730]  It's another step in the packaging process, and it is completely useless.
[03:01.730 --> 03:06.050]  Then after they've put the jar in that bag, they place that bag inside of another box,
[03:06.050 --> 03:10.530]  which slides into another box, which is all beautifully decorated and well-labeled.
[03:10.530 --> 03:11.610]  It is a lot of packaging.
[03:11.610 --> 03:15.770]  I'm sure most of that packaging is because of the Colorado compliance laws, but I would
[03:15.770 --> 03:18.250]  like to see less packaging from the Concentrate companies.
[03:18.250 --> 03:20.410]  I feel like I throw away a lot of packaging.
[03:20.410 --> 03:22.970]  All right, you guys, so let me be completely clear.
[03:22.970 --> 03:24.450]  The Concentrate is amazing.
[03:24.450 --> 03:26.850]  The Bubble Jack full spectrum extract tastes great.
[03:26.850 --> 03:27.850]  The high is perfect.
[03:27.850 --> 03:32.050]  My only complaint is with the packaging, and that is not just Fuego.
[03:32.050 --> 03:35.370]  I just happen to be using Fuego products today when I'm talking about this.
[03:35.370 --> 03:39.290]  A lot of the companies are using too much packaging, and I understand.
[03:39.290 --> 03:40.290]  It's Colorado law.
[03:40.290 --> 03:41.290]  We've got to be compliant.
[03:41.970 --> 03:42.970]  I get it.
[03:42.970 --> 03:45.850]  I just wish there was a way we could do this more efficiently and more environmentally
[03:45.850 --> 03:46.850]  friendly.
[03:46.850 --> 03:48.730]  All right, you guys, let's move forward with the show.
[03:48.730 --> 03:51.290]  This is going to be another grow lesson.
[03:51.290 --> 03:55.330]  This is going to be the seventh lesson in a long series of grow lessons.
[03:55.330 --> 04:00.090]  In this episode, I want to talk about planning your integrated pest management.
[04:00.090 --> 04:02.210]  Everybody likes to think they will not get bugs.
[04:02.210 --> 04:04.970]  Everybody likes to say, that's not going to happen to me, but guess what?
[04:04.970 --> 04:05.970]  It will.
[04:05.970 --> 04:10.810]  The only way you can prevent it is by starting an integrated pest management system while
[04:11.330 --> 04:14.610]  you're planning your grow, while you're setting up your grow, and having it in place before
[04:14.610 --> 04:18.770]  you ever introduce plants into your grow environment.
[04:18.770 --> 04:21.330]  Let's talk a little bit about integrated pest management.
[04:21.330 --> 04:24.550]  What is the goal of our integrated pest management system?
[04:24.550 --> 04:29.170]  The ultimate goal is to keep our garden free of pests and bugs.
[04:29.170 --> 04:34.130]  A good spot to start would be knowing how to identify the bugs we are looking for and
[04:34.130 --> 04:36.170]  the damage that they will leave.
[04:36.170 --> 04:39.750]  What insects are we going to find in our cannabis garden?
[04:39.750 --> 04:44.230]  The most common problem we are going to find is spider mites.
[04:44.230 --> 04:46.210]  Spider mites are very small.
[04:46.210 --> 04:50.670]  You are very unlikely to see a spider mite unless you flip over a leaf and look at it
[04:50.670 --> 04:52.330]  and do some investigating.
[04:52.330 --> 04:55.230]  What you will see is spider mite damage.
[04:55.230 --> 04:58.810]  If you've got a leaf that looks like somebody has just been taking a needle and poking little
[04:58.810 --> 05:02.610]  dots in that leaf, or something's been sticking its fangs in there and sucking the juice out
[05:02.610 --> 05:06.050]  of those little spots, that is spider mite damage.
[05:06.050 --> 05:09.350]  Learn how to identify spider mite damage.
[05:09.350 --> 05:13.630]  If you see damage on a leaf, pull that leaf off, flip it upside down and look at the underside
[05:13.630 --> 05:14.630]  of the leaf.
[05:14.630 --> 05:18.750]  Along the main vein of that leaf, tucked right up against that vein, you will see spider
[05:18.750 --> 05:20.670]  mites and spider mite eggs.
[05:20.670 --> 05:23.470]  Those little dots you see, those are spider mite eggs.
[05:23.470 --> 05:26.610]  Those little itty bitty dots that are moving, those are the spider mites.
[05:26.610 --> 05:27.710]  They are there.
[05:27.710 --> 05:29.470]  It is time to treat for them.
[05:29.470 --> 05:33.190]  Depending on what cycle of growth you are in, treating for spider mites can be very
[05:33.190 --> 05:34.190]  easy.
[05:34.190 --> 05:37.170]  It can also be kind of a pain in the ass later and flower.
[05:37.170 --> 05:41.910]  If you learn how to identify spider mite damage and learn how to identify spider mites, finding
[05:41.910 --> 05:47.030]  the problem early and correcting it should not be a problem before it gets out of hand.
[05:47.030 --> 05:51.450]  Another pest that is very common in the garden and very easy to identify because of its damage
[05:51.450 --> 05:53.190]  is a thrip.
[05:53.190 --> 05:57.310]  A lot like a spider mite, the thrips like to suck the juice out of our plants.
[05:57.310 --> 06:01.710]  After they do this, they leave a little trail of gooey stuff called honeydew on the leaves.
[06:01.710 --> 06:06.630]  If you see a little trail of silvery, shiny, shimmery stuff left on your lower leaves,
[06:06.630 --> 06:08.770]  you probably have thrips.
[06:08.770 --> 06:13.210]  If we become familiar with what thrip damage looks like, we can identify the problem sooner
[06:13.210 --> 06:16.730]  and that makes it really easy to eradicate our problems.
[06:16.730 --> 06:21.610]  My point is, knowing what to look for will be seriously advantageous when it comes to
[06:21.610 --> 06:24.490]  treating for a pest problem.
[06:24.490 --> 06:27.850]  Another common pest you're going to run into is the whitefly.
[06:27.850 --> 06:28.850]  What does a whitefly look like?
[06:28.850 --> 06:32.650]  It looks like a little piece of ash just flying around, just a little whitefly.
[06:32.650 --> 06:33.850]  It'll start off with two of them.
[06:33.990 --> 06:35.750]  Then the next day, you'll see 200 of them.
[06:35.750 --> 06:38.590]  Then the next day, you'll see 2,000 of them.
[06:38.590 --> 06:43.870]  Whiteflies multiply rapidly, but once you see them, they are easy to get rid of if you
[06:43.870 --> 06:46.550]  understand how to combat them.
[06:46.550 --> 06:51.630]  The very first step of an integrated pest management system is learning to identify
[06:51.630 --> 06:55.390]  the damage caused by common garden pests.
[06:55.390 --> 06:59.390]  Once we know how to identify the problems, then we can identify the pest, then we can
[06:59.390 --> 07:03.230]  decide on the course of action to treat that problem.
[07:03.610 --> 07:07.770]  Also, it is very important to treat for the correct pest.
[07:07.770 --> 07:13.010]  Some pesticides will work on a broad spectrum of pests, but if you're using specific pesticides
[07:13.010 --> 07:19.110]  or if you're using specific predatory pests, you do need to use the correct method of attack.
[07:19.110 --> 07:23.950]  In today's market, we can't afford to spend money on a product that does not specifically
[07:23.950 --> 07:29.930]  attack our problem, and also, we can't spend time applying a product or releasing predators
[07:29.930 --> 07:33.970]  that are not going to get in there and eradicate our problems.
[07:33.970 --> 07:40.290]  Learn how to identify the signs, then identify the actual pest, then we can dial in and attack
[07:40.290 --> 07:42.330]  to eradicate our problem.
[07:42.330 --> 07:46.770]  Let's talk about a few ways we can prepare our grow and prevent pests from entering our
[07:46.770 --> 07:48.650]  new garden.
[07:48.650 --> 07:52.690]  Cleanliness is a huge factor when it comes to keeping bugs out of our garden.
[07:52.690 --> 07:55.890]  Everything that goes in that garden is taken in there by you.
[07:55.890 --> 07:57.170]  You travel in and out of there.
[07:57.170 --> 07:58.170]  You take things in and out.
[07:58.290 --> 08:03.290]  It is your responsibility to control what goes in and out of that grow.
[08:03.290 --> 08:08.950]  One way to prevent contaminating your garden is to have dedicated garden clothes.
[08:08.950 --> 08:10.130]  Don't come from a hike.
[08:10.130 --> 08:11.610]  Don't come from the grow store.
[08:11.610 --> 08:12.810]  Don't come from work.
[08:12.810 --> 08:15.450]  Don't go from wherever you are into your grow room.
[08:15.450 --> 08:17.930]  Have specific garden clothes.
[08:17.930 --> 08:19.010]  Change your clothes.
[08:19.010 --> 08:20.170]  Change your shoes.
[08:20.170 --> 08:21.210]  Change your hat.
