[00:03.900 --> 00:31.030]  Welcome back, Podcast World!
[00:31.030 --> 00:36.110]  It's time for Episode 403 of the Grow From Your Heart Podcast.
[00:36.110 --> 00:39.150]  This episode is brought to you by our friends at Oregon Elite Seeds.
[00:39.150 --> 00:43.630]  If you need new seeds in your garden, I highly recommend Oregon Elite Seeds, and you can find
[00:43.630 --> 00:49.070]  them at www.oregoneliteseeds.com.
[00:49.070 --> 00:52.310]  I like to start the podcast off by letting you know what I'm smoking.
[00:52.310 --> 00:57.190]  Today, I've been taking dabs of Pineapple Fanta Live Batter from Green Dot Labs.
[00:57.190 --> 01:01.110]  This is a combination of golden pineapple and Jet Fuel Gelato.
[01:01.110 --> 01:05.510]  On the label, it is described as tasting like citrus cleaner, haze, and fruit chews.
[01:05.510 --> 01:10.030]  I would agree with that, but I would also say it tastes just like a pineapple Fanta.
[01:10.030 --> 01:14.950]  It's got that sweet pineapple citrus flavor, and it even has a fizzy flavor to it.
[01:14.950 --> 01:17.950]  It may sound crazy, but when you dab it, you will agree with me.
[01:17.950 --> 01:23.870]  So, big shout out to our friends at Green Dot Labs for the delicious Pineapple Fanta.
[01:23.870 --> 01:27.910]  Ladies and gentlemen, this episode is going to be another compilation of reposted grow
[01:27.910 --> 01:29.070]  lessons.
[01:29.070 --> 01:39.870]  In this episode, I'm going to repost episodes 368, 369, 370, 372, 374, and 376.
[01:39.870 --> 01:44.670]  Ladies and gentlemen, with no further ado, let's jump right in to episode 403 of the
[01:44.670 --> 01:53.660]  Grow From Your Heart Podcast.
[01:53.660 --> 01:54.820]  Welcome to the show, everybody.
[01:54.820 --> 01:58.620]  It's time for episode 368 of the Grow From Your Heart Podcast.
[01:58.620 --> 02:01.740]  This episode is brought to you by the Hella Dank Seed Company.
[02:01.740 --> 02:06.220]  If you need fresh genetics for your garden, I highly recommend the Hella Dank Seed Company,
[02:06.220 --> 02:11.940]  and you can find them at www.dankseed.store.
[02:11.940 --> 02:15.260]  I like to start the podcast off by letting you know what I am smoking on.
[02:15.260 --> 02:20.260]  Today, I've been taking dabs of Screamin' Watermelon from our friends at Viola Extracts.
[02:20.260 --> 02:21.900]  This stuff has a really nice flavor.
[02:21.900 --> 02:25.340]  If you dab it too hot, you totally kill that sweet watermelon flavor.
[02:25.340 --> 02:29.900]  If you go in nice and cool, it has a sweet watermelon Jolly Rancher sort of flavor, and
[02:29.900 --> 02:31.220]  I really like it.
[02:31.220 --> 02:42.620]  The label here says it is 94.5% THC-A and 0% CBD or CBG for a total of 82.88% THC.
[02:42.620 --> 02:45.820]  That's a pretty impressive lab test for something with so much flavor.
[02:45.820 --> 02:49.780]  Big shout out to the Screamin' Watermelon from Viola Extracts, and also big shout out
[02:49.780 --> 02:54.100]  to my friends at the Colorado Cannabis Exchange for taking good care of me.
[02:54.100 --> 02:57.980]  All right, before I take us into the grow lesson, I want to give you guys an update
[02:57.980 --> 02:59.100]  on my web store.
[02:59.100 --> 03:01.740]  I have added some new merchandise to my website.
