[00:03.840 --> 00:31.220]  Welcome back, podcast world!
[00:31.220 --> 00:35.680]  It's time for episode 405 of the Grow From Your Heart podcast.
[00:35.680 --> 00:38.620]  This episode is brought to you by our friends at Oregon Elite Seeds.
[00:38.620 --> 00:43.040]  If you need new seeds in your garden, I highly recommend Oregon Elite Seeds, and you can find
[00:43.040 --> 00:48.400]  them at www.oregoneliteseeds.com.
[00:48.400 --> 00:52.480]  It's become a tradition that we start the podcast off by talking about what I'm dabbing.
[00:52.480 --> 00:56.640]  Today I'm taking dabs of Stardog Ambrosia from Apothecary Farms.
[00:56.640 --> 01:03.440]  The label says this is 66.3% THC with 77.8% total cannabinoids.
[01:03.440 --> 01:06.680]  If you listen to the show a lot, you know I am a big fan of the Stardog.
[01:06.680 --> 01:11.720]  I'm also a big fan of the Ambrosia, so this is a wonderful concentrate.
[01:11.720 --> 01:14.920]  Ladies and gentlemen, if you've been following along, you know that I have been reposting
[01:14.920 --> 01:17.320]  compilations of Grow Lessons.
[01:17.320 --> 01:22.080]  This will be the final compilation of reposted Grow Lessons in this episode.
[01:22.080 --> 01:29.920]  We're going to revisit episodes 389, 391, 393, 394, and 395.
[01:29.920 --> 01:34.240]  I want to thank everybody again for listening to these compiled Grow Lessons.
[01:34.240 --> 01:42.090]  Ladies and gentlemen, with no further ado, let's jump right in to these old Grow Lessons.
[01:42.090 --> 01:43.450]  Welcome to the show, cannabis community.
[01:43.450 --> 01:47.530]  It is time for episode 389 of the Grow From Your Heart podcast.
[01:47.530 --> 01:51.490]  If you've been following along, you know I've been doing a long series of Grow Lessons.
[01:51.490 --> 01:55.850]  Also, you may know that I've been out of town and I've been reposting old episodes that
[01:55.850 --> 01:58.970]  fall right in line with those Grow Lessons.
[01:58.970 --> 02:02.930]  This episode is going to be a repost, but it is a good lesson on harvesting our ripe
[02:02.930 --> 02:04.370]  cannabis plants.
[02:04.370 --> 02:08.570]  I cut out a long intro and I cut out all of the advertising, so let's jump right in to
[02:08.570 --> 02:11.610]  a lesson on harvesting our ripe cannabis plants.
[02:11.610 --> 02:16.330]  All right, guys, let's do a podcast all about harvesting your cannabis.
[02:16.330 --> 02:20.690]  We've done an episode about determining when your plants are ripe.
[02:20.690 --> 02:23.730]  We've done an episode about flushing your plants before harvest.
[02:23.730 --> 02:27.290]  Now it is harvest time in the garden.
[02:27.290 --> 02:31.630]  There are a couple of things we need to think about before we go in and cut down the plants.
[02:31.630 --> 02:35.850]  First of all, I should mention, if this is your first time cutting down cannabis plants,
[02:35.850 --> 02:39.050]  you thought they smelled strongly when they were growing.
[02:39.050 --> 02:42.330]  As soon as you cut those fuckers down, it's going to double in smell.
[02:42.330 --> 02:44.450]  I know that sounds like I may be making it up.
[02:44.450 --> 02:45.890]  It sounds like I'm joking.
[02:45.890 --> 02:48.470]  No, it is going to stink.
[02:48.470 --> 02:50.810]  It's going to be ridiculous.
[02:50.810 --> 02:56.490]  If I grow one plant in a small house, we'll say in the attic or the basement, and then
[02:56.490 --> 03:00.810]  I chop that plant down and hang it up in that attic or basement.
[03:00.810 --> 03:04.970]  The stink of that plant, so normally you can smell it to the living room, right?
[03:04.970 --> 03:06.530]  To the living room of the house.
[03:06.530 --> 03:09.970]  As soon as you harvest, you can smell that shit to the driveway.
[03:09.970 --> 03:11.410]  I don't know the science behind that.
[03:11.410 --> 03:13.250]  I don't know if it's paranoia.
[03:13.250 --> 03:15.810]  I don't know if it's because we're moving in and out of the grow room more.
[03:15.810 --> 03:20.210]  I don't know exactly what it is, but as soon as you cut down that crop, it's going to stink
[03:20.210 --> 03:21.610]  more than you were expecting.
[03:21.610 --> 03:23.330]  Try to be prepared for that.
[03:23.330 --> 03:27.770]  Some things you can do to be prepared are maybe getting some Ona gels.
[03:27.770 --> 03:33.450]  If you know what Ona gels are, Ona gels are jars filled with this gelatinous substance
