[00:00.000 --> 00:01.000]  Hey, everybody.
[00:01.000 --> 00:04.460]  Welcome to the Thursday episode of the Grow From Your Heart podcast.
[00:04.460 --> 00:06.060]  This is episode 428.
[00:06.060 --> 00:07.320]  Thank you for joining me.
[00:07.320 --> 00:10.900]  This episode of the show is brought to you by our friends at Oregon Elite Seeds.
[00:10.900 --> 00:15.220]  If you need new seeds in your garden, I highly recommend Oregon Elite Seeds, and you can
[00:15.220 --> 00:21.940]  find them at www.oregoneliteseeds.com.
[00:21.940 --> 00:26.220]  It has become a tradition that we start this podcast off by talking about what I'm smoking.
[00:26.220 --> 00:31.500]  Today, I've been taking dabs of Malibu Pure Kush Full Spectrum Extract from our friends
[00:31.500 --> 00:32.980]  at Apothecary Farms.
[00:32.980 --> 00:40.900]  The potency label says this product contains 85% THC and 98% total cannabinoids.
[00:40.900 --> 00:43.340]  This concentrate has me super stoned.
[00:43.340 --> 00:46.740]  Most of the time I buy a product that makes me kind of high, more of an uppy, kind of
[00:46.740 --> 00:48.960]  a brain mixing kind of a thing.
[00:48.960 --> 00:51.820]  This concentrate has got me on slow motion.
[00:51.820 --> 00:52.820]  I am chilled out.
[00:52.820 --> 00:54.060]  I'm sitting back in the chair.
[00:54.060 --> 00:56.100]  I feel like I'm talking super slow.
[00:56.180 --> 01:00.300]  I feel like if I tried to play music, my quarter notes would be super wide right now.
[01:00.300 --> 01:04.340]  Ladies and gentlemen, boys and girls, I do have a great podcast lined up for you.
[01:04.340 --> 01:09.180]  Before we get there, I would like to give a shout out to a few of my friends from Patreon.
[01:09.180 --> 01:12.220]  Let's start it off with a giant Grow From Your Heart podcast.
[01:12.220 --> 01:13.420]  Shout out to my friend Tommy.
[01:13.420 --> 01:16.180]  How about a big shout out to our friend Isaac Green?
[01:16.180 --> 01:18.380]  I want to send some love to our buddy Brett G.
[01:18.380 --> 01:21.400]  I owe a big shout out to our friend Matthew KW.
[01:21.400 --> 01:26.020]  Of course, as always, a big old Grow From Your Heart shout out to our buddy Dick Goals.
[01:26.060 --> 01:30.980]  And of course, a big Grow From Your Heart fist bump to our friend Remy Redeye.
[01:30.980 --> 01:33.860]  I want to thank everybody for all of the Patreon support.
[01:33.860 --> 01:38.860]  If you would like to learn how to become a patron, you can do so by going to patreon.com
[01:38.860 --> 01:40.580]  slash growfromyourheart.
[01:40.580 --> 01:44.300]  All the information you need to support the show will be right there on the screen.
[01:44.300 --> 01:48.060]  And again, big thank you to everybody who has supported the show in the past, in the
[01:48.060 --> 01:49.780]  present, and in the future.
[01:49.780 --> 01:53.300]  All right, I've got a lot of fun stuff to talk about in this episode.
[01:53.300 --> 01:55.420]  Let's start with my favorite part.
[01:55.820 --> 01:59.460]  If you have been listening to this podcast for a while, you know that I am a huge fan
[01:59.460 --> 02:00.460]  of comedy.
[02:00.460 --> 02:01.460]  I love standup comedy.
[02:01.460 --> 02:03.860]  I love going to see live comedy shows.
[02:03.860 --> 02:09.460]  I have built friendships with several well-known, people may call them famous comedians.
[02:09.460 --> 02:15.020]  I've also established and developed a relationship with my favorite club, Comedy Works in Denver.
[02:15.020 --> 02:19.660]  They are one of the top three, probably the top two comedy clubs on the planet, in my
[02:19.660 --> 02:23.340]  opinion, only rivaled by the Comedy Store in LA.
[02:23.340 --> 02:27.900]  And that is just because all of the famous comedians live in Hollywood and or the LA
[02:27.900 --> 02:28.900]  area.
[02:28.900 --> 02:29.900]  So they are more available.
[02:29.900 --> 02:33.540]  However, Comedy Works is my favorite comedy club on the planet.
[02:33.540 --> 02:35.420]  I love going to see live comedy.
[02:35.420 --> 02:37.180]  I love hanging out at Comedy Works.
[02:37.180 --> 02:38.860]  They treat me like a rock star.
[02:38.860 --> 02:39.860]  That is a great club.
[02:39.860 --> 02:41.300]  It is designed beautifully for comedy.
[02:41.300 --> 02:43.740]  I like a small room for a comedy show.
[02:43.740 --> 02:46.820]  There's a thing that happens when you see comedy in a large venue.
[02:46.820 --> 02:48.860]  The comedian will tell his joke, he'll say his punchline.
[02:48.860 --> 02:51.540]  So he'd be like, and that's when I punched him in the dick.
[02:51.540 --> 02:56.100]  And so the crowd will laugh and the laughter will go from the front to the back, all the
[02:56.100 --> 02:58.680]  way to the back, up to the balcony.
