[00:14.590 --> 00:18.410]  Like reggae till they bantz down a couple times. I swear it's fucking
[00:19.690 --> 00:21.690]  fucking disco music at first
[00:22.150 --> 00:29.590]  What's up, ladies and gentlemen? It's time for episode number 44 of the I grow culture podcast. That's right number
[00:29.590 --> 00:36.270]  Whoa, oh man, it's a super special episode on the mic over there. My left is a super
[00:38.550 --> 00:41.790]  That's my super high buddy Adam, how you doing bro, I'm good man
[00:42.070 --> 00:47.890]  Adam on the show because for some reason we're not gonna get too far into why but for some reason we call Adam 44
[00:48.090 --> 00:54.150]  It's a special number. It's a special number sitting across the table from me is our good buddy. Jesse. How you doing, bro? Pretty good
[00:55.110 --> 00:59.110]  Coming. Oh, dude. I'm doing great. I don't know if you're talking to me or the podcast world. Sure. Yeah
[00:59.110 --> 01:03.630]  Yeah, I'll answer for anyone's ever asked you how's it going on your show? I'm fucking high
[01:03.630 --> 01:08.310]  I'm drinking yerba mate, and I got two of my best friends at the table. So I'm doing great
[01:08.310 --> 01:10.550]  There's nothing to complain about I'm super happy right now
[01:11.270 --> 01:13.790]  Speaking of mate, I'm gonna reach over and take a sip. What do you guys say?
[01:14.110 --> 01:17.950]  Entertaining and I'm right there with you man. Like it's it's been a good deal
[01:19.070 --> 01:21.930]  That wasn't very entertaining. Yeah, I know. It's been a good week
[01:22.590 --> 01:28.150]  At least you give the mic to Adam. Yeah, I just stumble over shit and sit here and talk to myself words were coming out
[01:28.150 --> 01:32.030]  That's better than silence. Yeah, that air is what you don't want but it eats
[01:33.390 --> 01:37.950]  All right, I was gonna take it Jeff Adams gonna stop talking now. I'm gonna do a podcast
[01:38.470 --> 01:42.650]  The mic I'm gonna turn Adams mic up and turn down the music a little bit
[01:43.470 --> 01:44.430]  so
[01:44.430 --> 01:46.950]  Let's I'm gonna tease a little bit coming up in this episode
[01:46.950 --> 01:52.670]  We're gonna read a little bit about some Seth Rogen stuff Seth Rogen came to Denver recently his idea backfired
[01:52.670 --> 01:56.630]  We'll talk a little bit about that. I've got an article from President Obama. It's not from him
[01:56.630 --> 02:01.950]  It's about him and there might have been another news article. I don't remember what I wrote down. Where is it? It's right here
[02:01.950 --> 02:06.630]  Oh the natives we'll talk about some stuff that may happen on Indian reservations pretty soon here
[02:06.630 --> 02:13.790]  I've been waiting for that announcement. Yeah, I grew up and I have a reservation and I have a special announcement coming up also
[02:14.590 --> 02:20.830]  Yes, I do some official shit here. Let's quickly do some advertising guys. I know that the advertising gets old
[02:20.830 --> 02:23.590]  I don't like you to do this, but there's that 30-second forward on the
[02:24.270 --> 02:28.110]  iTunes just hit that if you get tired of it and I'm stitcher has it too. Yeah, just go
[02:29.510 --> 02:33.310]  Sometimes there's coupon codes in there and we'd like to help the people out speaking of coupon codes
[02:33.310 --> 02:38.230]  This podcast is brought to you by nature's green remedies calm dude visit nature's green remedies calm
[02:38.230 --> 02:44.150]  They've got the best breeders and the best seeds if you want your garden to be top-notch you need top-notch genetics
[02:44.910 --> 02:46.870]  That's not even a sales pitch. That's the truth
[02:46.870 --> 02:49.430]  You can't grow the dank if you don't have seeds that are dank
[02:49.810 --> 02:56.530]  Get yourself some gauge green genetics will plot a lab sin City rare dankness mile-high can't a venture Cali connection
[02:57.050 --> 03:03.190]  MTG or I read genetics will be back in stock. Hopefully within the month those plants are getting cut down here
[03:03.190 --> 03:06.710]  Uh, I don't know if I get bored tonight. We can whack them. I'm down
[03:06.830 --> 03:11.210]  Yeah, there will be some seeds available from irie genetics on a Christmas green remedies very soon
[03:11.210 --> 03:15.730]  Yeah, Christmas time if you are a podcast listener and you're going to nature's green remedies calm
[03:15.730 --> 03:22.470]  Make sure you use coupon code frosty for 15% off any brand and you always get free shipping at nature's green
[03:22.550 --> 03:26.130]  Remedies calm that coupon code frosty is good until the new year
[03:26.270 --> 03:32.110]  So get in there and get your seeds before the new year. You can start the new year off with some super dank genetics
[03:32.590 --> 03:37.410]  This show is also brought to you by highly educated titanium if you're smoking high quality concentrates, dude
[03:37.410 --> 03:41.690]  We're smoking some live resin over here from the Garden of Wheaton. Holy shit
[03:41.690 --> 03:46.510]  It is dank. Everyone's kind of looking at me right now and shaking their head like yeah laid back in our chairs
[03:46.670 --> 03:51.030]  Yeah that unicorn shit unicorn shit. It's sparkly glitter hash
[03:51.670 --> 03:55.790]  Because you're smoking super unicorn hash you deserve to smoke it off a high quality nail
[03:56.190 --> 04:01.750]  Don't trust a cheap Chinese nail or some American knockoff made of cheap crappy metals trust the industry leader trust
[04:02.070 --> 04:05.990]  Highly-educated titanium check out highly educated ti.com for more info
[04:05.990 --> 04:10.350]  If you're looking to purchase highly educated products go to aqualab technologies.com
[04:10.950 --> 04:14.550]  Check them out. They got a lot of great stuff. They have everything you need if you're a dabber
[04:15.910 --> 04:19.170]  This podcast is also brought to you by our friends at tree thugger calm
[04:19.350 --> 04:25.910]  Tree thugger calm live music lifestyle magazine check out tree thugger calm for concert and festival news and reviews
[04:26.150 --> 04:32.910]  Tree thugger calm not tree hugger you guys tree thugger. We've stepped it up. We ain't hugging trees. We thuggin trees
[04:32.910 --> 04:33.790]  I
[04:33.790 --> 04:37.070]  Just made that up and a super huge shout out to burn and Jesse
[04:37.070 --> 04:40.470]  This podcast is brought to you by our great friends at high grow indoor growing supplies
[04:40.470 --> 04:43.710]  I grow indoor growing supplies has two locations to serve, Colorado
[04:43.950 --> 04:51.070]  Visit the Denver store on 62 71 Beach Street or check out the Pueblo location at 618 East 4th Street in Pueblo, Colorado
[04:51.710 --> 04:55.590]  Check out high grow for competitive pricing and a great selection of indoor grow supplies
[04:55.590 --> 04:59.070]  I grow is running a special for the podcast listeners when you're checking out
[04:59.190 --> 05:05.070]  Tell them that you listen to the I grow culture podcast and you will get commercial pricing on your entire purchase
[05:05.830 --> 05:09.070]  Anything else to cool offer anything else cool to offer Jesse
[05:10.710 --> 05:12.710]  Man I'm stoned
[05:12.710 --> 05:14.710]  That's
[05:15.830 --> 05:22.510]  Fuck we got nanos and stock we got the RTU systems for him. It's cloud-based
[05:23.630 --> 05:25.630]  controlling no more
[05:27.790 --> 05:31.190]  Power boxes needed timers are all built in
[05:31.990 --> 05:35.950]  All kinds of nice shit. They turn themselves up and down. Yeah
[05:36.670 --> 05:37.950]  So
[05:37.950 --> 05:43.110]  If you want to order it if he doesn't have it. Yeah, so you can grow while you're on vacation essentially
[05:44.110 --> 05:50.430]  Yeah to a point to a point if you get a hydro grow it uh does some data logging to for your temperatures
[05:50.430 --> 05:51.950]  So Wow
[05:51.950 --> 05:54.230]  So you don't have to pay attention all day you can come back
[05:55.550 --> 05:59.110]  You should pay attention, but I mean, you know, I'm not really a big computer guy
[05:59.110 --> 06:03.910]  But I didn't treat cloud-based means you can check it from your phone. Yeah, I'm looking at Adam
[06:04.910 --> 06:11.070]  Yeah, like with security cameras and temperatures, I mean you basically just have another camera on the you know
[06:11.070 --> 06:15.710]  You don't even need it all that data to you as long as you could see another camera that had all that data on
[06:15.710 --> 06:17.710]  the wall
[06:17.710 --> 06:20.910]  So yeah, there's multiple ways to do that, right?
[06:21.270 --> 06:24.310]  Nice. Yeah, we'll go down there and check it out. I want to go see what you got to offer
[06:24.310 --> 06:30.110]  Yeah, hydro indoor growing supplies you guys it's just over the bridge in Pueblo. There's a little bit of parking in the back
[06:30.110 --> 06:33.550]  I've heard that there's nowhere to park. There's spots in the back you guys we got the
[06:34.030 --> 06:36.550]  Door all fixed up too. So well
[06:37.870 --> 06:42.230]  Probably by the time this airs it'll be all fixed up and you can just walk in the back of it done. Nice
[06:42.390 --> 06:45.670]  Nice a park in the back if you drive through the little taco thing or through the alley
[06:46.070 --> 06:50.550]  And just turn right you're you're right there in the back of hydro. It's that door the door that you wonder
[06:50.550 --> 06:52.550]  Is that the one? Yes, that's how I know
[06:53.470 --> 07:00.510]  Shout out to a handful of people that hit us up for Rocky Mountain earthworm castings. They'll be in stock soon sweet
[07:01.030 --> 07:04.030]  Can we say who the order from Arizona came from do you remember who that is?
[07:04.910 --> 07:08.390]  No, Nevada, actually, Nevada. Yeah, and no
[07:09.310 --> 07:13.470]  Totally different email then I'm gonna have to check that shout out to the people that emailed me and thank you know who you are
[07:13.470 --> 07:16.590]  They're coming to the they're coming to the store. They definitely said they're coming to the store
[07:16.590 --> 07:19.490]  So shout out to those guys that message me. Sorry. I got your state wrong if I did
[07:19.750 --> 07:24.150]  I'm in Colorado in those two states, Arizona and Nevada are the big desert down there. Yeah
[07:24.510 --> 07:26.870]  Hey, we're all square states. Yeah
[07:27.190 --> 07:32.270]  I do hope you guys have time to message me when you're coming to Colorado to Pueblo and we'll visit we'll link up
[07:32.270 --> 07:34.270]  Maybe take some dabs if you're into that, that'd be cool
[07:34.710 --> 07:37.950]  Alright, so big love and much respect all the sponsors for making the show possible
[07:38.310 --> 07:42.310]  Big shout out to the mystic roots band coot dog and cat and the rest of the mystic roots band
[07:42.310 --> 07:43.930]  They let me play there all of their music
[07:43.930 --> 07:46.990]  They've given given me full permission for their whole catalog on the show
[07:47.150 --> 07:50.870]  That helps a guy out trying to run a show and keep things fresh. That's pretty damn cool
[07:50.870 --> 07:56.110]  I've been playing a song called the doggy dub for the intro for the past couple episodes. It's instrumental
[07:56.110 --> 07:59.250]  It's got a nice flow to it. It's kind of got my vibe. So thanks for letting me use that
[08:00.390 --> 08:05.670]  Let's see. I have a stitcher comment. I like to read the stitcher or the stitcher and iTunes comment
[08:05.670 --> 08:11.750]  I have an iTunes comment from our good friend Fred Garvin. What's up, Fred? Thanks for listening, bro. He said great show man
[08:12.270 --> 08:14.910]  Thanks, that means a lot to me. Yeah, thanks Fred
[08:15.670 --> 08:21.290]  Thanks to everyone me and Jesse were talking about that the other day that stitcher really needs to get on that that comment section thing
[08:21.410 --> 08:26.170]  Just it needs to be linked right to you or maybe somewhere where somebody else can see it like just the
[08:26.370 --> 08:29.890]  looker not maybe a user that has to log in and
[08:31.210 --> 08:36.850]  Stitchers aren't comment from a mobile device on stitcher. I can't find any way to do it
[08:36.850 --> 08:44.130]  So stitcher get on that you guys man. I mean, that's how I listen every single podcast is through stitcher. So I mean
[08:45.050 --> 08:48.730]  There's a lot of what I use, you know, if you guys on stitcher want to leave a comment
[08:48.730 --> 08:54.410]  I apologize that you can't but you can go to the I grow culture Facebook page and log in and leave a comment or
[08:54.410 --> 08:57.250]  You can just simply email me. I would love to read your email
[08:57.250 --> 08:59.690]  I appreciate that just as much if you want me to read it on the show
[08:59.690 --> 09:03.390]  I certainly will the YouTube is another place where you can go and comment
[09:03.390 --> 09:07.110]  Maybe not all the episodes are up. But you know, it will be right enough
[09:07.810 --> 09:14.210]  I've been keeping something down like episode 35 was did it? Yeah, and I'll read there for everybody to read
[09:14.210 --> 09:16.290]  They don't have to have a YouTube account or anything like that
[09:16.810 --> 09:21.370]  One of the reasons that you put it up on that mark the I read genetics, so too you can comment to yeah
[09:21.610 --> 09:22.770]  Yeah, I'd like it
[09:22.770 --> 09:27.050]  If you guys if you're a listener that listens a lot and you want to interact if you go to the I read genetics
[09:27.050 --> 09:30.970]  Colorado website join the forum make yourself a profile on there
[09:31.210 --> 09:34.350]  Go to one of my posts or go start a new post. Ask me a question
[09:34.350 --> 09:36.350]  I will interact with you for sure. I do that
[09:36.770 --> 09:39.330]  Usually on Monday or Tuesday nights when I get all my work done
[09:39.330 --> 09:43.810]  I want to sit back take some dabs a dab out and go on the forum and just post pictures
[09:43.850 --> 09:49.110]  I post a lot of pictures of my crop pictures. Yeah, there's a lot of stuff on there that doesn't make it to Instagram
[09:49.650 --> 09:52.730]  And one thing that's cool is they can't filter me. That's my website
[09:52.730 --> 09:56.530]  I own that my buddy Tony and I built that Tony built it. I drew it in crayon
[09:56.530 --> 09:58.170]  Yeah, pretty much on a paper
[09:58.170 --> 09:58.530]  I was like
[09:58.530 --> 10:02.210]  this is what I want the home page to look like and then I drew tabs at the top and then I was like this is
[10:02.210 --> 10:06.890]  What I want the second page to look like and he kind of did my vision. It's a work in progress, you know
[10:06.890 --> 10:11.890]  But for what I drew he nailed it. I joined it when you first launched it. I think so
[10:12.250 --> 10:14.250]  All I've done as well
[10:14.330 --> 10:17.090]  Just go click like on some shit traffic on there
[10:17.610 --> 10:22.610]  Remember no, I was the one that found out that I had a karma deal or something
[10:22.610 --> 10:25.530]  Oh, yeah, so we got that worked out as well. So
[10:26.130 --> 10:28.170]  It is what it is. I also want to give a huge
[10:28.170 --> 10:32.930]  Thanks to everyone who sent me messages and comments from episode 43. That was awesome
[10:32.930 --> 10:39.930]  I got more response off episode 40 35 and 43 have been our most popular episodes 35 was drying and curing with Jesse and I and
[10:40.010 --> 10:41.650]  43 was
[10:41.650 --> 10:43.650]  organics with King Cola
[10:43.810 --> 10:49.930]  King Cola will definitely definitely be back big huge. Thanks to King Cola Shawn if you're listening, thanks a lot, dude
[10:49.930 --> 10:54.850]  I've got a couple of questions for you from a listener. Actually, he wants me to relay a couple of questions
[10:54.850 --> 10:59.570]  So we got to get you back on. Yeah, I got a few too and I had a ton of response from it as well
[10:59.570 --> 11:01.570]  Let's thank you everyone
[11:04.170 --> 11:09.290]  Rocky Mountain Worm Company is gonna definitely see some results for that. Shout out to those guys. Yeah
[11:09.290 --> 11:10.930]  I'm gonna go down there and get myself up
[11:10.930 --> 11:17.450]  I've got some plants that are gonna transplant into larger pots here within the next five days and they will definitely be getting fed
[11:17.770 --> 11:22.730]  Rocky Mountain working, you know, there's there's an opportunity there as well, you know
[11:22.730 --> 11:25.610]  Like you guys tell them that you're listening to the podcast home
[11:25.610 --> 11:31.650]  The people are here in Colorado or supporting them and not as they've actually commented on the podcast that they listen. That's awesome. There may be
[11:32.650 --> 11:34.650]  Well, that's what I'm saying
[11:34.930 --> 11:38.170]  We may have a wormy sponsor here in the I never heard of it, you know
[11:38.170 --> 11:42.370]  And I'm I'm with these guys most the time it was kind of one of their like little held secrets
[11:42.370 --> 11:46.930]  But then they blasted it on the podcast. So, you know, it's not held secret, but it's just you got to know
[11:47.490 --> 11:49.970]  Secrets. That's all Sean's I brought that to the table
[11:50.210 --> 11:53.210]  Also, I want to give a huge shout out to everybody from the Garden of Wheaton
[11:53.210 --> 11:56.130]  I mentioned that the Garden of Wheaton may be on here
[11:56.930 --> 11:59.250]  to talk about their secret cup experience
[12:00.130 --> 12:03.010]  They just got back from Vegas they had a great time
[12:03.010 --> 12:08.930]  Unfortunately, they did not take home the trophy some coastal guys won some guys from the coast which you know, you can handle that
[12:08.930 --> 12:12.410]  They're not bitter about it. Although they were busy. The Garden of Wheaton was a little bit busy
[12:12.410 --> 12:16.110]  I was over there hanging out today and I was like you want to come on the show and they kind of showed me what
[12:16.110 --> 12:20.250]  They had to take care of and kind of hinted at me that today was not the day to come on a podcast
[12:20.250 --> 12:24.290]  So in the future, we'll have spins. Hopefully we can get Maddie over Maddie's never been on the show
[12:24.290 --> 12:26.290]  I don't think no she hasn't we gotta get Maddie over
[12:26.290 --> 12:30.150]  Maybe big come first female on the show be the first female on the show
[12:30.150 --> 12:35.410]  Yeah, so it'd be an honor to have it either Maddie or Angela and I've invited Angela and she doesn't seem excited to talk on
[12:35.410 --> 12:40.650]  The show. Yeah, which is understandable if you're not a podcast person, that's cool. But busy is the word of the week
[12:41.050 --> 12:45.810]  Everybody's been slamming busy the couple of weeks just to get everybody to pull out of their lives for an hour to come do the
[12:45.810 --> 12:50.410]  Podcast was not only that but let's look at you know, like he'd been sick just there before so he's been
[12:51.850 --> 12:53.850]  He's good man, he's good
[12:54.770 --> 13:00.650]  He looks good now he's put a Spence was down to like 140 pounds he's six foot four it was 140 pounds
[13:00.650 --> 13:06.050]  He's almost back to a normal weight. Nice. I'm glad to hear that. He made it all all you can eat buffers
[13:07.130 --> 13:09.130]  He was talking about some of the banging food
[13:09.330 --> 13:13.610]  They said that a French toast at some place and I was like, let's get a car bro. Let's just go
[13:14.370 --> 13:17.570]  Make some bomb French toast. See we'll go over to Jesse's later
[13:17.570 --> 13:22.090]  I want to send a huge shout out to Joey Joey got a hoodie from me today and I hadn't seen Joey in a long
[13:22.090 --> 13:25.810]  Time so it's kind of nice to hook up with Joey get him a hoodie. You're gonna look sharp in that hoodie
[13:26.210 --> 13:28.930]  I'm wrapping up shout outs. I know I got a lot of them here at the start of the show
[13:28.930 --> 13:34.250]  It's easier to get him out of the way much respect and much. Thanks and much love to Mike Adam and Angela
[13:34.730 --> 13:41.770]  They trimmed their little fingers off. Oh my god. Well Angela's little fingers might have normal size. She's beastly at it, though
[13:41.890 --> 13:44.610]  She I don't know how the little chick tries faster than anybody else
[13:44.610 --> 13:49.690]  I know Angela is I will say it on the air Angela is the fastest trimmer I've ever fucking known
[13:49.690 --> 13:52.330]  There's one guy I know that might keep up but he takes Adderall
[13:56.410 --> 14:01.290]  You can't compete if you're enhancing, you know, yeah, well she's taking she's dabbing so yeah
[14:03.570 --> 14:08.890]  Giving people shit also huge shots Angela is involved in this shout out again, but huge shout out to Angela
[14:09.650 --> 14:11.410]  Vegas Craig
[14:11.410 --> 14:16.450]  Everybody over at the spot. I got to give you a huge shout out to the spot dispensary in Pueblo West, Colorado
[14:17.010 --> 14:21.530]  They've treated me super kind we've been in a couple of talks a couple of meetings some things have happened I
[14:22.330 --> 14:26.570]  Think I'm ready to make the official announcement today in the mail. I received my Colorado med badge
[14:26.570 --> 14:30.930]  I am now officially legally licensed to work in a Colorado medical marijuana facility
[14:30.930 --> 14:34.250]  Which means that at this time I can take the job that I have been offered
[14:34.250 --> 14:37.530]  I am now the official master grower at the spot in Pueblo, Colorado
[14:38.170 --> 14:40.170]  So within the next few months
[14:40.570 --> 14:44.790]  There's a little bit of work to be done on the grow site to get it up to what I want what we are expecting
[14:45.230 --> 14:48.990]  There are over 200 lights in there. I'll be the master grower for those 200 lights
[14:49.590 --> 14:53.950]  Which means that in probably I'm gonna say six months. I want to give myself six months
[14:53.950 --> 14:58.790]  You guys will see fire coming out of there produced by Rasta Jeff out of the spot in Pueblo, Colorado
[14:59.230 --> 15:03.430]  Way cool. Way cool. I'm excited to announce that when I'm proud to be a part of that team
[15:03.430 --> 15:08.310]  I was a little picky about where I wanted to go what I wanted to do a couple of people have offered me things
[15:08.310 --> 15:12.330]  I like their grow and I get along with the people there
[15:12.330 --> 15:18.650]  So it'll be a great great thing to do. My girlfriend is the bud tender. I am the master grower
[15:18.970 --> 15:20.610]  My girlfriend is the trimmer also
[15:20.610 --> 15:26.250]  So it'll go from it'll have my love in it all the way from the seed or the clone all the way up to the
[15:26.250 --> 15:32.650]  Time it reaches the customer and or patients container. So it's gonna have Rasta Jeff love from beginning to end now
[15:32.650 --> 15:33.870]  So yeah, I'm proud to work with the spot
[15:33.870 --> 15:37.250]  That's my big announcement that I've been kind of teasing about on social media and stuff
[15:37.970 --> 15:41.610]  I want to compliment the Colorado MED in Springs
[15:42.010 --> 15:46.170]  Everybody made it sound like it was a big deal to go get your med badge and it was a pain in the ass
[15:46.170 --> 15:47.410]  I did have a couple of things
[15:47.410 --> 15:50.650]  I had a tax issue from my past that I had to clear up and I had to get a
[15:51.330 --> 15:54.010]  Noted paper that my child support was current and cleaned up
[15:54.130 --> 15:57.170]  But I already did that because I knew that was coming and they never asked for it
[15:57.170 --> 16:00.610]  But they said that they would they never asked for those papers. I went in there
[16:00.610 --> 16:02.890]  I so in Colorado Springs are able to call and make an appointment
[16:03.210 --> 16:08.490]  The hardest part is getting the appointment call every day until you get an appointment because I had to call three times in a row
[16:08.490 --> 16:13.930]  They called me back after the third one. I set an appointment. I got there early. She saw I was early
[16:13.930 --> 16:19.810]  She took me right when I got there. Boom. She got me out of there within 30 minutes. My full appointment was 30 minutes
[16:20.890 --> 16:24.650]  Giving her the paper. She reviewed the paper and it's one lady. That's there all the time
[16:24.650 --> 16:29.130]  I wish I could remember her name. I was excited and anxious. So I don't even know what she looks like to tell you the truth
[16:29.690 --> 16:34.290]  You go into that fucking concert mode, you know, I mean, I just want to see this and get it done med lady
[16:34.330 --> 16:35.930]  Yes med lady. She was awesome
[16:35.930 --> 16:38.570]  But they take your fingerprints on the digital finger printer
[16:38.570 --> 16:43.330]  which is kind of fun and then they run all your background checks and then they take a picture of you and she high-fives you
[16:43.330 --> 16:48.210]  And tells you have a good day and that happened Tuesday at 11 o'clock today when I got my mail
[16:48.210 --> 16:51.470]  It is Thursday as we record my med badge came in the mail today
[16:51.530 --> 16:56.370]  So my background check my tax thing all my child support my fingerprints everything got done
[16:56.930 --> 17:02.990]  Probably within five or six hours. It's great hands down the the fastest turned turnover rate
[17:02.990 --> 17:07.190]  I've heard of I went prepared I went with everything I needed because I called an ass
[17:07.190 --> 17:11.530]  I was like, what am I gonna need? I have like I have a small business. I have child support
[17:11.530 --> 17:15.570]  Do I need to she's like as long as your child support is current you can prove it and as long as your taxes are
[17:15.570 --> 17:20.290]  Good on your small business and I was like, I got that watch nice just had to I they never asked for proof
[17:20.290 --> 17:25.890]  I guess they probably could tell just by yeah, I do some most of their app their application was 13 pages
[17:25.890 --> 17:28.130]  I think seven of those pages are you signing?
[17:28.590 --> 17:33.450]  writing your name signing and dating saying that this agency can go through all of my shit and
[17:33.650 --> 17:35.930]  This agency can go through all of my shit
[17:35.930 --> 17:42.210]  And if I missed anything this other agency can go through all the other shit and it's like everything but your medical records get reviewed
[17:42.210 --> 17:44.210]  I think your money
[17:46.570 --> 17:49.610]  She puts on a rubber glove and says you want to come back here with me and they're just
[17:49.850 --> 17:52.370]  Fingerprinting you at that point. I was like they're going that far
[17:52.370 --> 17:54.370]  That's
[17:54.410 --> 17:58.890]  Why everybody talks about how bad it is, maybe they're getting the wrong treatment up there
[17:58.890 --> 18:02.090]  Maybe you were just nice. Maybe I cannot say I had that experience
[18:02.850 --> 18:10.070]  No, but I got mine right before the first of the year last year. So I bet that there was a lot of people
[18:10.810 --> 18:16.530]  Yeah, well now it brings you can make appointments. Yeah, and they're kind of sticklers. They'll will tell you if you miss your appointment
[18:16.530 --> 18:18.530]  It'll be a while before you can get back
[18:18.810 --> 18:20.810]  List and you're like, oh shit
[18:20.890 --> 18:25.050]  So you got it? Yeah, and I was I'm prepared. I left an hour and a half early to get to
[18:26.410 --> 18:33.190]  45 minute drive my puppy ate my badge. So oops, it's 10 bucks for a replacement. I don't think you need an appointment for that
[18:35.050 --> 18:40.250]  Shit okay, they do not take cash you guys if you ever go into the med go get a money order for the total
[18:40.250 --> 18:42.650]  Oh, that's changed. Yeah, that's anything pretty much here
[18:43.650 --> 18:46.930]  Like that office in Springs isn't in a shitty area
[18:46.930 --> 18:51.310]  But parts of Springs right near like Colorado Springs on one side of the street is gorgeous
[18:51.310 --> 18:53.830]  The other side of the street you're like, I don't want to fucking park my car here
[18:53.930 --> 18:59.170]  And they're kind of in one of those like off to the side areas. They could be I wouldn't wreck I'm not saying this
[18:59.170 --> 19:02.810]  They could easily be a victim of robbery or something. I'm not saying go do it
[19:02.810 --> 19:05.050]  I'm saying they could so it's wise that they don't keep a lot of cash
[19:05.050 --> 19:12.050]  Yeah, and my badge alone was 300 bucks and they probably do 20 appointments a day at 150 or 300
[19:12.650 --> 19:14.650]  Appointment price went up for that. Yeah
[19:14.650 --> 19:18.330]  Yeah, it's 150 for the key or 150 for the support and 300 for the key
[19:18.330 --> 19:23.710]  I did get the key cuz I'm the guy the prices doubled. Yeah. Yeah, and if you're upgrading badges
[19:23.710 --> 19:28.250]  It's still like 253 bucks to go from one to the other like you should have just paid that in the beginning
[19:28.250 --> 19:31.870]  So guys if you're curious if you need to get the big badge or the little one if you can afford it
[19:31.870 --> 19:34.650]  Just get the big one. Yeah. Yeah, it makes you a
[19:35.290 --> 19:39.010]  More valuable asset to you can actually ask for more pay if you yeah
[19:40.130 --> 19:42.130]  Yeah
[19:42.170 --> 19:45.690]  That'd be a good episode kind of well, I guess we just did it
[19:51.370 --> 19:58.130]  Back up a couple steps if you guys want to apply to be able to work in the medical marijuana industry in the marijuana industry
[19:58.130 --> 20:02.250]  You can take the medical word out if you want to be employed in any way in the marijuana industry in Colorado
[20:02.250 --> 20:04.250]  what you need to do is go to
[20:06.090 --> 20:11.350]  There's a website's the Department of Revenue, Colorado Department of Revenue and there will be marijuana
[20:12.290 --> 20:15.870]  Documents on their print out the application for it's a med
[20:16.650 --> 20:21.410]  Employment application and it's not the business application. It's only the one for
[20:22.050 --> 20:25.130]  An employment it'll say key or support which is how you know
[20:25.130 --> 20:26.050]  If you're doing the right ones
[20:26.050 --> 20:31.930]  You want that just go for that key or support if if you don't want to be like a manager or something if you just want
[20:31.930 --> 20:33.770]  To trim or bud tend all you need is a support
[20:33.770 --> 20:36.690]  but if you want to get paid a little more and if you want to have some chance of
[20:37.250 --> 20:41.250]  Climbing up that corporate ladder get that that big one get that support then
[20:42.050 --> 20:45.570]  They always have to have a support badge on-premises
[20:45.890 --> 20:50.530]  So if boss needs to go somewhere, maybe you can step up and show that you can do that shit
[20:50.530 --> 20:53.810]  That's how people advance so go on the website print out that application
[20:53.850 --> 20:56.730]  Read it thoroughly before you even start printing because there's one page
[20:56.850 --> 21:00.450]  That says if any of this stuff applies to you go fuck yourself
[21:00.450 --> 21:06.810]  It pretty much says if you did this you cannot get a badge it straight up. No, no, like just read your application now
[21:07.810 --> 21:12.330]  Primarily it's kind of the same stuff as getting into the military. Yeah
