[00:00.000 --> 00:01.720]  Hey, welcome back everyone!
[00:01.720 --> 00:05.760]  It is time for episode 441 of the Grow From Your Heart Podcast.
[00:05.760 --> 00:09.600]  This episode of the show is brought to you by our friends at the Hella Dank Seed Company.
[00:09.600 --> 00:14.000]  If you need new seeds in your garden, I highly recommend the Hella Dank Seed Company and
[00:14.000 --> 00:16.560]  you can find them at dankseed.store.
[00:16.560 --> 00:22.680]  It has become a tradition that we start this podcast off by talking about what I'm smoking.
[00:22.680 --> 00:27.160]  Today I've been taking dabs of Blue Lemon Thai Ambrosia from our friends at Apothecary
[00:27.160 --> 00:28.160]  Farms.
[00:28.160 --> 00:35.880]  The package says this product contains 67.7% THC and 78.5% total cannabinoids.
[00:35.880 --> 00:40.280]  I really love the flavor and aroma of the Blue Lemon Thai Ambrosia.
[00:40.280 --> 00:42.000]  It's got that blue lemon flavor.
[00:42.000 --> 00:45.980]  I know that sounds ridiculous, but if I broke it open and gave you a smell, you would absolutely
[00:45.980 --> 00:49.400]  agree that that smells like blue lemons.
[00:49.400 --> 00:54.080]  So big shout out to our friends at Apothecary Farms for the delicious and extremely potent
[00:54.080 --> 00:57.160]  Blue Lemon Thai Ambrosia.
[00:57.160 --> 01:00.920]  In this episode of the podcast, I would like to introduce you to a new strain called Orange
[01:00.920 --> 01:04.920]  Gasm, but before we get there, let's do some shout outs to some friends on Patreon.
[01:04.920 --> 01:09.720]  I want to give a huge Grow From Your Heart Podcast shout out to my buddy Jacob W., a
[01:09.720 --> 01:15.040]  giant podcast shout out to Stabby McStabberson, as always a giant Viking handshake to my friend
[01:15.040 --> 01:19.860]  Grimbolded Druid, a big giant shout out to my friend Justin, and of course a big Grow
[01:19.860 --> 01:23.520]  From Your Heart Podcast shout out to my friend Eric Ross.
[01:23.520 --> 01:27.800]  Once again, big shout out and big thanks to everybody who supports the show on Patreon.
[01:27.800 --> 01:34.800]  If you would like to learn how to become a patron, you can do so by going to www.patreon.com
[01:34.800 --> 01:36.760]  slash growfromyourheart.
[01:36.760 --> 01:40.560]  All of the information you need to become a patron will be right there on the screen.
[01:40.560 --> 01:44.040]  All right, podcast world, at the start of the show, I said I was going to introduce
[01:44.040 --> 01:45.720]  you to a new strain.
[01:45.720 --> 01:47.840]  Let's talk about one of my newest creations.
[01:47.840 --> 01:50.080]  Let's talk about Orange Gasm.
[01:50.080 --> 01:54.360]  Orange Gasm is a cross of platinum tangy from our friends at the Garden of Weden, pollinated
[01:54.360 --> 01:56.880]  by a reversed golden goat.
[01:56.880 --> 02:00.400]  I took a female golden goat plant, I treated it with a solution.
[02:00.400 --> 02:04.420]  That solution caused that plant to create pollen sacs.
[02:04.420 --> 02:08.560]  Those pollen sacs contained pollen which only contain female chromosomes.
[02:08.560 --> 02:13.840]  I applied that female pollen onto the platinum tangy plant, and we have made Orange Gasm
[02:13.840 --> 02:15.940]  feminized seeds.
[02:15.940 --> 02:21.020]  My goal when I was creating Orange Gasm was to create a really orange and tangerine flavored
[02:21.020 --> 02:22.780]  feminized seed line.
[02:22.780 --> 02:24.660]  I really think I nailed it.
[02:24.660 --> 02:28.500]  What I got was that sweet orange tangerine creamsicle sort of a flavor.
[02:28.500 --> 02:33.300]  I brought that platinum tangy flowering time and platinum tangy growth pattern and structure
[02:33.300 --> 02:34.460]  into the cross.
[02:34.460 --> 02:38.780]  Then it also added that golden goat potency, a little bit of sweetness, and some of the
[02:38.780 --> 02:44.100]  phenotypes even bring out a grapefruit sort of flavor and aroma which comes from the golden
[02:44.100 --> 02:46.060]  goat side of things.
[02:46.060 --> 02:50.940]  So my main goal was to create a feminized seed that carried that delicious orange turp
[02:50.940 --> 02:51.940]  flavor.
[02:51.940 --> 02:56.140]  It looks like in the process I created a great structured plant that has a great flavor and
[02:56.140 --> 02:57.600]  tremendous potency.
[02:57.600 --> 02:59.900]  So let's talk more about the Orange Gasm.
[02:59.900 --> 03:02.860]  Let's start by talking about the parents of Orange Gasm.
[03:02.860 --> 03:06.700]  Orange Gasm is a cross of the platinum tangy and golden goat.
[03:06.700 --> 03:10.780]  Platinum tangy is of course a tangy male named Julius.
[03:10.780 --> 03:13.380]  Julius was selected by our friends at the Garden of Weden.
[03:13.380 --> 03:15.020]  Big shout out to Maddie and Spence.
[03:15.020 --> 03:19.460]  So they used Julius to pollinate a platinum cookies female.
[03:19.460 --> 03:24.900]  So they had the platinum Girl Scout cookies pollinated by Julius that made platinum tangy.
[03:24.900 --> 03:30.340]  Platinum tangy has a delicious greasy orange smell with a hint of that Girl Scout cookies
[03:30.340 --> 03:31.340]  background.
[03:31.340 --> 03:32.340]  There's something funky.
[03:32.340 --> 03:34.100]  There's something slightly spicy.
[03:34.100 --> 03:35.300]  There's something dirty to it.
[03:35.300 --> 03:39.420]  So it's like a greasy funky orange with a hint of armpits, maybe a little bit of skunk
[03:39.420 --> 03:40.420]  going on.
[03:40.420 --> 03:42.440]  I really appreciate the platinum tangy.
[03:42.500 --> 03:43.840]  It grows beautifully.
[03:43.840 --> 03:45.560]  It's got the greatest growth structure.
[03:45.560 --> 03:47.800]  That's one of my favorite things about it, the way that it grows.
[03:47.800 --> 03:52.560]  As a grower, as a commercial grower, platinum tangy always did a great job in the production
[03:52.560 --> 03:53.560]  rooms.
[03:53.560 --> 03:57.600]  It always helped me get bonuses and the flavors and aromas are unbeatable.
[03:57.600 --> 03:59.740]  It makes amazing concentrates.
[03:59.740 --> 04:02.120]  So then I paired that up with the golden goat.
[04:02.120 --> 04:04.560]  Let's talk about golden goat for a moment.
[04:04.560 --> 04:09.680]  Golden goat is a Hawaiian Romulan male that pollinated an Island sweet skunk female.
[04:09.680 --> 04:11.640]  So we've got a lot of great genetics in there.
[04:11.840 --> 04:16.600]  I see that Island sweet skunk come out a lot in the orange chasm phenotypes.
[04:16.600 --> 04:21.920]  That is what will bring out that pink grapefruit sort of aroma that comes from the Island sweet
[04:21.920 --> 04:23.080]  skunk.
[04:23.080 --> 04:26.960]  Golden goat was bred by a guy who's known as Mr. Dank and he is from Topeka, Kansas.
[04:26.960 --> 04:29.380]  I've done a full episode on golden goat.
[04:29.380 --> 04:33.360]  So if you would like to learn a lot about golden goat, I suggest checking out episode
[04:33.360 --> 04:35.800]  418 of the Grow From Your Heart podcast.
[04:35.800 --> 04:39.640]  That entire episode is heavily focused on golden goat.
[04:39.640 --> 04:42.520]  Golden goat brings a really delightful tropical smell.
[04:42.520 --> 04:43.720]  It has some citrus to it.
[04:43.720 --> 04:45.240]  It has hints of pineapple to it.
[04:45.240 --> 04:47.580]  It has a beautiful growth structure.
[04:47.580 --> 04:49.560]  Golden goat always puts out huge harvests.
[04:49.560 --> 04:52.560]  And also I love the potency of golden goat.
[04:52.560 --> 04:57.440]  I have seen golden goat reach impressive lab test numbers, but also sometimes I have smoked
[04:57.440 --> 05:01.960]  a golden goat that didn't show impressive lab tests, but it blew me away when I smoked
[05:01.960 --> 05:02.960]  it.
[05:02.960 --> 05:04.280]  So there's something special about that golden goat.
[05:04.280 --> 05:06.320]  I have always been a big fan of golden goat.
[05:06.320 --> 05:10.520]  I've obviously fallen in love with it because you see it in a lot of my breeding.
[05:10.520 --> 05:12.840]  So I used a female golden goat clone.
[05:12.840 --> 05:17.440]  It was treated with a solution which made it create pollen sacks, which only contained
[05:17.440 --> 05:18.440]  female pollen.
[05:18.440 --> 05:20.880]  I applied that female pollen to the platinum tangy.
[05:20.880 --> 05:23.160]  We have now got the orange gasm seeds.
[05:23.160 --> 05:26.520]  Let's talk more specifically about the orange gasm.
[05:26.520 --> 05:32.920]  As a consumer, the first thing you are going to notice about orange gasm is the insanely
[05:32.920 --> 05:35.760]  intense pungent orange aroma.
[05:35.760 --> 05:36.760]  It is orangey.
[05:36.760 --> 05:38.000]  It is tangerines.
[05:38.000 --> 05:39.620]  There are hints of grapefruit.
[05:39.620 --> 05:45.880]  It almost smells like somebody sprayed orange ozium in the room or directly into your face.
[05:45.880 --> 05:49.920]  It's like you were in a small compact car and somebody has got that orange ozium and
[05:49.920 --> 05:51.840]  they just won't keep spraying it.
[05:51.840 --> 05:55.440]  It smells like you cleaned the entire world with citrus cleaner.
[05:55.440 --> 05:58.560]  It carries a tremendous orange smell.
[05:58.560 --> 06:01.200]  It also kind of smells like tang powder.
[06:01.200 --> 06:05.960]  If you used to make tang back in the day, it's got that strong, overpowering, fake orange
[06:05.960 --> 06:07.960]  flavor in some phenotypes.
[06:07.960 --> 06:14.640]  Also, some phenotypes will have a really sweet, smooth, creamsicle sort of aroma and flavor.
[06:14.640 --> 06:21.720]  I really like the array of tangerine and sweet orange flavors that come from the orange gasm.
[06:21.720 --> 06:25.360]  One of the best things about orange gasm is the concentrates.
[06:25.360 --> 06:29.880]  If you are a concentrate maker of any type, you will find a beautiful phenotype of orange
[06:29.920 --> 06:32.680]  gasm for your concentrate production.
[06:32.680 --> 06:36.440]  There's a phenotype that works beautifully for ice water extraction.
[06:36.440 --> 06:39.400]  There's a phenotype that works beautifully to be pressed.
[06:39.400 --> 06:44.040]  Almost any of the phenotypes will make wonderful BHO extraction.
[06:44.040 --> 06:50.440]  All of them are going to smell like disgusting, delicious, potent, pungent, sweet oranges.
[06:50.440 --> 06:54.160]  I can't talk enough about the orange flavor that comes from orange gasm, you guys.
[06:54.160 --> 06:58.680]  I'm going to say oranges in this episode 3,000 times because that is the only thing I can
[06:58.840 --> 07:01.360]  think of when I smell these flowers.
